,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Jones, Ian William Nasser",ANAR 111 - Foundations of Archaeology (A),SP23,16,3,100.0%,100.0%,3.83,B+ (3.67),
1,"Shtienberg, Gilad",ANAR 115 - Coastal Geomorphology/Environ (A),SP23,26,6,100.0%,83.3%,3.83,B+ (3.50),B (3.07)
2,"Braswell, Geoffrey E.",ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A),SP23,22,9,100.0%,100.0%,5.17,A (4.00),A (4.00)
3,"Shtienberg, Gilad",ANAR 116 - Sea Level Change - Israel (A),WI23,27,9,100.0%,100.0%,3.61,A (4.00),B+ (3.62)
4,"Smith, Neil Gordon",ANAR 121 - Cyber-Archaeology (A),WI23,17,7,100.0%,100.0%,7.64,B+ (3.57),
5,"Braswell, Geoffrey E.",ANAR 135 - Ancient Mediterranean Civ (A),WI23,24,15,100.0%,92.9%,3.42,A (4.00),A- (3.99)
6,"Rodriguez, Eric Andrew",ANAR 164 - Underwater Archaeology (A),WI23,41,23,100.0%,100.0%,4.07,A- (3.80),B+ (3.63)
7,"Goldstein, Paul S",ANAR 180 - Archaeology Workshop (A),WI23,14,4,100.0%,75.0%,2.0,A (4.00),
8,"Fortier, Jana",ANAR 100 - Spec Topics/Anth Archaeology (A),FA22,20,3,100.0%,100.0%,3.17,B+ (3.33),B+ (3.30)
9,"Smith, Neil Gordon",ANAR 104 - Intro GIS for Anth & Arch (A),FA22,16,4,100.0%,100.0%,4.0,A (4.00),
10,"Jones, Ian William Nasser",ANAR 120 - Documenting Climate Change (A),FA22,16,3,100.0%,100.0%,6.5,B+ (3.67),
11,"Goldstein, Paul S",ANAR 143 - Biblical Arch- Fact or Fiction (A),FA22,25,8,100.0%,100.0%,1.36,A- (3.86),A- (3.85)
12,"Braswell, Geoffrey E.","ANAR 144 - Pharaohs,Mummies,Pyramds:Egypt (A)",S122,15,5,80.0%,100.0%,5.7,B (3.20),
13,"Smith, Neil Gordon",ANAR 104 - Intro GIS for Anth & Arch (A),SP22,10,6,100.0%,100.0%,3.83,A (4.00),
14,"Smith, Neil Gordon",ANAR 143 - Biblical Arch- Fact or Fiction (A),SP22,36,7,85.7%,85.7%,4.5,B+ (3.57),B+ (3.33)
15,"D'Alpoim Guedes, Jade A",ANAR 146 - Feeding the World (A),SP22,78,20,95.0%,100.0%,5.8,A- (3.84),B+ (3.38)
16,"Braswell, Geoffrey E.",ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A),SP22,23,16,100.0%,100.0%,2.63,A- (3.94),A- (3.97)
17,"Goldstein, Paul S",ANAR 156 - Archaeology of South America (A),SP22,36,10,80.0%,100.0%,4.3,A- (3.70),A- (3.81)
18,"Shtienberg, Gilad",ANAR 116 - Sea Level Change - Israel (A),WI22,16,4,100.0%,100.0%,4.0,A (4.00),
19,"Jones, Ian William Nasser",ANAR 120 - Documenting Climate Change (A),WI22,12,3,100.0%,100.0%,8.5,A (4.00),
20,"Braswell, Geoffrey E.",ANAR 135 - Ancient Mediterranean Civ (A),WI22,22,15,100.0%,92.9%,6.35,A- (3.87),A (4.00)
21,"Rivera-Collazo, Isabel C",ANAR 164 - Underwater Archaeology (A),WI22,40,18,100.0%,100.0%,3.44,A- (3.78),B (3.26)
22,"Smith, Neil Gordon",ANAR 104 - Intro GIS for Anth & Arch (A),FA21,14,8,100.0%,100.0%,6.5,A- (3.71),
23,"Smith, Neil Gordon",ANAR 121 - Cyber-Archaeology (A),FA21,13,8,100.0%,100.0%,5.25,B+ (3.63),
24,"Rivera-Collazo, Isabel C",ANAR 159 - Societies/CaribbeanArchipelago (A),FA21,31,12,100.0%,100.0%,5.95,B+ (3.45),B (3.25)
25,"Jones, Ian William Nasser",ANAR 166 - Environmental Archaeology (A),FA21,28,13,100.0%,100.0%,6.5,A- (3.77),B (3.17)
26,"Goldstein, Paul S","ANAR 117 - Archaeology Field&Lab, SoCal (A)",S221,14,7,100.0%,100.0%,1.93,A (4.00),
27,"Howland, Matthew David",ANAR 104 - Intro GIS for Anth & Arch (A),SP21,14,5,100.0%,100.0%,3.7,A- (3.80),
28,"Algaze, Guillermo",ANAR 138 - The Emergence of Civilization (A),SP21,11,6,80.0%,80.0%,2.9,B (3.20),
29,"Braswell, Geoffrey E.",ANAR 160 - Ancient Maya: Arch Prob/Persp (A),SP21,5,4,100.0%,100.0%,7.0,A (4.00),
30,"Goldstein, Paul S",ANAR 156 - Archaeology of South America (A),WI21,31,7,100.0%,100.0%,3.07,A- (3.86),A- (3.74)
31,"Declet Perez, Mariela",ANAR 159 - Societies/CaribbeanArchipelago (A),WI21,12,5,100.0%,100.0%,5.5,B (3.25),
32,"Jones, Ian William Nasser",ANAR 120 - Documenting Climate Change (A),FA20,15,4,100.0%,100.0%,2.5,B+ (3.50),
33,"Smith, Neil Gordon",ANAR 121 - Cyber-Archaeology (A),FA20,17,6,100.0%,100.0%,6.5,A (4.00),
34,"D'Alpoim Guedes, Jade A",ANAR 146 - Feeding the World (A),FA20,41,16,100.0%,100.0%,4.0,A- (3.81),A- (3.79)
35,"Goldstein, Paul S",ANAR 100 - Spec Topics/Anth Archaeology (A),S220,13,3,100.0%,100.0%,5.83,B+ (3.33),
36,"Braswell, Geoffrey E.","ANAR 144 - Pharaohs,Mummies,Pyramds:Egypt (A)",S220,16,4,100.0%,100.0%,4.0,B (3.25),
37,"Jones, Ian William Nasser",ANAR 164 - Underwater Archaeology (A),SP20,20,8,100.0%,100.0%,2.75,B+ (3.57),A- (3.78)
38,"D'Alpoim Guedes, Jade A",ANAR 166 - Environmental Archaeology (A),SP20,24,8,100.0%,100.0%,3.75,A (4.00),A- (3.91)
39,"Howland, Matthew David",ANAR 104 - Intro GIS for Anth & Arch (A),WI20,18,9,100.0%,88.9%,4.06,A- (3.78),
40,"Braswell, Geoffrey E.",ANAR 154 - The Aztecs & Their Ancestors (A),WI20,56,22,90.9%,86.4%,3.95,B (3.26),B (3.19)
41,"Goldstein, Paul S",ANAR 158 - The Inca: Empire of the Andes (A),WI20,37,16,87.5%,93.3%,2.25,B (3.13),B+ (3.53)
42,"Shtienberg, Gilad",ANAR 116 - Sea Level Change - Israel (A),FA19,24,13,100.0%,100.0%,3.59,A- (3.70),B+ (3.35)
43,"Jones, Ian William Nasser",ANAR 121 - Cyber-Archaeology (A),FA19,14,5,100.0%,100.0%,1.7,B+ (3.60),
44,"Braswell, Geoffrey E.",ANAR 135S - Ancient Mediterranean Civ (A),S319,24,6,100.0%,100.0%,6.5,A- (3.83),A (4.00)
45,"Goldstein, Paul S","ANAR 117 - Archaeology Field&Lab, SoCal (A)",S119,17,7,100.0%,100.0%,1.36,A (4.00),
46,"Howland, Matthew David",ANAR 104 - Intro GIS for Anth & Arch (A),SP19,18,11,81.8%,80.0%,9.05,B (3.00),
47,"Ben-Yosef, Erez",ANAR 114 - Environmental Hazards - Israel (A),SP19,20,9,55.6%,66.7%,4.72,B (3.00),A- (3.76)
48,"Shtienberg, Gilad",ANAR 115 - Coastal Geomorphology/Environ (C),SP19,11,3,100.0%,100.0%,9.5,A (4.00),
49,"Braswell, Geoffrey E.",ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A),SP19,20,10,80.0%,80.0%,4.9,A (4.00),A (4.00)
50,"Shtienberg, Gilad",ANAR 116 - Sea Level Change - Israel (A),WI19,13,4,100.0%,100.0%,2.0,A- (3.75),
51,"Fortier, Jana",ANAR 124 - The Archaeology of Asia (A),WI19,19,11,90.9%,90.9%,4.5,A- (3.80),
52,"Braswell, Geoffrey E.",ANAR 153 - The Mysterious Maya (A),WI19,40,22,71.4%,70.0%,4.12,B (3.22),C+ (2.69)
