,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Hrvoj Mihic, Branka",ANBI 111 - Human Evolution (A),SP23,22,4,100.0%,100.0%,2.5,A (4.00),B- (2.93)
1,"Non, Amy L",ANBI 135 - Genetic Anthro Lab Techniques (A),SP23,14,9,100.0%,100.0%,5.39,A- (3.75),
2,"Hrvoj Mihic, Branka",ANBI 140 - Evolution of Human Brain (A),SP23,36,12,63.6%,72.7%,6.17,B (3.00),C+ (2.53)
3,"Wilder, Linnea Lorene",ANBI 173 - How Monkeys See the World (A),SP23,20,6,83.3%,83.3%,4.83,B+ (3.50),B+ (3.49)
4,"Non, Amy L",ANBI 130 - Biology of Inequality (A),WI23,71,45,84.4%,81.8%,4.28,B+ (3.42),B+ (3.41)
5,"Gagneux, Pascal",ANBI 139 - Evolution of Human Disease (A),WI23,157,71,100.0%,100.0%,3.5,A- (3.71),B+ (3.40)
6,"Wilder, Linnea Lorene",ANBI 143 - The Human Skeleton (A),WI23,33,15,100.0%,93.3%,3.3,A- (3.80),B+ (3.61)
7,"Wilder, Linnea Lorene",ANBI 144 - Human Anatomy (A),WI23,32,14,92.9%,100.0%,4.19,B+ (3.62),B (3.27)
8,"Non, Amy L",ANBI 149 - Social/Behavioral Epigenetics (A),WI23,8,3,100.0%,100.0%,5.17,A (4.00),
9,"Hrvoj Mihic, Branka",ANBI 159 - Biological&Cult Persptv/Intell (A),WI23,18,7,83.3%,83.3%,3.5,B (3.17),
10,"Marchetto, Maria Carolina",ANBI 100 - Special Topic/Biological Anth (A),FA22,30,14,100.0%,100.0%,1.93,A (4.00),A- (3.99)
11,"Marchetto, Maria Carolina",ANBI 112 - Methods in Human Neuroscience (A),FA22,15,6,100.0%,100.0%,4.5,B+ (3.67),
12,"Hrvoj Mihic, Branka",ANBI 112 - Methods in Human Neuroscience (B),FA22,16,4,75.0%,75.0%,4.0,A- (3.75),
13,"Semendeferi, Ekaterini",ANBI 136 - Human Comparative Neuroanatomy (A),FA22,18,7,85.7%,100.0%,6.5,B (3.14),
14,"Gagneux, Pascal",ANBI 141 - The Evolution of Human Diet (A),FA22,186,69,98.5%,100.0%,3.76,B+ (3.70),B+ (3.66)
15,"Hrvoj Mihic, Branka",ANBI 145 - Bioarchaeology (A),FA22,20,4,75.0%,100.0%,4.5,B+ (3.33),B- (2.84)
16,"Hrvoj Mihic, Branka",ANBI 175 - Evidence for Early Ancestors (A),FA22,18,3,100.0%,100.0%,5.17,A (4.00),
17,"Hall, James Ernest",ANBI 134 - Human Evolutionary Genetics (A),S122,14,3,100.0%,100.0%,3.83,B+ (3.33),
18,"Hrvoj Mihic, Branka",ANBI 140 - Evolution of Human Brain (A),S122,15,4,100.0%,100.0%,6.5,B (3.25),
19,"Hrvoj Mihic, Branka",ANBI 111 - Human Evolution (A),SP22,19,7,85.7%,85.7%,5.36,B+ (3.43),
20,"Fox, Patrick Keolu Ozer",ANBI 121 - Polynesian Navigation (A),SP22,35,25,95.8%,100.0%,3.46,A- (3.92),A- (3.87)
21,"Wilder, Linnea Lorene",ANBI 140 - Evolution of Human Brain (A),SP22,38,11,90.9%,90.9%,3.95,B+ (3.30),C+ (2.41)
22,"Wilder, Linnea Lorene",ANBI 144 - Human Anatomy (A),SP22,40,17,94.1%,82.4%,4.25,B+ (3.53),B- (2.85)
23,"Hrvoj Mihic, Branka",ANBI 112 - Methods/Human CompNeuroscience (A),WI22,8,5,80.0%,100.0%,3.7,A (4.00),
24,"Gagneux, Pascal",ANBI 116 - Hmn Sexuality in Evolutn Pers (A),WI22,108,41,100.0%,100.0%,2.61,A- (3.78),A- (3.80)
25,"Fox, Patrick Keolu Ozer",ANBI 118 - Technology on the Go (A),WI22,18,4,75.0%,75.0%,2.0,A- (3.75),
26,"Non, Amy L",ANBI 131 - Biology and Culture of Race (A),WI22,82,41,95.1%,95.1%,4.99,B+ (3.62),B (3.08)
27,"Wilder, Linnea Lorene",ANBI 133 - Evolution/Ecology: Great Ape (A),WI22,24,13,92.3%,100.0%,4.04,B+ (3.54),B+ (3.65)
28,"Hall, James Ernest",ANBI 134 - Human Evolutionary Genetics (A),WI22,15,3,66.7%,33.3%,3.17,B+ (3.67),
29,"Wilder, Linnea Lorene",ANBI 143 - The Human Skeleton (A),WI22,25,10,100.0%,100.0%,3.9,B+ (3.50),B (3.29)
30,"Marchetto, Maria Carolina",ANBI 100 - Special Topic/Biological Anth (A),FA21,28,7,100.0%,100.0%,3.83,A (4.00),A- (3.97)
31,"Semendeferi, Ekaterini",ANBI 136 - Human Comparative Neuroanatomy (A),FA21,15,5,100.0%,100.0%,5.7,A- (3.80),
32,"Gagneux, Pascal",ANBI 141 - The Evolution of Human Diet (A),FA21,137,63,98.4%,98.4%,3.36,A- (3.90),A- (3.82)
33,"Hrvoj Mihic, Branka",ANBI 145 - Bioarchaeology (A),FA21,20,10,100.0%,100.0%,4.1,A- (3.90),B (3.22)
34,"Hrvoj Mihic, Branka",ANBI 175 - Evidence for Early Ancestors (A),FA21,22,6,100.0%,100.0%,4.5,A (4.00),B- (2.90)
35,"Hrvoj Mihic, Branka",ANBI 111 - Human Evolution (A),SP21,25,11,100.0%,100.0%,4.32,B+ (3.55),C (2.23)
36,"Wilder, Linnea Lorene",ANBI 143 - The Human Skeleton (A),SP21,33,13,100.0%,92.3%,3.73,A- (3.85),A- (3.78)
37,"Wilder, Linnea Lorene",ANBI 133 - Evolution/Ecology: Great Ape (A),WI21,30,14,100.0%,100.0%,5.36,A- (3.93),B+ (3.37)
38,"Simonson, Tatum Sasha Summ",ANBI 134 - Human Evolutionary Genetics (A),WI21,20,10,100.0%,100.0%,3.39,A- (3.78),B+ (3.61)
39,"Gagneux, Pascal",ANBI 139 - Evolution of Human Disease (A),WI21,139,67,98.5%,98.5%,3.5,A- (3.90),B+ (3.63)
40,"Fox, Patrick Keolu Ozer",ANBI 118 - Technology on the Go (A),FA20,20,15,93.3%,100.0%,2.77,B+ (3.67),A- (3.77)
41,"Fox, Patrick Keolu Ozer",ANBI 121 - Polynesian Navigation (A),FA20,14,10,100.0%,100.0%,2.72,B+ (3.67),
42,"Semendeferi, Ekaterini",ANBI 136 - Human Comparative Neuroanatomy (A),FA20,22,15,66.7%,73.3%,5.17,B (3.27),B- (2.99)
43,"Gagneux, Pascal",ANBI 141 - The Evolution of Human Diet (A),FA20,117,53,100.0%,100.0%,3.75,B+ (3.70),A- (3.87)
44,"Hrvoj Mihic, Branka",ANBI 175 - Evidence for Early Ancestors (B),FA20,17,3,66.7%,66.7%,4.5,C+ (2.50),
45,"Wilder, Linnea Lorene",ANBI 173 - How Monkeys See the World (A),S120,33,3,66.7%,66.7%,4.5,B+ (3.67),A- (3.78)
46,"Semendeferi, Ekaterini",ANBI 100 - Special Topic/Biological Anth (A),SP20,4,3,100.0%,100.0%,7.83,B+ (3.50),
47,"Fox, Patrick Keolu Ozer",ANBI 100 - Special Topic/Biological Anth (B),SP20,19,14,100.0%,100.0%,4.5,B+ (3.69),
48,"Strum, Shirley C.",ANBI 132 - Conservation&Human Predicament (A),SP20,19,6,80.0%,100.0%,4.17,B+ (3.40),
49,"Hrvoj Mihic, Branka",ANBI 136 - Human Comparative Neuroanatomy (A),SP20,29,13,92.3%,100.0%,4.81,B+ (3.38),B+ (3.68)
50,"Hrvoj Mihic, Branka",ANBI 159 - Biological&Cult Persptv/Intell (A),SP20,36,15,93.3%,93.3%,3.03,B+ (3.69),A- (3.87)
51,"Fox, Patrick Keolu Ozer",ANBI 100 - Special Topic/Biological Anth (A),WI20,22,5,100.0%,100.0%,3.3,A- (3.80),B+ (3.69)
52,"Gagneux, Pascal",ANBI 116 - Hmn Sexuality in Evolutn Pers (A),WI20,68,30,100.0%,100.0%,2.5,A- (3.83),B+ (3.68)
53,"Simonson, Tatum Sasha Summ",ANBI 134 - Human Evolutionary Genetics (A),WI20,25,9,77.8%,88.9%,4.94,A- (3.78),B+ (3.51)
54,"Hrvoj Mihic, Branka",ANBI 140 - Evolution of Human Brain (A),WI20,30,10,100.0%,100.0%,2.5,B (3.22),B (3.19)
55,"Hanson, Kari Lynne",ANBI 144 - Human Anatomy (A),WI20,13,3,100.0%,100.0%,5.17,B+ (3.67),
56,"Hanson, Kari Lynne",ANBI 112 - Methods/Human CompNeuroscience (A),FA19,9,7,100.0%,100.0%,3.93,A- (3.86),
57,"Non, Amy L",ANBI 131 - Biology and Culture of Race (A),FA19,54,46,91.3%,97.8%,4.5,A- (3.72),B+ (3.55)
58,"Gagneux, Pascal",ANBI 141 - The Evolution of Human Diet (A),FA19,136,63,98.4%,98.3%,4.4,B+ (3.56),B- (2.77)
59,"Hrvoj Mihic, Branka",ANBI 143 - The Human Skeleton (A),FA19,20,13,92.3%,100.0%,6.81,B+ (3.42),B+ (3.36)
60,"Clausing, Elizabeth Sarah Frances",ANBI 135 - Genetic Anthro Lab Techniques (A),S219,15,5,100.0%,100.0%,3.7,B+ (3.60),
61,"Non, Amy L",ANBI 130 - Biology of Inequality (A),SP19,44,24,76.2%,95.2%,3.86,B+ (3.32),B- (2.96)
62,"Lew, Caroline Horton",ANBI 136 - Human Comparative Neuroanatomy (A),SP19,27,12,100.0%,100.0%,4.83,A (4.00),A- (3.87)
63,"Gagneux, Pascal",ANBI 139 - Evolution of Human Disease (A),SP19,70,36,100.0%,100.0%,4.33,A- (3.71),B+ (3.32)
64,"Non, Amy L",ANBI 149 - Social/Behavioral Epigenetics (A),SP19,10,4,100.0%,100.0%,4.5,A (4.00),
65,"Strum, Shirley C.",ANBI 174 - Conservation/ Media: Film Lab (A),SP19,12,3,100.0%,100.0%,2.5,A (4.00),
66,"Semendeferi, Ekaterini",ANBI 112 - Methods/Human CompNeuroscience (A),WI19,3,3,100.0%,100.0%,4.5,B+ (3.67),
67,"Gagneux, Pascal",ANBI 116 - Hmn Sexuality in Evolutn Pers (A),WI19,54,28,88.5%,88.5%,4.06,B (3.15),B (3.06)
68,"Hrvoj Mihic, Branka",ANBI 140 - Evolution of Human Brain (A),WI19,35,11,90.9%,90.9%,7.41,B (3.20),B (3.16)
69,"Marchetto, Maria Carolina",ANBI 100 - Special Topic/Biological Anth (A),FA18,25,23,100.0%,100.0%,4.24,A- (3.91),A- (3.83)
70,"Non, Amy L",ANBI 134 - Human Evolutionary Genetics (A),FA18,30,16,62.5%,93.3%,5.5,B (3.13),B (3.09)
71,"Non, Amy L",ANBI 135 - Genetic Anthro Lab Techniques (A),FA18,11,7,57.1%,85.7%,4.5,B (3.14),
72,"Lew, Caroline Horton",ANBI 159 - Biological&Cult Persptv/Intell (A),FA18,45,25,83.3%,83.3%,3.25,A- (3.75),B+ (3.44)
73,"Strum, Shirley C.",ANBI 132 - Conservation&Human Predicament (A),SP18,15,3,100.0%,100.0%,4.5,B+ (3.67),
74,"Gagneux, Pascal",ANBI 139 - Evolution of Human Disease (A),SP18,40,20,100.0%,100.0%,3.28,A- (3.83),B- (2.83)
75,"Lew, Caroline Horton",ANBI 140 - Evolution of Human Brain (A),SP18,27,14,85.7%,92.9%,4.19,B+ (3.62),B+ (3.51)
76,"Minsky-Rowland, Jocelyn D",ANBI 143 - The Human Skeleton (A),SP18,21,11,100.0%,100.0%,7.05,B+ (3.50),B- (2.95)
77,"Semendeferi, Ekaterini",ANBI 112 - Methods/Human CompNeuroscience (A),WI18,7,4,100.0%,100.0%,5.5,A (4.00),
78,"Gagneux, Pascal",ANBI 116 - Hmn Sexuality in Evolutn Pers (A),WI18,44,26,100.0%,100.0%,4.34,B (3.17),B- (2.88)
79,"Schoeninger, Margaret J",ANBI 120 - Ethical Dilemmas in Bio Anthro (A),WI18,15,6,100.0%,83.3%,4.5,A (4.00),
80,"Lafleur, Marni M",ANBI 133 - Evolution/Ecology: Great Ape (A),WI18,26,15,100.0%,100.0%,3.3,B+ (3.64),B (3.29)
81,"Non, Amy L",ANBI 135 - Genetic Anthro Lab Techniques (B),FA17,27,17,93.8%,93.8%,4.38,B (3.29),B+ (3.68)
82,"Schoeninger, Margaret J",ANBI 141 - The Evolution of Human Diet (A),FA17,50,22,95.2%,90.5%,4.31,B (3.29),B+ (3.42)
83,"Minsky-Rowland, Jocelyn D",ANBI 145 - Bioarchaeology (A),FA17,21,17,94.1%,93.3%,5.91,B+ (3.41),B+ (3.50)
84,"Lafleur, Marni M",ANBI 148 - Ecology/Evol Primate Behavior (A),FA17,17,8,100.0%,100.0%,6.5,A- (3.75),
85,"Most, Corinna",ANBI 173 - How Monkeys See the World (A),S217,27,21,100.0%,100.0%,5.83,B+ (3.44),
86,"Gagneux, Pascal",ANBI 100 - Special Topic/Biological Anth (A),SP17,20,6,100.0%,100.0%,2.5,B+ (3.50),B+ (3.58)
87,"Non, Amy L",ANBI 134 - Human Evolutionary Genetics (A),SP17,17,11,90.9%,100.0%,6.5,B+ (3.40),
88,"Beasley, Melanie Marie",ANBI 143 - The Human Skeleton (A),SP17,20,20,95.0%,100.0%,6.0,B (3.25),B (3.16)
89,"Beasley, Melanie Marie",ANBI 145 - Bioarchaeology (A),SP17,35,34,85.3%,97.1%,3.71,B (3.25),B+ (3.46)
90,"Beasley, Melanie Marie",ANBI 111 - Human Evolution (A),WI17,33,32,93.8%,100.0%,5.63,B (3.20),B (3.07)
91,"Lafleur, Marni M",ANBI 133 - Evolution/Ecology: Great Ape (A),WI17,37,21,95.0%,95.0%,3.4,A- (3.70),B+ (3.51)
92,"Schoeninger, Margaret J",ANBI 146 - Stable Isotopes in Ecology (A),WI17,14,4,100.0%,100.0%,4.5,A- (3.75),
93,"Schoeninger, Margaret J",ANBI 120 - Immortal Life/Henrietta Lacks (A),FA16,6,3,100.0%,100.0%,6.5,B+ (3.67),
94,"Schoeninger, Margaret J",ANBI 141 - The Evolution of Human Diet (A),FA16,34,16,100.0%,92.3%,3.33,A- (3.70),B+ (3.67)
95,"Lafleur, Marni M","ANBI 148 - Evolution, Behavior, Ecology (A)",FA16,16,8,100.0%,100.0%,4.21,A- (3.71),
96,"Beasley, Melanie Marie",ANBI 159 - Biological&Cult Persptv/Intell (A),FA16,25,13,90.9%,100.0%,4.32,B+ (3.64),A- (3.89)
