,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Sloane, Julia Kathryn",ANSC 101 - Aging: Culture&Health/Hum Dev (A),SP23,38,12,91.7%,100.0%,3.17,A- (3.75),A- (3.75)
1,"Stewart, Alexander B",ANSC 105 - Global Health and Inequality (A),SP23,30,20,95.0%,100.0%,3.45,A- (3.79),B+ (3.67)
2,"Kang, Byung Chu",ANSC 117 - Transgenderisms (A),SP23,15,4,100.0%,100.0%,5.0,B+ (3.50),
3,"Yeh, Rihan Wen Xin",ANSC 122 - Language in Society (A),SP23,26,8,75.0%,87.5%,5.5,B+ (3.57),B- (2.88)
4,"Brenner, Suzanne A","ANSC 125 - Gender, Sexuality, & Society (A)",SP23,64,29,100.0%,100.0%,3.6,B+ (3.68),B+ (3.57)
5,"Stewart, Alexander B",ANSC 137 - Chinese Popular Religion (A),SP23,36,25,92.0%,96.0%,4.02,B+ (3.60),B+ (3.40)
6,"Kennemore, Amy Michelle",ANSC 142 - Anthropology of Latin America (A),SP23,44,13,100.0%,100.0%,5.5,A- (3.82),A- (3.83)
7,"Stewart, Alexander B",ANSC 147 - Global Health and Environment (A),SP23,30,14,100.0%,100.0%,4.79,A- (3.79),B+ (3.33)
8,"Olivas Hernandez, Olga Lid",ANSC 148 - Global Health&Cultrl Diversity (A),SP23,48,9,88.9%,77.8%,4.28,A- (3.88),B+ (3.60)
9,"Jenkins, Janis A.",ANSC 156 - Mad Films (A),SP23,17,5,100.0%,100.0%,1.7,A- (3.80),
10,"Brenner, Suzanne A",ANSC 173 - Ethnography in Practice (A),SP23,12,7,100.0%,100.0%,3.07,A- (3.71),
11,"Pedersen, David",ANSC 177 - Anthrohistory: Past/Future (A),SP23,13,7,100.0%,100.0%,3.36,A- (3.71),
12,"Katz, Hazel",ANSC 186 - Gender and Incarceration (A),SP23,24,17,100.0%,100.0%,3.56,A (4.00),
13,"Bialecki, Jon Anthony",ANSC 124 - Cultural Anthropology (A),WI23,29,13,83.3%,100.0%,3.5,B+ (3.40),B+ (3.46)
14,"Kennemore, Amy Michelle",ANSC 135 - Indigenous Peoples/Latin Amer. (A),WI23,60,14,100.0%,100.0%,5.27,A- (3.83),B+ (3.63)
15,"Kang, Byung Chu",ANSC 146 - Global Health Persp/HIV (A),WI23,45,22,81.8%,77.3%,3.23,A- (3.82),B+ (3.67)
16,"Walkover, Lillian B",ANSC 148 - Global Health&Cultrl Diversity (A),WI23,25,16,87.5%,87.5%,3.38,B+ (3.60),B (3.17)
17,"Sloane, Julia Kathryn",ANSC 150 - Culture and Mental Health (A),WI23,29,10,90.0%,90.0%,4.1,B+ (3.50),B+ (3.41)
18,"Brenner, Suzanne A",ANSC 154 - Gender and Religion (A),WI23,11,7,100.0%,100.0%,6.5,A- (3.71),
19,"Stewart, Alexander B",ANSC 164 - Intro to Medical Anthropology (A),WI23,25,17,100.0%,100.0%,4.03,B+ (3.41),B (3.03)
20,"Hankins, Joseph D.",ANSC 180 - Capitalism & Gender (A),WI23,24,11,100.0%,100.0%,4.32,A- (3.91),A- (3.87)
21,"Fortier, Jana","ANSC 184 - Food, Culture, and Society (A)",WI23,23,5,100.0%,75.0%,4.5,A (4.00),B (3.21)
22,"Jassal, Aftab",ANSC 188 - Cultures of Healing (A),WI23,36,10,100.0%,100.0%,4.72,A- (3.89),A- (3.83)
23,"Jassal, Aftab",ANSC 190 - Yoga Practices (A),WI23,34,12,81.8%,90.9%,4.68,A- (3.80),B+ (3.64)
24,"Yeh, Rihan Wen Xin",ANSC 104 - The US-Mexico Border (A),FA22,42,10,90.0%,100.0%,5.9,B+ (3.63),C- (1.70)
25,"Olivas Hernandez, Olga Lid",ANSC 105 - Global Health and Inequality (A),FA22,41,14,92.3%,92.3%,3.27,A- (3.75),B+ (3.70)
26,"Jassal, Aftab",ANSC 120 - Religion and Culture (A),FA22,38,21,90.5%,85.0%,3.93,B+ (3.60),A (4.00)
27,"Sloane, Julia Kathryn",ANSC 121 - Psychological Anthropology (A),FA22,31,8,100.0%,100.0%,3.25,B+ (3.63),B+ (3.55)
28,"Wilson, Brenda K",ANSC 148 - Global Health&Cultrl Diversity (A),FA22,31,23,82.6%,78.3%,4.33,B (3.22),B+ (3.33)
29,"Fortier, Jana",ANSC 169 - Culture & Envr/Resrch Sem/Prac (A),FA22,19,4,75.0%,75.0%,6.5,A (4.00),
30,"Pedersen, David",ANSC 175 - Beyond Capitalism (A),FA22,36,8,85.7%,100.0%,4.21,A- (3.71),A- (3.87)
