,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Bourdeau, Joseph Albert",AWP 3 - Analytical Writing (0),SP23,13,7,85.7%,100.0%,7.93,B- (2.83),
1,"Gilbert, Peter W",AWP 3 - Analytical Writing (0),SP23,14,3,100.0%,100.0%,12.5,C+ (2.50),
2,"Grant, Melinda G",AWP 3 - Analytical Writing (0),SP23,14,14,92.9%,100.0%,9.21,B- (2.79),
3,"Haugh, Megan Nicole",AWP 3 - Analytical Writing (0),SP23,14,11,45.5%,90.9%,9.05,B (3.20),
4,"Kolodezh, Samuel",AWP 3 - Analytical Writing (0),SP23,13,9,55.6%,100.0%,8.5,C (2.00),
5,"Spicer, Jacqueline",AWP 3 - Analytical Writing (0),SP23,13,5,100.0%,100.0%,8.1,B (3.25),
6,"Tiernan, Christa Michelle",AWP 3 - Analytical Writing (0),SP23,13,7,71.4%,100.0%,7.07,B (3.00),
7,"Defrance, Robert S",AWP 4A - Analytical Writing A (0),SP23,19,4,100.0%,100.0%,6.5,B (3.00),
8,"Ajo, Frances Margaret",AWP 4B - Analytical Writing B (0),SP23,17,15,93.3%,100.0%,5.97,B+ (3.50),
9,"Chandler, Bailee Daniele",AWP 4B - Analytical Writing B (0),SP23,16,11,100.0%,100.0%,7.77,B+ (3.60),
10,"Christie, Veronica Ann",AWP 4B - Analytical Writing B (0),SP23,19,15,93.3%,100.0%,7.57,B+ (3.50),
11,"Eastin, Schuyler E.",AWP 4B - Analytical Writing B (0),SP23,8,7,85.7%,85.7%,7.07,B- (2.80),
12,"Ejmont, Sylwia D.",AWP 4B - Analytical Writing B (0),SP23,20,14,92.9%,85.7%,7.07,B+ (3.36),C+ (2.69)
13,"Falcon, Jennifer A",AWP 4B - Analytical Writing B (0),SP23,17,12,91.7%,100.0%,6.33,B (3.27),
14,"Hall, Graham T",AWP 4B - Analytical Writing B (0),SP23,18,13,84.6%,100.0%,6.04,B (3.25),
15,"Heiser, Jerrod A",AWP 4B - Analytical Writing B (0),SP23,18,17,93.8%,100.0%,8.26,B+ (3.69),
16,"Jones, William Jadie",AWP 4B - Analytical Writing B (0),SP23,17,14,100.0%,100.0%,6.79,B+ (3.50),
17,"O'Neil, Courtney L",AWP 4B - Analytical Writing B (0),SP23,9,5,100.0%,100.0%,5.3,A- (3.80),
18,"Setoda, Kayleigh Kumiko",AWP 4B - Analytical Writing B (0),SP23,17,11,81.8%,90.9%,5.41,B+ (3.55),
19,"Steinberg, Stacy A",AWP 4B - Analytical Writing B (0),SP23,16,15,93.3%,100.0%,6.37,A- (3.73),
20,"Tiernan, Christa Michelle",AWP 4B - Analytical Writing B (0),SP23,12,10,80.0%,90.0%,6.7,B+ (3.67),
21,"Tsurska Svetina, Olena",AWP 4B - Analytical Writing B (0),SP23,18,17,94.1%,94.1%,6.85,B (3.29),
22,"Vaughn, Kelsey Sara",AWP 4B - Analytical Writing B (0),SP23,19,14,100.0%,100.0%,6.21,B+ (3.36),
23,"Weintraub, Lauren Monica",AWP 4B - Analytical Writing B (0),SP23,18,17,82.4%,100.0%,6.5,B+ (3.31),
24,"West, Geoffrey Scott",AWP 4B - Analytical Writing B (0),SP23,8,6,83.3%,83.3%,4.83,B+ (3.67),
25,"Wilson, Natalie Ann",AWP 4B - Analytical Writing B (0),SP23,10,10,90.0%,100.0%,7.5,B+ (3.44),
26,"Zroka, Amy Liane",AWP 4B - Analytical Writing B (0),SP23,19,15,93.3%,92.9%,6.77,B+ (3.60),
27,"Defrance, Robert S",AWP 3 - Analytical Writing (0),WI23,19,6,80.0%,100.0%,4.9,B+ (3.40),
28,"Eastin, Schuyler E.",AWP 3 - Analytical Writing (0),WI23,20,17,64.7%,100.0%,8.62,B- (2.94),C+ (2.48)
29,"Gilbert, Peter W",AWP 3 - Analytical Writing (0),WI23,29,18,77.8%,88.9%,6.17,B- (2.79),C (2.13)
30,"Given, William Allan",AWP 3 - Analytical Writing (0),WI23,26,20,70.0%,100.0%,12.4,B (3.17),C+ (2.42)
31,"Gonzales, Paulina Margarita",AWP 3 - Analytical Writing (0),WI23,10,7,85.7%,85.7%,7.93,B (3.00),
32,"Grant, Melinda G",AWP 3 - Analytical Writing (0),WI23,30,26,76.0%,100.0%,6.42,B (3.27),B- (2.78)
33,"Haugh, Megan Nicole",AWP 3 - Analytical Writing (0),WI23,30,19,68.4%,94.7%,7.13,B (3.00),C+ (2.39)
34,"Kolodezh, Samuel",AWP 3 - Analytical Writing (0),WI23,29,24,87.0%,100.0%,7.17,B (3.27),C+ (2.47)
35,"O'Neil, Courtney L",AWP 3 - Analytical Writing (0),WI23,20,13,76.9%,100.0%,7.42,B+ (3.42),B- (2.88)
36,"Spicer, Jacqueline",AWP 3 - Analytical Writing (0),WI23,29,19,94.7%,100.0%,6.71,B (3.05),C (2.25)
37,"Ajo, Frances Margaret",AWP 4A - Analytical Writing A (0),WI23,16,15,93.3%,100.0%,5.43,A- (3.88),
38,"Bauer, Holly Jean",AWP 4A - Analytical Writing A (0),WI23,7,4,100.0%,100.0%,6.0,B+ (3.67),
39,"Bolin, Jillian",AWP 4A - Analytical Writing A (0),WI23,17,16,93.3%,100.0%,4.88,A- (3.86),
40,"Chandler, Bailee Daniele",AWP 4A - Analytical Writing A (0),WI23,16,13,100.0%,100.0%,6.65,A- (3.80),
41,"Christie, Veronica Ann",AWP 4A - Analytical Writing A (0),WI23,18,11,100.0%,100.0%,6.68,A (4.00),
