,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Alexandrov, Ludmil B",BENG 100 - Intro to Prob & Stats for BENG (A),SP23,132,70,61.5%,86.2%,6.56,B (3.03),B (3.03)
1,"Fraley, Stephanie I.",BENG 103B - Bioengineering Mass Transfer (A),SP23,128,86,75.0%,94.0%,8.6,B (3.22),B (3.09)
2,"Shi, Lingyan",BENG 112B - Fluid and Cell Biomechanics (A),SP23,56,39,84.2%,71.1%,5.24,B+ (3.50),B (3.21)
3,"Hasty, Jeff M",BENG 125 - Modeling & Computatio/Bioengr (A),SP23,136,37,88.9%,80.6%,4.27,B+ (3.57),B+ (3.46)
4,"Cabrales, Pedro",BENG 140B - Bioengineering Physiology (A),SP23,72,47,80.4%,82.6%,6.88,B+ (3.32),B (3.24)
5,"Cabrales, Pedro",BENG 172 - Bioengineering Laboratory (A),SP23,53,27,75.0%,100.0%,8.02,A- (3.80),B+ (3.62)
6,"Omens, Jeffrey Howard",BENG 172 - Bioengineering Laboratory (A),SP23,53,27,75.0%,94.1%,8.02,A- (3.80),B+ (3.62)
7,"Bafna, Vineet",BENG 182 - Biological Databases (A),SP23,20,8,71.4%,85.7%,4.79,A- (3.71),B (3.19)
8,"Omens, Jeffrey Howard",BENG 87 - Freshman Seminar (A),SP23,15,6,83.3%,100.0%,1.83,A (4.00),
9,"Sah, Robert Lie-Yuan",BENG 1 - Introduction to Bioengineering (A),WI23,157,88,69.4%,76.5%,3.17,B+ (3.57),
10,"Valdez-Jasso, Daniela",BENG 112A - Soft Tissue Biomechanics (A),WI23,65,21,81.0%,100.0%,6.69,B (3.24),B- (2.86)
11,"Taylor Amos, Alyssa C",BENG 119B - Design Implmntatn Biomechanics (A),WI23,22,5,100.0%,100.0%,6.1,A (4.00),A- (3.87)
12,"Wheeler, Bruce Christopher",BENG 119B - Design Implmntatn Biomechanics (A),WI23,22,5,100.0%,100.0%,6.1,A (4.00),A- (3.87)
