,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Dickinson, Alexandra Jazz",BIBC 102 - Metabolic Biochemistry (A),SP23,267,228,96.9%,100.0%,6.45,B+ (3.68),B+ (3.65)
1,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (A),SP23,47,33,97.0%,97.0%,6.38,B+ (3.33),B (3.03)
2,"Burg, Michael",BIBC 103 - Biochemical Techniques (B),SP23,47,42,95.2%,95.2%,7.4,B (3.24),B (3.26)
3,"Beyhan, Sinem",BIBC 103 - Biochemical Techniques (C),SP23,47,26,92.0%,96.0%,6.58,A- (3.73),B+ (3.60)
4,"Flagg, Matthew Paul",BIBC 100 - Structural Biochemistry (A),WI23,202,159,98.1%,98.7%,4.49,A- (3.73),B+ (3.55)
5,"Feng, Gen-Sheng",BIBC 102 - Metabolic Biochemistry (A),WI23,113,54,84.3%,78.4%,7.6,B (3.08),B- (3.00)
6,"Bozinovic, Goran",BIBC 102 - Metabolic Biochemistry (B),WI23,145,83,72.2%,70.5%,8.37,B- (2.83),B- (2.77)
7,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (A),WI23,84,44,97.6%,97.6%,6.95,B (3.25),B- (2.97)
8,"Grossman, Emily N",BIBC 103 - Biochemical Techniques (B),WI23,50,38,97.4%,97.4%,5.34,A- (3.84),A- (3.79)
9,"Burg, Michael",BIBC 103 - Biochemical Techniques (C),WI23,46,42,97.6%,97.6%,7.67,B+ (3.39),B+ (3.38)
10,"Ernst, Andreas",BIBC 194 - Adv Topics-Biochemistry (A),WI23,25,14,100.0%,100.0%,2.5,A (4.00),A (4.00)
11,"Huffaker, Alisa",BIBC 100 - Structural Biochemistry (A),FA22,279,118,93.9%,95.5%,7.3,B+ (3.57),B+ (3.69)
12,"Schmelz, Eric Alexander",BIBC 102 - Metabolic Biochemistry (A),FA22,270,185,85.9%,87.6%,8.71,B+ (3.51),B+ (3.53)
13,"Coleman, Aaron B.",BIBC 102 - Metabolic Biochemistry (B),FA22,215,89,80.5%,75.3%,7.85,B (3.13),C+ (2.59)
14,"Bozinovic, Goran",BIBC 103 - Biochemical Techniques (A),FA22,41,20,85.0%,89.5%,8.5,C+ (2.65),B- (2.97)
15,"Burg, Michael",BIBC 103 - Biochemical Techniques (B),FA22,49,45,93.3%,95.6%,6.14,B+ (3.38),B+ (3.43)
16,"Beyhan, Sinem",BIBC 103 - Biochemical Techniques (C),FA22,49,16,93.8%,100.0%,6.25,B+ (3.67),B+ (3.58)
17,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (D),FA22,42,11,100.0%,100.0%,6.5,B+ (3.50),B (3.01)
18,"Hui, Enfu",BIBC 194 - Adv Topics-Biochemistry (A),FA22,21,13,100.0%,84.6%,3.42,A (4.00),A- (3.97)
19,"Piercy, Marc Anthony",BIBC 100 - Structural Biochemistry (A),S122,20,5,100.0%,80.0%,12.5,A- (3.80),B (3.22)
20,"Flagg, Matthew Paul",BIBC 102 - Metabolic Biochemistry (A),S122,128,99,93.9%,99.0%,7.69,B+ (3.58),B+ (3.38)
21,"Neal, Sonya E",BIBC 100 - Structural Biochemistry (A),SP22,233,185,99.5%,100.0%,5.23,A- (3.76),A- (3.85)
22,"Dickinson, Alexandra Jazz",BIBC 102 - Metabolic Biochemistry (A),SP22,152,133,97.7%,100.0%,6.41,B+ (3.66),B+ (3.67)
23,"Bozinovic, Goran",BIBC 102 - Metabolic Biochemistry (B),SP22,214,111,72.4%,80.0%,7.97,B- (2.89),B- (2.84)
24,"Burg, Michael",BIBC 103 - Biochemical Techniques (A),SP22,48,42,92.9%,95.2%,6.83,B (3.14),B+ (3.43)
25,"Beyhan, Sinem",BIBC 103 - Biochemical Techniques (C),SP22,48,26,96.2%,100.0%,8.5,B+ (3.50),B+ (3.39)
26,"Hampton, Randolph Y.",BIBC 120 - Nutrition (A),SP22,337,288,97.6%,96.8%,4.5,B+ (3.59),B+ (3.39)
27,"Huffaker, Alisa",BIBC 151 - Chem of Bio Interactions (A),SP22,34,16,100.0%,100.0%,4.63,A- (3.87),A- (3.99)
28,"Schmelz, Eric Alexander",BIBC 151 - Chem of Bio Interactions (A),SP22,34,16,100.0%,100.0%,4.63,A- (3.87),A- (3.99)
29,"Hui, Enfu",BIBC 100 - Structural Biochemistry (A),WI22,152,126,94.4%,97.6%,7.89,B+ (3.36),B+ (3.45)
30,"Zhao, Yunde",BIBC 102 - Metabolic Biochemistry (A),WI22,166,67,59.7%,65.7%,8.11,B (3.09),C+ (2.69)
31,"Feng, Gen-Sheng",BIBC 102 - Metabolic Biochemistry (B),WI22,73,33,87.9%,84.8%,6.31,B (3.10),B (3.07)
32,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (A),WI22,90,39,92.1%,97.4%,5.92,B (3.24),B- (2.92)
33,"Soowal, Lara",BIBC 103 - Biochemical Techniques (B),WI22,38,14,83.3%,75.0%,6.19,B (3.00),C+ (2.60)
34,"Burg, Michael",BIBC 103 - Biochemical Techniques (C),WI22,46,44,95.5%,97.7%,6.97,B+ (3.57),B+ (3.46)
35,"Hui, Enfu",BIBC 194 - Adv Topics-Biochemistry (A),WI22,24,11,100.0%,100.0%,1.95,A (4.00),A (4.00)
36,"Huffaker, Alisa",BIBC 100 - Structural Biochemistry (A),FA21,292,151,96.6%,97.2%,7.41,B+ (3.44),B+ (3.58)
37,"Schmelz, Eric Alexander",BIBC 102 - Metabolic Biochemistry (A),FA21,233,122,82.5%,84.2%,7.76,B (3.21),B+ (3.32)
38,"Hampton, Randolph Y.",BIBC 102 - Metabolic Biochemistry (B),FA21,339,318,89.3%,94.7%,6.96,B (3.18),B (3.22)
39,"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (A),FA21,43,37,97.3%,100.0%,7.96,B+ (3.38),B (3.12)
40,"Burg, Michael",BIBC 103 - Biochemical Techniques (B),FA21,47,40,85.0%,97.5%,6.4,B+ (3.38),B+ (3.36)
41,"Bozinovic, Goran",BIBC 103 - Biochemical Techniques (C),FA21,44,25,100.0%,96.0%,9.14,B+ (3.44),B+ (3.39)
42,"Soowal, Lara",BIBC 103 - Biochemical Techniques (D),FA21,38,17,82.4%,76.5%,7.38,B (3.13),B- (2.72)
43,"Zhao, Yunde",BIBC 102 - Metabolic Biochemistry (A),S221,90,30,53.3%,36.7%,8.5,B+ (3.40),B+ (3.37)
