,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Reinagel, Pam",BICD 100 - Genetics (B),SP23,63,21,80.0%,77.8%,3.9,B+ (3.45),B- (2.80)
1,"Rusert, Jessica Marie",BICD 100 - Genetics (D),SP23,210,157,92.9%,89.0%,6.38,B+ (3.33),B- (2.91)
2,"Muroyama, Andrew David",BICD 110 - Cell Biology (A),SP23,219,180,94.4%,98.9%,6.66,B+ (3.49),B (3.29)
3,"Forbes, Douglass Jane",BICD 110 - Cell Biology (B),SP23,298,248,91.5%,95.1%,5.5,B+ (3.53),A- (3.73)
4,"Lu, Li-Fan",BICD 140 - Immunology (A),SP23,205,144,86.7%,90.2%,7.94,B (3.09),B (3.20)
5,"Bier, Ethan",BICD 158 - Active Genetics (A),SP23,123,64,90.3%,80.6%,4.66,B+ (3.50),B+ (3.56)
6,"Mueller, Liam O'Connor",BICD 100 - Genetics (A),WI23,250,225,99.1%,100.0%,5.18,B+ (3.65),B+ (3.54)
7,"Grossman, Emily N",BICD 100 - Genetics (B),WI23,252,199,97.0%,94.5%,5.06,B+ (3.65),B+ (3.35)
8,"Rusert, Jessica Marie",BICD 100 - Genetics (C),WI23,114,91,95.6%,95.6%,5.94,B+ (3.52),B (3.13)
9,"Beyhan, Sinem",BICD 100 - Genetics (D),WI23,129,72,97.1%,95.6%,5.01,B+ (3.45),B+ (3.37)
10,"Ernst, Andreas",BICD 110 - Cell Biology (A),WI23,237,219,97.2%,97.7%,5.58,A- (3.70),B+ (3.40)
11,"Estelle, Mark",BICD 120 - Molecular Basis of Plant Dev (A),WI23,50,21,95.0%,100.0%,3.97,A- (3.74),B+ (3.50)
12,"Gustafson-Brown, Cindy",BICD 136 - AIDS Science and Society (A),WI23,107,80,95.0%,95.0%,7.03,B+ (3.31),B- (2.75)
13,"Forbes, Douglass Jane",BICD 194 - Adv Topics-Cellular Dev (A),WI23,26,23,100.0%,100.0%,1.63,A (4.00),A (4.00)
14,"Smith, Laurie",BICD 100 - Genetics (A),FA22,120,78,94.9%,94.8%,6.71,B+ (3.31),B (3.08)
15,"Mueller, Liam O'Connor",BICD 100 - Genetics (B),FA22,249,214,95.8%,97.7%,5.29,B+ (3.48),B+ (3.59)
16,"McDonnell, Lisa Marie",BICD 100 - Genetics (C),FA22,238,125,98.3%,95.0%,6.0,B+ (3.48),B+ (3.36)
17,"Day, Christopher D",BICD 100 - Genetics (D),FA22,256,97,83.3%,80.2%,5.7,B+ (3.34),B (3.01)
18,"Kiger, Amy",BICD 110 - Cell Biology (A),FA22,61,27,70.4%,66.7%,6.2,B (3.22),C+ (2.68)
19,"Grossman, Emily N",BICD 110 - Cell Biology (B),FA22,215,143,87.9%,85.7%,6.32,B+ (3.46),B (3.21)
20,"Zuniga, Elina I",BICD 140 - Immunology (A),FA22,157,68,91.0%,85.1%,6.56,B (3.22),B- (2.80)
21,"Moeller, Corinne Anne",BICD 100 - Genetics (A),S222,138,45,97.7%,97.6%,7.82,A- (3.70),B+ (3.59)
22,"Fazio, Francesco",BICD 110 - Cell Biology (A),S222,96,29,40.7%,7.1%,9.05,B+ (3.46),B- (2.91)
23,"Gustafson-Brown, Cindy",BICD 136 - AIDS Science and Society (A),S222,39,30,93.3%,90.0%,7.77,B (3.28),B- (2.77)
24,"Moeller, Corinne Anne",BICD 100 - Genetics (A),S122,82,23,100.0%,95.5%,7.95,B+ (3.41),B+ (3.47)
25,"McDonnell, Lisa Marie",BICD 100 - Genetics (B),S122,64,18,100.0%,88.2%,9.09,B (3.29),B (3.11)
26,"Grossman, Emily N",BICD 100 - Genetics (A),SP22,188,144,93.8%,95.1%,5.56,B+ (3.52),B (3.24)
27,"Grossman, Emily N",BICD 100 - Genetics (B),SP22,189,154,97.4%,93.5%,4.91,A- (3.73),B+ (3.42)
28,"Grossman, Emily N",BICD 100 - Genetics (C),SP22,189,154,96.1%,93.5%,5.7,B+ (3.59),B+ (3.41)
29,"Rusert, Jessica Marie",BICD 100 - Genetics (D),SP22,113,80,94.7%,93.4%,5.13,B+ (3.54),B- (2.99)
30,"Mueller, Liam O'Connor",BICD 100 - Genetics (E),SP22,178,143,95.8%,94.4%,5.11,B+ (3.39),B+ (3.34)
31,"Forbes, Douglass Jane",BICD 110 - Cell Biology (A),SP22,283,222,90.0%,87.3%,6.48,B+ (3.60),B+ (3.69)
32,"Flagg, Matthew Paul",BICD 110 - Cell Biology (B),SP22,207,153,97.4%,96.0%,4.99,A- (3.75),B+ (3.69)
33,"Cooper, Kimberly Lynn",BICD 112 - Stem Cells and Regeneration (A),SP22,56,32,96.9%,96.9%,8.38,B+ (3.63),B+ (3.68)
34,"Traver, David",BICD 112 - Stem Cells and Regeneration (A),SP22,56,32,96.9%,96.9%,8.38,B+ (3.63),B+ (3.68)
35,"Zhao, Yunde",BICD 123 - Plant Mol Genetics&Biotech Lab (A),SP22,36,14,84.6%,92.3%,5.12,B+ (3.38),B+ (3.58)
36,"Lu, Li-Fan",BICD 140 - Immunology (A),SP22,192,143,84.5%,86.6%,7.19,B (3.07),B (3.17)
37,"Bier, Ethan",BICD 194 - Adv Topics-Cellular Dev (A),SP22,23,8,85.7%,85.7%,1.36,A (4.00),A (4.00)
38,"Day, Christopher D",BICD 100 - Genetics (A),WI22,155,78,81.3%,72.0%,6.26,B (3.23),B+ (3.46)
39,"Day, Christopher D",BICD 100 - Genetics (B),WI22,154,74,86.3%,86.3%,6.42,B+ (3.33),B+ (3.61)
40,"Day, Christopher D",BICD 100 - Genetics (C),WI22,151,65,91.9%,83.9%,5.64,B+ (3.32),B+ (3.40)
41,"Rusert, Jessica Marie",BICD 100 - Genetics (D),WI22,76,57,89.5%,89.5%,5.59,B+ (3.33),B- (2.88)
42,"Rusert, Jessica Marie",BICD 100 - Genetics (E),WI22,111,77,93.5%,90.8%,5.82,B+ (3.30),B- (2.83)
43,"Rusert, Jessica Marie",BICD 100 - Genetics (F),WI22,75,59,89.8%,93.2%,6.19,B+ (3.36),B (3.16)
44,"Beyhan, Sinem",BICD 110 - Cell Biology (A),WI22,245,118,86.8%,85.1%,6.74,B+ (3.48),B+ (3.61)
45,"Ernst, Andreas",BICD 110 - Cell Biology (B),WI22,41,38,97.4%,100.0%,5.13,B+ (3.63),B+ (3.62)
46,"Gustafson-Brown, Cindy",BICD 136 - AIDS Science and Society (A),WI22,145,80,90.0%,90.0%,7.45,B (3.19),B- (2.73)
47,"Forbes, Douglass Jane",BICD 194 - Adv Topics-Cellular Dev (A),WI22,26,15,100.0%,100.0%,2.63,A (4.00),A (4.00)
48,"Bozinovic, Goran",BICD 100 - Genetics (A),FA21,231,102,91.9%,90.8%,6.05,B (3.29),B- (2.87)
49,"McDonnell, Lisa Marie",BICD 100 - Genetics (B),FA21,276,233,93.5%,91.3%,5.96,B+ (3.37),B (3.04)
50,"Rusert, Jessica Marie",BICD 100 - Genetics (C),FA21,150,119,80.5%,73.7%,6.64,B (3.18),B- (2.85)
51,"Rusert, Jessica Marie",BICD 100 - Genetics (D),FA21,150,119,84.9%,72.3%,6.02,B (3.21),B- (2.96)
52,"Rusert, Jessica Marie",BICD 100 - Genetics (E),FA21,154,140,90.0%,80.0%,6.29,B (3.20),B (3.11)
53,"Kiger, Amy",BICD 110 - Cell Biology (A),FA21,225,130,81.1%,76.4%,6.99,B+ (3.42),B (3.30)
54,"Perry, Michael William","BICD 130 - Embryos, Genes, & Development (A)",FA21,140,115,93.0%,94.8%,7.54,B+ (3.32),B (3.22)
55,"Kryazhimskiy, Sergey A",BICD 156 - Population Genetics (A),FA21,38,35,77.1%,80.0%,6.73,B+ (3.35),B+ (3.66)
