,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Butler, Shannon Rhey",BIEB 121 - Ecology Laboratory (A),SP23,31,12,90.9%,81.8%,2.14,A- (3.82),A- (3.94)
1,"Butler, Shannon Rhey",BIEB 121 - Ecology Laboratory (B),SP23,32,9,100.0%,87.5%,1.61,A (4.00),A- (3.85)
2,"Kurle, Carolyn M.",BIEB 130 - Marine Conservation Biology (A),SP23,262,117,99.1%,99.1%,3.61,A- (3.90),A- (3.93)
3,"Petrie, Katherine Lynn",BIEB 146 - Genome Diversity and Dynamics (A),SP23,395,306,95.0%,97.7%,4.51,B+ (3.66),B+ (3.44)
4,"Kryazhimskiy, Sergey A",BIEB 152 - Evol of Infectious Diseases (A),SP23,321,256,90.0%,85.1%,5.23,B+ (3.42),B+ (3.48)
5,"Stockwell, Sarah R",BIEB 154 - Evolutionary Inquiry (A),SP23,46,36,83.3%,91.7%,7.67,B (3.20),B- (2.87)
6,"Jackrel, Sara",BIEB 102 - Intro Eclgy/Organisms&Habitats (A),WI23,114,53,86.0%,72.0%,5.44,B (3.18),B- (2.93)
7,"Butler, Shannon Rhey",BIEB 121 - Ecology Laboratory (A),WI23,31,11,100.0%,100.0%,2.86,A- (3.82),A- (3.98)
8,"Stockwell, Sarah R",BIEB 123 - Molculr Mthd/Evol & Ecol Lab (A),WI23,36,26,100.0%,100.0%,2.88,B+ (3.69),B+ (3.63)
9,"Barton, Andrew David",BIEB 134 - Intro/Biological Oceanography (A),WI23,64,30,89.7%,79.3%,6.22,B- (2.93),B- (2.84)
10,"Shurin, Jonathan",BIEB 135 - Aquatic Ecology Lab (A),WI23,40,37,100.0%,100.0%,5.2,A- (3.76),B+ (3.52)
11,"Roy, Kaustuv",BIEB 140 - Biodiversity (A),WI23,128,50,95.6%,95.6%,4.46,B+ (3.63),B (3.22)
12,"Meyer, Justin Raymond",BIEB 152 - Evol of Infectious Diseases (A),WI23,247,118,88.8%,89.7%,4.81,B+ (3.53),B- (2.99)
13,"Rennison, Diana",BIEB 156 - Evolution and Society (A),WI23,48,33,93.9%,97.0%,5.23,B+ (3.47),B (3.00)
14,"Butler, Shannon Rhey",BIEB 102 - Intro Eclgy/Organisms&Habitats (A),FA22,228,149,91.9%,90.5%,4.23,B+ (3.66),B+ (3.67)
15,"Holway, David A.",BIEB 121 - Ecology Laboratory (A),FA22,32,12,100.0%,100.0%,5.17,B+ (3.58),A- (3.73)
16,"Kohn, Joshua R",BIEB 126 - Plant Ecology (A),FA22,139,46,95.7%,95.6%,3.74,B- (2.98),B- (2.77)
17,"Petrie, Katherine Lynn",BIEB 146 - Genome Diversity and Dynamics (A),FA22,326,245,96.3%,97.5%,4.95,B+ (3.63),B+ (3.65)
18,"Rennison, Diana",BIEB 150 - Evolution (A),FA22,184,126,98.4%,97.6%,5.23,B+ (3.56),B+ (3.45)
19,"Barton, Andrew David",BIEB 174 - Ecosystems and Global Change (A),FA22,206,73,81.2%,83.6%,6.05,B (3.12),B (3.04)
20,"Cleland, Elsa Eleanor",BIEB 174 - Ecosystems and Global Change (A),FA22,206,73,81.2%,97.1%,6.05,B (3.12),B (3.04)
21,"Wills, Christopher",BIEB 150 - Evolution (A),S222,48,20,80.0%,78.9%,6.7,B (3.00),B (3.06)
22,"Kurle, Carolyn M.",BIEB 194 - Adv Topics-EBE (B),S222,12,10,100.0%,100.0%,2.5,A (4.00),
23,"Butler, Shannon Rhey",BIEB 102 - Intro Eclgy/Organisms&Habitats (A),S122,185,129,100.0%,98.4%,5.45,B+ (3.63),B+ (3.66)
24,"Shurin, Jonathan",BIEB 136GS - Tropical Field Ecology (A),S122,18,10,90.0%,77.8%,4.5,A- (3.80),
25,"Shurin, Jonathan",BIEB 137GS - Sea Turtle Eco/Conservation (A),S122,18,9,87.5%,87.5%,4.5,A- (3.88),
26,"Butler, Shannon Rhey",BIEB 121 - Ecology Laboratory (A),SP22,32,21,100.0%,81.0%,3.64,A- (3.90),A- (3.86)
27,"Butler, Shannon Rhey",BIEB 121 - Ecology Laboratory (B),SP22,32,16,93.8%,87.5%,2.38,A (4.00),A- (3.93)
28,"Roy, Kaustuv",BIEB 140 - Biodiversity (A),SP22,134,64,93.7%,95.2%,4.69,B+ (3.38),B (3.10)
29,"Chao, Lin",BIEB 143 - Comp Modeling in Evol/Ecol (A),SP22,22,7,100.0%,83.3%,7.17,B (3.00),B- (2.90)
30,"Rifkin, Scott",BIEB 143 - Comp Modeling in Evol/Ecol (A),SP22,22,7,100.0%,100.0%,7.17,B (3.00),B- (2.90)
31,"Petrie, Katherine Lynn",BIEB 146 - Genome Diversity and Dynamics (A),SP22,357,263,96.5%,98.1%,5.53,B+ (3.69),B+ (3.67)
32,"Meyer, Justin Raymond",BIEB 152 - Evol of Infectious Diseases (A),SP22,407,195,98.4%,98.4%,4.64,B+ (3.62),B (3.23)
33,"Stockwell, Sarah R",BIEB 154 - Evolutionary Inquiry (A),SP22,40,28,89.3%,100.0%,5.91,B (3.23),C+ (2.43)
34,"Jackrel, Sara",BIEB 102 - Intro Eclgy/Organisms&Habitats (A),WI22,210,152,61.8%,49.3%,6.49,B (3.01),B- (2.78)
35,"Stockwell, Sarah R",BIEB 123 - Molculr Mthd/Evol & Ecol Lab (A),WI22,35,30,93.1%,93.1%,6.16,B+ (3.48),B+ (3.68)
36,"Holway, David A.",BIEB 128 - Insect Diversity (A),WI22,76,30,100.0%,100.0%,4.5,B+ (3.52),B (3.20)
37,"Kurle, Carolyn M.",BIEB 130 - Marine Conservation Biology (A),WI22,186,103,98.0%,98.0%,3.77,A- (3.71),A- (3.83)
38,"Barton, Andrew David",BIEB 134 - Intro/Biological Oceanography (A),WI22,64,27,100.0%,96.2%,6.35,B+ (3.65),B (3.18)
39,"Chao, Lin",BIEB 150 - Evolution (A),WI22,159,69,94.0%,97.0%,5.49,B+ (3.33),B (3.15)
40,"Nieh, James Charles",BIEB 166 - Animal Behavior&Communication (A),WI22,187,83,97.5%,100.0%,5.08,B+ (3.53),B+ (3.46)
