,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Farley, Emma Kristen",BIMM 100 - Molecular Biology (A),SP23,315,219,95.9%,98.6%,5.65,B+ (3.49),B (3.12)
1,"Wildonger, Jill Cathleen",BIMM 100 - Molecular Biology (B),SP23,309,218,98.6%,99.5%,5.04,B+ (3.57),B+ (3.40)
2,"McDonnell, Lisa Marie",BIMM 101 - Recombinant DNA Techniques (B),SP23,48,22,100.0%,100.0%,6.0,A- (3.80),B+ (3.68)
3,"Day, Christopher D",BIMM 101 - Recombinant DNA Techniques (C),SP23,90,41,84.6%,84.6%,6.35,B (3.23),B+ (3.34)
4,"Grossman, Emily N",BIMM 101 - Recombinant DNA Techniques (D),SP23,100,92,96.7%,98.9%,5.12,B+ (3.59),B+ (3.63)
5,"Niwa, Maho",BIMM 110 - Molecular Basis/Human Disease (A),SP23,88,38,84.2%,81.6%,6.92,B- (2.97),B (3.05)
6,"Pickett, Brooke Elizabeth",BIMM 121 - Microbiology Laboratory (A),SP23,48,44,100.0%,100.0%,5.45,A- (3.84),A- (3.83)
7,"Gustafson-Brown, Cindy",BIMM 121 - Microbiology Laboratory (B),SP23,93,85,81.2%,80.0%,6.55,B (3.18),B (3.28)
8,"Grant, Barry J",BIMM 143 - Bioinformatics Laboratory (A),SP23,42,16,100.0%,100.0%,4.63,A- (3.87),B+ (3.59)
9,"Bafna, Vineet",BIMM 182 - Biological Databases (A),SP23,47,15,86.7%,100.0%,9.83,B+ (3.47),B+ (3.34)
10,"Goldrath, Ananda",BIMM 194 - Adv Topics-Molecular Bio (A),SP23,28,9,75.0%,75.0%,3.25,A (4.00),A- (3.96)
11,"Russell, Alistair B",BIMM 194 - Adv Topics-Molecular Bio (C),SP23,22,10,100.0%,100.0%,1.83,A (4.00),A- (3.95)
12,"Kosuri, Pallav",BIMM 194 - Adv Topics-Molecular Bio (D),SP23,17,5,100.0%,100.0%,2.1,B+ (3.40),
13,"Lyumkis, Dmitry Evgenievich",BIMM 194 - Adv Topics-Molecular Bio (D),SP23,17,5,100.0%,100.0%,2.1,B+ (3.40),
14,"Hao, Nan",BIMM 100 - Molecular Biology (A),WI23,316,264,93.2%,93.5%,6.76,B (3.17),B- (2.78)
15,"Akbari, Omar Sultan",BIMM 100 - Molecular Biology (B),WI23,217,208,86.1%,84.6%,5.76,B (3.28),B (3.18)
16,"Meaders, Clara Leigh",BIMM 101 - Recombinant DNA Techniques (A),WI23,49,41,97.6%,97.6%,5.45,A- (3.73),A- (3.82)
17,"Tour, Ella",BIMM 101 - Recombinant DNA Techniques (B),WI23,44,24,100.0%,95.8%,5.28,B+ (3.65),B+ (3.58)
18,"Cooper, Andrew Michael",BIMM 101 - Recombinant DNA Techniques (C),WI23,84,74,93.2%,89.2%,8.09,B+ (3.30),B+ (3.46)
19,"Day, Christopher D",BIMM 101 - Recombinant DNA Techniques (D),WI23,49,22,80.0%,65.0%,7.0,B+ (3.50),B+ (3.51)
20,"Rusert, Jessica Marie",BIMM 101 - Recombinant DNA Techniques (E),WI23,46,28,92.9%,92.6%,5.5,B+ (3.41),B+ (3.39)
21,"Day, Christopher D",BIMM 110 - Molecular Basis/Human Disease (A),WI23,243,134,79.7%,70.9%,5.97,B+ (3.33),B+ (3.32)
22,"Kadonaga, James T",BIMM 112 - Regulatn/Eucarytc Gene Exp (A),WI23,120,66,92.2%,92.2%,5.9,B+ (3.50),B (3.18)
23,"Daugherty, Matthew Dorton",BIMM 114 - Virology (A),WI23,167,131,89.2%,93.8%,5.91,B (3.12),C+ (2.53)
24,"Golden, Susan S.",BIMM 116R - Circadian Rhythms-Bio Clocks (A),WI23,295,236,86.8%,90.6%,5.77,A- (3.71),B+ (3.54)
25,"Gorman, Michael R.",BIMM 116R - Circadian Rhythms-Bio Clocks (A),WI23,295,236,86.8%,93.1%,5.77,A- (3.71),B+ (3.54)
26,"Golden, James W",BIMM 120 - Microbiology (A),WI23,107,52,90.4%,88.5%,4.88,B+ (3.65),B (3.05)
27,"Petrie, Katherine Lynn",BIMM 121 - Microbiology Laboratory (A),WI23,49,42,100.0%,100.0%,4.8,A- (3.80),A- (3.89)
28,"Gustafson-Brown, Cindy",BIMM 121 - Microbiology Laboratory (B),WI23,50,47,85.1%,87.2%,6.93,B (3.17),B+ (3.48)
29,"Pirino, Giorgia",BIMM 121 - Microbiology Laboratory (C),WI23,96,54,86.5%,86.5%,6.31,B (3.25),B (3.09)
30,"Saier, Milton H.",BIMM 130 - Microbial Physiology (A),WI23,12,5,100.0%,100.0%,8.1,A (4.00),
31,"Burg, Michael",BIMM 134 - Biology of Cancer (A),WI23,390,348,96.2%,98.0%,6.24,B+ (3.49),B+ (3.32)
32,"Bozinovic, Goran",BIMM 143 - Bioinformatics Laboratory (A),WI23,39,21,95.2%,85.0%,5.2,B+ (3.40),B+ (3.42)
33,"Grant, Barry J",BIMM 143 - Bioinformatics Laboratory (B),WI23,36,16,100.0%,100.0%,4.63,A- (3.88),A- (3.77)
34,"Briggs, Steven",BIMM 172 - Genome Science (A),WI23,54,28,100.0%,100.0%,4.93,A- (3.82),A- (3.85)
35,"Pevzner, Pavel Arkadjevich",BIMM 181 - Molecular Sequence Analysis (A),WI23,47,30,75.9%,66.7%,16.78,B (3.15),B+ (3.55)
36,"Akbari, Omar Sultan",BIMM 194 - Adv Topics-Molecular Bio (A),WI23,13,12,91.7%,100.0%,2.33,A- (3.73),
37,"Murre, Cornelis",BIMM 194 - Adv Topics-Molecular Bio (B),WI23,18,6,100.0%,100.0%,2.83,A- (3.83),
38,"Hasty, Jeff M",BIMM 194 - Adv Topics-Molecular Bio (C),WI23,26,11,100.0%,100.0%,0.5,A (4.00),A (4.00)
39,"Pasquinelli, Amy",BIMM 100 - Molecular Biology (A),FA22,228,151,86.1%,88.7%,6.09,B (3.28),B- (2.76)
40,"Pruneda-Paz, Jose L.",BIMM 100 - Molecular Biology (B),FA22,312,123,94.3%,95.9%,6.0,B+ (3.56),B (3.22)
41,"Rusert, Jessica Marie",BIMM 101 - Recombinant DNA Techniques (A),FA22,89,35,85.7%,94.3%,7.09,B (3.15),B (3.19)
42,"Grossman, Emily N",BIMM 101 - Recombinant DNA Techniques (B),FA22,49,39,94.7%,97.4%,5.04,B+ (3.59),B+ (3.54)
43,"Day, Christopher D",BIMM 101 - Recombinant DNA Techniques (C),FA22,49,18,100.0%,94.1%,7.32,B+ (3.47),B+ (3.47)
44,"Cooper, Andrew Michael",BIMM 101 - Recombinant DNA Techniques (D),FA22,41,37,73.0%,75.7%,6.66,B (3.08),B- (2.93)
45,"McDonnell, Lisa Marie",BIMM 101 - Recombinant DNA Techniques (E),FA22,44,17,88.2%,100.0%,6.38,A- (3.82),A- (3.93)
