,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Reyes Gonzalez, Catalina",BIPN 100 - Human Physiology I (A),SP23,296,240,97.1%,96.7%,7.62,B (3.22),B- (2.94)
1,"Reyes Gonzalez, Catalina",BIPN 100 - Human Physiology I (B),SP23,280,227,96.0%,99.1%,7.28,B (3.30),B- (2.95)
2,"Armour, Jon Christopher",BIPN 105 - Human Physiology Lab (A),SP23,82,27,81.5%,92.6%,11.88,B (3.04),B- (2.96)
3,"Cooke, James Edward",BIPN 120 - Endocrinology (A),SP23,348,201,98.0%,99.0%,5.68,B+ (3.62),B+ (3.42)
4,"Owens, Melinda Tsao-Ying",BIPN 140 - Cellular Neurobiology (A),SP23,169,149,92.6%,94.0%,7.46,B+ (3.56),B+ (3.46)
5,"Zou, Yimin",BIPN 144 - Developmental Neurobiology (A),SP23,119,90,83.9%,87.4%,5.49,B+ (3.31),B (3.06)
6,"Marino, Marc J",BIPN 145 - Neurobiology Laboratory (B),SP23,43,30,96.7%,100.0%,7.97,B+ (3.47),B+ (3.69)
7,"Benna, Marcus K",BIPN 164 - Comp Models in Neuro (A),SP23,54,22,42.9%,71.4%,7.68,B (3.06),B- (2.94)
8,"Glasgow, Stacey Marie",BIPN 194 - Adv Topics-Phys/Neuro (A),SP23,19,9,100.0%,100.0%,3.83,A- (3.89),
9,"Jin, Yishi",BIPN 194 - Adv Topics-Phys/Neuro (B),SP23,17,10,100.0%,100.0%,4.72,A- (3.89),
10,"Meharena, Hiruy Sibhatu",BIPN 194 - Adv Topics-Phys/Neuro (C),SP23,17,11,100.0%,100.0%,5.41,A- (3.91),
11,"Leutgeb, Stefan",BIPN 194 - Adv Topics-Phys/Neuro (D),SP23,10,4,100.0%,100.0%,3.0,A (4.00),
12,"Bloodgood, Brenda Laurie",BIPN 100 - Human Physiology I (A),WI23,336,321,95.6%,96.3%,6.44,B+ (3.39),B (3.14)
13,"Cooke, James Edward",BIPN 100 - Human Physiology I (B),WI23,323,184,97.1%,97.7%,7.1,B+ (3.41),B- (2.81)
14,"Reyes Gonzalez, Catalina",BIPN 102 - Human Physiology II (A),WI23,157,144,95.0%,95.0%,7.2,B+ (3.46),B (3.14)
15,"Armour, Jon Christopher",BIPN 105 - Human Physiology Lab (A),WI23,80,40,81.6%,97.4%,12.66,B- (2.87),B- (2.92)
16,"Cooke, James Edward",BIPN 134 - Human Reproduction (A),WI23,357,221,98.6%,98.6%,6.36,B+ (3.55),B (3.18)
17,"Lovett-Barron, Matthew Rod",BIPN 140 - Cellular Neurobiology (A),WI23,103,79,88.6%,89.9%,5.72,B (3.09),C+ (2.62)
18,"Wang, Jing",BIPN 142 - Systems Neurobiology (A),WI23,62,44,86.0%,86.0%,7.64,B (3.08),B (3.21)
19,"Juavinett, Ashley Lauren",BIPN 145 - Neurobiology Laboratory (A),WI23,28,11,90.9%,100.0%,7.41,B+ (3.45),B+ (3.43)
20,"Marino, Marc J",BIPN 145 - Neurobiology Laboratory (B),WI23,36,21,95.2%,100.0%,7.36,B+ (3.60),B+ (3.60)
21,"Zou, Yimin",BIPN 150 - Diseases of the Nervous System (A),WI23,85,53,96.2%,96.2%,5.69,B+ (3.44),B+ (3.31)
22,"Lim, Byungkook",BIPN 154 - Neuro Stress & Mental Disorder (A),WI23,64,26,96.0%,96.0%,5.46,B+ (3.54),B (3.15)
23,"Root, Cory Matthew",BIPN 160 - Neuroanatomy (A),WI23,180,138,90.6%,89.1%,6.75,B+ (3.49),B+ (3.50)
24,"Benna, Marcus K",BIPN 162 - Neural Data Science (A),WI23,17,7,85.7%,71.4%,7.36,B (3.00),
25,"Banghart, Matthew Ryan",BIPN 194 - Adv Topics-Phys/Neuro (A),WI23,11,7,100.0%,100.0%,5.64,A- (3.86),
26,"Leutgeb, Jill K.",BIPN 194 - Adv Topics-Phys/Neuro (B),WI23,16,6,100.0%,100.0%,4.83,A (4.00),
27,"Ackerman, Susan",BIPN 194 - Adv Topics-Phys/Neuro (C),WI23,8,5,100.0%,100.0%,5.3,A- (3.80),
28,"Cooke, James Edward",BIPN 100 - Human Physiology I (A),FA22,326,140,94.2%,95.6%,7.86,B (3.24),C+ (2.48)
29,"Reyes Gonzalez, Catalina",BIPN 100 - Human Physiology I (B),FA22,307,230,90.0%,93.0%,7.85,B (3.07),B- (2.86)
30,"Reyes Gonzalez, Catalina",BIPN 102 - Human Physiology II (A),FA22,184,157,96.8%,98.7%,6.87,B+ (3.50),B (3.08)
