,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"French, Kathleen Ann",BISP 170 - Bioscholars Seminar (A),SP23,35,11,81.8%,72.7%,1.41,A- (3.73),B+ (3.55)
1,"Chisholm, Andrew D.",BISP 194 - Adv Topics in Modern Biology (A),SP23,22,10,100.0%,100.0%,2.5,A- (3.78),A (4.00)
2,"Estelle, Mark",BISP 194 - Adv Topics in Modern Biology (B),SP23,28,6,100.0%,100.0%,4.17,B+ (3.67),A- (3.78)
3,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (A),SP23,48,23,100.0%,100.0%,2.05,A (4.00),
4,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (B),SP23,43,15,93.3%,100.0%,1.03,B+ (3.67),
5,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (C),SP23,43,15,100.0%,100.0%,1.43,A (4.00),
6,"Yelon, Deborah",BISP 194 - Adv Topics in Modern Biology (A),WI23,27,15,100.0%,100.0%,2.93,A- (3.93),A (4.00)
7,"Newsam, John",BISP 194 - Adv Topics in Modern Biology (B),WI23,28,17,100.0%,100.0%,3.13,A- (3.87),A (4.00)
8,"Niwa, Maho",BISP 194 - Adv Topics in Modern Biology (C),WI23,24,12,100.0%,100.0%,1.9,A- (3.80),A (4.00)
9,"Smith, Laurie",BISP 194 - Adv Topics in Modern Biology (D),WI23,24,16,87.5%,93.8%,3.0,A- (3.94),A- (3.86)
10,"Rifkin, Scott",BISP 194 - Adv Topics in Modern Biology (E),WI23,18,5,100.0%,100.0%,3.7,A- (3.75),
11,"Lo, Stanley M.",BISP 195 - Instructional Apprentice: Biol (A),WI23,43,20,100.0%,100.0%,1.13,A (4.00),
12,"Lo, Stanley M.",BISP 195 - Instructional Apprentice: Biol (B),WI23,47,22,100.0%,100.0%,0.69,A (4.00),
13,"Lo, Stanley M.",BISP 195 - Instructional Apprentice: Biol (C),WI23,39,20,100.0%,100.0%,1.66,A (4.00),
14,"Wertheim, Joel Okrent",BISP 194 - Adv Topics in Modern Biology (A),FA22,26,12,100.0%,100.0%,3.0,A- (3.83),A- (3.79)
15,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (A),FA22,43,26,100.0%,100.0%,1.38,A (4.00),
16,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (B),FA22,50,18,100.0%,100.0%,0.94,A (4.00),
17,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (C),FA22,29,14,100.0%,100.0%,1.12,A (4.00),
18,"Reuther, Keefe",BISP 194 - Adv Topics in Modern Biology (A),S222,22,7,100.0%,100.0%,4.5,A (4.00),A- (3.89)
19,"French, Kathleen Ann",BISP 170 - Bioscholars Seminar (A),SP22,28,13,100.0%,92.3%,1.58,A (4.00),A- (3.79)
20,"Chisholm, Andrew D.",BISP 194 - Adv Topics in Modern Biology (A),SP22,13,5,100.0%,100.0%,2.5,B+ (3.40),
21,"Greenspan, Ralph J.",BISP 194 - Adv Topics in Modern Biology (B),SP22,19,12,91.7%,91.7%,2.5,B+ (3.42),
22,"Estelle, Mark",BISP 194 - Adv Topics in Modern Biology (C),SP22,19,8,100.0%,100.0%,2.25,A (4.00),
23,"Briggs, Steven",BISP 194 - Adv Topics in Modern Biology (D),SP22,21,11,100.0%,100.0%,3.59,A- (3.91),A- (3.70)
24,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (A),SP22,22,9,100.0%,100.0%,4.06,A (4.00),
25,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (B),SP22,43,14,100.0%,100.0%,1.5,A (4.00),
26,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (C),SP22,37,16,100.0%,100.0%,0.64,A (4.00),
27,"Newsam, John",BISP 194 - Adv Topics in Modern Biology (A),WI22,24,14,85.7%,85.7%,2.79,A (4.00),A (4.00)
28,"Niwa, Maho",BISP 194 - Adv Topics in Modern Biology (B),WI22,24,9,100.0%,88.9%,1.61,A (4.00),A- (3.98)
29,"Lo, Stanley M.",BISP 195 - Instructional Apprentice: Biol (A),WI22,50,30,96.7%,96.7%,1.17,A (4.00),
30,"Lo, Stanley M.",BISP 195 - Instructional Apprentice: Biol (B),WI22,52,29,93.1%,100.0%,1.53,A (4.00),
31,"Lo, Stanley M.",BISP 195 - Instructional Apprentice: Biol (C),WI22,29,17,100.0%,100.0%,0.97,A (4.00),
32,"Wertheim, Joel Okrent",BISP 194 - Adv Topics in Modern Biology (A),FA21,26,20,100.0%,100.0%,2.7,A- (3.90),A- (3.80)
33,"Yelon, Deborah",BISP 194 - Adv Topics in Modern Biology (B),FA21,24,11,100.0%,100.0%,2.1,A (4.00),A (4.00)
34,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (A),FA21,55,27,100.0%,100.0%,0.98,A (4.00),
35,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (B),FA21,50,24,100.0%,100.0%,0.86,A (4.00),
36,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (C),FA21,15,7,100.0%,100.0%,1.36,,
37,"French, Kathleen Ann",BISP 170 - Bioscholars Seminar (A),SP21,31,14,100.0%,92.9%,2.21,A (4.00),A- (3.78)
38,"Chisholm, Andrew D.",BISP 194 - Adv Topics in Modern Biology (A),SP21,18,6,100.0%,100.0%,3.5,B+ (3.33),
39,"Estelle, Mark",BISP 194 - Adv Topics in Modern Biology (B),SP21,30,16,100.0%,100.0%,2.5,A- (3.86),A- (3.90)
40,"Pogliano, Joseph",BISP 194 - Adv Topics in Modern Biology (C),SP21,13,5,100.0%,100.0%,1.3,A (4.00),
41,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (A),SP21,40,13,100.0%,100.0%,1.17,A (4.00),
42,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (B),SP21,37,18,88.9%,94.4%,2.17,A (4.00),
43,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (C),SP21,41,21,100.0%,100.0%,2.21,A (4.00),
44,"Newsam, John",BISP 194 - Adv Topics in Modern Biology (A),WI21,28,20,100.0%,100.0%,3.45,A- (3.78),A (4.00)
45,"Niwa, Maho",BISP 194 - Adv Topics in Modern Biology (B),WI21,23,16,100.0%,100.0%,2.25,A (4.00),A- (3.99)
46,"Lo, Stanley Malvin Ming-Hi",BISP 195 - Instructional Apprentice: Biol (A),WI21,44,32,96.8%,100.0%,1.53,A (4.00),
47,"Lo, Stanley Malvin Ming-Hi",BISP 195 - Instructional Apprentice: Biol (B),WI21,43,33,93.5%,96.8%,1.75,A (4.00),
48,"Lo, Stanley Malvin Ming-Hi",BISP 195 - Instructional Apprentice: Biol (C),WI21,34,20,100.0%,95.0%,1.8,A (4.00),
49,"Wertheim, Joel Okrent",BISP 194 - Adv Topics in Modern Biology (A),FA20,29,17,100.0%,100.0%,2.15,A- (3.94),B+ (3.60)
50,"Yelon, Deborah",BISP 194 - Adv Topics in Modern Biology (B),FA20,26,19,100.0%,100.0%,2.71,A (4.00),A- (3.95)
51,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (A),FA20,52,27,96.3%,100.0%,1.42,A (4.00),
52,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (B),FA20,40,26,96.2%,100.0%,1.94,A (4.00),
53,"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (C),FA20,26,12,100.0%,100.0%,0.5,A (4.00),
54,"French, Kathleen Ann",BISP 170 - Bioscholars Seminar (A),SP20,23,11,100.0%,100.0%,2.14,A- (3.90),A- (3.94)
55,"Smith, Laurie",BISP 194 - Adv Topics in Modern Biology (A),SP20,29,20,89.5%,89.5%,2.83,A- (3.81),A- (3.75)
56,"Greenspan, Ralph J.",BISP 194 - Adv Topics in Modern Biology (B),SP20,23,8,100.0%,100.0%,2.5,A (4.00),A- (3.85)
57,"Chisholm, Andrew D.",BISP 194 - Adv Topics in Modern Biology (C),SP20,16,8,100.0%,100.0%,4.75,A- (3.88),
58,"Estelle, Mark",BISP 194 - Adv Topics in Modern Biology (D),SP20,36,18,100.0%,100.0%,2.74,A- (3.94),A- (3.97)
59,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (A),SP20,45,18,93.8%,93.8%,1.25,A (4.00),
60,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (B),SP20,45,17,100.0%,100.0%,1.75,A (4.00),
61,"McDonnell, Lisa Marie",BISP 195 - Instructional Apprentice: Biol (C),SP20,11,5,100.0%,100.0%,1.3,,
62,"Yelon, Deborah",BISP 194 - Adv Topics in Modern Biology (A),WI20,22,14,100.0%,100.0%,2.93,A (4.00),A (4.00)
63,"Newsam, John",BISP 194 - Adv Topics in Modern Biology (B),WI20,26,21,95.2%,90.5%,2.79,A- (3.95),A (4.00)
64,"Muotri, Alysson",BISP 194 - Adv Topics in Modern Biology (C),WI20,18,11,100.0%,100.0%,2.14,A- (3.82),
65,"Niwa, Maho",BISP 194 - Adv Topics in Modern Biology (D),WI20,25,15,100.0%,93.3%,2.1,A (4.00),A (4.00)
