,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Prather, Kimberly A",CCS 102 - Research Persp/Climate Change (A),WI23,36,13,91.7%,81.8%,0.96,A- (3.92),A- (3.91)
1,"Gabriel, Corey John",CCS 123 - Policy\Politics Climate Change (A),WI23,21,8,100.0%,100.0%,2.79,A (4.00),B+ (3.64)
2,"Polonik, Pascal",CCS 101 - Carbon Neutrality at UC (A),FA22,34,14,100.0%,100.0%,1.5,A- (3.93),A- (3.74)
3,"Puritty, Chandler Elizabeth",CCS 101 - Carbon Neutrality at UC (A),WI22,34,11,90.9%,81.8%,0.68,A (4.00),A (4.00)
4,"Gabriel, Corey John",CCS 123 - Policy\Politics Climate Change (A),WI22,21,10,90.0%,90.0%,3.7,A (4.00),A (4.00)
5,"Puritty, Chandler Elizabeth",CCS 102 - Research Persp/Climate Change (A),FA21,29,14,76.9%,92.3%,0.64,A (4.00),A (4.00)
6,"Atkinson, Kai",CCS 101 - Carbon Neutrality at UC (A),WI21,29,14,100.0%,100.0%,2.36,A (4.00),A- (3.93)
7,"Gabriel, Corey John",CCS 123 - Policy\Politics Climate Change (A),WI21,14,4,100.0%,100.0%,2.0,A (4.00),
8,"Levin, Lisa Ann",CCS 102 - Research Persp/Climate Change (A),FA20,18,13,100.0%,100.0%,1.42,A (4.00),
9,"Atkinson, Kai",CCS 101 - Carbon Neutrality at UC (A),WI20,14,8,100.0%,100.0%,2.75,A- (3.86),
10,"Rodriguez, Angelica Rita",CCS 102 - Research Persp/Climate Change (A),FA19,23,7,100.0%,57.1%,1.93,B+ (3.67),B+ (3.64)
