,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Chen, Shaochen",CENG 101B - Heat Transfer (A),SP23,17,12,91.7%,91.7%,6.83,C+ (2.67),
1,"Opatkiewicz, Justin Paul",CENG 101C - Mass Transfer (A),SP23,46,39,97.4%,100.0%,8.19,B (3.10),B (3.10)
2,"Powell, Alyssa",CENG 101C - Mass Transfer (B),SP23,51,41,82.9%,95.1%,8.5,B (3.20),B (3.15)
3,"Drews, Aaron",CENG 113 - Chemical Reaction Engineering (A),SP23,120,106,86.8%,95.3%,9.59,B (3.18),B- (2.85)
4,"Powell, Alyssa",CENG 124B - Chem Plant & Process Design II (A),SP23,91,49,93.9%,98.0%,5.48,B+ (3.69),A- (3.88)
5,"Russ, Benjamin Edward",CENG 124B - Chem Plant & Process Design II (A),SP23,91,49,93.9%,98.0%,5.48,B+ (3.69),A- (3.88)
6,"Opatkiewicz, Justin Paul",CENG 157 - Process Tech in Semiconductor (A),SP23,52,27,96.2%,100.0%,5.12,B (3.15),B+ (3.35)
7,"Drews, Aaron",CENG 170 - Experimental Methods/ChemEng (A),SP23,29,18,94.1%,88.2%,6.38,B+ (3.59),B (3.24)
8,"Steinmetz, Nicole F",CENG 175 - NanoEngineering in Medicine (A),SP23,32,15,100.0%,100.0%,3.93,B+ (3.50),B+ (3.52)
9,"Zhang, Liangfang",CENG 176B - Chem Engineerng Process Lab II (A),SP23,48,18,100.0%,100.0%,6.72,A- (3.83),B+ (3.69)
10,"Shah, Nisarg",CENG 176B - Chem Engineerng Process Lab II (B),SP23,44,15,92.3%,100.0%,7.12,A- (3.77),A- (3.73)
11,"Opatkiewicz, Justin Paul",CENG 101A - Introductory Fluid Mechanics (A),WI23,31,27,84.6%,100.0%,11.22,B- (2.84),B (3.13)
12,"Liu, Ping",CENG 101B - Heat Transfer (A),WI23,77,41,84.6%,79.5%,8.5,B- (2.90),B (3.13)
13,"Powell, Alyssa",CENG 102 - Chemical Engin Thermodynamics (A),WI23,119,69,94.1%,97.1%,8.56,B (3.13),B (3.05)
14,"Lubarda, Vlado",CENG 114 - Prob and Stat Methods for Eng (A),WI23,93,76,89.3%,92.0%,4.5,B+ (3.66),B+ (3.47)
15,"Powell, Alyssa",CENG 124A - Chem Plant & Process Design I (A),WI23,49,30,96.7%,100.0%,6.5,B+ (3.47),B+ (3.63)
16,"Russ, Benjamin Edward",CENG 124A - Chem Plant & Process Design I (B),WI23,42,30,86.7%,93.3%,6.1,B+ (3.33),A- (3.73)
17,"Pokorski, Jonathan Kyle",CENG 134 - Polymeric Materials (A),WI23,45,21,100.0%,95.2%,5.45,B (3.00),B- (2.97)
18,"Drews, Aaron",CENG 15 - Engin. Comp Using MATLAB (A),WI23,25,12,83.3%,83.3%,5.33,A- (3.75),B- (2.88)
19,"Zhang, Liangfang",CENG 176A - Chem Engineerng Process Lab I (A),WI23,48,27,100.0%,100.0%,9.04,B+ (3.54),B+ (3.35)
20,"Opatkiewicz, Justin Paul",CENG 176A - Chem Engineerng Process Lab I (B),WI23,44,22,100.0%,100.0%,8.32,A- (3.73),B+ (3.43)
21,"Drews, Aaron",CENG 4 - Experience Chemical Eng (A),WI23,12,7,100.0%,100.0%,1.36,A (4.00),
22,"Chen, Zheng",CENG 100 - Material and Energy Balances (A),FA22,119,50,95.9%,95.8%,6.98,B+ (3.30),B- (2.88)
23,"Bae, Jinhye",CENG 101A - Introductory Fluid Mechanics (A),FA22,133,99,63.3%,77.6%,10.88,B (3.08),B (3.19)
