,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Hankins, Joseph D.",CGS 100B - Conceptualizing Gndr: Methods (A),SP23,29,14,100.0%,100.0%,3.27,A- (3.77),A- (3.79)
1,"Martin Sandino, Amanda Maria Yoland",CGS 112 - Sexuality & Nation (A),SP23,34,15,100.0%,100.0%,3.21,B+ (3.64),B+ (3.54)
2,"Katz, Hazel",CGS 118 - Gender and Incarceration (A),SP23,26,16,100.0%,100.0%,3.38,A (4.00),A- (3.90)
3,"Martin Sandino, Amanda Maria Yoland",CGS 137 - Latina Issues & Cultural Prod. (A),SP23,21,13,100.0%,100.0%,3.88,A (4.00),A- (3.85)
4,"Hankins, Joseph D.",CGS 87 - First-year Seminar (A),SP23,13,6,100.0%,100.0%,0.83,A (4.00),
5,"Whitley, Leila Marie",CGS 105 - Queer Theory (A),WI23,61,34,97.1%,97.1%,4.09,B+ (3.48),B+ (3.55)
6,"Walkiewicz, Kathryn A","CGS 108 - Gender, Race, & Artificial Int (A)",WI23,17,10,100.0%,100.0%,5.5,A- (3.78),
7,"Werner, Bradley T.",CGS 110 - Struggles for Environ. Justice (A),WI23,15,6,100.0%,100.0%,5.83,A (4.00),
8,"Martin Sandino, Amanda Maria Yoland",CGS 111 - Gender and the Body (A),WI23,44,22,100.0%,100.0%,2.77,A- (3.73),B+ (3.69)
9,"Martin Sandino, Amanda Maria Yoland",CGS 113 - Gender & Sexuality in the Arts (A),WI23,33,16,100.0%,93.8%,3.38,A- (3.94),A- (3.98)
10,"Hankins, Joseph D.",CGS 120 - Capitalism & Gender (A),WI23,23,10,100.0%,100.0%,3.7,B+ (3.67),B+ (3.61)
11,"Whitley, Leila Marie",CGS 123 - Gender & Reproductive Politics (A),WI23,20,9,100.0%,100.0%,2.72,A (4.00),A- (3.70)
12,"Martin Sandino, Amanda Maria Yoland",CGS 125 - Women of Color Writers (A),WI23,17,8,100.0%,100.0%,3.75,A (4.00),
13,"Whitley, Leila Marie",CGS 2B - Intro/CGS:Social Formations (A),WI23,49,25,96.0%,100.0%,4.42,B+ (3.64),B+ (3.59)
14,"Hankins, Joseph D.",CGS 87 - First-year Seminar (A),WI23,14,6,100.0%,100.0%,1.83,A (4.00),
15,"Perez, Roy",CGS 100A - Conceptualizing Gndr: Theories (A),FA22,34,14,100.0%,100.0%,4.21,B+ (3.69),
16,"Whitley, Leila Marie",CGS 101 - Gender & Globalization (A),FA22,31,11,100.0%,100.0%,4.9,B+ (3.40),B+ (3.56)
17,"Whitley, Leila Marie",CGS 106 - Gender & the Law (A),FA22,39,17,100.0%,100.0%,4.15,A- (3.81),A (4.00)
18,"Nguyen, Hoang Tan",CGS 119 - Asian American Film and Media (A),FA22,29,13,100.0%,100.0%,4.17,B+ (3.58),A (4.00)
19,"Martin Sandino, Amanda Maria Yoland",CGS 121 - Topics:Critical Gender Studies (B),FA22,10,9,100.0%,100.0%,3.83,A (4.00),
20,"Whitley, Leila Marie",CGS 127 - Feminist Border Studies (A),FA22,17,5,100.0%,100.0%,6.5,A (4.00),
21,"Martin Sandino, Amanda Maria Yoland",CGS 130 - Queer Performativity (B),FA22,19,17,100.0%,100.0%,3.09,A- (3.94),
22,"Beardsley, Steven Thomas",CGS 187 - Latinx Sexualities (A),FA22,18,6,100.0%,100.0%,4.83,A- (3.83),
23,"Martin Sandino, Amanda Maria Yoland","CGS 2A - Intro/CGS: Key Terms, Concepts (A)",FA22,98,63,96.8%,96.8%,3.36,A- (3.80),B+ (3.50)
24,"Huang, Ningning",CGS 105 - Queer Theory (A),S222,33,13,92.3%,84.6%,4.35,A- (3.85),B+ (3.54)
25,"Murray, Katherine Chelsea",CGS 106 - Gender & the Law (A),S222,13,5,100.0%,100.0%,6.5,A (4.00),
26,"Beardsley, Steven Thomas",CGS 119 - Asian American Film and Media (A),S222,10,8,100.0%,100.0%,4.5,A (4.00),
27,"Halajian, Shoghig Maggie",CGS 120 - Capitalism & Gender (A),S222,17,4,75.0%,100.0%,3.0,A (4.00),
28,"Doermann, Hannah Friederike",CGS 112 - Sexuality & Nation (A),S122,8,3,100.0%,100.0%,4.5,B+ (3.67),
29,"Cuong, Marisol","CGS 114 - Gender,Race,Ethnicity & Class (A)",S122,14,3,100.0%,100.0%,1.5,A (4.00),
30,"Gushiken, Gregory Seiichi Pom","CGS 2A - Intro/CGS: Key Terms, Concepts (A)",S122,28,7,100.0%,100.0%,2.5,A (4.00),A (4.00)
31,"Whitley, Leila Marie",CGS 100B - Conceptualizing Gndr: Methods (A),SP22,28,12,100.0%,100.0%,4.33,A (4.00),A- (3.80)
32,"Martin Sandino, Amanda Maria Yoland",CGS 112 - Sexuality & Nation (A),SP22,29,19,100.0%,100.0%,3.03,A- (3.94),A- (3.98)
33,"Shelby, Karen Lee","CGS 114 - Gender,Race,Ethnicity & Class (A)",SP22,22,5,100.0%,100.0%,4.1,B+ (3.50),B+ (3.52)
34,"Gavin, Camila Andrea",CGS 137 - Latina Issues & Cultural Prod. (A),SP22,18,6,100.0%,100.0%,2.83,A (4.00),
35,"Whitley, Leila Marie",CGS 2B - Intro/CGS:Social Formations (A),SP22,48,26,100.0%,100.0%,3.5,A- (3.96),A- (3.73)
36,"Whitley, Leila Marie",CGS 105 - Queer Theory (A),WI22,53,23,100.0%,100.0%,3.8,A- (3.75),A- (3.73)
37,"Werner, Bradley T.",CGS 110 - Struggles for Environ. Justice (A),WI22,13,6,100.0%,100.0%,6.5,A- (3.83),
38,"Martin Sandino, Amanda Maria Yoland",CGS 111 - Gender and the Body (A),WI22,51,30,83.3%,82.8%,4.57,A- (3.86),B+ (3.56)
39,"Hankins, Joseph D.",CGS 118 - Gender and Incarceration (A),WI22,24,8,87.5%,100.0%,4.5,A- (3.75),B+ (3.52)
40,"Martin Sandino, Amanda Maria Yoland",CGS 121 - Topics:Critical Gender Studies (A),WI22,21,11,100.0%,100.0%,4.68,A- (3.89),A- (3.71)
41,"Whitley, Leila Marie",CGS 121 - Topics:Critical Gender Studies (B),WI22,9,5,100.0%,100.0%,3.7,A- (3.80),
42,"Middleton, Kianna",CGS 147 - Black Feminisms Past & Pres (A),WI22,16,3,100.0%,100.0%,3.83,A (4.00),
43,"Perez, Roy",CGS 100A - Conceptualizing Gndr: Theories (A),FA21,30,9,100.0%,100.0%,3.39,A- (3.78),B+ (3.57)
44,"Shelby, Karen Lee",CGS 101 - Gender & Globalization (A),FA21,32,25,87.0%,100.0%,5.25,B+ (3.30),B- (2.99)
45,"Martin Sandino, Amanda Maria Yoland",CGS 113 - Gender & Sexuality in the Arts (A),FA21,38,15,100.0%,100.0%,3.83,A- (3.85),B+ (3.41)
46,"Nguyen, Hoang Tan",CGS 119 - Asian American Film and Media (A),FA21,20,12,90.0%,90.0%,4.7,B+ (3.63),A- (3.93)
47,"Whitley, Leila Marie",CGS 121 - Topics:Critical Gender Studies (A),FA21,7,4,100.0%,100.0%,2.5,A- (3.75),
48,"Whitley, Leila Marie",CGS 123 - Gender & Reproductive Politics (A),FA21,20,9,100.0%,100.0%,3.17,A (4.00),A- (3.93)
49,"Perez, Roy",CGS 187 - Latinx Sexualities (A),FA21,11,3,100.0%,100.0%,5.83,B+ (3.50),
50,"Martin Sandino, Amanda Maria Yoland","CGS 2A - Intro/CGS: Key Terms, Concepts (A)",FA21,104,71,94.4%,95.8%,4.58,A- (3.71),B+ (3.57)
51,"Mendelsohn, Asa Lipman",CGS 105 - Queer Theory (A),S121,25,5,100.0%,100.0%,4.5,A (4.00),A- (3.88)
52,"Patel, Shaista",CGS 112 - Sexuality & Nation (A),S121,14,5,100.0%,100.0%,5.3,A (4.00),
53,"Huang, Ningning","CGS 2A - Intro/CGS: Key Terms, Concepts (A)",S121,25,12,100.0%,91.7%,4.17,A- (3.73),A- (3.81)
54,"Whitley, Leila Marie",CGS 100B - Conceptualizing Gndr: Methods (A),SP21,29,10,90.0%,90.0%,3.7,A (4.00),A- (3.82)
