,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Li, Shaowei",CHEM 100A - Analytical Chemistry Lab (A),SP23,102,41,66.7%,69.4%,10.56,B (3.24),B+ (3.35)
1,"Pomeroy, Robert S.",CHEM 100B - Instrumental Chemistry Lab (A),SP23,30,13,83.3%,83.3%,8.96,B (3.23),B (3.03)
2,"Sinha, Amitabha",CHEM 105A - Physical Chemistry Laboratory (A),SP23,17,6,20.0%,80.0%,8.9,B (3.00),
3,"Sinha, Amitabha",CHEM 105A - Physical Chemistry Laboratory (B),SP23,37,11,72.7%,90.9%,9.41,B- (2.91),B- (2.87)
4,"Jennings, Patricia A.",CHEM 108 - Protein Biochemistry Lab (A),SP23,48,16,81.3%,56.3%,7.5,B+ (3.31),B+ (3.61)
5,"Jennings, Patricia A.",CHEM 108 - Protein Biochemistry Lab (B),SP23,42,17,58.8%,50.0%,6.38,B+ (3.65),B+ (3.57)
6,"Muller, Ulrich K.",CHEM 109 - Recombinant DNA Laboratory (A),SP23,47,17,82.4%,64.7%,8.03,B+ (3.67),A- (3.73)
7,"Muller, Ulrich K.",CHEM 109 - Recombinant DNA Laboratory (B),SP23,44,13,91.7%,91.7%,7.73,B+ (3.69),B+ (3.48)
8,"Mrse, Anthony Adrian",CHEM 11 - The Periodic Table (A),SP23,237,84,82.7%,87.5%,4.65,B (3.14),C+ (2.64)
9,"Thiemens, Mark H",CHEM 111 - Origins of Life & the Universe (A),SP23,96,34,83.3%,96.6%,4.3,B+ (3.59),B (3.25)
10,"Mishanina, Tatiana V",CHEM 114B - Biochem Energetics&Metabolism (A),SP23,80,49,87.8%,100.0%,8.83,B (3.06),B (3.01)
11,"Donoghue, Daniel J.",CHEM 118 - Pharmacology and Toxicology (A),SP23,236,76,94.4%,85.9%,5.2,B+ (3.56),B (3.17)
12,"Joseph, Simpson",CHEM 119 - RNA Biochemistry (A),SP23,29,13,91.7%,100.0%,7.58,B+ (3.31),B (3.07)
13,"Rinehart, Jeffrey Dennis",CHEM 120B - Inorganic Chemistry II (A),SP23,99,29,80.8%,80.8%,5.04,B+ (3.42),B- (2.84)
14,"Kim, Judy E.",CHEM 126B - Phys Biochem: Quantum Mech (A),SP23,97,31,83.3%,90.0%,10.11,B (3.00),B- (2.89)
15,"Xiong, Wei",CHEM 132 - Chem Physics: Stat Thermo II (A),SP23,85,27,64.0%,95.8%,7.22,B (3.00),B- (2.78)
16,"Xiong, Wei",CHEM 135 - Molecular Spectroscopy (A),SP23,6,3,66.7%,100.0%,11.83,B+ (3.33),
17,"Weizman, Haim",CHEM 143B - Organic Chemistry Lab II (A),SP23,28,12,75.0%,100.0%,6.32,B- (2.82),B (3.24)
18,"Romero, Erik Anthony",CHEM 156 - Struct&Properties/Organc Molec (A),SP23,17,10,88.9%,100.0%,5.61,B- (2.88),
19,"Burkart, Michael D",CHEM 157 - Bioorganic & Natural Prod Chem (A),SP23,56,38,73.0%,86.5%,5.99,B (3.09),B- (2.94)
20,"Herzik, Mark Anthony",CHEM 165 - 3D Elctron Microscopy/Macromol (A),SP23,21,7,85.7%,100.0%,3.93,B+ (3.43),A- (3.72)
21,"Deshmukh, Lalit",CHEM 167 - Medicinal Chemistry (A),SP23,137,78,90.9%,90.9%,5.49,B (3.24),B (3.05)
22,"Young, Mark",CHEM 173 - Atmospheric Chemistry (A),SP23,34,12,83.3%,75.0%,4.5,B (3.27),B (3.20)
23,"Pomeroy, Robert S.",CHEM 174 - Chem Prin of Marine Systems (A),SP23,38,8,100.0%,100.0%,3.75,B+ (3.38),B (3.05)
24,"Albizati, Kim F.",CHEM 40A - Organic Chemistry I (A),SP23,278,102,87.6%,96.9%,7.71,B- (2.96),C+ (2.66)
