,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Chen, Pei-Chia",CHIN 100CN - Third Yr Chinese/Non-NativeIII (A),SP23,18,9,100.0%,100.0%,3.61,A- (3.83),
1,"Liu, Mingming",CHIN 10CD - First Yr Chinese/Dialect III (A),SP23,21,19,100.0%,100.0%,5.24,B+ (3.67),A- (3.91)
2,"Liu, Mingming",CHIN 10CD - First Yr Chinese/Dialect III (B),SP23,13,11,90.9%,100.0%,4.5,A- (3.71),
3,"Chen, Pei-Chia",CHIN 10CM - First Yr Chinese/Mandarin III (A),SP23,30,14,100.0%,100.0%,5.79,A (4.00),A- (3.73)
4,"Xu, Li",CHIN 10CN - First Yr Chinese/Non-NativeIII (A),SP23,25,12,100.0%,100.0%,4.5,A- (3.90),A- (3.73)
5,"Xu, Li",CHIN 10CN - First Yr Chinese/Non-NativeIII (B),SP23,24,12,100.0%,100.0%,5.33,B (3.00),B+ (3.44)
6,"Wang, Xiao",CHIN 169B - Medical Chinese II (A),SP23,14,11,90.9%,100.0%,3.59,A (4.00),
7,"Xu, Li",CHIN 185B - Readngs/Chinese Cult & Society (A),SP23,7,4,100.0%,100.0%,2.5,A (4.00),
8,"Wang, Xiao",CHIN 20CD - Second Yr Chinese-Dialect III (A),SP23,21,16,100.0%,100.0%,3.5,B+ (3.69),A- (3.78)
9,"Anderson, Qin-Hong",CHIN 20CN - Second Yr Chinese/NonNativeIII (A),SP23,13,12,100.0%,100.0%,3.95,A (4.00),
10,"Anderson, Qin-Hong",CHIN 20CN - Second Yr Chinese/NonNativeIII (B),SP23,14,12,100.0%,100.0%,4.0,A- (3.75),
11,"Anderson, Qin-Hong",CHIN 100BM - Third Yr Chinese/Heritage SpII (A),WI23,14,14,100.0%,100.0%,4.36,A- (3.77),
12,"Chen, Pei-Chia",CHIN 100BN - Third Yr Chinese/Non-Native II (A),WI23,20,10,100.0%,100.0%,4.28,A- (3.71),B+ (3.68)
13,"Liu, Mingming",CHIN 10BD - First Yr Chinese/Dialect Sp II (A),WI23,20,19,100.0%,100.0%,5.97,A- (3.76),A- (3.75)
14,"Liu, Mingming",CHIN 10BD - First Yr Chinese/Dialect Sp II (B),WI23,13,12,100.0%,100.0%,7.17,A- (3.70),
15,"Chen, Pei-Chia",CHIN 10BM - First Yr Chinese/Mandarin II (A),WI23,26,12,100.0%,100.0%,6.0,B+ (3.63),A- (3.76)
16,"Xu, Li",CHIN 10BN - First Yr Chinese/Non-Native II (A),WI23,29,15,100.0%,100.0%,5.07,B+ (3.64),B- (2.97)
17,"Xu, Li",CHIN 10BN - First Yr Chinese/Non-Native II (B),WI23,26,9,100.0%,100.0%,4.28,B+ (3.50),B (3.16)
18,"Wang, Xiao",CHIN 169A - Medical Chinese I (A),WI23,18,14,100.0%,100.0%,3.58,A- (3.80),
19,"Liu, Mingming",CHIN 182A - Intro/Classical Chinese-Adv I (A),WI23,17,13,100.0%,100.0%,4.5,A- (3.73),
20,"Wang, Xiao",CHIN 20BD - Second Yr Chinese-Dialect SpII (A),WI23,16,14,92.9%,92.3%,4.65,A- (3.78),
21,"Wang, Xiao",CHIN 20BD - Second Yr Chinese-Dialect SpII (B),WI23,14,10,100.0%,100.0%,3.5,A- (3.88),
22,"Anderson, Qin-Hong",CHIN 20BN - Second Yr Chinese/Non-NativeII (A),WI23,18,17,100.0%,100.0%,3.38,A (4.00),
23,"Anderson, Qin-Hong",CHIN 20BN - Second Yr Chinese/Non-NativeII (B),WI23,17,15,100.0%,100.0%,4.5,B+ (3.69),
24,"Anderson, Qin-Hong",CHIN 100AM - Third Yr Chinese/Heritage SpkI (A),FA22,16,15,100.0%,100.0%,3.7,A- (3.90),
25,"Chen, Pei-Chia",CHIN 100AN - Third Yr Chinese/Non-Native I (A),FA22,22,10,100.0%,100.0%,5.5,A- (3.75),B+ (3.54)
26,"Liu, Mingming",CHIN 10AD - First Yr Chinese/Dialect Spk I (A),FA22,22,17,100.0%,100.0%,5.56,A- (3.71),B+ (3.67)
27,"Liu, Mingming",CHIN 10AD - First Yr Chinese/Dialect Spk I (B),FA22,15,10,100.0%,100.0%,6.7,B+ (3.63),
28,"Chen, Pei-Chia",CHIN 10AM - First Yr Chinese/Mandarin I (A),FA22,25,6,100.0%,83.3%,3.83,B+ (3.67),B+ (3.70)
29,"Xu, Li",CHIN 10AN - First Yr Chinese/Non-Native I (A),FA22,27,14,100.0%,100.0%,4.65,B (3.25),B (3.29)
30,"Xu, Li",CHIN 10AN - First Yr Chinese/Non-Native I (B),FA22,13,4,100.0%,100.0%,6.0,B+ (3.67),
31,"Xu, Li",CHIN 10AN - First Yr Chinese/Non-Native I (C),FA22,25,10,100.0%,100.0%,6.3,B+ (3.38),B+ (3.46)
32,"Liu, Mingming",CHIN 185A - Readngs/Chinese Cult & Society (A),FA22,14,13,100.0%,100.0%,6.0,A- (3.75),
