,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Barrera, Steven James",COGS 1 - Introduction to Cognitive Sci (A),SP23,463,170,96.3%,99.4%,3.37,A- (3.73),B+ (3.53)
1,"Simpkins, Charles Alexander",COGS 100 - Cyborgs Now and in the Future (A),SP23,340,96,85.9%,87.0%,2.52,A- (3.87),A- (3.96)
2,"Morgan, Eric",COGS 101A - Sensation and Perception (A),SP23,128,74,94.4%,88.7%,4.03,A- (3.70),B (3.13)
3,"Barrera, Steven James","COGS 101B - Learning, Memory and Attention (A)",SP23,290,96,98.9%,98.9%,4.01,A- (3.72),B+ (3.56)
4,"Rangel, Lara M",COGS 107A - Neuroanatomy and Physiology (A),SP23,338,115,77.6%,93.4%,5.73,B+ (3.35),B (3.29)
5,"Chiba, Andrea",COGS 107C - Cognitive Neuroscience (A),SP23,212,51,89.8%,95.9%,3.96,A- (3.83),A- (3.74)
6,"Fleischer, Jason G",COGS 108 - Data Science in Practice (A),SP23,431,283,95.7%,96.4%,5.11,A- (3.85),A- (3.78)
7,"Mukamel, Eran A",COGS 109 - Modeling & Data Analysis (A),SP23,137,75,94.6%,87.8%,6.36,B+ (3.59),B+ (3.33)
8,"Hoffman, Drew Ellen",COGS 112 - Humor (A),SP23,187,60,98.2%,100.0%,3.05,A- (3.81),A- (3.81)
9,"Fleischer, Jason G",COGS 118A - Supvr/Mach Learning Algorithms (A),SP23,158,79,81.6%,73.3%,7.32,B (3.15),B (3.19)
10,"Rill, Bryan","COGS 12 - Language, Culture & Cognition (B)",SP23,42,9,66.7%,77.8%,3.61,A- (3.75),B (3.28)
11,"Guo, Philip J",COGS 121 - HCI Portfolio Design Studio (A),SP23,121,29,96.4%,96.4%,5.04,A- (3.88),A- (3.72)
12,"Dow, Steven P",COGS 122 - Startup Studio (A),SP23,59,26,92.3%,96.0%,7.14,A- (3.72),B+ (3.66)
13,"Klemmer, Scott R",COGS 125 - Advanced Interaction Design (A),SP23,31,4,66.7%,33.3%,1.17,A (4.00),B+ (3.52)
14,"Rossano, Federico",COGS 13 - Fld Methods: Cognition in Wild (A),SP23,290,75,97.2%,98.6%,3.68,A- (3.82),B+ (3.65)
15,"Simpkins, Charles Alexander",COGS 138 - Neural Data Science (A),SP23,39,9,55.6%,55.6%,3.5,A (4.00),A (4.00)
16,"Rossano, Federico",COGS 142 - Animal Communication (A),SP23,48,14,100.0%,100.0%,2.79,B+ (3.64),A- (3.75)
17,"Rossano, Federico",COGS 144 - Social Cognition (A),SP23,49,14,85.7%,92.9%,2.79,B+ (3.64),B+ (3.36)
18,"Trott, Sean Thomas",COGS 14A - Intro. to Research Methods (A),SP23,297,97,94.8%,99.0%,3.71,B+ (3.65),B+ (3.60)
19,"Hoffman, Drew Ellen",COGS 14B - Intro. to Statistical Analysis (A),SP23,196,89,97.7%,95.3%,3.25,A- (3.83),A- (3.76)
20,"Cooperrider, Kensy A",COGS 155 - Gesture and Cognition (A),SP23,53,18,100.0%,100.0%,3.39,A- (3.72),B+ (3.43)
21,"Chiba, Andrea",COGS 164 - Neurobiology of Motivation (A),SP23,138,35,85.3%,91.2%,3.95,A- (3.82),A- (3.94)
22,"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),SP23,356,118,93.0%,94.7%,4.73,B+ (3.69),B+ (3.42)
