,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Fattal, Alexander Leor",COMM 10 - Introduction to Communication (A),SP23,176,74,76.1%,76.1%,4.47,B+ (3.62),B+ (3.43)
1,"Kidman, Shawna F","COMM 100C - Comm, Institutions & Power (A)",SP23,254,134,88.3%,86.6%,3.84,B+ (3.59),B (3.12)
2,"Halm, Gavin Patrick",COMM 101 - Intro Audio-Vis Media Practice (A),SP23,66,26,100.0%,100.0%,2.98,A- (3.96),A (4.00)
3,"Ahn, Patricia Jeehyun",COMM 101A - Media Activism (A),SP23,21,7,100.0%,100.0%,5.36,A (4.00),A (4.00)
4,"Martinico, Daniel J",COMM 101K - MPL: Documentary Sketchbook (A),SP23,18,8,100.0%,100.0%,5.5,A- (3.75),
5,"Davis, Zeinabu I.",COMM 102M - MMPP: Studio/TV (A),SP23,25,9,100.0%,100.0%,5.17,A- (3.89),A- (3.94)
6,"Whitworth-Smith, Andrew C",COMM 106F - CI: The Film Industry (A),SP23,48,37,97.3%,97.3%,3.69,A- (3.81),B+ (3.53)
7,"Serlin, David",COMM 107 - Visual Culture (A),SP23,40,23,91.3%,87.0%,5.89,B+ (3.41),B (3.08)
8,"Jack, Caroline Sarah",COMM 109D - MC: Advertising & Society (A),SP23,87,35,90.0%,93.3%,5.27,A- (3.71),B (3.27)
9,"Jack, Caroline Sarah",COMM 109P - MC: Propaganda and Persuasion (A),SP23,49,22,73.7%,73.7%,4.92,B+ (3.42),B- (2.90)
10,"Vangelisti, Nicoletta Maria",COMM 113T - Intm Topics in Communication (A),SP23,46,20,89.5%,94.7%,4.18,A- (3.94),A- (3.80)
11,"McKenna, Denise",COMM 113T - Intm Topics in Communication (B),SP23,32,6,100.0%,100.0%,5.83,A (4.00),A- (3.85)
12,"Horwitz, Robert B","COMM 114F - CSI: Law,Comm&Freedm of Exprsn (A)",SP23,22,5,100.0%,100.0%,8.9,B (3.00),B- (2.80)
13,"Lauria, Rita Marie",COMM 114M - CSI: Communication and the Law (A),SP23,21,8,50.0%,62.5%,5.75,B+ (3.63),B (3.11)
14,"Metcalf, Kathryne Young",COMM 114T - CSI: Science Communication (A),SP23,38,32,96.9%,100.0%,4.25,A- (3.84),B+ (3.62)
15,"Walkover, Lillian B",COMM 114W - CSI: GlobalHealthCommunication (A),SP23,17,12,83.3%,91.7%,6.33,B+ (3.67),
16,"Tanaka, Stefan A.",COMM 126 - Children and Media (A),SP23,42,15,66.7%,60.0%,6.23,B (3.27),B (3.09)
17,"Fattal, Alexander Leor",COMM 140 - Cinema in Latin America (A),SP23,23,5,20.0%,20.0%,5.3,B (3.20),B+ (3.30)
18,"Halm, Gavin Patrick",COMM 146 - Adv Studies-Cultural Prductn (A),SP23,49,17,100.0%,94.1%,4.15,A- (3.82),A- (3.78)
19,"Fields, Gary",COMM 156 - Media and Conflict Environment (A),SP23,32,7,100.0%,100.0%,3.36,A- (3.71),B+ (3.39)
20,"Whitworth-Smith, Andrew C",COMM 160 - Poli Economy-Internatl Comm (A),SP23,36,33,93.5%,93.5%,6.5,A- (3.88),A- (3.82)
21,"Staschus, Sophie",COMM 163 - Concepts of Freedom (A),SP23,25,4,100.0%,100.0%,5.0,A (4.00),B (3.26)
22,"Dominguez Rubio, Fernando",COMM 164 - Invisible Geog Power&Inequal (A),SP23,25,11,100.0%,100.0%,4.1,B+ (3.60),B (3.17)
23,"Alac, Morana",COMM 173 - Interaction with Technology (A),SP23,30,10,100.0%,100.0%,6.06,A- (3.90),B+ (3.48)
24,"Alac, Morana",COMM 174 - Comm & Social Machines (A),SP23,29,9,88.9%,100.0%,4.5,A (4.00),B+ (3.65)
25,"Boateng, Boatema",COMM 190 - Junior Seminar in Comm (A),SP23,24,7,57.1%,57.1%,5.07,A- (3.71),B (3.08)
26,"Gates, Kelly",COMM 190 - Junior Seminar in Comm (B),SP23,24,7,100.0%,100.0%,3.83,B+ (3.67),B+ (3.70)
27,"Campbell, Robert Harold",COMM 80 - UCSD Speech & Debate (A),SP23,63,15,100.0%,100.0%,4.77,,
28,"Alac, Morana",COMM 10 - Introduction to Communication (A),WI23,225,101,76.8%,63.6%,3.08,A- (3.79),B+ (3.55)
29,"Serlin, David","COMM 100B - Comm, Culture & Representation (A)",WI23,252,93,84.8%,84.4%,4.76,B+ (3.61),B+ (3.64)
30,"Martinico, Daniel J",COMM 101 - Intro Audio-Vis Media Practice (A),WI23,65,29,100.0%,96.6%,6.78,A- (3.97),A- (3.75)
31,"Davis, Zeinabu I.",COMM 101K - MPL: Documentary Sketchbook (A),WI23,18,4,100.0%,100.0%,6.5,A (4.00),
32,"Martinico, Daniel J",COMM 101N - MPL:Sound Prductn & Manipulatn (A),WI23,18,8,100.0%,100.0%,4.75,A- (3.88),
33,"Halm, Gavin Patrick",COMM 101T - Media Prod Lab: Topics in Prod (A),WI23,25,5,100.0%,100.0%,1.83,A (4.00),A (4.00)
34,"Peacher, Amanda M",COMM 102B - MMPP: AudioStory&PodcastPract (A),WI23,15,6,100.0%,100.0%,7.17,A- (3.83),
35,"Hallin, Daniel C",COMM 104G - CMS: Latin America & Caribbean (A),WI23,33,7,100.0%,100.0%,4.79,B+ (3.50),B+ (3.37)
36,"Tanaka, Stefan A.",COMM 106C - CI: History thru Comics-Japan (A),WI23,28,7,71.4%,71.4%,5.93,B (3.14),B+ (3.31)
37,"Geiger, Richard Stuart",COMM 106D - CI: Data and Culture (A),WI23,41,31,100.0%,100.0%,5.79,A- (3.90),A- (3.90)
38,"Irani, Lilly C",COMM 106I - CI: Internet Industry (A),WI23,103,30,100.0%,100.0%,4.1,A- (3.83),A- (3.82)
39,"Dewaard, Andrew Michael","COMM 106T - CI: TV, Culture & the Public (A)",WI23,71,45,88.6%,93.2%,5.23,B+ (3.40),B+ (3.31)
