,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Sahoo, Debashis",CSE 100 - Advanced Data Structures (A),SP23,192,80,95.9%,79.7%,7.87,B+ (3.65),B+ (3.37)
1,"Sahoo, Debashis",CSE 100R - Advanced Data Structures (A),SP23,245,80,94.6%,71.2%,8.39,B+ (3.58),B+ (3.49)
2,"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (A),SP23,469,157,92.2%,94.8%,8.8,B+ (3.43),B+ (3.43)
3,"Micciancio, Daniele",CSE 107 - Intro to Modern Cryptography (A),SP23,82,23,71.4%,71.4%,7.74,B (3.19),C+ (2.36)
4,"Shang, Jingbo",CSE 109 - Intro to Programming Contests (A),SP23,30,18,100.0%,100.0%,3.61,A (4.00),
5,"Cao, Yingjun",CSE 11 - Accel. Intro to Programming (A),SP23,126,43,100.0%,97.6%,8.6,B+ (3.47),B (3.11)
6,"Powell, Thomas Allan",CSE 110 - Software Engineering (A),SP23,291,88,67.9%,67.5%,7.94,A- (3.70),B+ (3.41)
7,"Miranda, Gregory Joseph",CSE 110 - Software Engineering (B),SP23,97,61,81.7%,95.0%,9.4,B+ (3.48),B+ (3.38)
8,"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (A),SP23,253,93,96.7%,96.7%,7.9,B+ (3.61),B+ (3.33)
9,"Zhang, Yiying",CSE 120 - Princ/Computer Operating Systm (A),SP23,169,67,77.4%,77.4%,11.53,B+ (3.33),B (3.18)
10,"Shalev, Aaron D",CSE 123 - Computer Networks (A),SP23,59,16,100.0%,100.0%,12.23,B (3.00),C+ (2.56)
11,"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP23,36,10,100.0%,100.0%,9.17,A- (3.88),A (4.00)
12,"Fernandes, Earlence T",CSE 127 - Intro to Computer Security (A),SP23,182,47,83.7%,76.7%,8.78,B (3.22),B (3.04)
13,"Polikarpova, Nadezhda",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SP23,174,55,92.6%,94.4%,8.12,A- (3.79),B+ (3.53)
14,"Deutsch, Alin Bernard",CSE 132B - Database System Applications (A),SP23,53,13,92.3%,92.3%,8.96,B+ (3.54),A- (3.71)
15,"Kumar, Arun Kumar",CSE 132C - Database System Implementation (A),SP23,36,28,92.9%,92.9%,8.79,B+ (3.48),B- (2.81)
16,"Powell, Thomas Allan",CSE 135 - Online Database Analytics Appl (A),SP23,124,31,93.3%,93.3%,11.6,B+ (3.32),B (3.22)
17,"Chin, Bryan W.",CSE 140 - Component&Desgn Tech/Digtl Sys (A),SP23,234,124,86.9%,91.8%,7.85,B+ (3.39),B- (2.93)
18,"Eldon, John",CSE 140L - Digital Systems Laboratory (A),SP23,231,69,78.3%,85.5%,6.8,A- (3.70),B+ (3.47)
19,"Eldon, John",CSE 141L - Project/Computer Architecture (A),SP23,174,57,80.4%,92.0%,7.65,B+ (3.46),B+ (3.37)
20,"Gupta, Rajesh K.",CSE 143 - Microelectronic System Design (A),SP23,24,7,85.7%,100.0%,5.64,B (3.20),B+ (3.31)
21,"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP23,17,7,85.7%,100.0%,7.64,B+ (3.33),
22,"Gao, Sicun",CSE 150B - AI: Search and Reasoning (A),SP23,337,93,97.7%,97.7%,7.19,A- (3.72),B+ (3.64)
23,"Shang, Jingbo",CSE 151A - Intro to Machine Learning (A),SP23,188,102,94.1%,90.1%,5.88,A- (3.74),A- (3.72)
24,"Yu, Qi",CSE 151B - Deep Learning (A),SP23,215,156,76.5%,70.4%,9.23,B+ (3.57),B+ (3.63)
25,"Chandraker, Manmohan Krishna",CSE 152B - Intro to Comp Vision II (A),SP23,52,32,90.6%,90.6%,8.19,B+ (3.69),B+ (3.58)
26,"Schulze, Jurgen P.",CSE 165 - 3D User Interaction (A),SP23,30,4,100.0%,100.0%,14.5,A (4.00),A- (3.82)
27,"Weibel, Nadir",CSE 165 - 3D User Interaction (A),SP23,30,4,100.0%,66.7%,14.5,A (4.00),A- (3.82)
28,"Li, Tzumao",CSE 168 - Computer Graphics II:Rendering (A),SP23,40,13,100.0%,100.0%,11.42,B+ (3.60),B+ (3.62)
29,"Kumar, Rakesh",CSE 175 - Entrepreneurship for Engineers (A),SP23,47,35,91.4%,85.7%,4.96,A- (3.80),B (3.27)
30,"Bafna, Vineet",CSE 182 - Biological Databases (A),SP23,20,10,88.9%,100.0%,7.0,B+ (3.63),A- (3.72)
31,"Gymrek, Melissa Ann",CSE 185 - Advanced Bioinformatics Lab (A),SP23,104,59,98.3%,100.0%,8.29,A- (3.89),A- (3.75)
32,"Soosai Raj, Adalbert Geral",CSE 190 - Top/Computer Sci & Engineering (A),SP23,48,33,96.8%,100.0%,5.6,A- (3.97),A- (3.91)
33,"Reeis, Yaniv",CSE 191 - Semnr/Computer Sci & Engineer (A),SP23,12,8,100.0%,100.0%,2.25,A (4.00),
34,"Lerner, Ian Amihay",CSE 191 - Semnr/Computer Sci & Engineer (B),SP23,20,5,80.0%,100.0%,2.5,A (4.00),A (4.00)
35,"Chandraker, Manmohan Krishna",CSE 198 - Direct Group Study (0),SP23,5,4,100.0%,100.0%,9.5,,
36,"Elsherif, May Elhussein",CSE 198 - Direct Group Study (0),SP23,49,14,90.9%,90.9%,6.5,A- (3.83),
37,"Soosai Raj, Adalbert Geral",CSE 198 - Direct Group Study (0),SP23,22,7,100.0%,100.0%,4.17,A (4.00),
38,"Briones, Jor-el Thomas Caparas",CSE 20 - Discrete Mathematics (A),SP23,279,187,88.6%,89.7%,7.25,B+ (3.42),B+ (3.52)
39,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),SP23,283,140,90.8%,92.4%,6.95,B+ (3.51),B (3.22)
40,"Porter, Leonard Emerson",CSE 30 - Computer Organiz&Systms Progrm (A),SP23,181,137,73.5%,64.9%,12.17,B (3.16),B- (2.78)
41,"Porter, Leonard Emerson",CSE 30 - Computer Organiz&Systms Progrm (B),SP23,182,139,79.0%,79.6%,11.6,B (3.22),B- (2.86)
42,"Chin, Bryan W.",CSE 30 - Computer Organiz&Systms Progrm (C),SP23,126,79,84.6%,87.2%,11.34,B (3.23),C+ (2.48)
43,"Moshiri, Alexander Niema",CSE 6R - Intr/CompSci&Obj-Ori:Python (A),SP23,134,93,89.0%,97.8%,6.06,B (3.25),B (3.19)
44,"Cottrell, Garrison W",CSE 87 - First-year Seminar (A),SP23,13,8,100.0%,100.0%,0.5,A (4.00),
45,"Moshiri, Alexander Niema",CSE 87 - First-year Seminar (B),SP23,20,7,100.0%,100.0%,0.79,,
46,"Elsherif, May Elhussein",CSE 8A - Intro to Programming 1 (A),SP23,190,78,80.5%,80.5%,6.22,B+ (3.49),B- (2.91)
47,"Cao, Yingjun",CSE 95 - Tutor Apprentice (A),SP23,37,10,100.0%,100.0%,1.5,A (4.00),
48,"Moshiri, Alexander Niema",CSE 100 - Advanced Data Structures (A),WI23,188,133,97.0%,98.5%,7.82,B+ (3.60),B+ (3.36)
49,"Moshiri, Alexander Niema",CSE 100R - Advanced Data Structures (A),WI23,315,250,98.8%,98.4%,7.87,B+ (3.68),B+ (3.47)
50,"Kane, Daniel Mertz",CSE 101 - Design & Analysis of Algorithm (A),WI23,425,169,86.7%,88.3%,12.24,B (3.10),B (3.08)
51,"Jones, Miles E",CSE 105 - Theory of Computation (A),WI23,340,142,84.2%,94.9%,8.51,B+ (3.49),B (3.25)
52,"Bellare, Mihir",CSE 107 - Intro to Modern Cryptography (A),WI23,56,11,90.9%,90.9%,6.14,A- (3.70),B- (2.76)
53,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (A),WI23,287,107,91.3%,87.3%,8.54,B+ (3.63),B+ (3.41)
54,"Griswold, William G.",CSE 110 - Software Engineering (A),WI23,214,149,62.6%,57.1%,12.35,B+ (3.53),B+ (3.33)
55,"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (A),WI23,230,181,97.2%,93.9%,8.03,A- (3.71),B+ (3.60)
56,"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (B),WI23,341,285,97.9%,95.0%,7.73,A- (3.74),A- (3.73)
57,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI23,188,64,84.7%,87.9%,11.74,B (3.02),B (3.01)
58,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI23,145,52,89.6%,93.8%,11.1,B (3.20),B (3.08)
59,"Shalev, Aaron D",CSE 123 - Computer Networks (A),WI23,90,27,76.9%,96.2%,13.24,B (3.25),C+ (2.68)
60,"Heninger, Nadia A",CSE 127 - Intro to Computer Security (A),WI23,176,60,89.5%,86.0%,9.36,B+ (3.33),B (3.28)
61,"Borkowski, Michael Humes",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),WI23,82,69,76.5%,80.6%,8.26,B (3.18),B (3.19)
62,"Vianu, Victor Dan",CSE 132A - Database System Principles (A),WI23,187,67,78.8%,77.3%,7.24,B (3.26),B- (2.71)
63,"Powell, Thomas Allan",CSE 134B - Web Client Languages (A),WI23,181,54,88.5%,86.3%,8.81,B+ (3.32),B (3.10)
64,"Eldon, John",CSE 140 - Component&Desgn Tech/Digtl Sys (A),WI23,135,86,69.8%,82.6%,7.23,B (3.30),B (3.09)
65,"Chin, Bryan W.",CSE 140L - Digital Systems Laboratory (A),WI23,139,110,72.7%,88.2%,12.39,B+ (3.51),B+ (3.45)
66,"Tullsen, Dean Michael",CSE 141 - Intro/Computer Architecture (A),WI23,174,119,86.3%,83.8%,7.72,B- (2.98),B- (2.90)
67,"Eldon, John",CSE 141L - Project/Computer Architecture (A),WI23,170,51,87.2%,95.7%,7.43,B+ (3.37),B (3.29)
68,"Dasgupta, Sanjoy",CSE 151A - Intro to Machine Learning (A),WI23,137,46,95.5%,100.0%,8.55,B+ (3.49),B (3.22)
69,"Dasgupta, Sanjoy",CSE 151A - Intro to Machine Learning (B),WI23,132,41,97.3%,97.3%,8.5,A- (3.74),B (3.25)
70,"Chandraker, Manmohan Krishna",CSE 152A - Intro to Comp Vision I (A),WI23,138,102,96.1%,96.1%,9.6,B+ (3.46),B+ (3.51)
71,"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (A),WI23,236,153,93.3%,93.2%,3.79,A- (3.87),A- (3.77)
72,"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (B),WI23,322,209,98.0%,97.5%,3.84,A- (3.92),A- (3.80)
73,"Kastner, Ryan Charles",CSE 160 - Intro to Parallel Computing (A),WI23,147,93,95.6%,97.8%,7.02,B+ (3.53),B+ (3.37)
74,"Ochoa, Benjamin Lawrence",CSE 166 - Image Processing (A),WI23,58,22,81.8%,81.8%,8.68,B- (2.95),B- (2.70)
75,"Ramamoorthi, Ravi",CSE 167 - Computer Graphics (A),WI23,128,69,87.0%,88.4%,9.41,B+ (3.50),B (3.22)
76,"Rotenberg, Steven Paul",CSE 169 - Computer Animation (A),WI23,42,17,94.1%,94.1%,9.68,B+ (3.56),B (3.14)
77,"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),WI23,20,15,93.3%,93.3%,14.77,B+ (3.67),B+ (3.62)
78,"Bandeira, Nuno Filipe Cabrita",CSE 190 - Top/Computer Sci & Engineering (A),WI23,28,12,91.7%,100.0%,6.68,B+ (3.36),B- (2.78)
79,"Coblenz, Michael J",CSE 198 - Direct Group Study (0),WI23,3,3,100.0%,100.0%,5.17,A (4.00),
80,"Elsherif, May Elhussein",CSE 198 - Direct Group Study (0),WI23,46,18,100.0%,93.3%,7.32,A (4.00),
81,"Soosai Raj, Adalbert Geral",CSE 198 - Direct Group Study (0),WI23,18,9,87.5%,100.0%,3.5,A (4.00),
82,"Jones, Miles E",CSE 20 - Discrete Mathematics (A),WI23,281,144,89.2%,92.1%,6.8,B+ (3.63),B (3.24)
83,"Briones, Jor-el Thomas Caparas",CSE 21 - Math/Algorithm&Systems Analys (A),WI23,261,191,93.2%,89.4%,7.51,B+ (3.58),B+ (3.69)
84,"Soosai Raj, Adalbert Geral",CSE 30 - Computer Organiz&Systms Progrm (A),WI23,167,151,95.3%,95.2%,9.59,B+ (3.44),B (3.09)
85,"Soosai Raj, Adalbert Geral",CSE 30 - Computer Organiz&Systms Progrm (B),WI23,194,178,95.5%,98.9%,10.24,B+ (3.39),B (3.05)
86,"Cottrell, Garrison W",CSE 87 - First-year Seminar (A),WI23,18,7,100.0%,85.7%,0.5,A (4.00),
87,"Elsherif, May Elhussein",CSE 8A - Intro to Programming 1 (A),WI23,195,63,88.7%,91.4%,6.82,B+ (3.55),B (3.24)
88,"Miranda, Gregory Joseph",CSE 8B - Intro to Programming 2 (A),WI23,343,148,86.5%,70.3%,6.98,B+ (3.53),B+ (3.41)
89,"Minnes Kemp, Mor Mia",CSE 90 - Undergraduate Seminar (A),WI23,34,20,100.0%,100.0%,0.94,A (4.00),
90,"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (A),WI23,17,9,100.0%,100.0%,0.72,,
91,"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (B),WI23,9,4,100.0%,100.0%,5.5,A (4.00),
92,"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (C),WI23,16,5,100.0%,100.0%,0.5,A (4.00),
93,"Minnes Kemp, Mor Mia",CSE 95 - Tutor Apprentice (A),WI23,19,11,100.0%,100.0%,1.1,A (4.00),
94,"Minnes Kemp, Mor Mia",CSE 95 - Tutor Apprentice (B),WI23,13,3,100.0%,100.0%,1.83,,
95,"Moshiri, Alexander Niema",CSE 100 - Advanced Data Structures (A),FA22,190,141,98.6%,99.3%,7.91,B+ (3.64),B+ (3.38)
96,"Moshiri, Alexander Niema",CSE 100R - Advanced Data Structures (A),FA22,258,184,99.5%,98.9%,8.47,B+ (3.63),B+ (3.52)
97,"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (A),FA22,377,107,78.0%,98.0%,9.72,B (3.14),B (3.22)
98,"Saha, Barna",CSE 101 - Design & Analysis of Algorithm (A),FA22,377,107,78.0%,69.7%,9.72,B (3.14),B (3.22)
