,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Mignozzetti, Umberto",CSS 100 - Advanced Programming: CSS (A),SP23,48,28,75.0%,67.9%,5.07,A- (3.75),A- (3.82)
1,"Mignozzetti, Umberto",CSS 1 - Prog Computational Social Sci (A),WI23,118,61,93.0%,91.1%,5.02,B+ (3.38),B+ (3.56)
2,"Trott, Sean Thomas",CSS 2 - Data/Model Programming: CSS (A),WI23,35,16,100.0%,100.0%,3.88,A- (3.94),B+ (3.61)
3,"Trott, Sean Thomas",CSS 1 - Prog Computational Social Sci (A),FA22,117,36,91.4%,100.0%,5.76,B+ (3.59),B+ (3.48)
4,"Kudrin, Nikolay",CSS 1 - Prog Computational Social Sci (A),S222,54,17,93.8%,93.3%,4.5,B+ (3.67),B (3.23)
5,"Kudrin, Nikolay",CSS 1 - Prog Computational Social Sci (A),S122,47,7,66.7%,66.7%,6.5,B+ (3.40),B (3.29)
6,"Brockbank, Erik",CSS 2 - Data/Model Programming: CSS (A),SP22,28,14,100.0%,100.0%,7.64,A- (3.85),B+ (3.51)
7,"Serences, John Thomas",CSS 1 - Prog Computational Social Sci (A),WI22,111,46,93.3%,100.0%,4.94,B+ (3.67),B (3.15)
8,"Samavat, Mohammad",CSS 100 - Advanced Programming: CSS (A),FA21,29,15,38.5%,30.8%,3.79,B+ (3.62),A- (3.80)
9,"Vul, Edward",CSS 1 - Prog Computational Social Sci (A),S221,34,14,84.6%,92.3%,7.73,B+ (3.33),B- (2.84)
10,"Vul, Edward",CSS 2 - Data/Model Programming: CSS (A),S221,14,5,100.0%,100.0%,7.83,B+ (3.67),
11,"Vul, Edward",CSS 1 - Prog Computational Social Sci (A),S121,40,13,66.7%,75.0%,7.17,B- (2.83),B+ (3.37)
12,"Swan, Garrett Preston",CSS 2 - Data/Model Programming: CSS (A),SP21,30,24,100.0%,95.8%,6.5,B+ (3.68),A- (3.85)
13,"Serences, John Thomas",CSS 1 - Prog Computational Social Sci (A),WI21,114,56,76.4%,89.1%,7.61,B+ (3.58),B+ (3.48)
14,"Xuan, Xinyang",CSS 100 - Advanced Programming: CSS (A),FA20,40,34,79.4%,78.8%,6.85,B (3.24),B+ (3.30)
15,"Swan, Garrett Preston",CSS 2 - Data/Model Programming: CSS (A),S220,11,8,100.0%,100.0%,8.0,A- (3.75),
16,"Swan, Garrett Preston",CSS 2 - Data/Model Programming: CSS (A),SP20,42,31,100.0%,100.0%,5.63,A- (3.86),A- (3.93)
17,"Serences, John Thomas",CSS 1 - Prog Computational Social Sci (A),WI20,96,48,91.7%,97.9%,4.79,B (3.24),B+ (3.31)
