,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (A),SP23,23,9,100.0%,100.0%,8.06,A- (3.71),A- (3.86)
1,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (B),SP23,22,5,80.0%,100.0%,6.1,B+ (3.50),B (3.18)
2,"Solomon, Amanda Lee Albaniel",DOC 3 - Imagination (A),SP23,251,230,87.4%,90.4%,3.74,A- (3.90),A- (3.84)
3,"Johnston, Emily Ronay",DOC 3 - Imagination (B),SP23,238,217,77.4%,92.6%,3.34,A- (3.88),A- (3.78)
4,"Strom, Megan C.",DOC 3 - Imagination (C),SP23,249,229,68.1%,66.1%,3.87,A- (3.86),A- (3.72)
5,"Strom, Megan C.",DOC 3 - Imagination (D),SP23,250,217,64.4%,66.7%,3.29,A- (3.83),B+ (3.56)
6,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (A),WI23,21,7,100.0%,100.0%,7.07,A- (3.83),B+ (3.34)
7,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (B),WI23,24,7,83.3%,100.0%,8.5,B (3.25),B+ (3.40)
8,"Johnston, Emily Ronay",DOC 2 - Justice (A),WI23,251,214,84.8%,95.2%,3.48,A- (3.91),A- (3.83)
9,"Solomon, Amanda Lee Albaniel",DOC 2 - Justice (B),WI23,251,221,89.0%,97.7%,3.88,A- (3.94),A- (3.92)
10,"Strom, Megan C.",DOC 2 - Justice (C),WI23,233,219,85.0%,93.4%,4.19,A- (3.93),A- (3.84)
11,"Strom, Megan C.",DOC 2 - Justice (D),WI23,247,220,84.3%,94.0%,3.68,A- (3.86),A- (3.74)
12,"Solomon, Amanda Lee Albaniel",DOC 1 - Diversity (A),FA22,269,254,90.9%,98.8%,3.87,A- (3.83),A (4.00)
13,"Solomon, Amanda Lee Albaniel",DOC 1 - Diversity (B),FA22,250,227,92.4%,98.7%,4.0,A- (3.88),A (4.00)
14,"Strom, Megan C.",DOC 1 - Diversity (C),FA22,248,222,87.8%,91.8%,3.88,A- (3.83),A (4.00)
15,"Strom, Megan C.",DOC 1 - Diversity (D),FA22,234,216,82.3%,91.5%,3.66,A- (3.88),A (4.00)
16,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (B),FA22,26,11,72.7%,90.9%,8.5,A- (3.80),B+ (3.57)
17,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (C),FA22,23,11,100.0%,100.0%,10.14,B+ (3.64),B+ (3.43)
18,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (A),SP22,18,17,94.1%,94.1%,6.74,B+ (3.50),
19,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (B),SP22,15,13,84.6%,100.0%,7.42,A- (3.77),
20,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (C),SP22,12,10,90.0%,90.0%,9.3,B+ (3.44),
21,"Solomon, Amanda Lee Albaniel",DOC 3 - Imagination (A),SP22,271,246,88.4%,95.0%,5.51,A- (3.86),A- (3.84)
22,"Solomon, Amanda Lee Albaniel",DOC 3 - Imagination (B),SP22,273,254,88.5%,92.1%,5.32,A- (3.85),A- (3.85)
23,"Strom, Megan C.",DOC 3 - Imagination (C),SP22,241,218,91.2%,98.1%,5.22,A- (3.85),A- (3.79)
24,"Strom, Megan C.",DOC 3 - Imagination (D),SP22,244,220,89.1%,96.3%,5.53,A- (3.85),A- (3.82)
25,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (A),WI22,16,7,42.9%,57.1%,11.64,B (3.14),
26,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (B),WI22,13,5,80.0%,80.0%,11.3,B+ (3.60),
27,"Pass, Natalye Joann",DOC 100D - Promises&Contradictions/USCult (C),WI22,15,4,75.0%,75.0%,14.5,A- (3.75),
28,"Johnston, Emily Ronay",DOC 2 - Justice (A),WI22,277,259,91.8%,99.6%,6.39,A- (3.86),A- (3.82)
29,"Solomon, Amanda Lee Albaniel",DOC 2 - Justice (B),WI22,272,251,92.8%,99.2%,5.98,A- (3.88),A- (3.85)
30,"Strom, Megan C.",DOC 2 - Justice (C),WI22,241,224,86.1%,97.8%,5.97,A- (3.83),A- (3.71)
31,"Strom, Megan C.",DOC 2 - Justice (D),WI22,245,217,90.8%,99.1%,6.21,A- (3.84),A- (3.74)
32,"Johnston, Emily Ronay",DOC 1 - Diversity (A),FA21,268,213,92.8%,98.5%,6.55,A- (3.77),A- (3.71)
33,"Solomon, Amanda Lee Albaniel",DOC 1 - Diversity (B),FA21,275,236,93.1%,99.1%,5.61,A- (3.89),A- (3.81)
34,"Strom, Megan C.",DOC 1 - Diversity (C),FA21,248,210,89.9%,97.6%,5.89,A- (3.81),A- (3.70)
