,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Klemmer, Scott R",DSGN 1 - Design of Everyday Things (A),SP23,146,43,52.6%,29.7%,3.03,A- (3.81),B+ (3.51)
1,"Hollan, James D.",DSGN 1 - Design of Everyday Things (B),SP23,146,44,86.0%,76.7%,5.06,B+ (3.60),B+ (3.49)
2,"Park, Kyong Dong",DSGN 119 - Design at Large (A),SP23,81,17,86.7%,93.3%,0.5,A (4.00),
3,"Aronoff-Spencer, Eliah Sea",DSGN 160 - Special Topics in Design (A),SP23,20,10,100.0%,100.0%,6.5,A (4.00),A- (3.96)
4,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),WI23,160,64,93.5%,98.4%,5.36,A- (3.71),B+ (3.64)
5,"Klemmer, Scott R",DSGN 1 - Design of Everyday Things (B),WI23,37,14,75.0%,41.7%,4.65,B+ (3.60),B+ (3.54)
6,"Rill, Bryan",DSGN 100 - Prototyping (A),WI23,95,23,75.0%,65.0%,8.31,B+ (3.38),B+ (3.61)
7,"Xia, Haijun",DSGN 118 - Dsgn Creativity/Productivity (A),WI23,38,27,96.3%,96.3%,5.02,A- (3.74),B+ (3.56)
8,"Dow, Steven P",DSGN 119 - Design at Large (A),WI23,102,32,100.0%,100.0%,0.91,A (4.00),
9,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),FA22,169,75,98.6%,98.6%,5.32,A- (3.75),A- (3.79)
10,"Dow, Steven P",DSGN 100 - Prototyping (A),FA22,100,51,92.0%,88.0%,6.62,A- (3.80),B+ (3.60)
11,"Xia, Haijun",DSGN 118 - Dsgn Creativity/Productivity (A),FA22,34,20,95.0%,90.0%,5.6,A- (3.95),B+ (3.55)
12,"Cartwright, Lisa",DSGN 119 - Design at Large (A),FA22,92,28,92.3%,100.0%,1.73,A (4.00),
13,"Klemmer, Scott R",DSGN 1 - Design of Everyday Things (A),SP22,137,49,42.9%,20.4%,2.79,A- (3.79),B+ (3.61)
14,"Popovic, Kevin",DSGN 100 - Prototyping (A),SP22,88,32,93.5%,80.6%,6.05,A- (3.77),B+ (3.47)
15,"Nguyen, Mai Thi",DSGN 119 - Design at Large (A),SP22,72,27,100.0%,100.0%,0.72,A (4.00),
16,"Shvartzberg Carrio, Manuel",DSGN 160 - Special Topics in Design (A),SP22,7,7,100.0%,100.0%,5.93,B+ (3.50),
17,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),WI22,168,72,94.3%,95.7%,5.93,A- (3.86),B+ (3.68)
18,"Popovic, Kevin",DSGN 100 - Prototyping (A),WI22,121,101,85.0%,51.0%,5.74,A- (3.73),B+ (3.67)
19,"Cartwright, Lisa",DSGN 119 - Design at Large (A),WI22,57,28,96.3%,92.6%,1.02,A (4.00),
20,"Norman, Donald A.",DSGN 160 - Special Topics in Design (A),WI22,24,12,100.0%,100.0%,5.0,A (4.00),A- (3.85)
21,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),FA21,161,70,94.0%,97.0%,4.85,A- (3.87),B+ (3.68)
22,"Xia, Haijun",DSGN 100 - Prototyping (A),FA21,79,68,98.5%,98.5%,6.97,A- (3.72),A- (3.80)
23,"Xia, Haijun",DSGN 118 - Dsgn Creativity/Productivity (A),FA21,58,51,92.0%,95.9%,5.99,B+ (3.67),A- (3.74)
24,"Fox, Patrick Keolu Ozer",DSGN 119 - Design at Large (A),FA21,48,18,68.8%,62.5%,1.0,A (4.00),
25,"Rill, Bryan",DSGN 100 - Prototyping (A),S221,16,9,88.9%,88.9%,9.61,A- (3.78),
26,"Dow, Steven P",DSGN 100 - Prototyping (A),SP21,115,70,100.0%,97.1%,6.81,B+ (3.65),B+ (3.58)
27,"Eikey, Elizabeth Victoria",DSGN 119 - Design at Large (A),SP21,73,43,97.6%,100.0%,2.15,A (4.00),
28,"Wang, Edward Jay",DSGN 119 - Design at Large (A),SP21,73,43,97.6%,100.0%,2.15,A (4.00),
29,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),WI21,153,68,91.2%,98.5%,6.24,B+ (3.68),A- (3.88)
30,"Scott, Taylor Jackson",DSGN 100 - Prototyping (A),WI21,95,79,100.0%,97.4%,5.88,A- (3.83),A- (3.96)
31,"Eikey, Elizabeth Victoria",DSGN 119 - Design at Large (A),WI21,56,23,86.4%,100.0%,1.5,B+ (3.67),
32,"Wang, Edward Jay",DSGN 119 - Design at Large (A),WI21,56,23,86.4%,100.0%,1.5,B+ (3.67),
33,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),FA20,160,65,92.2%,95.3%,5.81,A- (3.77),A- (3.81)
34,"Xia, Haijun",DSGN 100 - Prototyping (A),FA20,84,71,97.2%,95.8%,7.47,A- (3.74),A- (3.72)
35,"Wang, Edward Jay",DSGN 119 - Design at Large (A),FA20,44,19,100.0%,94.7%,1.97,A (4.00),
36,"Xia, Haijun",DSGN 160 - Special Topics in Design (A),FA20,22,20,95.0%,100.0%,6.6,B+ (3.50),B+ (3.46)
37,"Rill, Bryan",DSGN 100 - Prototyping (A),S220,6,3,66.7%,100.0%,7.83,A (4.00),
38,"Dow, Steven P",DSGN 100 - Prototyping (A),SP20,108,34,97.0%,97.0%,6.38,A- (3.73),B+ (3.68)
39,"Xia, Haijun",DSGN 100 - Prototyping (B),SP20,86,24,87.5%,83.3%,6.41,A- (3.86),A- (3.72)
40,"Norman, Donald A.",DSGN 119 - Design at Large (A),SP20,75,17,93.8%,87.5%,1.13,,
41,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),WI20,182,72,84.8%,87.9%,5.6,B+ (3.53),B+ (3.51)
42,"Hollan, James D.",DSGN 119 - Design at Large (A),WI20,63,13,92.3%,84.6%,0.5,A (4.00),
43,"Dow, Steven P",DSGN 160 - Special Topics in Design (A),WI20,88,49,85.7%,85.7%,5.56,B+ (3.59),B+ (3.65)
44,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),FA19,157,65,83.9%,91.8%,4.63,B+ (3.52),B+ (3.43)
45,"Dow, Steven P",DSGN 119 - Design at Large (A),FA19,60,16,100.0%,100.0%,0.64,A (4.00),
46,"Dow, Steven P",DSGN 100 - Prototyping (A),SP19,69,30,85.2%,63.0%,6.57,B+ (3.33),B+ (3.56)
47,"Klemmer, Scott R",DSGN 119 - Design at Large (A),SP19,68,20,88.2%,47.1%,0.75,A (4.00),
48,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),WI19,156,50,85.7%,95.9%,5.4,B+ (3.60),B+ (3.58)
49,"Scott, Taylor Jackson",DSGN 100 - Information Design (A),WI19,81,73,100.0%,98.6%,6.61,B+ (3.63),A- (3.77)
50,"Irani, Lilly C",DSGN 119 - Design at Large (A),WI19,55,18,86.7%,100.0%,0.63,A (4.00),
51,"Klemmer, Scott R",DSGN 90 - Undergraduate Seminar (A),WI19,21,8,100.0%,100.0%,1.17,A (4.00),
52,"Meyer, Michael Wayne",DSGN 1 - Design of Everyday Things (A),FA18,166,70,77.6%,85.9%,7.07,B+ (3.42),B+ (3.42)
53,"Hollan, James D.",DSGN 119 - Design at Large (A),FA18,23,5,100.0%,100.0%,2.1,B (3.00),
54,"Klemmer, Scott R",DSGN 90 - Undergraduate Seminar (A),FA18,18,6,100.0%,100.0%,0.5,,
55,"Klemmer, Scott R",DSGN 90 - Undergraduate Seminar (B),FA18,7,3,100.0%,100.0%,3.5,,
56,"Ngoon, Tricia",DSGN 90 - Undergraduate Seminar (A),S218,21,6,83.3%,80.0%,1.17,,
57,"Irani, Lilly C",DSGN 119 - Design at Large (A),SP18,48,12,90.9%,81.8%,1.05,B (3.00),
58,"Klemmer, Scott R",DSGN 119 - Design at Large (A),SP18,48,12,90.9%,80.0%,1.05,B (3.00),
