,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Hall, Drew A.",ECE 100 - Linear Electronic Systems (A),SP23,86,64,90.5%,93.7%,10.02,B- (2.90),B- (2.79)
1,"Bharadia, Dinesh",ECE 101 - Linear Systems Fundamentals (A),SP23,105,71,87.1%,90.0%,7.98,B (3.00),B (3.22)
2,"Kuzum, Duygu",ECE 103 - Fundamntls/Devices & Materials (A),SP23,67,45,84.4%,97.8%,8.19,B (3.07),B (3.21)
3,"Fullerton, Eric E",ECE 107 - Electromagnetism (A),SP23,37,17,82.4%,100.0%,10.15,B- (2.94),B- (2.75)
4,"Orlitsky, Alon",ECE 109 - Engineering Probability&Stats (A),SP23,196,67,60.0%,55.4%,7.12,B- (2.72),B (3.01)
5,"Yip, Michael",ECE 115 - Fast Prototyping (A),SP23,17,9,88.9%,77.8%,14.5,B+ (3.56),
6,"Sievenpiper, Daniel F.",ECE 123 - Antenna Systems Engineering (A),SP23,45,14,92.3%,92.3%,6.64,B+ (3.36),B- (2.76)
7,"Esmaili, Gholamreza",ECE 125B - Intro to Power Electronics II (A),SP23,23,9,62.5%,87.5%,12.0,B (3.00),B+ (3.45)
8,"Dayeh, Shadi Ahmad",ECE 136L - Microelectronics Laboratory (A),SP23,12,4,75.0%,75.0%,11.5,B (3.25),
9,"Gessner, Richard K.",ECE 140B - The Art of Product Eng II (A),SP23,44,14,84.6%,92.3%,12.64,B+ (3.36),B- (2.78)
10,"Khoshabeh, Ramsin",ECE 140B - The Art of Product Eng II (A),SP23,44,14,84.6%,100.0%,12.64,B+ (3.36),B- (2.78)
11,"Gessner, Richard K.",ECE 141B - Software Foundations II (A),SP23,16,10,100.0%,100.0%,13.5,B+ (3.50),
12,"Silberman, Jack",ECE 148 - Intro to Autonomous Vehicles (A),SP23,25,5,80.0%,100.0%,13.3,A- (3.80),A- (3.95)
13,"Gilja, Vikash",ECE 15 - Engineering Computation (A),SP23,89,36,84.8%,93.9%,8.21,C+ (2.58),C (2.26)
14,"Sworder, David D.",ECE 153 - Probability&Random Process/Eng (A),SP23,54,13,63.6%,36.4%,8.32,B- (2.91),B (3.22)
15,"Wang, Edward Jay",ECE 16 - Rapid Hardware & Software Dsn (A),SP23,35,27,85.2%,88.9%,9.09,B+ (3.37),B+ (3.43)
16,"Harris, Frederick Joel",ECE 161C - Apps of Digital Signal Process (A),SP23,38,13,90.9%,81.8%,7.05,B (3.25),B+ (3.63)
17,"Hsueh, Tzu-Chien",ECE 163 - Electronic Circuits & Systems (A),SP23,74,64,95.2%,100.0%,7.87,B+ (3.40),B+ (3.41)
18,"Mercier, Patrick Philip",ECE 165 - Digtl Integrated Circuit Desgn (A),SP23,94,47,97.7%,97.7%,9.88,B+ (3.41),B (3.16)
19,"Zheng, Yang",ECE 171A - Linear Control System Theory (A),SP23,74,53,98.1%,100.0%,10.84,B+ (3.31),B+ (3.35)
20,"Xie, Pengtao",ECE 175B - Prob Reasoning & Graphical Mod (A),SP23,22,19,78.9%,89.5%,7.76,B+ (3.63),B (3.09)
21,"Mookherjea, Shayan",ECE 183 - Optical Electronics (A),SP23,13,4,100.0%,100.0%,6.5,B (3.00),
22,"Zhang, Xinyu",ECE 191 - Engineering Group Design Proj (A),SP23,20,7,83.3%,83.3%,12.17,B+ (3.67),B (3.25)
23,"Dey, Sujit",ECE 25 - Introduction to Digital Design (A),SP23,54,22,90.0%,70.0%,7.83,B+ (3.43),B- (2.86)
24,"Mir Arabbaygi, Siavash",ECE 30 - Intro to Computer Engineering (A),SP23,133,46,59.5%,76.2%,8.91,B- (2.95),C+ (2.63)
25,"Taur, Yuan",ECE 35 - Introduction to Analog Design (A),SP23,108,38,86.5%,64.9%,8.23,B (3.13),C+ (2.42)
26,"Zeger, Kenneth A.",ECE 45 - Circuits and Systems (A),SP23,137,48,78.3%,89.1%,8.41,B (3.13),B- (2.76)
27,"Baghdadchi, Saharnaz",ECE 101 - Linear Systems Fundamentals (A),WI23,156,120,80.7%,94.1%,8.09,B (3.24),B- (2.75)
28,"Le, Hanh-Phuc",ECE 102 - Intro/Active Circuit Design (A),WI23,70,54,94.3%,96.2%,8.31,B (3.08),B (3.04)
29,"Lo, Yu-Hwa",ECE 103 - Fundamntls/Devices & Materials (A),WI23,50,24,83.3%,75.0%,4.75,B (3.08),B- (2.89)
30,"Lomakin, Vitaliy",ECE 107 - Electromagnetism (A),WI23,79,31,71.0%,70.0%,8.82,B- (2.87),B (3.06)
31,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI23,123,51,76.0%,91.8%,7.07,B (3.13),B- (2.75)
32,"Eldon, John",ECE 111 - Advanced Digital Design Proj (A),WI23,174,147,91.2%,95.2%,5.73,B+ (3.69),B+ (3.69)
33,"Esmaili, Gholamreza",ECE 121B - Energy Conversion (A),WI23,43,24,81.0%,88.9%,8.79,B (3.14),B (3.23)
34,"Le, Hanh-Phuc",ECE 125A - Intro to Power Electronics I (A),WI23,59,49,95.8%,95.8%,8.75,B- (2.98),B- (2.85)
35,"Esmaili, Gholamreza",ECE 128B - Power Grid Modernization (A),WI23,66,20,77.8%,72.2%,7.61,B (3.22),B (3.16)
36,"Dayeh, Shadi Ahmad",ECE 135B - Electronic Devices (A),WI23,13,4,100.0%,100.0%,7.17,B+ (3.33),
37,"Gessner, Richard K.",ECE 140A - The Art of Product Eng I (A),WI23,95,40,82.1%,92.1%,12.76,B+ (3.41),B (3.09)
38,"Khoshabeh, Ramsin",ECE 140A - The Art of Product Eng I (A),WI23,95,40,82.1%,94.9%,12.76,B+ (3.41),B (3.09)
39,"Gessner, Richard K.",ECE 141A - Software Foundations I (A),WI23,38,18,80.0%,93.3%,14.74,B+ (3.33),C+ (2.54)
40,"Unpingco, Jose H.",ECE 143 - Programming for Data Analysis (A),WI23,96,57,98.1%,98.1%,7.5,A- (3.80),A- (3.82)
41,"Phan, Alex Minh Giang",ECE 144 - LabVIEW Programming (A),WI23,53,43,97.6%,97.6%,9.45,B+ (3.49),B+ (3.61)
42,"Silberman, Jack",ECE 148 - Intro to Autonomous Vehicles (A),WI23,26,15,84.6%,61.5%,11.5,A- (3.79),A- (3.84)
43,"Wang, Edward Jay",ECE 15 - Engineering Computation (A),WI23,151,114,76.1%,91.2%,8.87,B- (2.99),B- (2.70)
44,"Kumar, Rakesh",ECE 150 - Entrepreneurship for Engineers (A),WI23,37,29,96.6%,86.2%,5.95,B+ (3.69),B+ (3.33)
45,"Javidi, Tara",ECE 159 - Intro Data Proc & Info Theory (A),WI23,13,5,100.0%,100.0%,5.7,B+ (3.60),
46,"Nguyen, Truong Quang",ECE 161B - Digital Signal Processing I (A),WI23,29,13,92.3%,100.0%,8.19,B (3.15),B (3.30)
47,"Trivedi, Mohan M.",ECE 172A - Introductn/Intelligent Systems (A),WI23,86,24,90.5%,86.4%,7.5,B+ (3.40),B+ (3.38)
48,"Vasconcelos, Nuno",ECE 175A - Pattrn Recogn and Machine Lrng (A),WI23,69,30,93.3%,90.0%,9.12,B (3.24),B (3.01)
49,"Wang, Xiaolong",ECE 176 - Intro Deep Learning & Apps (A),WI23,112,46,83.7%,81.0%,8.54,A- (3.71),B+ (3.69)
50,"Antipa, Nicholas A",ECE 181 - Physical Optics&Fourier Optics (A),WI23,16,6,80.0%,100.0%,5.7,B+ (3.60),
