,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Famulari, Melissa",ECON 100A - Microeconomics A (A),SP23,60,36,66.7%,76.5%,6.96,B- (2.87),B- (2.79)
1,"Famulari, Melissa",ECON 100A - Microeconomics A (B),SP23,167,103,80.0%,81.0%,7.31,B- (2.95),B- (2.80)
2,"Grigoryan, Aram",ECON 100B - Microeconomics B (A),SP23,119,65,92.3%,100.0%,5.47,B+ (3.38),B (3.12)
3,"Grigoryan, Aram",ECON 100B - Microeconomics B (B),SP23,238,158,94.9%,97.4%,6.27,B (3.26),B- (2.88)
4,"Boomhower, Judson P",ECON 100C - Microeconomics C (A),SP23,90,78,96.1%,100.0%,6.0,B (3.20),B (3.01)
5,"Boomhower, Judson P",ECON 100C - Microeconomics C (B),SP23,124,101,93.1%,98.0%,7.03,B (3.21),B (3.01)
6,"Vespa, Emanuel Ignacio",ECON 105 - Industrl Orgniztn&Firm Stratgy (A),SP23,31,17,82.4%,88.2%,5.79,B (3.25),B- (2.82)
7,"Herreno Lopera, Juan",ECON 110B - Short Run Macroeconomics (A),SP23,148,59,77.6%,77.6%,6.36,B (3.22),B- (2.88)
8,"Herreno Lopera, Juan",ECON 110B - Short Run Macroeconomics (B),SP23,201,87,79.3%,75.0%,6.5,B- (2.83),B- (2.89)
9,"Wieland, Johannes Friedrich",ECON 111 - Monetary Economics (A),SP23,47,36,91.7%,94.4%,6.84,B+ (3.41),B (3.01)
10,"Candido, Maria Teresa",ECON 120A - Econometrics A (A),SP23,290,94,88.6%,87.4%,5.8,B (3.28),B- (2.85)
11,"Candido, Maria Teresa",ECON 120B - Econometrics B (A),SP23,407,133,82.7%,81.5%,6.56,B (3.29),B- (2.85)
12,"Sun, Yixiao",ECON 120C - Econometrics C (A),SP23,101,44,81.8%,72.7%,6.27,B+ (3.35),B- (2.75)
13,"Sun, Yixiao",ECON 120C - Econometrics C (B),SP23,89,42,85.0%,77.5%,6.5,B (3.29),B- (2.84)
14,"Sun, Yixiao",ECON 120CH - Honors Econometrics C (A),SP23,14,7,100.0%,100.0%,4.21,A (4.00),
15,"Tayman, Jeff",ECON 125 - Demographic Analys&Forecasting (A),SP23,35,9,85.7%,100.0%,5.25,B+ (3.63),B- (2.73)
16,"Eckert, Fabian Paul","ECON 129 - Cities, Inequality, Innovation (A)",SP23,29,8,100.0%,100.0%,4.25,B+ (3.38),B (3.00)
17,"Eckert, Fabian Paul","ECON 129 - Cities, Inequality, Innovation (B)",SP23,17,7,100.0%,100.0%,3.07,B+ (3.43),
18,"Carson, Richard T",ECON 132 - Energy Economics (A),SP23,88,29,75.9%,79.3%,5.4,B (3.23),B (3.14)
19,"Gelber, Alexander Michael",ECON 134 - The U.S. Social Safety Net (A),SP23,45,14,100.0%,100.0%,4.21,B+ (3.64),B (3.23)
20,"Niehaus, Paul",ECON 137 - Corruption (A),SP23,11,9,88.9%,88.9%,8.28,A- (3.78),
21,"Trevino, Isabel",ECON 142 - Behavioral Economics (A),SP23,24,13,84.6%,92.3%,4.04,B+ (3.54),B (3.23)
22,"Trevino, Isabel",ECON 142 - Behavioral Economics (B),SP23,20,12,100.0%,100.0%,3.83,B+ (3.56),B- (2.75)
23,"Cohen, Darrel Steven",ECON 146 - Economic Stabilization (A),SP23,110,24,79.2%,87.5%,6.33,B (3.08),B- (2.83)
24,"Meckel, Katherine Hunter",ECON 151 - Public Economics:Expenditure I (A),SP23,45,5,100.0%,100.0%,4.5,B+ (3.60),B (3.12)
25,"Meckel, Katherine Hunter",ECON 151 - Public Economics:Expenditure I (B),SP23,48,9,87.5%,87.5%,5.83,B+ (3.44),B (3.14)
26,"Muralidharan, Karthik",ECON 164 - The Indian Economy (A),SP23,87,25,88.0%,96.0%,7.06,B+ (3.36),B- (2.97)
27,"Heller, Yuval",ECON 168 - Economics of Modern Israel (A),SP23,96,21,95.0%,95.0%,3.66,B+ (3.63),B (3.12)
28,"Newhouse, Herbert S",ECON 172A - Operations Research A (A),SP23,61,16,100.0%,93.3%,5.57,B+ (3.43),B- (2.89)
29,"Newhouse, Herbert S",ECON 172B - Operations Research B (A),SP23,29,7,100.0%,100.0%,4.5,A- (3.71),B- (2.90)
30,"Newhouse, Herbert S",ECON 172B - Operations Research B (B),SP23,21,5,100.0%,80.0%,6.5,B (3.20),B- (2.90)
31,"Levkoff, Steven B.",ECON 173B - Corporate Finance (A),SP23,36,10,80.0%,90.0%,7.1,B (3.20),B- (2.80)
32,"Levkoff, Steven B.",ECON 173B - Corporate Finance (B),SP23,22,11,90.9%,100.0%,5.59,B (3.27),B- (2.86)
33,"Levkoff, Steven B.",ECON 4 - Financial Accounting (A),SP23,153,53,88.5%,94.1%,6.19,B- (2.88),C+ (2.63)
34,"Arnold, David Hall",ECON 5 - Data Analytics/Social Sciences (A),SP23,409,150,95.2%,96.6%,5.33,B+ (3.52),B (3.21)
35,"Crane, Meredith Helen",ECON 1 - Principles of Microeconomics (A),WI23,343,220,98.2%,98.6%,3.6,B+ (3.47),B- (2.96)
36,"Newhouse, Herbert S",ECON 100A - Microeconomics A (A),WI23,183,43,85.4%,92.7%,4.99,B (3.22),B- (2.72)
37,"Newhouse, Herbert S",ECON 100A - Microeconomics A (B),WI23,187,54,86.3%,94.0%,7.17,B (3.06),C+ (2.69)
38,"Tocoian, Oana",ECON 100B - Microeconomics B (A),WI23,140,40,80.0%,77.5%,7.1,B (3.15),B- (2.77)
39,"Tocoian, Oana",ECON 100B - Microeconomics B (B),WI23,138,52,76.5%,70.6%,7.87,B (3.14),B- (2.85)
40,"Grigoryan, Aram",ECON 100B - Microeconomics B (C),WI23,124,78,80.5%,70.1%,6.92,B+ (3.32),B- (2.92)
41,"Grigoryan, Aram",ECON 100B - Microeconomics B (D),WI23,48,30,82.8%,75.9%,6.02,B+ (3.39),B- (2.82)
42,"Newhouse, Herbert S",ECON 100C - Microeconomics C (A),WI23,126,28,100.0%,88.5%,7.14,B+ (3.40),B- (2.84)
43,"Andreoni, James",ECON 104 - Economics with Morals (A),WI23,10,4,66.7%,100.0%,5.17,A (4.00),
44,"Shishkin, Denis",ECON 109 - Game Theory (A),WI23,67,41,70.0%,80.0%,7.94,B (3.24),C+ (2.62)
45,"Shishkin, Denis",ECON 109 - Game Theory (B),WI23,65,39,74.4%,76.9%,7.22,B- (2.97),B- (2.70)
46,"Watson, Joel Christopher",ECON 109T - Advanced Topics in Game Theory (B),WI23,11,3,100.0%,100.0%,5.17,A (4.00),
47,"Levkoff, Steven B.",ECON 110A - Long Run Macroeconomics (A),WI23,138,35,73.3%,80.0%,5.73,B (3.07),C+ (2.50)
48,"Jaimovich, Nir",ECON 110A - Long Run Macroeconomics (B),WI23,26,5,80.0%,80.0%,4.1,B+ (3.60),B+ (3.30)
49,"Hamilton, James D.",ECON 110B - Short Run Macroeconomics (A),WI23,102,22,90.0%,90.0%,7.0,B+ (3.60),B (3.04)
