,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Ambo, Theresa Jean",EDS 102 - Intro to Qual Methods/EdRsrch (A),SP23,52,17,93.8%,100.0%,3.43,A (4.00),A- (3.96)
1,"Eguchi, Emi",EDS 114 - Cogn Develp&Intractv Compt Env (A),SP23,27,7,100.0%,100.0%,6.5,B+ (3.57),B (3.18)
2,"Clarke, Sherice Nicole",EDS 115 - Cog Development & Education (A),SP23,57,33,100.0%,93.9%,3.41,A- (3.81),A- (3.80)
3,"Clarke, Sherice Nicole","EDS 117 - Language, Culture & Education (A)",SP23,68,43,97.6%,97.6%,4.07,A- (3.87),B+ (3.65)
4,"Aragon, Maria Jose","EDS 117 - Language, Culture & Education (B)",SP23,66,28,100.0%,100.0%,3.46,A- (3.96),A- (3.77)
5,"Raj, Anita",EDS 118 - Adolescent Devlp & Education (A),SP23,60,21,85.7%,70.0%,3.17,A- (3.89),A- (3.78)
6,"Simon, Elizabeth A",EDS 124AR - Teach Computation/DigitalWorld (A),SP23,82,17,94.1%,94.1%,7.68,A- (3.88),B+ (3.68)
7,"Simon, Elizabeth A",EDS 124AR - Teach Computation/DigitalWorld (C),SP23,130,26,91.7%,95.8%,6.5,A- (3.95),B+ (3.49)
8,"Eguchi, Emi",EDS 124BR - Teach Computational Thinking (A),SP23,107,22,95.5%,95.5%,4.86,A- (3.73),B+ (3.62)
9,"Pappas, Elizabeth",EDS 128B - Intro/Teaching&Learning (Elem) (A),SP23,41,12,100.0%,100.0%,4.67,A- (3.92),A- (3.90)
10,"Scharton, Susan Michelle",EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A),SP23,38,31,96.8%,93.5%,4.82,A- (3.73),B+ (3.47)
11,"Chung, Luz Marina",EDS 136 - Intro/Acad Tut/Second Schl Std (A),SP23,29,12,91.7%,100.0%,6.83,A- (3.82),A- (3.89)
12,"Bintliff, Amy S.V.",EDS 145 - Arts Across the Curriculum (A),SP23,29,11,100.0%,100.0%,6.68,A- (3.91),B+ (3.49)
13,"Ambo, Theresa Jean",EDS 180 - Topics in Education Studies (A),SP23,20,8,100.0%,100.0%,4.0,A (4.00),A (4.00)
14,"Bussey, Thomas J",EDS 31 - Introductn to Teaching Science (A),SP23,9,3,100.0%,100.0%,4.5,B (3.00),
15,"Chung, Luz Marina",EDS 38 - Explorations in Education (A),SP23,18,8,100.0%,100.0%,5.25,A (4.00),
16,"Halter, Christopher P.",EDS 103 - Intro to Quant Methods/EdRsrch (A),WI23,40,11,90.9%,100.0%,3.59,A- (3.73),B+ (3.35)
17,"Halter, Christopher P.",EDS 103 - Intro to Quant Methods/EdRsrch (B),WI23,18,6,100.0%,100.0%,4.17,A- (3.83),
18,"Cohen, Shana R",EDS 111 - Child Family Community (A),WI23,54,24,83.3%,87.5%,5.42,A (4.00),A- (3.79)
19,"Eguchi, Emi",EDS 114 - Cogn Develp&Intractv Compt Env (A),WI23,23,8,100.0%,100.0%,4.17,A (4.00),B+ (3.51)
20,"Clarke, Sherice Nicole",EDS 115 - Cog Development & Education (A),WI23,59,29,65.5%,85.7%,4.16,A- (3.90),A- (3.78)
21,"Bintliff, Amy S.V.",EDS 118 - Adolescent Devlp & Education (A),WI23,60,53,100.0%,100.0%,4.24,A- (3.87),A- (3.85)
22,"Munoz Sanchez, Alicia",EDS 119 - 1st&2nd Lang Lrn:Child to Adol (A),WI23,30,11,100.0%,100.0%,4.14,A- (3.88),B (3.23)
23,"Eguchi, Emi",EDS 124AR - Teach Computation/DigitalWorld (A),WI23,92,26,100.0%,95.8%,5.5,A- (3.91),A- (3.76)
24,"Simon, Elizabeth A",EDS 124BR - Teach Computational Thinking (A),WI23,96,31,92.9%,100.0%,6.5,A- (3.93),A- (3.90)
25,"Simon, Elizabeth A",EDS 124BR - Teach Computational Thinking (C),WI23,103,17,100.0%,100.0%,6.26,A- (3.94),B+ (3.56)
26,"Jones, Gabrielle Anastasia","EDS 125 - Hist,Polic&Theory/Bilingual Ed (A)",WI23,60,36,100.0%,100.0%,3.64,A- (3.85),B+ (3.61)
27,"Fargason, Sharon Gayle",EDS 128A - Intro/Teaching&Learning (Elem) (A),WI23,43,9,100.0%,88.9%,3.5,A (4.00),B+ (3.41)
28,"Black, Alison Michelle",EDS 129B - Intro/Teach&Learn (Secondary) (A),WI23,53,26,92.3%,96.0%,4.5,A- (3.85),A- (3.82)
