,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (A),SP23,21,10,100.0%,100.0%,2.1,A (4.00),A- (3.76)
1,"Montejo, Andrea Carolina",ENVR 102 - Selected Topics/Environmntl St (C),SP23,12,6,83.3%,83.3%,1.83,A (4.00),
2,"Siapno, Jacqueline A",ENVR 140 - Wilderness and Human Values (A),SP23,51,26,96.0%,88.0%,3.42,A- (3.88),A- (3.83)
3,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (A),WI23,27,10,100.0%,100.0%,2.7,A- (3.75),A- (3.85)
4,"Patterson, Timothy Raymond",ENVR 110 - Environmental Law (A),WI23,59,22,95.5%,95.5%,3.32,A- (3.75),A- (3.85)
5,"Uyeda, Kellie Ann",ENVR 120 - Coastal Ecology (A),WI23,16,8,100.0%,100.0%,3.5,A (4.00),
6,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (A),FA22,30,11,90.0%,90.0%,4.5,A- (3.70),B+ (3.58)
7,"Henter, Heather J.",ENVR 105 - Conservation Solutions (A),FA22,12,4,100.0%,100.0%,2.5,A (4.00),
8,"Cezo, Katharine",ENVR 30 - Environmental Issues:Nat Sci (A),FA22,183,133,97.7%,99.2%,4.14,A- (3.73),B+ (3.66)
9,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (A),SP22,27,12,100.0%,100.0%,2.67,A- (3.92),A- (3.77)
10,"Montejo, Andrea Carolina",ENVR 102 - Selected Topics/Environmntl St (B),SP22,24,11,70.0%,90.0%,3.1,B+ (3.44),B+ (3.67)
11,"Uyeda, Kellie Ann",ENVR 120 - Coastal Ecology (A),SP22,21,13,100.0%,100.0%,2.5,A- (3.82),A- (3.82)
12,"Iatarola, Briana Marie",ENVR 140 - Wilderness and Human Values (A),SP22,59,21,100.0%,100.0%,2.98,A- (3.81),A- (3.93)
13,"Puritty, Chandler Elizabeth",ENVR 102 - Selected Topics/Environmntl St (A),WI22,41,15,100.0%,100.0%,2.77,A- (3.93),A (4.00)
14,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (B),WI22,24,9,100.0%,100.0%,3.36,A- (3.75),A- (3.70)
15,"Patterson, Timothy Raymond",ENVR 110 - Environmental Law (A),WI22,57,18,93.8%,100.0%,3.44,B+ (3.53),B+ (3.66)
16,"Herbst, Matthew",ENVR 87 - Freshman Seminar (A),WI22,14,9,100.0%,100.0%,1.39,A (4.00),
17,"Herbst, Matthew",ENVR 87 - Freshman Seminar (B),WI22,15,12,100.0%,100.0%,0.67,A (4.00),
18,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (A),FA21,29,9,100.0%,100.0%,4.25,B+ (3.63),B+ (3.32)
19,"Henter, Heather J.",ENVR 105 - Conservation Solutions (A),FA21,13,5,100.0%,80.0%,2.9,B+ (3.60),
20,"Puritty, Chandler Elizabeth",ENVR 30 - Environmental Issues:Nat Sci (A),FA21,190,79,97.4%,97.4%,1.11,A- (3.95),A- (3.97)
21,"Herbst, Matthew",ENVR 87 - Freshman Seminar (A),FA21,18,16,100.0%,100.0%,0.63,A (4.00),
22,"Uyeda, Kellie Ann",ENVR 120 - Coastal Ecology (A),SP21,17,8,100.0%,100.0%,4.0,A- (3.86),
23,"Iatarola, Briana Marie",ENVR 140 - Wilderness and Human Values (A),SP21,61,47,97.9%,100.0%,2.97,B+ (3.64),A- (3.73)
24,"Herbst, Matthew",ENVR 87 - Freshman Seminar (A),SP21,9,3,100.0%,100.0%,1.17,,
25,"Puritty, Chandler Elizabeth",ENVR 102 - Selected Topics/Environmntl St (A),WI21,21,8,100.0%,100.0%,1.25,A- (3.88),A- (3.87)
26,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (B),WI21,17,5,80.0%,80.0%,4.1,B+ (3.40),
27,"Magallanes, Oscar",ENVR 102 - Selected Topics/Environmntl St (C),WI21,9,5,100.0%,100.0%,1.7,A (4.00),
28,"Patterson, Timothy Raymond",ENVR 110 - Environmental Law (A),WI21,59,27,92.6%,92.6%,3.17,B+ (3.63),B+ (3.60)
29,"Iatarola, Briana Marie",ENVR 141 - Wilderness & HumanValue Worksh (A),WI21,3,3,100.0%,100.0%,4.5,A (4.00),
30,"Herbst, Matthew",ENVR 87 - Freshman Seminar (A),WI21,19,12,100.0%,100.0%,1.5,A (4.00),
31,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (A),FA20,21,9,88.9%,87.5%,4.06,B+ (3.43),A- (3.74)
32,"Puritty, Chandler Elizabeth",ENVR 30 - Environmental Issues:Nat Sci (A),FA20,193,95,93.3%,93.3%,1.31,A- (3.94),A- (3.93)
33,"Herbst, Matthew",ENVR 87 - Freshman Seminar (A),FA20,19,16,93.3%,100.0%,0.88,A (4.00),
34,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (A),SP20,35,14,100.0%,100.0%,4.5,B+ (3.69),A- (3.81)
35,"Patterson, Timothy Raymond",ENVR 110 - Environmental Law (A),SP20,60,26,88.0%,80.8%,2.96,B+ (3.55),B+ (3.55)
36,"Iatarola, Briana Marie",ENVR 140 - Wilderness and Human Values (A),SP20,55,31,100.0%,100.0%,3.53,A- (3.73),A- (3.83)
37,"Puritty, Chandler Elizabeth",ENVR 102 - Selected Topics/Environmntl St (A),WI20,34,16,93.8%,93.8%,1.38,A (4.00),A (4.00)
38,"Uyeda, Kellie Ann",ENVR 120 - Coastal Ecology (A),WI20,17,11,100.0%,100.0%,3.9,A- (3.89),
39,"Herbst, Matthew",ENVR 87 - Freshman Seminar (A),WI20,15,7,100.0%,100.0%,1.36,A (4.00),
40,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (A),FA19,17,9,100.0%,100.0%,3.61,B+ (3.67),
41,"Puritty, Chandler Elizabeth",ENVR 30 - Environmental Issues:Nat Sci (A),FA19,180,98,91.5%,92.4%,1.31,A- (3.95),A- (3.85)
42,"Herbst, Matthew",ENVR 87 - Freshman Seminar (A),FA19,9,5,100.0%,100.0%,2.1,A (4.00),
43,"Herbst, Matthew",ENVR 87 - Freshman Seminar (B),FA19,14,10,100.0%,100.0%,1.17,A (4.00),
44,"Herbst, Matthew",ENVR 142GS - Wilderness & Hum Values Abroad (A),S119,18,8,100.0%,100.0%,6.25,B+ (3.63),
45,"Daly, Heather Marie",ENVR 102 - Selected Topics/Environmntl St (B),SP19,15,6,100.0%,100.0%,5.17,A- (3.80),
46,"Herbst, Matthew",ENVR 140 - Wilderness and Human Values (A),SP19,55,24,95.7%,95.7%,5.11,B+ (3.55),B+ (3.33)
47,"Herbst, Matthew",ENVR 87 - Freshman Seminar (A),SP19,13,6,100.0%,100.0%,1.17,A (4.00),
48,"Herbst, Matthew",ENVR 87 - Freshman Seminar (B),SP19,14,9,100.0%,100.0%,0.72,,
49,"Patterson, Timothy Raymond",ENVR 110 - Environmental Law (B),WI19,62,28,76.9%,88.5%,3.91,B (3.29),B+ (3.36)
50,"Talley, Theresa S.",ENVR 120 - Coastal Ecology (A),WI19,19,13,92.3%,100.0%,4.19,A- (3.83),
51,"Herbst, Matthew",ENVR 141 - Wilderness & HumanValue Worksh (A),WI19,6,3,100.0%,100.0%,3.83,A (4.00),
52,"Henter, Heather J.",ENVR 102 - Selected Topics/Environmntl St (A),FA18,22,19,94.7%,100.0%,3.45,B+ (3.68),B+ (3.37)
53,"Shaheen, Robina",ENVR 30 - Environmental Issues:Nat Sci (A),FA18,142,116,54.3%,40.9%,3.74,B+ (3.42),B+ (3.53)
54,"Talley, Theresa S.",ENVR 120 - Coastal Ecology (A),SP18,18,4,100.0%,100.0%,4.0,B+ (3.67),
55,"Herbst, Matthew",ENVR 140 - Wilderness and Human Values (A),SP18,48,21,85.0%,84.2%,4.9,B+ (3.44),B (3.11)
56,"Henter, Heather J.",ENVR 102 - Selected Topics/Environmntl St (A),WI18,22,18,72.2%,83.3%,4.06,B+ (3.35),B+ (3.34)
57,"Ochoa, Edward Henry",ENVR 110 - Environmental Law (A),WI18,63,20,100.0%,94.4%,5.94,B (3.23),B- (2.78)
58,"Gowan, Jennifer",ENVR 30 - Environmental Issues:Nat Sci (A),FA17,118,63,88.5%,89.8%,4.25,B+ (3.47),A- (3.71)
59,"Herbst, Matthew",ENVR 140 - Wilderness and Human Values (A),S217,10,8,87.5%,87.5%,10.0,B+ (3.50),
60,"Talley, Theresa S.",ENVR 120 - Coastal Ecology (A),SP17,22,22,100.0%,100.0%,3.83,B+ (3.57),A- (3.89)
61,"Herbst, Matthew",ENVR 140 - Wilderness and Human Values (A),SP17,21,12,100.0%,100.0%,6.17,B+ (3.38),B+ (3.44)
62,"Ochoa, Edward Henry",ENVR 110 - Environmental Law (A),WI17,66,27,92.0%,88.0%,6.74,B- (2.95),C+ (2.59)
63,"Herbst, Matthew",ENVR 141 - Wilderness & HumanValue Worksh (A),WI17,5,5,100.0%,100.0%,6.9,A (4.00),
64,"Gowan, Jennifer",ENVR 30 - Environmental Issues:Nat Sci (A),FA16,115,56,78.6%,64.3%,4.28,B (3.24),B (3.18)
65,"Eckles, Megan Alma",ENVR 102 - Selected Topics/Environmntl St (A),SP16,27,13,100.0%,100.0%,3.58,B+ (3.67),A- (3.76)
66,"Eckles, Megan Alma",ENVR 140 - Wilderness and Human Values (B),SP16,27,18,100.0%,100.0%,5.79,B+ (3.60),B (3.18)
67,"Ochoa, Edward Henry",ENVR 110 - Environmental Law (A),WI16,54,29,92.9%,92.9%,5.46,B- (2.90),B (3.19)
68,"Talley, Theresa S.",ENVR 120 - Coastal Ecology (A),WI16,17,12,100.0%,100.0%,3.5,B+ (3.55),
69,"Eckles, Megan Alma",ENVR 141 - Wilderness & HumanValue Worksh (A),WI16,9,5,100.0%,100.0%,4.5,,
70,"Eckles, Megan Alma",ENVR 30 - Environmental Issues:Nat Sci (A),FA15,119,66,96.8%,96.8%,4.07,B+ (3.42),B- (2.91)
71,"Eckles, Megan Alma",ENVR 102 - Selected Topics/Environmntl St (A),SP15,30,14,91.7%,83.3%,3.17,A- (3.75),A- (3.93)
72,"Niles, John O.",ENVR 102 - Selected Topics/Environmntl St (B),SP15,23,16,100.0%,100.0%,4.0,B+ (3.64),B (3.21)
73,"Talley, Theresa S.",ENVR 120 - Coastal Ecology (A),SP15,17,15,100.0%,100.0%,3.83,B+ (3.67),
74,"Hineline, Mark Lawrence",ENVR 140 - Wilderness and Human Values (A),SP15,89,30,92.6%,77.8%,4.13,A- (3.78),B+ (3.70)
75,"Ochoa, Edward Henry",ENVR 110 - Environmental Law (A),WI15,39,15,73.3%,73.3%,6.5,B+ (3.33),B (3.22)
76,"Eckles, Megan Alma",ENVR 141 - Wilderness & HumanValue Worksh (A),WI15,6,3,100.0%,100.0%,3.83,A (4.00),
77,"Hunefeldt, Christine",ENVR 87 - Freshman Seminar (A),WI15,10,3,66.7%,66.7%,0.5,,
78,"Eckles, Megan Alma",ENVR 30 - Environmental Issues:Nat Sci (A),FA14,117,50,98.0%,100.0%,3.6,B+ (3.42),B (3.15)
79,"Eckles, Megan Alma",ENVR 102 - Selected Topics/Environmntl St (A),SP14,30,11,100.0%,100.0%,5.1,A- (3.89),A- (3.99)
80,"Talley, Theresa S.",ENVR 120 - Coastal Ecology (A),SP14,16,16,100.0%,100.0%,4.0,A- (3.94),
81,"Hineline, Mark Lawrence",ENVR 140 - Wilderness and Human Values (A),SP14,87,29,88.5%,84.6%,3.19,A- (3.91),A- (3.77)
82,"Ochoa, Edward Henry",ENVR 110 - Environmental Law (A),WI14,39,11,81.8%,81.8%,4.32,B (3.22),B- (2.88)
83,"Hineline, Mark Lawrence",ENVR 141 - Wilderness & HumanValue Worksh (A),WI14,10,6,100.0%,100.0%,2.83,A (4.00),
84,"Eckles, Megan Alma",ENVR 30 - Environmental Issues:Nat Sci (A),FA13,111,64,98.4%,98.4%,3.09,A- (3.75),B+ (3.56)
85,"Hineline, Mark Lawrence",ENVR 140 - Wilderness and Human Values (A),S213,14,5,100.0%,100.0%,6.9,B+ (3.60),
