,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Evans, Ivan T",ERC 89 - Practicum in Math Tutoring (A),SP23,8,3,100.0%,100.0%,1.83,A (4.00),
1,"Herbst, Matthew",ERC 2 - Transfer Year Experience (A),WI23,12,8,100.0%,100.0%,2.0,A (4.00),
2,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),WI23,19,8,71.4%,85.7%,0.5,,
3,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),FA22,21,10,75.0%,75.0%,0.5,B (3.00),
4,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (B),FA22,15,11,90.0%,100.0%,0.7,A (4.00),
5,"Lewis, Leslie R",ERC 190GS - Envirn&SustainableCommDevl (A),S122,27,14,100.0%,100.0%,3.5,A (4.00),A (4.00)
6,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),WI22,29,19,94.7%,89.5%,0.5,A (4.00),
7,"Rahimi, Babak",ERC 1 - First Year Experience (A),FA21,49,33,96.7%,96.6%,0.95,A- (3.86),
8,"Herbst, Matthew",ERC 2 - Transfer Year Experience (A),FA21,45,21,85.7%,95.2%,0.98,A- (3.91),
9,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),FA21,30,21,94.7%,88.9%,0.82,A (4.00),
10,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (B),FA21,30,18,77.8%,88.9%,0.94,A (4.00),
11,"Herbst, Matthew",ERC 87 - Freshman Seminar (A),FA21,14,9,100.0%,100.0%,0.94,A (4.00),
12,"Herbst, Matthew",ERC 87 - Freshman Seminar (A),SP21,20,12,91.7%,91.7%,0.5,A (4.00),
13,"Herbst, Matthew",ERC 2 - Transfer Year Experience (A),WI21,20,12,100.0%,100.0%,2.14,A (4.00),
14,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),WI21,34,17,100.0%,100.0%,0.74,,
15,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),FA20,30,21,90.5%,90.5%,1.17,A (4.00),
16,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (B),FA20,28,18,94.4%,88.2%,0.61,A (4.00),
17,"Evans, Ivan T",ERC 192A - Global Service Prep Seminar (A),WI20,10,6,83.3%,66.7%,2.5,A (4.00),
18,"Herbst, Matthew",ERC 2 - Transfer Year Experience (A),WI20,20,11,100.0%,100.0%,1.41,,
19,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),WI20,35,19,88.9%,88.9%,0.5,A (4.00),
20,"Herbst, Matthew",ERC 1 - First Year Experience (A),FA19,99,55,94.5%,100.0%,1.01,A- (3.76),
21,"Herbst, Matthew",ERC 2 - Transfer Year Experience (A),FA19,44,28,88.5%,96.2%,0.94,A (4.00),
22,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),FA19,29,9,62.5%,75.0%,0.5,A (4.00),
23,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (B),FA19,26,14,84.6%,100.0%,0.5,A (4.00),
24,"Evans, Ivan T",ERC 89 - Practicum in Math Tutoring (B),FA19,7,4,50.0%,75.0%,8.0,,
25,"Herbst, Matthew",ERC 192 - ERC Senior Seminar (A),SP19,28,8,100.0%,100.0%,2.21,,
26,"Evans, Ivan T",ERC 89 - Practicum in Math Tutoring (A),SP19,7,3,100.0%,100.0%,5.83,A (4.00),
27,"Evans, Ivan T",ERC 192A - Global Service Prep Seminar (A),WI19,14,5,100.0%,75.0%,2.5,A (4.00),
28,"Evans, Ivan T",ERC 20 - Frshmn Honors Sem:Intntl Theme (A),WI19,21,13,100.0%,100.0%,0.5,A (4.00),
29,"Herbst, Matthew",ERC 87 - Freshman Seminar (A),WI19,11,8,100.0%,100.0%,0.5,A (4.00),
30,"Herbst, Matthew",ERC 1 - First Year Experience (A),FA18,103,74,81.9%,95.8%,1.06,A- (3.71),
31,"Herbst, Matthew",ERC 2 - Transfer Year Experience (A),FA18,43,24,95.5%,100.0%,1.68,A (4.00),
