,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Aluwihare, Lihini",ESYS 10 - Intro to Environmental Systems (A),SP23,67,26,92.0%,88.0%,2.98,B+ (3.61),B+ (3.42)
1,"Lerner, Amy M",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP23,188,71,90.8%,95.4%,3.91,B+ (3.65),B+ (3.46)
2,"Hetherington, Elizabeth Dorsey",ESYS 187C - Envir Sys/Senior Seminar (A),SP23,81,16,100.0%,100.0%,5.03,A- (3.80),B+ (3.65)
3,"Haase, Jennifer Susan",ESYS 102 - The Solid and Fluid Earth (A),WI23,106,71,67.6%,56.3%,5.94,B+ (3.59),B+ (3.59)
4,"Diaz, Julia Michelle",ESYS 101 - Environmental Biology (A),FA22,140,53,91.3%,91.1%,3.72,B+ (3.51),B+ (3.52)
5,"Taylor, Jennifer Rebecca",ESYS 101 - Environmental Biology (A),FA22,140,53,91.3%,97.8%,3.72,B+ (3.51),B+ (3.52)
6,"Talley, Lynne D",ESYS 90 - Undergraduate Seminar (A),FA22,23,10,88.9%,100.0%,0.5,A (4.00),
7,"Aluwihare, Lihini",ESYS 10 - Intro to Environmental Systems (A),SP22,64,18,83.3%,100.0%,3.17,A- (3.89),A- (3.82)
8,"Lerner, Amy M",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP22,200,92,87.9%,85.6%,4.01,A- (3.71),B+ (3.63)
9,"Teranes, Jane",ESYS 187C - Envir Sys/Senior Seminar (A),SP22,84,21,95.2%,100.0%,5.93,B+ (3.63),B+ (3.64)
10,"Aarons, Sarah Miranda",ESYS 102 - The Solid and Fluid Earth (A),WI22,112,32,87.5%,90.6%,6.18,B (3.25),B (3.21)
11,"Diaz, Julia Michelle",ESYS 101 - Environmental Biology (A),FA21,137,57,96.4%,89.3%,3.93,A- (3.81),A- (3.78)
12,"Taylor, Jennifer Rebecca",ESYS 101 - Environmental Biology (A),FA21,137,57,96.4%,98.2%,3.93,A- (3.81),A- (3.78)
13,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA21,28,15,100.0%,92.3%,0.81,A (4.00),
14,"Aluwihare, Lihini",ESYS 10 - Intro to Environmental Systems (A),SP21,58,17,100.0%,100.0%,3.79,A- (3.76),A- (3.71)
15,"Teranes, Jane",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP21,143,59,93.2%,94.9%,4.64,B+ (3.69),B+ (3.69)
16,"Teranes, Jane",ESYS 187C - Envir Sys/Senior Seminar (A),SP21,75,21,95.0%,100.0%,3.6,A- (3.94),A- (3.76)
17,"Aarons, Sarah Miranda",ESYS 102 - The Solid and Fluid Earth (A),WI21,115,51,98.0%,98.0%,4.5,A- (3.76),B+ (3.67)
18,"Diaz, Julia Michelle",ESYS 101 - Environmental Biology (A),FA20,136,60,94.8%,86.2%,4.36,B+ (3.64),B+ (3.40)
19,"Taylor, Jennifer Rebecca",ESYS 101 - Environmental Biology (A),FA20,136,60,94.8%,94.8%,4.36,B+ (3.64),B+ (3.40)
20,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA20,23,14,100.0%,100.0%,0.96,A (4.00),
21,"Aluwihare, Lihini",ESYS 10 - Intro to Environmental Systems (A),SP20,39,12,100.0%,100.0%,5.33,B+ (3.44),B+ (3.59)
22,"Teranes, Jane",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP20,126,43,97.6%,100.0%,4.71,A- (3.74),A- (3.77)
23,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP20,41,9,100.0%,100.0%,5.75,A (4.00),A- (3.96)
24,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (B),SP20,37,7,85.7%,71.4%,5.36,B+ (3.57),A- (3.91)
25,"Rodriguez, Angelica Rita",ESYS 102 - The Solid and Fluid Earth (A),WI20,105,39,78.9%,39.5%,5.27,B (3.15),B (3.08)
26,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA19,130,57,89.1%,90.7%,4.25,B (3.22),B (3.05)
27,"Taylor, Jennifer Rebecca",ESYS 101 - Environmental Biology (A),FA19,130,57,89.1%,92.6%,4.25,B (3.22),B (3.05)
28,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA19,23,14,100.0%,100.0%,0.5,A (4.00),
29,"Aluwihare, Lihini",ESYS 10 - Intro to Environmental Systems (A),SP19,31,13,69.2%,84.6%,3.5,B+ (3.45),A- (3.71)
30,"Teranes, Jane",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP19,105,38,94.4%,100.0%,3.56,B+ (3.44),B (3.24)
31,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP19,57,11,100.0%,100.0%,9.05,A- (3.91),A- (3.91)
32,"Russell, Lynn M.",ESYS 102 - The Solid and Fluid Earth (A),WI19,92,41,91.4%,94.3%,4.9,B+ (3.43),B- (2.87)
33,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA18,145,61,94.7%,94.7%,3.88,B+ (3.50),B+ (3.31)
34,"Taylor, Jennifer Rebecca",ESYS 101 - Environmental Biology (A),FA18,146,61,94.7%,90.9%,3.88,B+ (3.50),B+ (3.31)
35,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA18,26,18,100.0%,93.8%,0.5,A (4.00),
36,"Teranes, Jane",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP18,95,32,93.5%,96.8%,4.44,B+ (3.41),B (3.20)
37,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP18,54,11,100.0%,100.0%,4.14,A- (3.82),A- (3.90)
38,"Minster, Jean Bernard H.",ESYS 102 - The Solid and Fluid Earth (A),WI18,113,47,93.3%,88.6%,4.68,B+ (3.31),B- (2.86)
39,"Russell, Lynn M.",ESYS 102 - The Solid and Fluid Earth (A),WI18,113,47,93.3%,88.6%,4.68,B+ (3.31),B- (2.86)
40,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),WI18,14,11,100.0%,100.0%,0.5,A (4.00),
41,"Teranes, Jane",ESYS 10 - Intro to Environmental Systems (A),FA17,57,28,92.6%,92.6%,3.09,A- (3.75),B+ (3.62)
42,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA17,142,58,98.1%,98.1%,3.99,B+ (3.56),B (3.29)
43,"Taylor, Jennifer Rebecca",ESYS 101 - Environmental Biology (A),FA17,142,58,98.1%,90.4%,3.99,B+ (3.56),B (3.29)
44,"Teranes, Jane",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP17,71,29,96.4%,92.9%,4.79,B+ (3.52),B (3.16)
45,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP17,42,10,100.0%,100.0%,4.06,A- (3.88),A- (3.91)
46,"Minster, Jean Bernard H.",ESYS 102 - The Solid and Fluid Earth (A),WI17,84,38,86.1%,44.4%,4.22,B (3.11),B (3.14)
47,"Russell, Lynn M.",ESYS 102 - The Solid and Fluid Earth (A),WI17,83,38,86.1%,86.1%,4.28,B (3.14),B (3.14)
48,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA16,124,48,84.1%,100.0%,3.66,B (3.20),B (3.27)
49,"Taylor, Jennifer Rebecca",ESYS 101 - Environmental Biology (A),FA16,126,47,83.7%,88.4%,3.79,B (3.18),B (3.27)
50,"Teranes, Jane",ESYS 87 - Freshman Seminar (A),FA16,16,7,83.3%,100.0%,3.83,,
51,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA16,22,10,88.9%,100.0%,0.5,A (4.00),
52,"Cramer, Katie Lynn",ESYS 10 - Intro to Environmental Systems (A),SP16,35,27,96.3%,100.0%,3.24,B (3.29),B (3.26)
53,"Haymet, Anthony",ESYS 10 - Intro to Environmental Systems (A),SP16,33,25,96.0%,56.0%,3.3,B (3.23),B (3.26)
54,"Teranes, Jane",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP16,93,39,91.7%,94.4%,4.79,B+ (3.60),B (3.27)
55,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP16,40,22,95.2%,100.0%,6.5,A- (3.95),A- (3.78)
56,"Key, Kerry William",ESYS 102 - The Solid and Fluid Earth (A),WI16,93,48,93.0%,97.6%,3.74,B (3.26),B (3.06)
57,"Russell, Lynn M.",ESYS 102 - The Solid and Fluid Earth (A),WI16,92,46,92.9%,68.3%,3.77,B (3.27),B (3.06)
58,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA15,130,45,95.3%,97.7%,4.93,B+ (3.38),B (3.23)
59,"Taylor, Jennifer Rebecca",ESYS 101 - Environmental Biology (A),FA15,132,45,95.3%,83.7%,4.88,B+ (3.38),B (3.23)
60,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA15,27,15,100.0%,100.0%,1.64,A (4.00),
61,"Eckles, Megan Alma",ESYS 190B - Envir Sys/Senior Seminar (A),S115,8,3,66.7%,100.0%,9.17,A (4.00),
62,"Teranes, Jane",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP15,76,34,97.1%,97.1%,3.79,B+ (3.67),B+ (3.32)
63,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP15,21,12,100.0%,100.0%,8.68,A- (3.80),A- (3.95)
64,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (B),SP15,20,9,100.0%,100.0%,5.39,A- (3.86),A- (3.95)
65,"Haymet, Anthony",ESYS 10 - Intro to Environmental Systems (A),WI15,57,30,75.9%,69.0%,3.79,B (3.11),B (3.09)
66,"Key, Kerry William",ESYS 102 - The Solid and Fluid Earth (A),WI15,105,44,87.5%,95.0%,4.0,B+ (3.36),B (3.08)
67,"Russell, Lynn M.",ESYS 102 - The Solid and Fluid Earth (A),WI15,104,44,87.5%,77.5%,4.0,B+ (3.36),B (3.08)
68,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA14,139,55,92.0%,92.0%,3.56,B+ (3.41),B+ (3.38)
69,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),FA14,15,13,91.7%,100.0%,0.67,B+ (3.60),
70,"Eckles, Megan Alma",ESYS 190B - Envir Sys/Senior Seminar (A),S114,19,4,100.0%,100.0%,11.5,A (4.00),
71,"Teranes, Jane",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP14,78,31,90.3%,90.3%,4.57,B+ (3.57),B+ (3.48)
72,"Eckles, Megan Alma",ESYS 190B - Envir Sys/Senior Seminar (A),SP14,41,23,91.3%,95.7%,6.14,A- (3.95),A (4.00)
73,"Carilli, Jessica Elizabeth",ESYS 190B - Envir Sys/Senior Seminar (B),SP14,30,12,100.0%,100.0%,7.05,A- (3.82),A- (3.82)
74,"Haymet, Anthony",ESYS 10 - Intro to Environmental Systems (A),WI14,23,9,87.5%,100.0%,4.5,B (3.00),B+ (3.41)
75,"Russell, Lynn M.",ESYS 102 - The Solid and Fluid Earth (A),WI14,120,51,100.0%,70.8%,4.37,B+ (3.53),B (3.03)
76,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA13,133,51,92.0%,100.0%,4.66,B (3.29),B (3.23)
77,"Hamdoun, Amr",ESYS 101 - Environmental Biology (A),FA13,133,36,88.6%,94.3%,4.32,B (3.26),B (3.23)
78,"Chapple, Steve",ESYS 190B - Envir Sys/Senior Seminar (A),S113,23,5,100.0%,100.0%,4.5,A (4.00),A- (3.96)
79,"Bahadori, Mohammad Yousef",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP13,131,47,51.1%,29.8%,4.12,B+ (3.35),B- (3.00)
80,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP13,35,15,100.0%,100.0%,6.37,A (4.00),A- (3.89)
81,"Eckles, Megan Alma",ESYS 190B - Envir Sys/Senior Seminar (B),SP13,48,26,96.2%,100.0%,4.88,A- (3.92),A- (3.95)
82,"Teranes, Jane",ESYS 90 - Undergraduate Seminar (A),SP13,15,6,100.0%,100.0%,2.17,A (4.00),
83,"Eckles, Megan Alma",ESYS 10 - Intro to Environmental Systems (A),WI13,47,30,100.0%,100.0%,3.21,B+ (3.37),B (3.10)
84,"Key, Kerry William",ESYS 102 - The Solid and Fluid Earth (A),WI13,204,91,93.3%,92.1%,4.72,B+ (3.51),B- (2.84)
85,"Russell, Lynn M.",ESYS 102 - The Solid and Fluid Earth (A),WI13,204,91,92.2%,75.6%,4.74,B+ (3.52),B- (2.84)
86,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA12,218,113,91.9%,95.5%,4.59,B (3.28),B (3.13)
87,"Hamdoun, Amr",ESYS 101 - Environmental Biology (A),FA12,218,108,92.4%,94.3%,4.6,B+ (3.32),B (3.13)
88,"Chapple, Steve",ESYS 190B - Envir Sys/Senior Seminar (A),S112,21,6,66.7%,66.7%,7.3,A- (3.83),A- (3.78)
89,"Leonard-Pingel, Jill S",ESYS 10 - Intro to Environmental Systems (A),SP12,21,7,100.0%,100.0%,3.93,B+ (3.50),B (3.24)
90,"Werner, Bradley T.",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP12,98,52,82.7%,86.5%,5.58,A- (3.77),A- (3.75)
91,"Werner, Bradley T.",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP12,110,49,93.9%,81.6%,5.23,A- (3.88),A- (3.75)
92,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP12,50,26,96.0%,100.0%,5.54,A- (3.85),A- (3.96)
93,"Leonard-Pingel, Jill S",ESYS 90 - Undergraduate Seminar (A),SP12,22,10,90.0%,100.0%,0.5,,
94,"Teranes, Jane",ESYS 102 - The Solid and Fluid Earth (A),WI12,212,114,85.8%,53.6%,5.84,B- (2.89),B- (2.74)
95,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA11,196,100,92.0%,98.0%,5.11,B+ (3.36),B- (2.86)
96,"Burton, Ronald S.",ESYS 101 - Environmental Biology (A),FA11,196,101,92.0%,96.0%,5.0,B+ (3.36),B- (2.86)
97,"Chapple, Steve",ESYS 190B - Envir Sys/Senior Seminar (A),S111,11,7,100.0%,71.4%,5.36,A- (3.86),
98,"Gille, Sarah T",ESYS 103 - Envrnmntl Chall: Science & Sol (A),SP11,186,125,89.4%,88.6%,5.02,,B (3.04)
99,"Teranes, Jane",ESYS 190B - Envir Sys/Senior Seminar (A),SP11,38,20,95.0%,100.0%,5.3,A- (3.90),A- (3.86)
100,"Teranes, Jane",ESYS 10 - Intro to Environmental Systems (A),WI11,51,22,90.9%,95.5%,3.68,B+ (3.47),B- (2.96)
101,"Charles, Christopher D.",ESYS 102 - The Solid and Fluid Earth (A),WI11,129,61,73.8%,52.5%,4.9,B (3.23),B- (2.93)
102,"Severinghaus, Jeffrey P.",ESYS 102 - The Solid and Fluid Earth (A),WI11,129,62,74.2%,64.5%,4.8,B (3.23),B- (2.93)
103,"Allen, Eric",ESYS 101 - Environmental Biology (A),FA10,140,80,88.5%,93.7%,4.94,B (3.16),B- (2.81)
