,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Marez, Curtis F.",ETHN 100C - Social Justice Praxis (A),SP23,22,4,100.0%,100.0%,3.5,A (4.00),A- (3.84)
1,"Daly, Heather Marie",ETHN 101TV - Ethnic Images on TV (A),SP23,43,14,100.0%,90.9%,2.86,B+ (3.67),A- (3.73)
2,"Museus, Samuel David",ETHN 109 - Race & Social Movements (A),SP23,48,19,100.0%,100.0%,2.38,A- (3.94),A- (3.91)
3,"Werner, Bradley T.",ETHN 113A - Decolonizing Geology (A),SP23,25,9,100.0%,100.0%,5.61,A- (3.88),A- (3.95)
4,"Choi, Esther Min",ETHN 117 - Organic Social Movements (A),SP23,28,10,100.0%,100.0%,1.7,A (4.00),A (4.00)
5,"Tran, Ly Thi Hai",ETHN 126 - Comp Filip&Viet Am Ident&Cmnty (A),SP23,32,9,100.0%,100.0%,2.94,A- (3.78),A- (3.85)
6,"Martin Sandino, Amanda Maria Yoland",ETHN 127 - Sexuality & Nation (A),SP23,33,19,82.4%,100.0%,2.39,A- (3.78),A- (3.96)
7,"Martin Sandino, Amanda Maria Yoland",ETHN 137 - Latina Issues & Cultural Prod. (A),SP23,22,12,100.0%,100.0%,2.0,A- (3.92),A (4.00)
8,"Batarseh, Amanda Alicia",ETHN 166 - Topic:Arab/Muslim Amer Identy (A),SP23,22,10,100.0%,100.0%,3.1,A- (3.70),A- (3.95)
9,"Perez, Roy",ETHN 189 - Special Topics/Ethnic Studies (A),SP23,19,12,100.0%,100.0%,4.5,A- (3.92),
10,"Museus, Samuel David",ETHN 189 - Special Topics/Ethnic Studies (B),SP23,12,3,100.0%,100.0%,1.5,A (4.00),
11,"Fuste, Jose Ignacio",ETHN 30 - Intro Chicanx & Latinx Studies (A),SP23,96,51,100.0%,100.0%,4.54,B+ (3.42),B+ (3.49)
