,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Tan, Gene Brian",FMPH 101 - Epidemiology (A),SP23,71,29,96.3%,85.2%,4.8,B+ (3.44),B+ (3.43)
1,"Rana, Brinda Kanti",FMPH 102 - Biostatistics in Public Health (A),SP23,67,39,79.5%,78.9%,6.04,B (3.10),B (3.18)
2,"Rana, Brinda Kanti",FMPH 102 - Biostatistics in Public Health (B),SP23,70,52,88.5%,84.6%,5.88,B+ (3.46),B (3.19)
3,"Campbell, Chadwick Karl",FMPH 110 - Health Behavior & Chronic Dis (A),SP23,73,46,95.7%,97.8%,3.63,A- (3.89),A- (3.99)
4,"Nguyen-Grozavu, France T.",FMPH 120 - Health Policies/Healthy Lfesty (A),SP23,69,36,82.9%,82.9%,4.91,B+ (3.56),B+ (3.34)
5,"Ciborowski, Haley Minae",FMPH 130 - Environment & Occuption Health (A),SP23,68,57,98.2%,92.9%,4.86,B+ (3.59),B+ (3.57)
6,"Fielding-Miller, Rebecca",FMPH 155 - Qualitative Research (A),SP23,30,11,81.8%,81.8%,5.05,B+ (3.55),B- (2.85)
7,"Zoumas-Morse, Christine E.",FMPH 161 - ClinicalNutrition/PublicHealth (A),SP23,33,17,100.0%,100.0%,2.37,A- (3.80),A- (3.83)
8,"Harrell, Maralee Mae",FMPH 191 - Topics in Public Health (A),SP23,39,19,94.7%,94.7%,3.24,A- (3.95),B+ (3.59)
9,"Eikey, Elizabeth Victoria",FMPH 191 - Topics in Public Health (B),SP23,33,28,100.0%,100.0%,2.64,A- (3.86),A- (3.85)
10,"Zoumas-Morse, Christine E.",FMPH 194 - Public Health Capstone II (A),SP23,31,9,87.5%,87.5%,2.5,A- (3.88),A- (3.94)
11,"Nguyen-Grozavu, France T.",FMPH 194 - Public Health Capstone II (B),SP23,33,18,88.9%,83.3%,5.28,A- (3.94),A- (3.87)
12,"Ciborowski, Haley Minae",FMPH 194 - Public Health Capstone II (D),SP23,33,13,100.0%,100.0%,3.88,A (4.00),A- (3.99)
13,"Marquez, Becky",FMPH 194 - Public Health Capstone II (E),SP23,34,29,93.1%,100.0%,5.47,A- (3.97),A- (3.93)
