,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Wilson, Brenda K",GLBH 100 - Special Topics/Global Health (C),SP23,43,20,100.0%,93.8%,3.97,A- (3.84),A- (3.70)
1,"Sanchez, Giselle",GLBH 100 - Special Topics/Global Health (E),SP23,62,29,96.6%,96.6%,3.19,A- (3.81),A- (3.79)
2,"Sloane, Julia Kathryn",GLBH 101 - Aging: Culture&Health/Hum Dev (A),SP23,34,15,92.3%,92.3%,2.35,A- (3.75),A- (3.82)
3,"Stewart, Alexander B",GLBH 105 - Global Health and Inequality (A),SP23,31,19,94.7%,94.7%,4.61,A- (3.88),A- (3.84)
4,"Wilson, Brenda K",GLBH 107 - Health/Refugees&DisplacedPop (A),SP23,50,17,93.8%,93.8%,3.75,A (4.00),A (4.00)
5,"Olivas Hernandez, Olga Lid",GLBH 109 - Decolonizing Global Health (A),SP23,41,13,100.0%,100.0%,3.67,A (4.00),A- (3.76)
6,"Burgos, Jose L.",GLBH 111 - Health Frontiers in Tijuana (A),SP23,15,5,100.0%,100.0%,3.3,A (4.00),
7,"Burgos, Jose L.",GLBH 111 - Health Frontiers in Tijuana (B),SP23,15,7,100.0%,100.0%,2.5,A (4.00),
8,"Walkover, Lillian B",GLBH 114W - CSI: GlobalHealthCommunication (A),SP23,17,16,100.0%,93.3%,3.5,A- (3.80),
9,"Stewart, Alexander B",GLBH 147 - Global Health and Environment (A),SP23,29,14,100.0%,100.0%,4.79,B+ (3.62),B+ (3.43)
10,"Olivas Hernandez, Olga Lid",GLBH 148 - Global Health&Cultrl Diversity (A),SP23,127,36,88.2%,82.4%,3.97,A- (3.85),A- (3.89)
11,"Wu, Hua",GLBH 150B - Horizons Honors Thesis Sem II (A),SP23,14,3,100.0%,100.0%,5.17,A (4.00),
12,"Burgos, Jose L.",GLBH 181 - Essentials of Global Health (A),SP23,195,153,90.1%,90.8%,3.03,A- (3.99),A- (3.90)
13,"Wu, Hua",GLBH 20 - Introduction to Global Health (A),SP23,144,60,96.6%,98.3%,3.57,B+ (3.57),B+ (3.32)
14,"Arnal, Maud Marie Leonie",GLBH 100 - Special Topics/Global Health (B),WI23,39,19,94.1%,100.0%,3.24,A- (3.94),A- (3.80)
15,"Burgos, Jose L.",GLBH 102 - Global Health Epidemiology (A),WI23,24,18,88.9%,88.9%,4.5,A- (3.89),A- (3.89)
16,"Wilson, Brenda K",GLBH 104 - Humanities Ethics Professional (A),WI23,25,14,100.0%,92.3%,3.5,A- (3.92),A- (3.81)
17,"Olivas Hernandez, Olga Lid",GLBH 108 - Hispanic and Latinx Issues/GH (A),WI23,20,4,100.0%,100.0%,3.17,A (4.00),A- (3.96)
18,"Burgos, Jose L.",GLBH 111 - Health Frontiers in Tijuana (A),WI23,18,9,88.9%,88.9%,2.72,A (4.00),
19,"Burgos, Jose L.",GLBH 111 - Health Frontiers in Tijuana (B),WI23,17,6,100.0%,100.0%,3.83,A (4.00),
20,"Sanghvi, Reema I",GLBH 141 - Clinical Perspectives in GH (A),WI23,16,10,100.0%,100.0%,4.9,A- (3.90),
21,"Kang, Byung Chu",GLBH 146 - Global Health Persp/HIV (A),WI23,70,29,84.6%,76.9%,3.42,A- (3.88),B+ (3.63)
22,"Walkover, Lillian B",GLBH 148 - Global Health&Cultrl Diversity (A),WI23,110,81,92.6%,87.7%,3.9,B+ (3.62),B+ (3.33)
23,"Sloane, Julia Kathryn",GLBH 150 - Culture and Mental Health (A),WI23,30,9,100.0%,100.0%,3.83,A- (3.78),B+ (3.64)
24,"Wu, Hua",GLBH 150A - Horizons Honors Thesis Sem I (A),WI23,14,3,100.0%,100.0%,5.17,A (4.00),
25,"Mackey, Timothy Ken",GLBH 160 - Global Health Policy (A),WI23,59,19,94.4%,100.0%,3.39,B+ (3.56),B+ (3.34)
26,"Jenkins, Janis A.",GLBH 171R - Global Mental Health (A),WI23,54,16,100.0%,100.0%,4.07,A (4.00),B+ (3.65)
27,"Card, Alan",GLBH 181 - Essentials of Global Health (A),WI23,275,90,98.8%,98.8%,3.13,A- (3.94),A- (3.89)
