,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Ackerman, Farrell",HDS 1 - Intro/HumanDevelopmentScience (A),SP23,191,68,93.8%,92.2%,3.72,B (3.24),B+ (3.36)
1,"Kamowski-Shakibai, Margare",HDS 120 - Language Development (A),SP23,73,20,88.9%,88.9%,3.06,A- (3.83),A- (3.75)
2,"Rodriguez, Victoria Calip",HDS 122 - Development/Social Cognition (A),SP23,94,26,100.0%,100.0%,3.27,A (4.00),A- (3.92)
3,"Ishizuka, Katie E","HDS 173 - Race, Media, and Identity (A)",SP23,44,21,100.0%,100.0%,2.8,A- (3.95),A- (3.87)
4,"Bjorklund, Peter",HDS 181 - Exper Proj/Human Dev. Resear (A),SP23,24,14,100.0%,100.0%,6.35,B+ (3.38),A- (3.75)
5,"Reese, Clarissa Jane",HDS 191 - Field Resrch/Human Development (A),SP23,12,6,50.0%,100.0%,7.5,B- (2.75),
6,"Reese, Clarissa Jane",HDS 191 - Field Resrch/Human Development (B),SP23,14,4,0.0%,0.0%,14.5,B+ (3.50),
7,"Warstadt, Melissa Fawn",HDS 60 - Intro to Statistical Analysis (A),SP23,38,14,92.3%,92.3%,4.35,B+ (3.31),B (3.21)
8,"Ackerman, Farrell",HDS 95 - Career Development Seminar (A),SP23,31,11,100.0%,90.9%,1.05,A (4.00),
9,"Wilder, Linnea Lorene",HDS 110 - Brain & Behavioral Development (A),WI23,78,36,100.0%,100.0%,4.56,B+ (3.56),B (3.25)
10,"Stewart, Alexander B",HDS 133 - Cross-Cultural Perspectives (A),WI23,102,74,86.5%,90.5%,3.39,B+ (3.45),B+ (3.59)
11,"Rodriguez, Victoria Calip",HDS 150 - Senior Seminar (A),WI23,18,6,100.0%,100.0%,1.5,A (4.00),
12,"Ishizuka, Katie E","HDS 173 - Race, Media, and Identity (A)",WI23,39,8,100.0%,100.0%,2.75,A- (3.88),A- (3.82)
13,"Bjorklund, Peter",HDS 181 - Exper Proj/Human Dev. Resear (A),WI23,18,7,100.0%,100.0%,8.79,B (3.00),
14,"Warstadt, Melissa Fawn",HDS 60 - Intro to Statistical Analysis (A),WI23,39,17,100.0%,100.0%,2.25,B+ (3.47),B (3.23)
15,"Ackerman, Farrell",HDS 95 - Career Development Seminar (A),WI23,26,25,96.0%,96.0%,1.0,A (4.00),
16,"Reese, Clarissa Jane",HDS 1 - Intro/HumanDevelopmentScience (A),FA22,204,112,96.3%,96.3%,3.58,B+ (3.59),A- (3.73)
17,"Wilder, Linnea Lorene",HDS 111 - Evolution in Human Development (A),FA22,55,17,100.0%,100.0%,3.63,B+ (3.38),B- (2.97)
18,"Deak, Gedeon O.",HDS 121 - The Developing Mind (A),FA22,39,14,92.3%,92.3%,5.27,B (3.23),B (3.09)
19,"Sloane, Julia Kathryn",HDS 150 - Senior Seminar (B),FA22,9,4,100.0%,100.0%,2.0,B+ (3.67),
20,"Ishizuka, Katie E","HDS 173 - Race, Media, and Identity (A)",FA22,42,15,100.0%,100.0%,2.79,A- (3.93),A- (3.95)
21,"Bjorklund, Peter",HDS 181 - Exper Proj/Human Dev. Resear (A),FA22,26,11,100.0%,100.0%,8.1,B+ (3.56),B+ (3.42)
22,"Reese, Clarissa Jane",HDS 191 - Field Resrch/Human Development (A),FA22,11,5,40.0%,100.0%,10.1,B+ (3.40),
23,"Warstadt, Melissa Fawn",HDS 60 - Intro to Statistical Analysis (A),FA22,34,13,92.3%,100.0%,3.12,B+ (3.62),B (3.17)
24,"Ackerman, Farrell",HDS 1 - Intro/HumanDevelopmentScience (A),SP22,125,53,92.3%,90.4%,3.97,B+ (3.36),B (3.20)
25,"Kamowski-Shakibai, Margare",HDS 120 - Language Development (A),SP22,80,30,100.0%,88.9%,3.29,A- (3.93),B+ (3.70)
26,"Rodriguez, Victoria Calip",HDS 122 - Development/Social Cognition (A),SP22,66,21,84.2%,100.0%,2.6,A- (3.90),A- (3.91)
27,"Shadyab, Aladdin Hassan",HDS 150 - Senior Seminar (A),SP22,18,16,100.0%,100.0%,2.75,A (4.00),
28,"Kamowski-Shakibai, Margare",HDS 150 - Senior Seminar (B),SP22,16,5,80.0%,80.0%,5.3,B+ (3.60),
29,"Sloane, Julia Kathryn",HDS 150 - Senior Seminar (C),SP22,19,7,100.0%,85.7%,3.36,A- (3.71),
30,"Ishizuka, Katie E","HDS 173 - Race, Media, and Identity (A)",SP22,48,9,88.9%,100.0%,4.28,A (4.00),A- (3.89)
31,"Bjorklund, Peter",HDS 181 - Exper Proj/Human Dev. Resear (A),SP22,19,9,100.0%,100.0%,7.39,A- (3.89),
32,"Reese, Clarissa Jane",HDS 191 - Field Resrch/Human Development (A),SP22,10,3,66.7%,100.0%,12.5,B (3.00),
33,"Reese, Clarissa Jane",HDS 191 - Field Resrch/Human Development (B),SP22,10,4,25.0%,75.0%,9.0,B- (2.75),
34,"Warstadt, Melissa Fawn",HDS 60 - Intro to Statistical Analysis (A),SP22,22,10,100.0%,100.0%,4.5,B+ (3.33),B- (2.75)
35,"Ackerman, Farrell",HDS 95 - Career Development Seminar (A),SP22,17,14,100.0%,100.0%,1.07,,
36,"Wilder, Linnea Lorene",HDS 110 - Brain & Behavioral Development (A),WI22,71,32,93.3%,93.3%,4.71,B+ (3.61),B+ (3.35)
37,"Stewart, Alexander B",HDS 133 - Cross-Cultural Perspectives (A),WI22,80,66,81.5%,89.2%,4.13,B+ (3.42),B+ (3.43)
38,"Rodriguez, Victoria Calip",HDS 150 - Senior Seminar (A),WI22,19,4,100.0%,100.0%,3.0,A (4.00),
39,"Ishizuka, Katie E",HDS 160 - Special Topics/Human Develpmnt (A),WI22,12,5,80.0%,80.0%,4.1,A- (3.80),
40,"Ishizuka, Katie E","HDS 173 - Race, Media, and Identity (A)",WI22,41,16,100.0%,100.0%,3.38,A- (3.81),A- (3.77)
41,"Bjorklund, Peter",HDS 181 - Exper Proj/Human Dev. Resear (A),WI22,22,7,100.0%,85.7%,9.93,B+ (3.57),B+ (3.31)
42,"Reese, Clarissa Jane",HDS 191 - Field Resrch/Human Development (A),WI22,12,12,58.3%,66.7%,11.83,B- (2.83),
43,"Reese, Clarissa Jane",HDS 191 - Field Resrch/Human Development (B),WI22,11,10,60.0%,70.0%,9.7,B- (2.70),
44,"Warstadt, Melissa Fawn",HDS 60 - Intro to Statistical Analysis (A),WI22,23,17,100.0%,100.0%,4.26,B- (2.94),C+ (2.39)
45,"Ackerman, Farrell",HDS 95 - Career Development Seminar (A),WI22,15,5,100.0%,100.0%,1.0,,
46,"Reese, Clarissa Jane",HDS 1 - Intro/HumanDevelopmentScience (A),FA21,189,113,96.4%,96.3%,3.67,B+ (3.38),B (3.12)
47,"Wilder, Linnea Lorene",HDS 111 - Evolution in Human Development (A),FA21,52,12,91.7%,100.0%,4.17,B (3.08),B- (2.84)
48,"Deak, Gedeon O.",HDS 121 - The Developing Mind (A),FA21,32,14,92.9%,85.7%,3.64,B (3.29),B+ (3.33)
49,"Rodriguez, Victoria Calip",HDS 150 - Senior Seminar (A),FA21,20,7,100.0%,100.0%,3.5,B+ (3.40),A- (3.93)
50,"Stephens, Ramon L","HDS 173 - Race, Media, and Identity (A)",FA21,34,7,100.0%,100.0%,4.79,B+ (3.57),B+ (3.59)
51,"Bjorklund, Peter",HDS 181 - Exper Proj/Human Dev. Resear (A),FA21,41,20,84.2%,100.0%,8.8,A- (3.75),B (3.25)
52,"Reese, Clarissa Jane",HDS 191 - Field Resrch/Human Development (A),FA21,22,8,57.1%,57.1%,9.36,B- (2.71),B- (2.74)
53,"Warstadt, Melissa Fawn",HDS 60 - Intro to Statistical Analysis (A),FA21,25,14,92.9%,100.0%,2.79,B+ (3.50),B (3.22)
