,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP23,69,30,93.1%,96.6%,4.37,B+ (3.54),B (3.19)
1,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI23,63,19,94.1%,100.0%,3.72,B+ (3.44),B (3.24)
2,"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP22,76,21,100.0%,100.0%,3.1,A- (3.72),B+ (3.59)
3,"Rosenfeld, Susan Alexandra",HIAF 123 - W Africa/Earliest Times - 1800 (A),SP22,47,14,100.0%,100.0%,3.88,A- (3.75),B+ (3.63)
4,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI22,73,31,100.0%,100.0%,2.89,B+ (3.64),B+ (3.49)
5,"Rosenfeld, Susan Alexandra",HIAF 112 - West Africa Since 1880 (A),FA21,47,18,88.2%,94.1%,3.68,A- (3.71),B+ (3.64)
6,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),SP21,77,26,88.5%,80.8%,4.18,B+ (3.64),B+ (3.56)
7,"Rosenfeld, Susan Alexandra",HIAF 112 - West Africa Since 1880 (A),SP21,42,15,100.0%,93.3%,3.57,B+ (3.67),B+ (3.66)
8,"Rosenfeld, Susan Alexandra",HIAF 123 - W Africa/Earliest Times - 1800 (A),WI21,44,15,100.0%,100.0%,4.37,B+ (3.47),B+ (3.56)
9,"Rosenfeld, Susan Alexandra",HIAF 111 - Modern Africa Since 1880 (A),FA20,45,16,100.0%,100.0%,3.97,A- (3.86),B+ (3.66)
10,"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),FA20,44,13,100.0%,100.0%,3.58,B+ (3.67),B+ (3.33)
11,"Rosenfeld, Susan Alexandra",HIAF 112 - West Africa Since 1880 (A),SP20,42,14,100.0%,100.0%,4.81,A- (3.91),A- (3.80)
12,"Prestholdt, Jeremy",HIAF 161 - Special Topics/African History (B),SP20,16,8,100.0%,100.0%,6.25,B+ (3.43),
13,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI20,79,34,100.0%,100.0%,3.13,A- (3.72),B+ (3.58)
14,"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),WI19,129,46,100.0%,100.0%,3.26,A- (3.70),B+ (3.41)
15,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),FA18,87,37,100.0%,100.0%,3.72,B+ (3.58),B+ (3.46)
16,"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP18,118,46,100.0%,97.8%,4.06,B+ (3.59),B+ (3.64)
17,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI18,65,37,97.1%,100.0%,3.64,B+ (3.62),B+ (3.49)
18,"Rosenfeld, Susan Alexandra",HIAF 111 - Modern Africa Since 1880 (A),SP17,27,10,100.0%,90.0%,3.1,A- (3.80),B+ (3.63)
19,"Rosenfeld, Susan Alexandra",HIAF 112 - West Africa Since 1880 (A),WI17,27,12,100.0%,100.0%,3.59,B+ (3.50),A- (3.75)
20,"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP16,69,33,96.9%,96.9%,3.08,B+ (3.69),B+ (3.53)
21,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI16,62,48,100.0%,97.9%,3.37,B+ (3.45),B (3.29)
22,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),FA14,67,34,96.9%,96.9%,4.11,B+ (3.58),B+ (3.40)
23,"Reynolds, Edward",HIAF 123 - W Africa/Earliest Times - 1800 (A),SP14,23,8,100.0%,100.0%,7.0,A- (3.75),A- (3.77)
24,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI14,41,35,97.1%,100.0%,5.07,B+ (3.53),B+ (3.33)
25,"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),WI14,28,21,100.0%,100.0%,2.79,B+ (3.37),B (3.02)
26,"Reynolds, Edward",HIAF 120 - History of South Africa (A),FA13,35,15,85.7%,85.7%,5.27,A- (3.73),B+ (3.41)
27,"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),S113,16,6,80.0%,100.0%,3.7,A- (3.75),
28,"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP13,102,24,95.5%,95.5%,4.05,B+ (3.60),B+ (3.44)
29,"Reynolds, Edward",HIAF 120 - History of South Africa (A),WI13,31,13,92.3%,92.3%,3.17,A (4.00),B (3.25)
30,"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),FA12,70,30,96.6%,96.6%,3.86,B+ (3.36),B (3.29)
31,"Reynolds, Edward",HIAF 120 - History of South Africa (A),S112,17,6,100.0%,100.0%,4.5,A- (3.80),
32,"Reynolds, Edward",HIAF 120 - History of South Africa (A),SP12,50,19,100.0%,94.7%,4.39,B+ (3.53),B+ (3.45)
33,"Reynolds, Edward",HIAF 112 - West Africa Since 1880 (A),FA11,62,29,82.8%,93.1%,4.64,B+ (3.42),B+ (3.41)
34,"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),S111,24,13,76.9%,84.6%,6.65,B+ (3.50),B (3.20)
35,"Reynolds, Edward",HIAF 120 - History of South Africa (A),S111,22,6,100.0%,100.0%,6.17,B+ (3.50),B (3.29)
36,"Reynolds, Edward",HIAF 120 - History of South Africa (A),SP11,64,26,92.3%,92.3%,3.96,B+ (3.50),B (3.27)
