,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Matsumura, Wendy Y",HIEA 114 - Postwar Japan (A),SP23,101,30,100.0%,96.4%,3.21,A- (3.93),A- (3.90)
1,"Kletzer, Benjamin Nathan",HIEA 131 - China/War & Revolution 1911-49 (A),SP23,46,17,94.1%,88.2%,4.03,B+ (3.69),B+ (3.48)
2,"Lu, Weijing",HIEA 138 - Women & the Chinese Revolution (A),SP23,24,11,77.8%,77.8%,5.5,B+ (3.56),B (3.12)
3,"Gerth, Karl G.",HIEA 140R - China Since 1978 (A),SP23,18,10,100.0%,88.9%,7.3,A (4.00),
4,"Henry, Todd A.","HIEA 151 - The Two Koreas, 1945-Prsent (A)",SP23,49,15,100.0%,100.0%,4.77,B (3.07),
5,"Matsumura, Wendy Y",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),WI23,51,18,100.0%,100.0%,3.36,A- (3.85),A- (3.92)
6,"Muscolino, Micah S",HIEA 144 - Topics in East Asian History (A),WI23,36,11,100.0%,100.0%,7.7,B+ (3.67),B+ (3.33)
7,"Henry, Todd A.","HIEA 150 - Modern Korea, 1800-1945 (A)",WI23,52,15,85.7%,78.6%,5.27,B- (2.91),B (3.03)
8,"Matsumura, Wendy Y",HIEA 190M - Special Topics in EA Mod. Hist (A),WI23,18,3,100.0%,100.0%,4.5,A (4.00),
9,"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),FA22,54,20,75.0%,68.4%,7.2,B+ (3.33),B- (2.71)
10,"Henry, Todd A.",HIEA 144 - Topics in East Asian History (A),FA22,38,13,100.0%,100.0%,5.27,B+ (3.33),
11,"Lu, Weijing",HIEA 171 - Society & Culture/Premod China (A),FA22,9,3,100.0%,100.0%,8.5,A (4.00),
12,"Chan, Thomas Arthur Kwok Wah",HIEA 131 - China/War & Revolution 1911-49 (A),S122,28,12,91.7%,91.7%,5.5,A- (3.83),A- (3.90)
13,"Matsumura, Wendy Y",HIEA 114 - Postwar Japan (A),SP22,74,23,100.0%,100.0%,4.5,A- (3.95),A- (3.75)
14,"Matsumura, Wendy Y",HIEA 115 - Social&Cultural/20th C Japan (A),SP22,97,30,93.1%,96.6%,3.69,A- (3.88),A- (3.78)
15,"Schneewind, Sarah",HIEA 124 - Life in Ming China (1368-1644) (A),SP22,44,31,93.5%,96.8%,6.05,B (3.29),B- (2.76)
16,"Gerth, Karl G.",HIEA 140R - China Since 1978 (A),SP22,24,9,57.1%,57.1%,8.21,B+ (3.40),B (3.23)
17,"Lu, Weijing",HIEA 144 - Topics in East Asian History (A),SP22,30,10,70.0%,80.0%,4.3,B (3.22),B (3.13)
18,"Henry, Todd A.",HIEA 153 - Social&Cultural Hist/20c Korea (A),SP22,47,14,85.7%,100.0%,6.64,B (3.29),B (3.07)
19,"Matsumura, Wendy Y",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),WI22,124,43,100.0%,100.0%,3.76,A- (3.75),A- (3.83)
20,"Kletzer, Benjamin Nathan",HIEA 131 - China/War & Revolution 1911-49 (A),WI22,46,17,94.1%,94.1%,5.21,A- (3.81),B (3.13)
21,"Lu, Weijing",HIEA 138 - Women & the Chinese Revolution (A),WI22,31,9,100.0%,100.0%,5.0,B (3.00),C+ (2.67)
22,"Henry, Todd A.",HIEA 154 - Korean History Through Film (A),WI22,68,21,84.2%,94.7%,6.3,B (3.19),B (3.07)
23,"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),FA21,48,18,88.2%,100.0%,4.13,B (3.14),B- (2.78)
24,"Lu, Weijing",HIEA 171 - Society & Culture/Premod China (A),FA21,8,4,100.0%,100.0%,6.5,B (3.25),
25,"Chan, Thomas Arthur Kwok Wah",HIEA 132 - Hist/People's Republic/China (A),S221,25,6,100.0%,100.0%,5.83,A (4.00),A- (3.90)
