,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Edelman, Robert S.",HIEU 114 - USSR & Russia:1917 to Present (A),SP23,70,22,95.5%,95.5%,3.95,A- (3.84),A- (3.70)
1,"Aschenbrenner, Nathanael A",HIEU 115 - The Pursuit of the Millenium (A),SP23,57,25,95.8%,100.0%,4.0,A- (3.79),B+ (3.52)
2,"Devereux, Andrew W",HIEU 144 - Topics in European History (A),SP23,48,16,93.8%,93.8%,4.13,B+ (3.43),B (3.03)
3,"Radcliff, Pamela B.",HIEU 151 - Spain Since 1808 (A),SP23,27,7,100.0%,100.0%,7.36,B (3.29),B (3.18)
4,"Watts, Edward J.",HIEU 103 - Decline and Fall/Roman Empire (A),WI23,99,23,87.0%,87.0%,5.26,B (3.07),B- (2.98)
5,"Caciola, Nancy A",HIEU 111 - Europe in the Middle Ages (A),WI23,53,14,92.9%,92.9%,4.36,B+ (3.57),B+ (3.46)
6,"Gallant, Thomas W.",HIEU 116C - Greece/Balkans/20th Century (A),WI23,49,19,100.0%,100.0%,3.03,B+ (3.68),B+ (3.43)
7,"Aschenbrenner, Nathanael A",HIEU 120 - The Renaissance in Italy (A),WI23,50,14,100.0%,100.0%,4.07,B+ (3.45),B+ (3.63)
8,"Demetriou, Denise",HIEU 123 - Classical Greek History (A),WI23,25,22,100.0%,100.0%,7.32,B+ (3.60),B+ (3.41)
9,"Strasser, Ulrike",HIEU 139 - Sex and Gender 1500-1800 (A),WI23,53,27,92.6%,92.6%,4.72,B+ (3.63),B+ (3.63)
10,"Radcliff, Pamela B.","HIEU 146 - Fascism,Communism 1919-1945 (A)",WI23,64,23,91.3%,95.5%,4.33,B+ (3.35),B (3.11)
11,"Neuheiser, Joerg",HIEU 150 - Modern British History (A),WI23,36,22,81.8%,100.0%,5.5,B+ (3.42),B- (2.83)
12,"Caciola, Nancy A",HIEU 163 - Special Topics/Medievl History (A),WI23,11,6,83.3%,83.3%,7.17,B (3.20),
13,"Watts, Edward J.",HIEU 102 - Roman History (A),FA22,119,34,86.2%,93.1%,4.57,B (3.11),B- (2.91)
14,"Caciola, Nancy A",HIEU 107 - PaganEurope&ChristianAftermath (A),FA22,50,12,75.0%,83.3%,5.5,B+ (3.55),B+ (3.40)
15,"Balberg, Mira",HIEU 108 - Sex & Politics/Ancient World (A),FA22,65,32,100.0%,100.0%,3.38,A- (3.78),B+ (3.43)
16,"Neuheiser, Joerg",HIEU 128 - Europe since 1945 (A),FA22,48,35,85.7%,97.1%,5.36,B (3.23),B- (2.96)
17,"Aschenbrenner, Nathanael A",HIEU 144 - Topics in European History (A),FA22,46,17,100.0%,100.0%,3.44,B+ (3.33),B+ (3.58)
18,"Devereux, Andrew W",HIEU 149 - Medieval Spain (A),FA22,58,21,90.0%,100.0%,4.6,A- (3.70),B- (2.75)
19,"Biess, Frank Peter",HIEU 154 - Mod German/Bismarck to Hitler (A),FA22,68,57,94.7%,98.2%,4.99,B+ (3.49),B+ (3.36)
20,"Westerfeld, Kevin John",HIEU 124 - The Age of Alexander (A),S222,26,19,100.0%,100.0%,7.34,B+ (3.53),B+ (3.33)
21,"Gray, Taylor Erin","HIEU 146 - Fascism,Communism 1919-1945 (A)",S222,19,9,88.9%,88.9%,6.28,B+ (3.50),
22,"Patterson, Patrick H.",HIEU 152GS - Everyday Life/Dictatorial Soc (A),S222,28,19,94.4%,100.0%,10.18,A- (3.86),A- (3.90)
23,"Marvin, Jamie Marie",HIEU 102A - Ancient Roman Civilization (A),S122,19,12,91.7%,100.0%,5.83,B+ (3.55),
24,"Crum, Matthew Stephen",HIEU 104 - Byzantine Empire (A),S122,17,14,100.0%,100.0%,4.93,A- (3.85),
25,"Ehrlich, Matthew Lawrence",HIEU 109 - Nationalism in Europe (A),S122,21,8,100.0%,100.0%,4.21,A (4.00),A- (3.79)
26,"Wood, Lauren Elizabeth",HIEU 111 - Europe in the Middle Ages (A),S122,29,5,80.0%,80.0%,7.7,B+ (3.40),B (3.23)
27,"Caldwell, Michael Alan",HIEU 121GS - Scotl/Engl Civil War 1601-1689 (A),S122,23,6,100.0%,100.0%,5.17,B+ (3.33),B+ (3.34)
28,"Polic, Ivana",HIEU 148 - Europe and the World II (A),S122,30,9,100.0%,100.0%,5.39,B+ (3.56),B+ (3.46)
29,"Edelman, Robert S.",HIEU 114 - USSR & Russia:1917 to Present (A),SP22,69,20,90.0%,100.0%,4.0,A- (3.85),A- (3.72)
30,"Neuheiser, Joerg",HIEU 150 - Modern British History (A),SP22,55,44,86.0%,95.3%,5.23,B (3.26),B- (2.92)
31,"Demetriou, Denise",HIEU 160 - Topics/Ancient Greek History (A),SP22,12,3,100.0%,100.0%,6.5,B+ (3.67),
32,"Edelman, Robert S.",HIEU 178 - Soviet History (A),SP22,18,7,85.7%,100.0%,7.07,B+ (3.67),
33,"Watts, Edward J.",HIEU 102 - Roman History (A),WI22,116,36,82.9%,80.0%,6.21,B+ (3.45),B (3.21)
34,"Caciola, Nancy A",HIEU 107 - PaganEurope&ChristianAftermath (A),WI22,48,15,93.3%,93.3%,3.7,A- (3.80),B+ (3.56)
35,"Demetriou, Denise",HIEU 122 - Archaic Greek History (A),WI22,51,27,100.0%,100.0%,6.13,B (3.27),B (3.06)
