,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Cowan, Benjamin A",HILA 102 - Latin America/Twentieth Centry (A),SP23,46,13,76.9%,84.6%,4.35,B+ (3.42),B+ (3.40)
1,"Graham, Jessica Lynn",HILA 121B - History of Brazil 1889-Present (A),SP23,52,17,100.0%,93.8%,5.38,B+ (3.67),A- (3.71)
2,"Pineda De Avila, Nydia",HILA 135 - Knowledge & Science 1500-1800 (A),SP23,33,11,100.0%,100.0%,3.1,A- (3.80),A- (3.86)
3,"Cowan, Benjamin A",HILA 168 - Schlr/Latin American 19th Cent (A),SP23,6,3,100.0%,100.0%,7.17,B+ (3.33),
4,"Cowan, Benjamin A",HILA 114 - Dictatorships in Latin America (A),WI23,59,24,95.7%,100.0%,5.02,B+ (3.62),B (3.21)
5,"Cowan, Benjamin A",HILA 121A - History of Brazil through 1889 (A),WI23,43,12,100.0%,100.0%,4.17,A- (3.82),B+ (3.54)
6,"Vitz, Matthew",HILA 119 - CentralAmerica&US Intervention (A),FA22,68,10,100.0%,100.0%,3.5,B+ (3.67),B+ (3.63)
7,"Widener, Daniel",HILA 122 - ColonyToSocialistRepublic:Cuba (A),FA22,58,19,89.5%,89.5%,5.03,B+ (3.47),B+ (3.61)
8,"Cowan, Benjamin A",HILA 102 - Latin America/Twentieth Centry (A),WI22,47,12,90.0%,100.0%,6.1,A- (3.80),B+ (3.46)
9,"Cowan, Benjamin A",HILA 101 - Nation-State Formation/LatinAm (A),FA21,48,19,66.7%,61.1%,6.83,B (3.28),B- (2.95)
10,"Cowan, Benjamin A",HILA 121B - History of Brazil 1889-Present (A),FA21,52,24,100.0%,100.0%,4.83,B+ (3.33),B (3.18)
11,"Campos, Amie",HILA 145 - People & Nature in Amazonia (A),S221,24,3,100.0%,100.0%,12.5,B+ (3.33),B- (2.98)
12,"Martins Marcos, Patricia I",HILA 121A - History of Brazil through 1889 (A),S121,11,6,100.0%,100.0%,9.17,B- (2.80),
13,"Campos, Amie",HILA 133S - Guerrillas & Revolution/LatAmr (A),S121,26,9,100.0%,100.0%,5.75,C+ (2.56),B+ (3.30)
14,"Vitz, Matthew",HILA 119 - CentralAmerica&US Intervention (A),SP21,55,16,100.0%,100.0%,4.23,B+ (3.57),B+ (3.40)
15,"Widener, Daniel",HILA 122 - ColonyToSocialistRepublic:Cuba (A),SP21,44,14,100.0%,100.0%,5.07,B+ (3.57),B+ (3.44)
16,"Vitz, Matthew",HILA 132 - Modern Mexico (A),SP21,132,33,89.7%,82.8%,4.5,B+ (3.44),B+ (3.33)
17,"Pineda De Avila, Nydia",HILA 144 - Topics/Latin American History (A),SP21,20,10,90.0%,100.0%,4.7,B+ (3.60),A- (3.84)
18,"Cowan, Benjamin A",HILA 102 - Latin America/Twentieth Centry (A),WI21,56,25,92.0%,88.0%,5.62,B+ (3.45),B+ (3.32)
19,"Cowan, Benjamin A",HILA 121B - History of Brazil 1889-Present (A),WI21,46,20,100.0%,100.0%,5.03,B+ (3.50),B+ (3.32)
20,"Vitz, Matthew",HILA 131 - Mexico/Conquest to Mod (A),WI21,91,24,87.5%,82.6%,4.0,B+ (3.52),A- (3.81)
