,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Golan, Tal",HISC 107 - Emergence of Modern Science (A),SP23,49,21,80.0%,65.0%,2.61,B+ (3.47),B (3.14)
1,"Gere, Catherina M.",HISC 117 - History of the Neurosciences (A),SP23,34,9,100.0%,100.0%,5.25,B+ (3.63),B (3.07)
2,"Edington, Claire Ellen",HISC 109 - Invention of Tropical Disease (A),WI23,46,16,100.0%,100.0%,5.75,A- (3.71),B+ (3.46)
3,"Pineda De Avila, Nydia",HISC 123 - Exploring the Skiesc.1500-1800 (A),WI23,21,10,100.0%,90.0%,4.3,B+ (3.50),A- (3.94)
4,"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",WI23,52,8,85.7%,71.4%,2.79,B+ (3.40),B+ (3.35)
5,"Pineda De Avila, Nydia",HISC 106 - The Scientific Revolution (A),FA22,39,8,62.5%,62.5%,3.5,B+ (3.67),A- (3.75)
6,"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),FA22,117,50,95.7%,97.8%,3.46,B+ (3.69),B+ (3.49)
7,"Edington, Claire Ellen",HISC 109 - Invention of Tropical Disease (A),S222,15,4,100.0%,100.0%,6.0,B+ (3.33),
8,"Golan, Tal",HISC 119 - Biology and Society (A),S222,24,4,100.0%,100.0%,6.5,A- (3.75),B+ (3.57)
9,"Gere, Catherina M.",HISC 108 - Life Sciences in 20th Century (A),SP22,77,24,95.7%,100.0%,3.93,B+ (3.38),B+ (3.31)
10,"Golan, Tal",HISC 119 - Biology and Society (A),SP22,26,8,100.0%,100.0%,5.17,A (4.00),A- (3.81)
11,"Edington, Claire Ellen",HISC 109 - Invention of Tropical Disease (A),WI22,32,16,93.8%,100.0%,4.63,A- (3.71),A- (3.79)
12,"Edington, Claire Ellen",HISC 176 - History/Medicine/E & SE Asia (A),WI22,11,7,100.0%,100.0%,8.1,A- (3.80),
13,"Golan, Tal",HISC 180 - Science and Public Policy (A),WI22,11,4,100.0%,100.0%,8.5,B+ (3.67),
14,"Golan, Tal",HISC 107 - Emergence of Modern Science (A),FA21,48,15,80.0%,93.3%,4.1,B+ (3.54),B- (2.89)
15,"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),FA21,114,43,90.0%,97.6%,4.26,B+ (3.44),B (3.23)
16,"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",FA21,50,19,83.3%,82.4%,2.83,A- (3.76),B+ (3.69)
17,"Edington, Claire Ellen",HISC 109 - Invention of Tropical Disease (A),S221,23,9,100.0%,100.0%,5.5,A- (3.75),B+ (3.57)
