,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Vitz, Matthew",HITO 100 - The Craft of History (A),SP23,28,9,55.6%,44.4%,2.28,A (4.00),A- (3.81)
1,"Hanna, Mark G.",HITO 178 - Hist of Seafaring/Age of Sail (A),SP23,20,10,100.0%,100.0%,4.1,A- (3.89),A- (3.87)
2,"Patterson, Patrick H.",HITO 87 - First-year Seminar (A),SP23,13,5,100.0%,100.0%,2.5,A (4.00),
3,"Patterson, Patrick H.",HITO 87 - First-year Seminar (B),SP23,6,4,100.0%,100.0%,1.17,,
4,"Radcliff, Pamela B.",HITO 100 - The Craft of History (A),WI23,29,12,83.3%,91.7%,4.83,B+ (3.58),B+ (3.48)
5,"Patterson, Patrick H.",HITO 119 - Human Rights I: Introduction (A),WI23,11,9,100.0%,100.0%,8.06,B+ (3.56),
6,"Pickowicz, Paul G.",HITO 87 - First-year Seminar (A),WI23,11,6,83.3%,83.3%,0.5,,
7,"Patterson, Patrick H.",HITO 87 - First-year Seminar (B),WI23,8,6,100.0%,100.0%,3.17,,
8,"Patterson, Patrick H.",HITO 87 - First-year Seminar (C),WI23,16,5,40.0%,60.0%,0.9,,
9,"Hanna, Mark G.",HITO 100 - The Craft of History (A),FA22,25,11,100.0%,100.0%,3.41,A- (3.91),A- (3.86)
10,"Neuheiser, Joerg",HITO 133 - War & Society/Second World War (B),FA22,35,27,88.5%,92.3%,5.24,B (3.04),B (3.14)
11,"Patterson, Patrick H.",HITO 87 - First-year Seminar (A),FA22,16,8,100.0%,100.0%,2.75,A (4.00),
12,"Patterson, Patrick H.",HITO 87 - First-year Seminar (C),FA22,18,8,100.0%,100.0%,2.5,,
13,"Biess, Frank Peter",HITO 133 - War & Society/Second World War (A),SP22,51,41,97.6%,97.6%,4.7,B+ (3.43),B+ (3.38)
14,"Biess, Frank Peter",HITO 192 - Senior Seminar in History (A),SP22,7,3,100.0%,100.0%,4.5,,
15,"Patterson, Patrick H.",HITO 87 - First-year Seminar (A),SP22,10,5,100.0%,100.0%,2.5,A (4.00),
16,"Patterson, Patrick H.",HITO 87 - First-year Seminar (B),SP22,11,9,100.0%,100.0%,1.17,A (4.00),
17,"Schneewind, Sarah",HITO 87 - First-year Seminar (C),SP22,8,3,100.0%,100.0%,2.5,A (4.00),
18,"Hendrickson, Gerald M.",HITO 100 - The Craft of History (A),WI22,25,17,100.0%,100.0%,4.62,A- (3.88),B+ (3.37)
19,"Shafir, Gershon",HITO 119 - Human Rights I: Introduction (A),WI22,15,7,100.0%,100.0%,7.93,B+ (3.43),
20,"Patterson, Patrick H.",HITO 87 - Freshman Seminar (A),WI22,13,9,100.0%,100.0%,3.17,A (4.00),
21,"Patterson, Patrick H.",HITO 87 - Freshman Seminar (B),WI22,14,7,100.0%,100.0%,1.36,A (4.00),
22,"Balberg, Mira",HITO 100 - The Craft of History (A),FA21,34,11,100.0%,100.0%,5.39,A (4.00),B+ (3.62)
23,"Vitz, Matthew",HITO 100 - The Craft of History (B),FA21,25,7,71.4%,100.0%,3.07,A (4.00),B+ (3.59)
24,"Hanna, Mark G.",HITO 178 - Hist of Seafaring/Age of Sail (A),FA21,17,8,100.0%,100.0%,4.5,A- (3.86),
25,"Biess, Frank Peter",HITO 87 - Freshman Seminar (A),FA21,8,5,80.0%,80.0%,1.7,B+ (3.60),
26,"Patterson, Patrick H.",HITO 87 - Freshman Seminar (B),FA21,12,8,100.0%,100.0%,3.0,A (4.00),
27,"Patterson, Patrick H.",HITO 87 - Freshman Seminar (C),FA21,12,9,100.0%,100.0%,2.28,,
28,"Hanna, Mark G.",HITO 87 - Freshman Seminar (D),FA21,13,6,100.0%,100.0%,0.5,,
29,"Schneewind, Sarah",HITO 87 - Freshman Seminar (F),FA21,11,6,100.0%,100.0%,2.17,A (4.00),
30,"Polic, Ivana",HITO 126 - A History of Childhood (A),S121,25,10,100.0%,100.0%,5.5,A (4.00),B+ (3.69)
31,"Patterson, Patrick H.","HITO 156 - Div, Equity, Inclusion US/Eur (A)",S121,9,8,100.0%,100.0%,6.5,A- (3.88),
32,"Patterson, Patrick H.",HITO 87 - Freshman Seminar (A),SP21,14,9,100.0%,100.0%,1.83,A (4.00),
33,"Patterson, Patrick H.",HITO 87 - Freshman Seminar (B),SP21,17,8,100.0%,100.0%,2.5,,
34,"Edington, Claire Ellen",HITO 114 - History of Modern Vietnam (A),WI21,33,10,100.0%,90.0%,5.3,A- (3.80),A- (3.94)
35,"Shafir, Gershon",HITO 119 - Human Rights I: Introduction (A),WI21,11,6,83.3%,100.0%,5.17,A (4.00),
