,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Man, Simeon S",HIUS 103 - United States & Pacific World (A),SP23,50,18,94.4%,94.4%,3.72,A- (3.87),A- (3.77)
1,"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),SP23,130,39,97.4%,100.0%,5.12,B+ (3.61),B+ (3.31)
2,"Martinez-Matsuda, Veronica",HIUS 136 - Citizenship & Civil Rts/20th c (A),SP23,50,17,88.2%,100.0%,3.91,B+ (3.67),B- (2.83)
3,"Vandevelde, Kenneth Joseph",HIUS 144 - Topics in U.S. History (A),SP23,63,20,95.0%,94.7%,2.9,B+ (3.65),A- (3.74)
4,"Klann, Mary Cameron","HIUS 157 - American Women,Womanhood1870-P (A)",SP23,54,16,100.0%,100.0%,3.43,A- (3.93),A- (3.96)
5,"Plant, Rebecca Jo",HIUS 181 - Topics in 20th Century U.S. (A),SP23,19,3,100.0%,100.0%,5.17,A (4.00),
6,"Bermudez, Rosie Cano",HIUS 106 - Women of Color & Social Movts. (A),WI23,43,13,92.3%,100.0%,4.35,B+ (3.69),B+ (3.65)
7,"Martinez-Matsuda, Veronica",HIUS 113 - History of Mexican America (A),WI23,25,6,100.0%,100.0%,1.5,B+ (3.60),B (3.10)
8,"Museus, Samuel David",HIUS 125 - Asian American Social Movemnts (A),WI23,23,10,100.0%,100.0%,2.5,A- (3.80),A- (3.85)
9,"Hendrickson, Gerald M.",HIUS 137 - Mining and American History (A),WI23,22,11,100.0%,100.0%,4.86,B (3.20),B+ (3.31)
10,"Klann, Mary Cameron",HIUS 144 - Topics in U.S. History (A),WI23,58,25,90.9%,100.0%,3.46,A- (3.96),A- (3.86)
11,"Bermudez, Rosie Cano",HIUS 144 - Topics in U.S. History (B),WI23,26,8,100.0%,100.0%,5.5,B (3.25),A- (3.71)
12,"Vandevelde, Kenneth Joseph",HIUS 152B - Constitutnl Hist/US after 1865 (A),WI23,59,24,95.8%,95.7%,3.42,A- (3.79),A- (3.74)
13,"Man, Simeon S","HIUS 168 - Race,Resistance& Cult.Politics (A)",WI23,16,6,100.0%,100.0%,6.5,B+ (3.67),
14,"Klann, Mary Cameron",HIUS 108B - History/Native Americans/US II (A),FA22,56,25,100.0%,100.0%,4.92,A- (3.92),A- (3.91)
15,"Plant, Rebecca Jo",HIUS 112 - The U.S. Civil War (A),FA22,158,47,84.8%,95.7%,4.11,B+ (3.43),B+ (3.43)
16,"Vandevelde, Kenneth Joseph",HIUS 152A - Constitutional Hist/US to 1865 (A),FA22,58,12,100.0%,100.0%,5.0,A- (3.83),B+ (3.62)
17,"Alvarez, Luis A",HIUS 155 - Zoot Suit-HipHop:Race-Pop Cult (A),FA22,51,12,100.0%,100.0%,4.5,B+ (3.58),A- (3.80)
18,"Graham, Jessica Lynn",HIUS 183 - Topics/African American Hist. (A),FA22,11,5,100.0%,100.0%,8.9,A- (3.80),
19,"Man, Simeon S",HIUS 103 - United States & Pacific World (A),S222,24,4,75.0%,75.0%,4.5,B+ (3.67),B+ (3.65)
20,"Kwak, Nancy",HIUS 123 - History of New York City (A),S222,22,6,100.0%,100.0%,7.5,B (3.20),B+ (3.69)
21,"Malone, Kevan Quinn",HIUS 142B - US in 20th Century 1945-presnt (A),S222,16,3,100.0%,100.0%,6.5,B+ (3.50),
22,"Kwak, Nancy",HIUS 117 - History of Los Angeles (A),S122,22,3,100.0%,100.0%,5.83,A (4.00),B+ (3.34)
23,"Man, Simeon S",HIUS 125 - Asian American Social Movemnts (A),S122,23,4,100.0%,100.0%,8.0,A (4.00),B+ (3.69)
24,"Castaneda, Miguel Angel",HIUS 149 - United States in the 1960's (A),S122,30,3,100.0%,100.0%,5.5,A (4.00),A- (3.94)
25,"Man, Simeon S",HIUS 120D - Race & Oral Hist. in San Diego (A),SP22,27,7,80.0%,80.0%,3.5,B+ (3.60),B+ (3.54)
26,"Klein, Rachel",HIUS 131 - Cultural Hist/1865-1917 (A),SP22,55,19,94.7%,94.4%,3.24,B+ (3.37),B+ (3.42)
27,"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),SP22,128,57,85.2%,90.7%,4.42,B (3.25),B (3.18)
28,"Klann, Mary Cameron",HIUS 144 - Topics in U.S. History (A),SP22,50,23,100.0%,100.0%,3.59,A (4.00),A- (3.84)
29,"Vandevelde, Kenneth Joseph",HIUS 144 - Topics in U.S. History (B),SP22,61,22,100.0%,100.0%,2.86,A- (3.90),A- (3.72)
30,"Bermudez, Rosie Cano",HIUS 144 - Topics in U.S. History (C),SP22,28,6,100.0%,100.0%,3.17,B+ (3.67),B- (2.96)
31,"Bermudez, Rosie Cano",HIUS 149 - United States in the 1960's (A),SP22,48,14,100.0%,92.9%,4.64,B+ (3.64),B+ (3.32)
32,"Plant, Rebecca Jo",HIUS 156 - American Women/Amern Womanhood (A),SP22,59,17,100.0%,100.0%,3.79,B+ (3.69),B (3.25)
33,"Hendrickson, Gerald M.",HIUS 185 - In the Public Interest (A),SP22,15,5,80.0%,80.0%,8.1,B+ (3.60),
34,"Man, Simeon S",HIUS 103 - United States & Pacific World (A),WI22,35,14,100.0%,100.0%,2.93,A- (3.86),A- (3.89)
35,"Plant, Rebecca Jo",HIUS 112 - The U.S. Civil War (A),WI22,147,52,98.1%,98.1%,3.85,A- (3.75),B+ (3.58)
36,"Man, Simeon S",HIUS 125 - Asian American Social Movemnts (A),WI22,21,6,100.0%,100.0%,3.83,A- (3.83),A- (3.76)
37,"Bermudez, Rosie Cano",HIUS 144 - Topics in U.S. History (A),WI22,15,7,100.0%,100.0%,4.79,A- (3.71),
38,"Hartung, Felicitas",HIUS 144 - Topics in U.S. History (B),WI22,28,11,81.8%,81.8%,6.32,B+ (3.60),A- (3.74)
39,"Vandevelde, Kenneth Joseph",HIUS 152B - Constitutnl Hist/US after 1865 (A),WI22,49,19,100.0%,100.0%,4.5,A- (3.78),B+ (3.69)
40,"Plant, Rebecca Jo","HIUS 157 - American Women,Womanhood1870-P (A)",WI22,102,40,97.4%,100.0%,3.78,A- (3.79),B+ (3.61)
41,"Klein, Rachel",HIUS 130 - Cultural Hist/1607-1865 (A),FA21,63,21,90.5%,95.2%,5.07,B+ (3.61),B+ (3.47)
42,"Hendrickson, Gerald M.",HIUS 141 - Economic Hist/United States II (A),FA21,27,6,83.3%,83.3%,3.17,B (3.17),C+ (2.69)
43,"Vandevelde, Kenneth Joseph",HIUS 152A - Constitutional Hist/US to 1865 (A),FA21,45,15,100.0%,100.0%,2.63,A- (3.80),A- (3.73)
44,"Man, Simeon S",HIUS 103 - United States & Pacific World (A),S221,21,5,100.0%,100.0%,3.3,A (4.00),A- (3.86)
45,"West, Geoffrey Scott",HIUS 114A - California:Conquest-Gold Rush (A),S221,10,4,100.0%,100.0%,5.5,B- (2.75),
46,"Man, Simeon S",HIUS 125 - Asian American Social Movemnts (A),S221,21,5,100.0%,100.0%,4.5,A (4.00),A- (3.92)
47,"Ramirez, Jorge",HIUS 113 - History of Mexican America (A),S121,22,5,100.0%,100.0%,4.5,A- (3.80),A- (3.90)
48,"Kwak, Nancy",HIUS 117 - History of Los Angeles (A),S121,23,13,100.0%,100.0%,6.04,A- (3.75),B+ (3.33)
49,"Castaneda, Miguel Angel",HIUS 149 - United States in the 1960's (A),S121,19,4,100.0%,100.0%,5.5,A (4.00),
50,"Ramirez, Jorge",HIUS 113 - History of Mexican America (A),SP21,36,17,93.8%,100.0%,4.74,A- (3.81),A- (3.94)
51,"Alvarez, Luis A",HIUS 120D - Race & Oral Hist. in San Diego (A),SP21,9,5,100.0%,100.0%,4.9,A- (3.80),
52,"Boston, Martin Luther",HIUS 139 - African Amrcn Hist/the 20th C. (A),SP21,19,10,90.0%,80.0%,4.7,B+ (3.63),
