,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Watts, Edward J.","HUM 2 - Rome,Christianity&Middle Ages (A)",SP23,208,139,59.7%,91.0%,6.6,B (3.06),B- (2.95)
1,"Caciola, Nancy A","HUM 2 - Rome,Christianity&Middle Ages (B)",SP23,186,125,63.4%,82.0%,6.46,B- (2.96),B- (2.81)
2,"Lyon, Antony J.","HUM 2 - Rome,Christianity&Middle Ages (C)",SP23,309,257,57.5%,83.6%,6.06,B (3.13),B- (2.99)
3,"Markman, Kristina","HUM 2 - Rome,Christianity&Middle Ages (D)",SP23,248,209,65.4%,96.0%,6.85,B (3.21),B (3.15)
4,"Rodriguez, Bretton Sigfred",HUM 5 - Modern Culture (1848-Present) (A),SP23,176,143,74.5%,92.9%,5.37,B (3.20),B+ (3.37)
5,"Caldwell, Michael Alan",HUM 5 - Modern Culture (1848-Present) (C),SP23,235,117,74.3%,93.3%,5.09,B (3.22),B (3.10)
6,"Rodriguez, Bretton Sigfred",HUM 1 - Foundatns/West Civ:Israel&Grce (A),WI23,221,192,66.5%,92.2%,6.62,B (3.17),B (3.25)
7,"Demetriou, Denise",HUM 1 - Foundatns/West Civ:Israel&Grce (B),WI23,127,121,60.8%,83.3%,7.3,B (3.00),B- (2.97)
8,"West, Geoffrey Scott",HUM 1 - Foundatns/West Civ:Israel&Grce (C),WI23,271,246,75.2%,93.9%,7.91,B (3.07),B (3.21)
9,"Markman, Kristina",HUM 1 - Foundatns/West Civ:Israel&Grce (D),WI23,365,325,66.4%,94.9%,7.51,B (3.12),B (3.26)
10,"Watkins, Eric","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (A)",WI23,174,106,54.5%,59.3%,5.31,B (3.04),B- (2.79)
11,"Kontje, Todd Curtis","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (B)",WI23,231,137,76.5%,96.6%,4.85,B (3.19),B+ (3.32)
12,"Lyon, Antony J.","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (C)",WI23,231,203,76.0%,93.8%,5.4,B (3.16),B (3.10)
13,"West, Geoffrey Scott","HUM 3 - Renaissance,Reform&Early Europ (A)",FA22,235,175,69.7%,92.5%,5.57,B (3.26),B+ (3.43)
14,"Zavodny, Tatiana Sophia","HUM 3 - Renaissance,Reform&Early Europ (B)",FA22,202,147,79.2%,93.8%,5.04,B (3.08),B (3.08)
15,"Patterson, Patrick H.","HUM 3 - Renaissance,Reform&Early Europ (C)",FA22,215,77,51.4%,81.1%,5.38,B (3.15),B+ (3.45)
16,"Lyon, Antony J.","HUM 3 - Renaissance,Reform&Early Europ (D)",FA22,286,206,67.3%,91.6%,6.0,B (3.15),B+ (3.33)
17,"West, Geoffrey Scott","HUM 3 - Renaissance,Reform&Early Europ (A)",S222,77,68,73.5%,92.5%,6.74,B (3.18),B (3.24)
18,"Findley, Carl","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (A)",S222,28,6,100.0%,100.0%,5.5,B+ (3.50),B- (2.84)
19,"Zroka, Amy Liane","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (B)",S222,42,8,50.0%,71.4%,6.5,B- (2.88),C+ (2.47)
20,"Zavodny, Tatiana Sophia",HUM 5 - Modern Culture (1848-Present) (A),S222,48,16,86.7%,100.0%,7.88,B (3.13),B (3.00)
21,"Hall, Matthew Aaron",HUM 5 - Modern Culture (1848-Present) (B),S222,29,14,76.9%,76.9%,10.35,B+ (3.31),B+ (3.37)
22,"Patterson, Patrick H.","HUM 3 - Renaissance,Reform&Early Europ (A)",S122,47,31,83.9%,100.0%,7.98,B+ (3.39),B (3.10)
23,"Zavodny, Tatiana Sophia","HUM 3 - Renaissance,Reform&Early Europ (B)",S122,48,38,76.3%,97.4%,7.34,B (3.03),C+ (2.66)
24,"Tronzo, William","HUM 3GS - Renaissance,Reform&Early Europ (A)",S122,28,9,100.0%,100.0%,3.61,A- (3.89),A (4.00)
25,"Caldwell, Michael Alan","HUM 3GS - Renaissance,Reform&Early Europ (B)",S122,23,7,100.0%,100.0%,5.07,B (3.29),B (3.29)
26,"Watkins, Eric","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (A)",S122,43,31,56.0%,100.0%,8.82,B- (2.96),B- (2.92)
27,"Giordano, Kailey Nicole","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (B)",S122,43,39,78.4%,97.3%,9.87,B- (2.71),B- (2.76)
