,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Day, Joel Keith",INTL 101 - Cult & Society/Intrn'l Perspec (A),SP23,110,42,94.6%,94.6%,6.29,B+ (3.32),B (3.26)
1,"Fisk, David Lee","INTL 102 - Econ, Politics & Intn'l Change (A)",SP23,173,92,90.6%,100.0%,4.9,B+ (3.64),B+ (3.33)
2,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (A),SP23,15,5,80.0%,80.0%,6.9,B (3.20),
3,"McIntosh, Justin Daniel",INTL 190 - Seminar/International Studies (B),SP23,19,6,100.0%,100.0%,4.17,B+ (3.67),
4,"Segui, Alan S",INTL 190 - Seminar/International Studies (C),SP23,19,3,100.0%,100.0%,6.5,B+ (3.67),
5,"Segui, Alan S",INTL 190 - Seminar/International Studies (D),SP23,20,6,100.0%,100.0%,7.3,B+ (3.40),B+ (3.38)
6,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (E),SP23,20,18,100.0%,100.0%,6.72,B+ (3.61),B (3.16)
7,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (F),SP23,20,16,100.0%,100.0%,5.63,B+ (3.56),C+ (2.62)
8,"Appel, Benjamin Jay",INTL 190 - Seminar/International Studies (G),SP23,21,7,100.0%,100.0%,5.36,A- (3.71),B+ (3.37)
9,"Appel, Benjamin Jay",INTL 190 - Seminar/International Studies (H),SP23,19,4,100.0%,100.0%,2.5,B+ (3.50),
10,"Scott, Jeffrey F",INTL 190 - Seminar/International Studies (I),SP23,17,6,100.0%,100.0%,7.3,B+ (3.40),
11,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (K),SP23,19,8,100.0%,100.0%,5.75,B+ (3.63),
12,"McIntosh, Justin Daniel",INTL 101 - Cult & Society/Intrn'l Perspec (A),WI23,179,64,92.1%,96.8%,4.22,A- (3.83),B+ (3.52)
13,"Nellis, Gareth Hb","INTL 102 - Econ, Politics & Intn'l Change (A)",WI23,143,63,77.0%,78.7%,5.02,B+ (3.41),B (3.12)
14,"Day, Joel Keith",INTL 190 - Seminar/International Studies (A),WI23,20,7,100.0%,100.0%,5.07,B (3.29),B+ (3.44)
15,"Fisk, David Lee",INTL 190 - Seminar/International Studies (C),WI23,18,7,100.0%,100.0%,7.5,A (4.00),
16,"Fisk, David Lee",INTL 190 - Seminar/International Studies (D),WI23,20,5,100.0%,100.0%,5.7,A- (3.80),B- (2.83)
17,"Vos, Stacie Nicole",INTL 190 - Seminar/International Studies (E),WI23,18,14,78.6%,64.3%,5.79,B+ (3.46),
18,"Patterson, Patrick H.",INTL 190 - Seminar/International Studies (F),WI23,12,10,90.0%,80.0%,8.5,B+ (3.40),
19,"Herberg, Mikkal E.",INTL 190 - Seminar/International Studies (G),WI23,19,3,100.0%,100.0%,5.83,B+ (3.67),
20,"Fortier, Jana",INTL 190 - Seminar/International Studies (H),WI23,20,9,62.5%,75.0%,4.75,B (3.25),B+ (3.54)
21,"Ravanilla, Nico",INTL 190 - Seminar/International Studies (I),WI23,20,3,100.0%,100.0%,11.83,B+ (3.33),A- (3.70)
22,"Day, Joel Keith",INTL 101 - Cult & Society/Intrn'l Perspec (A),FA22,177,59,94.3%,96.2%,6.08,B+ (3.55),B (3.30)
23,"Walter, Barbara Florence","INTL 102 - Econ, Politics & Intn'l Change (A)",FA22,174,51,78.0%,78.0%,5.98,B (3.12),B- (2.79)
24,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (A),FA22,19,15,93.3%,93.3%,6.23,B+ (3.40),
25,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (B),FA22,17,12,100.0%,100.0%,4.67,B+ (3.67),
26,"Fortier, Jana",INTL 190 - Seminar/International Studies (C),FA22,19,7,85.7%,85.7%,9.07,A- (3.86),
27,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (D),FA22,17,5,100.0%,100.0%,9.0,A (4.00),
28,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (E),FA22,19,7,85.7%,85.7%,6.5,B+ (3.57),
29,"Scott, Jeffrey F",INTL 190 - Seminar/International Studies (F),FA22,19,7,85.7%,100.0%,7.36,B+ (3.43),
30,"Segui, Alan S",INTL 190 - Seminar/International Studies (G),FA22,17,6,100.0%,100.0%,6.5,B+ (3.33),
31,"Segui, Alan S",INTL 190 - Seminar/International Studies (H),FA22,16,4,100.0%,100.0%,4.0,A- (3.75),
32,"Gagnon, Jeffrey C",INTL 190 - Seminar/International Studies (A),S222,13,12,100.0%,100.0%,7.5,B (3.25),
33,"Gagnon, Jeffrey C",INTL 190 - Seminar/International Studies (A),S122,12,9,100.0%,100.0%,7.5,A- (3.75),
34,"Segui, Alan S",INTL 190 - Seminar/International Studies (B),S122,15,3,100.0%,100.0%,11.17,B+ (3.67),
35,"Day, Joel Keith",INTL 101 - Cult & Society/Intrn'l Perspec (A),SP22,160,48,95.6%,97.7%,5.83,B+ (3.52),B (3.20)
36,"Fisk, David Lee","INTL 102 - Econ, Politics & Intn'l Change (A)",SP22,207,81,97.2%,97.2%,5.29,B+ (3.56),B+ (3.48)
37,"Appel, Benjamin Jay",INTL 190 - Seminar/International Studies (A),SP22,20,5,80.0%,100.0%,5.3,B (3.20),B (3.22)
38,"Appel, Benjamin Jay",INTL 190 - Seminar/International Studies (B),SP22,19,3,100.0%,100.0%,5.5,A (4.00),
39,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (C),SP22,20,19,89.5%,94.7%,5.72,B (3.22),B (3.24)
40,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (D),SP22,20,17,100.0%,94.1%,5.09,B+ (3.53),B (3.08)
41,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (E),SP22,20,8,71.4%,71.4%,6.21,B- (2.71),B- (2.98)
42,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (F),SP22,18,8,100.0%,100.0%,7.36,A- (3.71),
43,"Samphantharak, Krislert",INTL 190 - Seminar/International Studies (H),SP22,19,7,100.0%,100.0%,3.93,B+ (3.57),
44,"Segui, Alan S",INTL 190 - Seminar/International Studies (I),SP22,19,5,100.0%,100.0%,7.7,A- (3.80),
45,"Segui, Alan S",INTL 190 - Seminar/International Studies (J),SP22,20,10,90.0%,70.0%,5.1,A- (3.70),B (3.16)
46,"Vos, Stacie Nicole",INTL 190 - Seminar/International Studies (K),SP22,20,4,100.0%,100.0%,7.0,B (3.25),B (3.05)
47,"Gray, Taylor Erin",INTL 190 - Seminar/International Studies (L),SP22,20,10,77.8%,100.0%,10.72,B (3.11),B- (2.71)
48,"McIntosh, Justin Daniel",INTL 101 - Cult & Society/Intrn'l Perspec (A),WI22,213,84,100.0%,100.0%,5.63,A- (3.75),B+ (3.46)
49,"Broz, James Lawrence","INTL 102 - Econ, Politics & Intn'l Change (A)",WI22,188,67,82.8%,81.0%,5.82,B+ (3.42),B (3.19)
50,"Lee, Munseob",INTL 190 - Seminar/International Studies (A),WI22,19,5,100.0%,100.0%,7.7,B (3.20),
51,"Carreri, Maria",INTL 190 - Seminar/International Studies (B),WI22,16,16,81.3%,81.3%,6.63,B+ (3.69),
52,"Fortier, Jana",INTL 190 - Seminar/International Studies (D),WI22,19,3,33.3%,50.0%,5.83,B+ (3.33),
53,"Herberg, Mikkal E.",INTL 190 - Seminar/International Studies (E),WI22,20,4,100.0%,100.0%,7.5,B+ (3.50),B (3.25)
54,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (F),WI22,20,3,100.0%,100.0%,9.83,B (3.00),B (3.05)
55,"Steelman, Katherine Wallis",INTL 190 - Seminar/International Studies (H),WI22,19,4,75.0%,75.0%,5.0,A (4.00),
56,"Feeley, Maureen Catherine",INTL 190 - Seminar/International Studies (I),WI22,20,6,100.0%,100.0%,8.83,A (4.00),B+ (3.55)
57,"Day, Joel Keith",INTL 101 - Cult & Society/Intrn'l Perspec (A),FA21,227,101,91.7%,96.9%,6.77,B+ (3.56),B+ (3.44)
58,"Walter, Barbara Florence","INTL 102 - Econ, Politics & Intn'l Change (A)",FA21,175,56,83.3%,90.6%,6.76,B (3.06),B- (2.88)
59,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (0),FA21,19,18,94.4%,94.1%,4.94,B+ (3.67),
60,"Fisk, David Lee",INTL 190 - Seminar/International Studies (0),FA21,16,5,100.0%,100.0%,8.1,B+ (3.60),
61,"Fortier, Jana",INTL 190 - Seminar/International Studies (0),FA21,15,7,85.7%,85.7%,5.64,B+ (3.43),
62,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (0),FA21,15,4,100.0%,100.0%,7.5,A (4.00),
63,"McIntosh, Justin Daniel",INTL 190 - Seminar/International Studies (0),FA21,19,6,100.0%,100.0%,5.83,A- (3.83),
64,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (0),FA21,15,7,71.4%,85.7%,7.36,A (4.00),
65,"Ravanilla, Nico",INTL 190 - Seminar/International Studies (0),FA21,16,7,100.0%,100.0%,7.36,B+ (3.43),
66,"Scott, Jeffrey F",INTL 190 - Seminar/International Studies (0),FA21,21,9,44.4%,55.6%,7.39,B (3.13),B (3.15)
67,"Segui, Alan S",INTL 190 - Seminar/International Studies (0),FA21,20,9,88.9%,100.0%,6.06,A- (3.78),B+ (3.46)
68,"Gagnon, Jeffrey C",INTL 190 - Seminar/International Studies (B),S221,14,11,100.0%,100.0%,7.23,B (3.18),
69,"Graham, Jessica Lynn",INTL 101 - Cult & Society/Intrn'l Perspec (A),SP21,213,74,91.4%,95.7%,5.49,A- (3.79),B+ (3.64)
70,"Lee, James","INTL 102 - Econ, Politics & Intn'l Change (A)",SP21,214,80,87.2%,92.3%,5.65,B+ (3.69),B+ (3.33)
71,"Fisk, David Lee",INTL 190 - Seminar/International Studies (A),SP21,20,6,100.0%,100.0%,8.5,B+ (3.50),B+ (3.39)
72,"Shelby, Karen Lee",INTL 190 - Seminar/International Studies (B),SP21,19,6,100.0%,100.0%,5.7,B+ (3.60),
73,"Day, Joel Keith",INTL 190 - Seminar/International Studies (C),SP21,19,10,100.0%,100.0%,8.3,B+ (3.30),
74,"Yin, Yidan",INTL 190 - Seminar/International Studies (D),SP21,20,17,100.0%,100.0%,5.56,A- (3.82),B+ (3.61)
75,"McIntosh, Justin Daniel",INTL 190 - Seminar/International Studies (E),SP21,20,6,100.0%,100.0%,6.17,B+ (3.50),B+ (3.43)
76,"Fortier, Jana",INTL 190 - Seminar/International Studies (F),SP21,20,5,100.0%,100.0%,12.5,B+ (3.50),B+ (3.49)
77,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (G),SP21,20,10,100.0%,100.0%,4.9,B (3.10),B- (2.84)
78,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (H),SP21,20,9,100.0%,88.9%,4.06,B+ (3.56),B (3.19)
79,"Segui, Alan S",INTL 190 - Seminar/International Studies (I),SP21,20,10,100.0%,90.0%,8.9,B+ (3.40),B+ (3.33)
80,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (J),SP21,20,5,100.0%,100.0%,6.1,A- (3.80),B+ (3.30)
81,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (K),SP21,18,6,66.7%,66.7%,6.83,B- (2.83),
82,"Campos, Amie",INTL 190 - Seminar/International Studies (L),SP21,19,5,80.0%,80.0%,4.1,A- (3.80),
83,"McIntosh, Justin Daniel",INTL 101 - Cult & Society/Intrn'l Perspec (A),WI21,254,105,91.1%,92.0%,5.24,A- (3.72),B+ (3.66)
84,"Broz, James Lawrence","INTL 102 - Econ, Politics & Intn'l Change (A)",WI21,221,78,74.3%,71.6%,6.23,B (3.27),B (3.09)
85,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (A),WI21,20,4,25.0%,50.0%,9.0,C+ (2.67),B- (2.80)
86,"Fisk, David Lee",INTL 190 - Seminar/International Studies (B),WI21,20,6,100.0%,100.0%,9.83,B+ (3.67),B+ (3.61)
87,"Segui, Alan S",INTL 190 - Seminar/International Studies (C),WI21,20,3,100.0%,100.0%,5.5,A (4.00),B+ (3.56)
88,"Carreri, Maria",INTL 190 - Seminar/International Studies (D),WI21,20,19,100.0%,100.0%,7.13,B+ (3.58),B+ (3.66)
89,"Khanna, Gaurav",INTL 190 - Seminar/International Studies (E),WI21,19,10,100.0%,100.0%,5.3,A- (3.90),
90,"Patterson, Patrick H.",INTL 190 - Seminar/International Studies (F),WI21,16,15,100.0%,100.0%,7.7,B+ (3.53),
91,"Fortier, Jana",INTL 190 - Seminar/International Studies (G),WI21,19,9,100.0%,88.9%,7.39,B+ (3.56),
92,"Herberg, Mikkal E.",INTL 190 - Seminar/International Studies (H),WI21,18,7,83.3%,83.3%,4.17,B+ (3.67),
93,"Day, Joel Keith",INTL 101 - Cult & Society/Intrn'l Perspec (A),FA20,245,115,98.2%,100.0%,5.73,B+ (3.55),B+ (3.57)
94,"Walter, Barbara Florence","INTL 102 - Econ, Politics & Intn'l Change (A)",FA20,245,103,85.0%,87.8%,6.58,B (3.29),B (3.11)
95,"Ravanilla, Nico",INTL 190 - Seminar/International Studies (A),FA20,21,11,90.9%,90.9%,6.32,B+ (3.64),A- (3.80)
96,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (B),FA20,19,4,75.0%,100.0%,7.0,B+ (3.50),
97,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (C),FA20,20,19,89.5%,94.7%,4.92,B+ (3.47),B+ (3.47)
98,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (D),FA20,19,7,71.4%,85.7%,5.36,B- (2.86),
99,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (E),FA20,20,11,100.0%,100.0%,6.32,B+ (3.36),B (3.10)
100,"Lazitski Torres, Olga",INTL 190 - Seminar/International Studies (F),FA20,17,5,100.0%,100.0%,7.3,A- (3.80),
101,"Campos, Amie",INTL 190 - Seminar/International Studies (G),FA20,19,7,100.0%,100.0%,8.21,B+ (3.43),
102,"Yin, Yidan",INTL 190 - Seminar/International Studies (H),FA20,20,18,94.4%,100.0%,5.28,A- (3.83),B+ (3.62)
103,"Gibson, Clark C",INTL 190H - Honors Seminar/ Int'l Studies (A),FA20,12,5,100.0%,100.0%,8.9,A (4.00),
104,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (B),S220,16,3,100.0%,100.0%,7.83,C+ (2.67),
105,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (A),S120,16,3,66.7%,100.0%,11.17,B+ (3.33),
106,"Segui, Alan S",INTL 190 - Seminar/International Studies (B),S120,15,3,100.0%,100.0%,6.5,A (4.00),
107,"Graham, Jessica Lynn",INTL 101 - Cult & Society/Intrn'l Perspec (A),SP20,247,106,87.4%,95.1%,6.91,A- (3.70),A- (3.84)
108,"Rothman, Jay Manuel","INTL 102 - Econ, Politics & Intn'l Change (A)",SP20,220,154,88.2%,92.1%,5.37,B+ (3.68),A- (3.81)
109,"Carreri, Maria",INTL 190 - Seminar/International Studies (A),SP20,20,19,94.7%,94.7%,7.97,B+ (3.58),B+ (3.50)
110,"Fisk, David Lee",INTL 190 - Seminar/International Studies (B),SP20,25,6,66.7%,83.3%,8.83,B (3.00),A- (3.84)
111,"Naoi, Megumi",INTL 190 - Seminar/International Studies (C),SP20,20,8,100.0%,100.0%,7.5,B+ (3.50),A- (3.89)
112,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (D),SP20,24,7,100.0%,100.0%,4.5,B+ (3.50),A- (3.76)
113,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (E),SP20,25,11,100.0%,100.0%,3.77,A- (3.91),A- (3.82)
114,"Segui, Alan S",INTL 190 - Seminar/International Studies (F),SP20,24,7,57.1%,42.9%,5.93,B (3.00),B (3.26)
115,"Niehaus, Paul",INTL 190 - Seminar/International Studies (G),SP20,22,8,62.5%,75.0%,8.0,B (3.00),B+ (3.54)
116,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (H),SP20,22,10,100.0%,100.0%,8.3,B+ (3.40),B+ (3.64)
117,"Lazitski Torres, Olga",INTL 190 - Seminar/International Studies (I),SP20,20,5,100.0%,100.0%,6.1,B+ (3.60),A- (3.80)
118,"Silverman, Reuben William",INTL 190 - Seminar/International Studies (J),SP20,20,7,100.0%,100.0%,8.79,B+ (3.60),B+ (3.46)
119,"Campos, Amie",INTL 190 - Seminar/International Studies (K),SP20,20,6,100.0%,100.0%,4.83,B+ (3.60),A- (3.82)
120,"Vitz, Matthew",INTL 101 - Cult & Society/Intrn'l Perspec (A),WI20,250,124,90.8%,90.8%,4.84,B+ (3.54),B+ (3.65)
121,"Broz, James Lawrence","INTL 102 - Econ, Politics & Intn'l Change (A)",WI20,229,97,87.2%,96.8%,5.27,B (3.16),B (3.02)
122,"Rothman, Jay Manuel",INTL 190 - Seminar/International Studies (A),WI20,20,7,100.0%,100.0%,6.5,B+ (3.43),B+ (3.41)
123,"Feeley, Maureen Catherine",INTL 190 - Seminar/International Studies (B),WI20,20,9,100.0%,100.0%,7.83,B+ (3.56),B+ (3.65)
124,"Khanna, Gaurav",INTL 190 - Seminar/International Studies (C),WI20,20,7,100.0%,100.0%,6.5,B+ (3.43),B+ (3.35)
125,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (D),WI20,22,10,100.0%,100.0%,6.28,B+ (3.44),B+ (3.31)
126,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (E),WI20,22,9,88.9%,88.9%,8.06,B+ (3.56),B- (2.95)
127,"Walter, Barbara Florence",INTL 190 - Seminar/International Studies (F),WI20,19,8,87.5%,100.0%,6.75,B+ (3.38),
128,"Herberg, Mikkal E.",INTL 190 - Seminar/International Studies (G),WI20,21,8,100.0%,100.0%,7.64,B+ (3.38),B (3.29)
129,"Day, Joel Keith",INTL 190 - Seminar/International Studies (H),WI20,21,10,80.0%,80.0%,11.3,B (3.22),B+ (3.67)
130,"Lamey, Andy M.",INTL 101 - Cult & Society/Intrn'l Perspec (A),FA19,263,110,91.5%,93.4%,5.35,B+ (3.42),B (3.12)
131,"Haggard, Stephan M.","INTL 102 - Econ, Politics & Intn'l Change (A)",FA19,253,115,92.2%,96.9%,5.4,B+ (3.37),B (3.23)
132,"Shelby, Karen Lee",INTL 190 - Seminar/International Studies (A),FA19,20,12,83.3%,100.0%,7.0,B+ (3.50),B (3.05)
133,"Shetreet, Shimon",INTL 190 - Seminar/International Studies (B),FA19,18,8,75.0%,75.0%,5.75,A (4.00),
134,"Samstad, James G.",INTL 190 - Seminar/International Studies (C),FA19,20,9,100.0%,100.0%,5.83,B+ (3.33),B+ (3.35)
135,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (D),FA19,20,9,100.0%,100.0%,5.5,A- (3.75),B (3.21)
136,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (E),FA19,20,9,88.9%,77.8%,4.28,B+ (3.67),B (3.26)
137,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (F),FA19,19,7,85.7%,100.0%,10.5,B+ (3.57),
138,"Ravanilla, Nico",INTL 190 - Seminar/International Studies (G),FA19,19,9,87.5%,100.0%,4.25,A- (3.88),
139,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (H),FA19,19,10,90.0%,100.0%,4.7,B+ (3.30),
140,"Lee, Munseob",INTL 190 - Seminar/International Studies (I),FA19,18,9,100.0%,100.0%,5.39,B+ (3.56),
141,"Bergman, Matthew Edward",INTL 190H - Honors Seminar/ Int'l Studies (A),FA19,10,7,100.0%,100.0%,9.64,B+ (3.50),
142,"Gagnon, Jeffrey C",INTL 190 - Seminar/International Studies (A),S219,15,6,100.0%,100.0%,9.17,B+ (3.50),
143,"Samstad, James G.",INTL 190 - Seminar/International Studies (B),S219,14,3,66.7%,100.0%,9.17,B (3.00),
144,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (A),S119,15,4,100.0%,100.0%,6.5,C+ (2.50),
145,"Gilson, Nancy",INTL 101 - Cult & Society/Intrn'l Perspec (A),SP19,272,105,72.3%,76.0%,5.29,B (3.13),C+ (2.59)
146,"Haggard, Stephan M.","INTL 102 - Econ, Politics & Intn'l Change (A)",SP19,272,99,88.5%,95.8%,5.3,B+ (3.33),B (3.26)
147,"Clemens, Jeffrey",INTL 190 - Seminar/International Studies (A),SP19,21,7,100.0%,100.0%,6.79,A- (3.83),B+ (3.51)
148,"Niehaus, Paul",INTL 190 - Seminar/International Studies (B),SP19,21,4,75.0%,100.0%,5.5,B- (2.75),B (3.10)
149,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (C),SP19,25,11,100.0%,100.0%,3.9,B+ (3.60),B+ (3.38)
150,"Major, Ivan",INTL 190 - Seminar/International Studies (E),SP19,25,9,77.8%,88.9%,4.06,B+ (3.56),A- (3.86)
151,"Fisk, David Lee",INTL 190 - Seminar/International Studies (F),SP19,25,7,85.7%,100.0%,6.5,B+ (3.57),B+ (3.39)
152,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (G),SP19,25,10,90.0%,100.0%,7.3,B+ (3.40),B (3.25)
153,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (H),SP19,25,9,100.0%,100.0%,7.83,B+ (3.44),B+ (3.50)
154,"Mendes Santos, Fabiano Gui",INTL 190 - Seminar/International Studies (I),SP19,19,5,100.0%,80.0%,3.7,B+ (3.40),
155,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (J),SP19,20,8,87.5%,87.5%,5.5,B+ (3.50),B (3.25)
156,"Vitz, Matthew",INTL 101 - Cult & Society/Intrn'l Perspec (A),WI19,270,124,85.7%,86.4%,4.95,B+ (3.48),B+ (3.34)
157,"Broz, James Lawrence","INTL 102 - Econ, Politics & Intn'l Change (A)",WI19,254,131,84.8%,82.4%,5.7,B (3.18),B (3.13)
158,"Feeley, Maureen Catherine",INTL 190 - Seminar/International Studies (A),WI19,20,7,66.7%,66.7%,8.5,B+ (3.50),B+ (3.43)
159,"Gilson, Nancy",INTL 190 - Seminar/International Studies (B),WI19,23,9,75.0%,75.0%,7.0,B (3.29),B (3.05)
160,"Tocoian, Oana",INTL 190 - Seminar/International Studies (C),WI19,19,10,70.0%,80.0%,6.1,B+ (3.50),
161,"Graham, Jessica Lynn",INTL 190 - Seminar/International Studies (D),WI19,19,7,100.0%,100.0%,4.5,B+ (3.57),
162,"Herberg, Mikkal E.",INTL 190 - Seminar/International Studies (E),WI19,20,10,100.0%,100.0%,6.25,B+ (3.38),B+ (3.40)
163,"Naoi, Megumi",INTL 190 - Seminar/International Studies (F),WI19,20,11,100.0%,100.0%,5.77,B+ (3.55),B+ (3.51)
164,"Vargas, Manuel Rogelio",INTL 101 - Cult & Society/Intrn'l Perspec (A),FA18,235,130,73.6%,82.1%,4.74,B+ (3.31),B- (2.99)
165,"Walter, Barbara Florence","INTL 102 - Econ, Politics & Intn'l Change (A)",FA18,246,125,95.0%,94.9%,6.92,B (3.25),B (3.00)
166,"Adida, Claire",INTL 190 - Seminar/International Studies (A),FA18,18,9,100.0%,100.0%,8.5,A- (3.78),
167,"Samstad, James G.",INTL 190 - Seminar/International Studies (B),FA18,19,5,75.0%,75.0%,4.0,B+ (3.50),
168,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (C),FA18,20,20,100.0%,94.7%,6.4,B+ (3.30),B+ (3.57)
169,"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (D),FA18,20,7,100.0%,100.0%,3.93,B (3.29),B+ (3.39)
170,"Samphantharak, Krislert",INTL 190 - Seminar/International Studies (E),FA18,21,9,87.5%,100.0%,6.0,B+ (3.38),B+ (3.43)
171,"Clemens, Jeffrey",INTL 190 - Seminar/International Studies (F),FA18,5,5,100.0%,100.0%,5.7,B+ (3.60),
172,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (G),FA18,18,7,85.7%,100.0%,7.5,B (3.17),
173,"Shafir, Gershon",INTL 190 - Seminar/International Studies (H),FA18,18,4,100.0%,100.0%,2.5,B+ (3.67),
174,"Gilson, Nancy",INTL 190H - Honors Seminar/ Int'l Studies (A),FA18,19,11,100.0%,100.0%,11.25,A- (3.75),
175,"Gagnon, Jeffrey C",INTL 190 - Seminar/International Studies (A),S218,15,3,100.0%,100.0%,9.83,B+ (3.33),
176,"Samstad, James G.",INTL 190 - Seminar/International Studies (A),S118,15,3,100.0%,100.0%,9.17,B (3.00),
177,"Gilson, Nancy",INTL 101 - Cult & Society/Intrn'l Perspec (A),SP18,251,109,79.0%,82.9%,5.57,B (3.09),B- (2.81)
178,"Niehaus, Paul",INTL 190 - Seminar/International Studies (A),SP18,18,11,90.9%,80.0%,9.05,B- (2.90),
179,"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (B),SP18,21,16,100.0%,100.0%,4.88,B+ (3.69),B (3.22)
180,"Coyle, James J.",INTL 190 - Seminar/International Studies (C),SP18,20,11,55.6%,100.0%,4.06,B (3.11),B (3.26)
181,"Major, Ivan",INTL 190 - Seminar/International Studies (D),SP18,20,11,90.0%,100.0%,5.5,B+ (3.60),B+ (3.57)
182,"Graham, Jessica Lynn",INTL 190 - Seminar/International Studies (E),SP18,22,9,87.5%,100.0%,7.5,B (3.29),B+ (3.59)
183,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (F),SP18,21,11,100.0%,100.0%,7.1,B+ (3.50),B (3.29)
184,"Statler, Kathryn",INTL 190 - Seminar/International Studies (G),SP18,21,8,100.0%,100.0%,8.0,B+ (3.38),B+ (3.37)
185,"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (H),SP18,18,16,87.5%,93.8%,6.13,B (3.00),
186,"Vera Cossio, Diego Alejandro",INTL 190 - Seminar/International Studies (I),SP18,19,8,87.5%,100.0%,4.75,B+ (3.50),
187,"Vitz, Matthew",INTL 101 - Cult & Society/Intrn'l Perspec (A),WI18,251,165,81.0%,82.2%,5.61,B+ (3.38),B+ (3.32)
188,"Haggard, Stephan M.","INTL 102 - Econ, Politics & Intn'l Change (A)",WI18,233,214,88.7%,95.8%,5.99,B+ (3.35),B (3.14)
189,"Feeley, Maureen Catherine",INTL 190 - Seminar/International Studies (A),WI18,18,10,100.0%,100.0%,9.5,B+ (3.40),
190,"Gilson, Nancy",INTL 190 - Seminar/International Studies (B),WI18,19,9,100.0%,100.0%,7.17,B (3.13),
191,"Bharadwaj, Prashant",INTL 190 - Seminar/International Studies (C),WI18,20,9,100.0%,100.0%,4.72,B+ (3.44),B+ (3.55)
192,"Bharadwaj, Prashant",INTL 190 - Seminar/International Studies (D),WI18,22,12,100.0%,90.9%,7.05,B+ (3.55),B+ (3.55)
193,"Herberg, Mikkal E.",INTL 190 - Seminar/International Studies (E),WI18,17,9,100.0%,100.0%,6.5,B+ (3.63),
194,"Fisk, David Lee",INTL 190 - Seminar/International Studies (G),WI18,17,7,85.7%,100.0%,10.79,B+ (3.43),
195,"Kshatriya, Krista C",INTL 190 - Seminar/International Studies (H),WI18,21,13,100.0%,100.0%,7.0,B+ (3.58),B+ (3.38)
196,"Walter, Barbara Florence","INTL 102 - Econ, Politics & Intn'l Change (A)",FA17,247,148,98.6%,98.5%,7.28,B+ (3.57),B+ (3.52)
