,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Maruyama, Rie",JAPN 10C - First Year Japanese III (A),SP23,9,6,100.0%,100.0%,5.3,A- (3.80),
1,"Sato, Kyoko",JAPN 10C - First Year Japanese III (B),SP23,26,12,100.0%,100.0%,6.0,A- (3.82),B+ (3.40)
2,"Tipton, Yuko",JAPN 10C - First Year Japanese III (C),SP23,5,4,100.0%,100.0%,3.0,B+ (3.67),
3,"Tipton, Yuko",JAPN 10C - First Year Japanese III (D),SP23,10,6,100.0%,100.0%,5.83,B+ (3.60),
4,"Kamioka, Sachiko",JAPN 10C - First Year Japanese III (E),SP23,25,11,100.0%,100.0%,5.23,B+ (3.57),B+ (3.40)
5,"Homma, Kunihiko",JAPN 10C - First Year Japanese III (F),SP23,22,11,100.0%,100.0%,4.5,A (4.00),B+ (3.58)
6,"Maruyama, Rie",JAPN 10C - First Year Japanese III (G),SP23,22,6,100.0%,100.0%,5.17,B+ (3.60),B+ (3.50)
7,"Homma, Kunihiko",JAPN 10C - First Year Japanese III (H),SP23,26,12,90.9%,100.0%,6.14,B+ (3.50),B+ (3.46)
8,"McKee, Mayumi Mochizuki",JAPN 10C - First Year Japanese III (I),SP23,26,16,100.0%,100.0%,6.63,A- (3.80),B+ (3.70)
9,"Inada, Minori",JAPN 10C - First Year Japanese III (J),SP23,24,13,100.0%,100.0%,4.65,B+ (3.67),B+ (3.66)
10,"Inada, Minori",JAPN 10C - First Year Japanese III (K),SP23,26,14,100.0%,100.0%,4.93,B+ (3.50),A- (3.75)
11,"McKee, Mayumi Mochizuki",JAPN 10C - First Year Japanese III (L),SP23,22,13,100.0%,100.0%,4.96,B+ (3.50),B (3.24)
12,"Ross, Kayoko F",JAPN 10C - First Year Japanese III (M),SP23,23,13,100.0%,100.0%,7.27,B+ (3.64),B+ (3.44)
13,"Simpson, Junko Tokuda",JAPN 130C - Third Year Japanese III (A),SP23,15,5,80.0%,100.0%,8.1,B+ (3.60),
14,"Ross, Kayoko F",JAPN 130C - Third Year Japanese III (B),SP23,15,4,100.0%,75.0%,4.5,A- (3.75),
15,"Inada, Minori",JAPN 135C - Japanese/Prof Purposes III (A),SP23,9,3,100.0%,100.0%,4.5,A (4.00),
16,"Takeda, Izumi",JAPN 135C - Japanese/Prof Purposes III (B),SP23,18,13,100.0%,100.0%,4.35,A- (3.85),
17,"Sato, Kyoko",JAPN 140C - Fourth Year Japanese III (A),SP23,8,6,83.3%,100.0%,6.17,A (4.00),
18,"Miyao, Daisuke",JAPN 190 - Japanese St Research Seminar (A),SP23,19,10,100.0%,100.0%,4.7,A- (3.90),
19,"Maruyama, Rie",JAPN 20C - Second Year Japanese III (A),SP23,18,6,100.0%,100.0%,3.17,A- (3.83),
20,"Takeda, Izumi",JAPN 20C - Second Year Japanese III (B),SP23,24,10,100.0%,100.0%,6.7,B+ (3.67),B+ (3.50)
21,"Kamioka, Sachiko",JAPN 20C - Second Year Japanese III (C),SP23,19,10,90.0%,100.0%,4.3,B+ (3.44),
22,"Simpson, Junko Tokuda",JAPN 20C - Second Year Japanese III (D),SP23,13,4,75.0%,100.0%,5.5,B+ (3.33),
23,"Sato, Kyoko",JAPN 10B - First Year Japanese II (A),WI23,21,10,100.0%,100.0%,5.5,B+ (3.50),B+ (3.40)
24,"Ross, Kayoko F",JAPN 10B - First Year Japanese II (B),WI23,10,7,100.0%,100.0%,5.93,B+ (3.60),
25,"Sato, Kyoko",JAPN 10B - First Year Japanese II (C),WI23,26,14,100.0%,92.3%,6.19,B+ (3.45),B (3.18)
26,"Kamioka, Sachiko",JAPN 10B - First Year Japanese II (D),WI23,24,14,100.0%,100.0%,5.88,A- (3.70),B+ (3.69)
27,"Ross, Kayoko F",JAPN 10B - First Year Japanese II (E),WI23,13,3,100.0%,100.0%,5.83,B+ (3.33),
28,"Homma, Kunihiko",JAPN 10B - First Year Japanese II (F),WI23,21,10,100.0%,100.0%,5.1,B+ (3.57),B (3.10)
