,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Shuster, Alana",JWSP 3 - Intermediate Hebrew Continued (A),SP23,12,4,100.0%,100.0%,5.5,A- (3.75),
1,"Shuster, Alana",JWSP 2 - Intermediate Hebrew (A),WI23,8,4,100.0%,100.0%,5.5,B (3.25),
2,"Shuster, Alana",JWSP 1 - Beginning Hebrew (A),FA22,16,9,100.0%,87.5%,4.5,A- (3.89),
3,"Shuster, Alana",JWSP 3 - Intermediate Hebrew Continued (A),SP22,16,6,100.0%,100.0%,3.5,B+ (3.67),
4,"Shuster, Alana",JWSP 2 - Intermediate Hebrew (A),WI22,16,4,100.0%,100.0%,5.5,B+ (3.50),
5,"Shuster, Alana",JWSP 1 - Beginning Hebrew (A),FA21,22,6,83.3%,60.0%,4.1,A- (3.80),B+ (3.50)
6,"Shuster, Alana",JWSP 104 - Practicum in Advanced Hebrew (A),FA21,7,4,100.0%,100.0%,2.5,A (4.00),
7,"Shuster, Alana",JWSP 104 - Practicum in Advanced Hebrew (A),SP21,5,3,100.0%,100.0%,7.17,A (4.00),
8,"Shuster, Alana",JWSP 3 - Intermediate Hebrew Continued (A),SP21,9,3,100.0%,66.7%,3.83,A (4.00),
9,"Shuster, Alana",JWSP 2 - Intermediate Hebrew (A),WI21,12,4,100.0%,100.0%,3.0,A (4.00),
10,"Shuster, Alana",JWSP 1 - Beginning Hebrew (A),FA20,16,4,100.0%,75.0%,4.5,A (4.00),
11,"Shuster, Alana",JWSP 104 - Practicum in Advanced Hebrew (A),FA20,9,3,100.0%,100.0%,3.83,A (4.00),
12,"Shuster, Alana",JWSP 3 - Intermediate Hebrew Continued (A),SP20,9,6,80.0%,75.0%,6.5,A (4.00),
13,"Shuster, Alana",JWSP 2 - Intermediate Hebrew (A),WI20,12,7,100.0%,100.0%,6.5,A (4.00),
14,"Shuster, Alana",JWSP 1 - Beginning Hebrew (A),FA19,17,5,100.0%,100.0%,3.5,A (4.00),
15,"Shuster, Alana",JWSP 104 - Practicum in Advanced Hebrew (A),FA19,9,4,100.0%,100.0%,5.83,A (4.00),
