,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),SP23,73,36,97.2%,100.0%,3.3,A- (3.82),B+ (3.65)
1,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),SP23,59,40,91.9%,91.9%,4.61,B+ (3.47),A- (3.70)
2,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),WI23,130,55,94.3%,96.2%,4.01,A- (3.72),B+ (3.63)
3,"Carvajal Regidor, Jose",LATI 190 - Senior Seminar (A),WI23,7,4,100.0%,100.0%,4.5,A (4.00),
4,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),WI23,58,45,93.0%,97.6%,4.94,B+ (3.33),B+ (3.58)
5,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),FA22,126,49,95.7%,100.0%,3.96,A- (3.85),A (4.00)
6,"Kennemore, Amy Michelle",LATI 180 - Special Topic/Lat Amer Studies (A),FA22,21,5,100.0%,100.0%,1.7,A- (3.75),A (4.00)
7,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),FA22,115,45,84.1%,88.6%,3.82,B+ (3.66),A- (3.78)
8,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),S222,26,6,100.0%,100.0%,4.17,A (4.00),B+ (3.47)
9,"Martin-Cabrera, Luis",LATI 50 - Introduction to Latin America (A),S122,73,12,91.7%,91.7%,6.17,B+ (3.50),B+ (3.62)
10,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),SP22,65,25,96.0%,100.0%,3.78,A- (3.96),A- (3.79)
11,"Ramirez Pimienta, Jorge Omar",LATI 180 - Special Topic/Lat Amer Studies (A),SP22,34,10,90.0%,100.0%,3.9,B+ (3.60),B+ (3.45)
12,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),SP22,57,43,90.5%,97.6%,3.57,B (3.26),B+ (3.49)
13,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),WI22,99,45,95.3%,95.3%,3.99,A- (3.77),A- (3.74)
14,"Martin-Cabrera, Luis",LATI 150 - Digital Oral Hist/Latin Amer (A),WI22,14,8,100.0%,100.0%,5.0,A (4.00),
15,"Mares, David R",LATI 180 - Special Topic/Lat Amer Studies (A),WI22,10,3,100.0%,66.7%,3.83,B (3.00),
16,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),WI22,57,50,85.4%,85.4%,3.56,B+ (3.34),B+ (3.55)
17,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),FA21,92,36,94.1%,97.1%,4.09,A- (3.73),B+ (3.57)
18,"Ramirez Pimienta, Jorge Omar",LATI 180 - Special Topic/Lat Amer Studies (B),FA21,38,12,100.0%,100.0%,4.17,A- (3.82),B+ (3.39)
19,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),FA21,89,62,74.6%,83.1%,4.64,B+ (3.35),B+ (3.31)
20,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),S221,33,9,77.8%,100.0%,4.5,A- (3.71),A- (3.88)
21,"Martin-Cabrera, Luis",LATI 50 - Introduction to Latin America (A),S121,46,11,100.0%,100.0%,3.95,B+ (3.60),B- (2.96)
22,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),SP21,55,29,89.3%,96.3%,4.21,B+ (3.64),B (3.25)
23,"Ramirez Pimienta, Jorge Omar",LATI 180 - Special Topic/Lat Amer Studies (A),SP21,19,9,100.0%,100.0%,4.94,A- (3.78),
24,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),SP21,28,10,100.0%,100.0%,4.75,A- (3.86),B+ (3.56)
25,"Kennemore, Amy Michelle",LATI 10 - Lat Amer Studies&US Liberation (A),WI21,62,41,92.3%,97.4%,5.23,B+ (3.57),B+ (3.43)
26,"Martin-Cabrera, Luis",LATI 150 - Digital Oral Hist/Latin Amer (A),WI21,4,3,100.0%,100.0%,5.83,B+ (3.67),
27,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),WI21,35,16,100.0%,85.7%,5.0,B+ (3.56),B+ (3.44)
28,"Kennemore, Amy Michelle",LATI 10 - Colonialisms & The Americas (A),FA20,85,48,95.7%,97.8%,5.27,B+ (3.68),B+ (3.51)
29,"Villanueva, Carla Irina",LATI 180 - Special Topic/Lat Amer Studies (A),FA20,11,7,100.0%,100.0%,5.17,B+ (3.50),
30,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),FA20,69,35,94.1%,93.9%,4.84,B+ (3.41),B+ (3.67)
31,"Kokinis, Troy Andreas",LATI 10 - Colonialisms & The Americas (A),S220,33,11,72.7%,54.5%,4.14,A- (3.75),B+ (3.41)
32,"Martin-Cabrera, Luis",LATI 50 - Introduction to Latin America (A),S120,60,17,94.1%,93.3%,5.91,B+ (3.62),B+ (3.35)
33,"Simon Salazar, Harry Love",LATI 10 - Colonialisms & The Americas (A),SP20,29,10,100.0%,100.0%,3.17,B+ (3.63),A (4.00)
34,"Simon Salazar, Harry Love",LATI 180 - Special Topic/Lat Amer Studies (B),SP20,20,10,100.0%,100.0%,2.9,A- (3.78),A- (3.99)
35,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),SP20,66,22,95.5%,81.8%,3.86,A- (3.88),A- (3.99)
36,"Simon Salazar, Harry Love",LATI 10 - Colonialisms & The Americas (A),WI20,15,10,100.0%,100.0%,3.1,A- (3.80),
37,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),WI20,58,35,91.4%,97.1%,4.27,B+ (3.42),B (3.28)
38,"Simon Salazar, Harry Love",LATI 10 - Lat Amer Studies&US Liberation (A),FA19,32,29,96.6%,100.0%,3.4,A- (3.74),B+ (3.59)
39,"Kokinis, Troy Andreas",LATI 50 - Introduction to Latin America (A),FA19,91,81,88.8%,93.8%,4.1,B (3.26),B+ (3.31)
40,"Martin-Cabrera, Luis",LATI 50 - Introduction to Latin America (A),S219,19,7,100.0%,100.0%,2.79,A (4.00),
41,"Montesinos, Jorge Roberto",LATI 50 - Introduction to Latin America (A),SP19,82,44,93.2%,97.7%,3.32,B (3.11),B+ (3.62)
42,"Martin-Cabrera, Luis",LATI 10 - Lat Amer Studies&US Liberation (A),WI19,30,12,90.0%,90.0%,2.3,B+ (3.33),B (3.17)
43,"Andrews, Abigail Leslie",LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (A),WI19,20,8,100.0%,100.0%,11.07,A- (3.75),B+ (3.54)
44,"Andrews, Abigail Leslie",LATI 122C - Fld Rsrch Mth/Migr: Data Analy (A),WI19,20,5,100.0%,100.0%,8.9,A- (3.80),B+ (3.52)
45,"Desposato, Scott",LATI 180 - Special Topic/Lat Amer Studies (A),WI19,10,3,100.0%,100.0%,1.83,B (3.00),
46,"Montesinos, Jorge Roberto",LATI 50 - Introduction to Latin America (A),FA18,100,46,81.8%,90.7%,4.09,B+ (3.32),B (3.09)
47,"Martin-Cabrera, Luis",LATI 50 - Introduction to Latin America (A),S218,13,5,100.0%,100.0%,6.9,A (4.00),
48,"Janusz, Andrew James",LATI 50 - Introduction to Latin America (A),WI18,94,83,78.3%,94.0%,3.7,B (3.16),C+ (2.65)
49,"Sawyer, Adam",LATI 122C - Fld Rsrch Mth/Migr: Data Analy (A),SP17,6,3,100.0%,100.0%,5.17,B+ (3.33),
50,"Janusz, Andrew James",LATI 50 - Introduction to Latin America (A),WI17,72,61,88.3%,88.3%,5.04,B+ (3.31),B (3.23)
51,"Wong, Tak Kei",LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (A),FA16,8,3,100.0%,100.0%,5.83,B+ (3.33),
52,"Janusz, Andrew James",LATI 50 - Introduction to Latin America (A),S116,15,4,100.0%,100.0%,9.0,B+ (3.50),
53,"Ojeda, Victoria D.",LATI 122C - Fld Rsrch Mth/Migr: Data Analy (B),SP16,8,4,100.0%,100.0%,5.17,A (4.00),
54,"Smith, Peter H",LATI 50 - Introduction to Latin America (A),WI16,56,25,91.7%,91.7%,4.33,B+ (3.48),B+ (3.52)
55,"Muse-Orlinoff, Leah R",LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (A),FA15,10,5,66.7%,66.7%,4.5,B+ (3.67),
56,"Zamosc, Leon",LATI 50 - Introduction to Latin America (A),S115,16,4,100.0%,100.0%,5.0,B (3.00),
57,"Cornelius, Wayne A",LATI 122C - Fld Rsrch Mth/Migr: Data Analy (A),SP15,12,3,33.3%,33.3%,3.83,A (4.00),
58,"Soper, Rachel S",LATI 180 - Special Topic/Lat Amer Studies (A),SP15,8,3,66.7%,66.7%,3.83,B+ (3.67),
59,"Cornelius, Wayne A",LATI 122B - Fld Rsrch Mth/Migrtn:Practicum (A),WI15,13,3,100.0%,50.0%,5.5,A (4.00),
60,"Smith, Peter H",LATI 50 - Introduction to Latin America (A),WI15,60,19,88.9%,94.4%,3.17,A- (3.91),B+ (3.50)
61,"Cornelius, Wayne A",LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (A),FA14,13,5,100.0%,100.0%,3.7,A- (3.80),
62,"Gell-Redman, Micah",LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (A),FA14,13,5,100.0%,100.0%,3.7,A- (3.80),
63,"Zamosc, Leon",LATI 50 - Introduction to Latin America (A),S114,20,6,60.0%,100.0%,4.1,B (3.25),B+ (3.39)
64,"Cornelius, Wayne A",LATI 122C - Fld Rsrch Mth/Migr: Data Analy (A),SP14,17,4,100.0%,100.0%,10.0,A (4.00),
65,"Cornelius, Wayne A",LATI 122B - Fld Rsrch Mth/Migrtn:Practicum (A),WI14,19,6,66.7%,66.7%,13.17,A (4.00),
66,"Smith, Peter H",LATI 50 - Introduction to Latin America (A),WI14,56,26,80.0%,80.0%,3.54,A- (3.71),B+ (3.68)
67,"Cornelius, Wayne A",LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (A),FA13,22,9,100.0%,100.0%,6.17,B+ (3.60),A- (3.99)
68,"Cornelius, Wayne A",LATI 122C - Fld Rsrch Mth/Migr: Data Analy (A),SP13,13,4,100.0%,100.0%,7.5,A (4.00),
69,"Smith, Peter H",LATI 50 - Introduction to Latin America (A),SP13,55,16,80.0%,86.7%,3.79,B+ (3.42),B (3.27)
70,"Cornelius, Wayne A",LATI 122B - Fld Rsrch Mth/Migrtn:Practicum (A),WI13,14,7,100.0%,100.0%,6.5,A (4.00),
71,"Cornelius, Wayne A",LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (A),FA12,14,5,100.0%,100.0%,8.1,A- (3.80),
72,"Zamosc, Leon",LATI 50 - Introduction to Latin America (A),S212,19,4,100.0%,100.0%,3.0,B (3.00),
73,"Zuniga De Nuncio, Maria Luisa",LATI 122C - Fld Rsrch Mth/Migr: Data Analy (A),SP12,10,6,100.0%,100.0%,7.5,A (4.00),
74,"Montesinos, Jorge Roberto",LATI 180 - Special Topic/Lat Amer Studies (A),SP12,8,6,100.0%,100.0%,5.83,A (4.00),
75,"Zamosc, Leon",LATI 190 - Senior Seminar (A),WI12,11,6,100.0%,100.0%,5.5,B+ (3.33),
76,"Smith, Peter H",LATI 50 - Introduction to Latin America (A),WI12,49,21,95.0%,85.0%,5.0,B+ (3.46),B (3.00)
77,,LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (B),FA11,11,4,100.0%,100.0%,8.0,A (4.00),
78,"Molina, Natalia Margarita",LATI 87 - Freshman Seminar (A),FA11,19,13,100.0%,100.0%,0.65,B+ (3.67),
79,"Zamosc, Leon",LATI 50 - Introduction to Latin America (A),S111,16,10,100.0%,90.0%,4.5,A- (3.71),
80,"Fitzgerald, David S",LATI 122C - Fld Rsrch Mth/Migr: Data Analy (A),SP11,17,10,100.0%,100.0%,10.3,A (4.00),
81,"Fitzgerald, David S",LATI 122B - Fld Rsrch Mth/Migrtn:Practicum (A),WI11,16,8,100.0%,100.0%,7.75,A (4.00),
82,"Zamosc, Leon",LATI 190 - Senior Seminar (A),WI11,9,4,100.0%,100.0%,9.0,A- (3.75),
83,"Smith, Peter H",LATI 50 - Introduction to Latin America (A),WI11,82,48,70.8%,66.7%,4.92,B+ (3.39),B (3.16)
84,"Fitzgerald, David S",LATI 122A - Fld Rsrch Mth/Migrtn Stdy: Sem (A),FA10,18,9,100.0%,100.0%,6.06,A (4.00),
85,"Zamosc, Leon",LATI 50 - Introduction to Latin America (A),SU10,12,4,75.0%,100.0%,6.0,B+ (3.33),
