,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),S222,22,4,100.0%,100.0%,3.17,B+ (3.33),B+ (3.59)
1,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (A),WI22,60,22,95.2%,95.2%,4.4,B+ (3.55),B+ (3.43)
2,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),S221,16,4,75.0%,75.0%,6.0,A- (3.75),
3,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),SP21,61,17,93.3%,86.7%,4.37,A- (3.81),B+ (3.59)
4,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (A),WI21,48,18,82.4%,82.4%,5.38,A- (3.81),B+ (3.45)
5,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),S220,16,5,100.0%,100.0%,8.1,A- (3.80),
6,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),SP20,52,15,92.9%,92.9%,2.79,B+ (3.67),B+ (3.65)
7,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),SP19,56,14,78.6%,71.4%,3.36,B+ (3.43),B (3.25)
8,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (A),FA18,58,22,100.0%,95.5%,4.23,B+ (3.45),B+ (3.50)
9,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),S218,27,7,100.0%,100.0%,6.21,A- (3.71),B+ (3.60)
10,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),FA17,37,13,90.9%,81.8%,3.5,B+ (3.64),B+ (3.60)
11,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (A),FA16,37,14,90.9%,100.0%,5.23,A- (3.91),B+ (3.69)
12,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (A),S116,15,4,100.0%,75.0%,9.0,B+ (3.67),
13,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),SP16,33,11,100.0%,90.9%,2.9,B+ (3.60),B+ (3.41)
14,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (C),FA15,28,6,100.0%,100.0%,5.5,B+ (3.50),B (3.20)
15,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),S115,10,4,100.0%,100.0%,8.5,A (4.00),
16,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),SP15,27,9,87.5%,62.5%,4.79,B (3.17),B (3.03)
17,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),FA14,65,25,95.5%,72.7%,3.26,B+ (3.33),B (3.13)
18,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),S214,7,4,100.0%,100.0%,5.0,A (4.00),
19,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),SP14,35,11,90.9%,90.9%,4.32,B (3.18),B- (2.78)
20,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (A),FA13,97,32,93.1%,96.6%,5.29,B+ (3.43),B+ (3.33)
21,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),SP13,63,16,80.0%,60.0%,3.83,B+ (3.40),B+ (3.31)
22,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),FA12,75,32,90.0%,93.3%,5.23,B+ (3.44),B (3.10)
23,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),S212,17,4,75.0%,75.0%,7.5,A- (3.75),
24,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (A),WI12,106,35,82.9%,85.7%,5.41,B+ (3.48),B- (2.89)
25,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),FA11,101,54,92.5%,90.6%,6.87,B+ (3.41),B (3.04)
26,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),S211,35,8,75.0%,100.0%,6.5,B+ (3.43),B (3.14)
27,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),WI11,63,34,76.5%,55.9%,4.63,B+ (3.48),B- (2.95)
28,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),FA10,98,70,95.7%,91.4%,6.04,B (3.26),B- (2.99)
29,"Golan, Tal",LAWS 101 - Contemporary Legal Issues (A),SU10,23,6,83.3%,100.0%,7.3,B+ (3.67),
30,"Belknap, Michal R","LAWS 102S - Crimes,Civil Wrongs&Constition (A)",SU10,12,5,100.0%,80.0%,14.5,B (3.25),
31,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),SP10,131,70,94.3%,89.7%,5.28,B (3.14),B- (2.92)
32,"Ng, Kwai",LAWS 101 - Contemporary Legal Issues (A),WI10,53,15,100.0%,100.0%,5.3,B+ (3.53),B+ (3.32)
33,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),SU09,23,9,77.8%,100.0%,8.94,B+ (3.44),
34,"Belknap, Michal R","LAWS 102S - Crimes,Civil Wrongs&Constition (A)",SU09,10,3,100.0%,100.0%,11.17,B+ (3.67),
35,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),WI09,90,70,95.7%,94.2%,4.09,B (3.27),B- (2.92)
36,"Cooper, James M.",LAWS 101 - Contemporary Legal Issues (A),FA08,51,29,89.7%,89.7%,4.22,B+ (3.48),B (3.10)
37,"Belknap, Michal R","LAWS 102S - Crimes,Civil Wrongs&Constition (A)",SU08,6,4,100.0%,100.0%,12.5,B (3.25),
38,"Doppelt, Gerald D.",LAWS 101 - Contemporary Legal Issues (A),WI08,100,69,91.2%,89.7%,3.93,B+ (3.39),B (3.08)
