,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Rose, Sharon",LIGN 108 - Languages of Africa (A),SP23,31,15,100.0%,100.0%,4.07,B (3.25),B (3.11)
1,"Ackerman, Farrell",LIGN 120 - Morphology (A),SP23,66,36,42.9%,26.5%,5.94,B (3.12),B (3.10)
2,"Caponigro, Ivano",LIGN 130 - Semantics (A),SP23,80,39,68.4%,83.3%,4.13,B (3.19),C+ (2.51)
3,"Lott, Margaret S.",LIGN 146 - Sociolinguistics/Deaf Communit (A),SP23,17,10,100.0%,100.0%,3.1,B+ (3.60),
4,"Bergen, Leon",LIGN 165 - Computational Linguistics (A),SP23,81,27,88.5%,88.5%,5.96,B+ (3.48),B- (2.73)
5,"Kehler, Andrew Scott",LIGN 17 - Making and Breaking Codes (A),SP23,233,101,96.0%,99.0%,3.2,B+ (3.47),B (3.16)
6,"Mayberry, Rachel",LIGN 171 - Child Language Acquisition (A),SP23,54,45,97.7%,95.5%,3.95,B+ (3.45),B+ (3.30)
7,"Kluender, Robert",LIGN 180 - Lang Representation in Brain (A),SP23,57,29,89.3%,71.4%,5.88,B (3.18),B (3.11)
8,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),SP23,227,84,100.0%,100.0%,3.24,B+ (3.65),B+ (3.42)
9,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),WI23,139,59,94.9%,100.0%,3.6,B+ (3.64),B+ (3.36)
10,"Bakovic, Eric John",LIGN 111 - Phonology I (A),WI23,79,31,96.8%,93.5%,6.69,B+ (3.58),B+ (3.52)
11,"Styler, William Francis",LIGN 113 - Hearing Sci.&Hearing Disorders (A),WI23,77,26,88.0%,100.0%,3.3,B+ (3.68),B (3.06)
12,"Munoz Sanchez, Alicia",LIGN 119 - 1st&2nd Lang Lrn:Child to Adol (A),WI23,50,21,90.0%,100.0%,3.76,B+ (3.55),B+ (3.43)
13,"Yuan, Michelle",LIGN 121 - Syntax I (A),WI23,63,26,96.2%,96.2%,5.27,B+ (3.36),B (3.09)
14,"Caballero, Gabriela Hernandez",LIGN 141 - Language Structures (A),WI23,18,5,100.0%,100.0%,5.3,B+ (3.40),
15,"Drake, Emily C",LIGN 142 - Language Typology (A),WI23,23,5,100.0%,100.0%,5.7,B+ (3.60),B+ (3.32)
16,"Kehler, Andrew Scott",LIGN 17 - Making and Breaking Codes (A),WI23,244,110,98.1%,100.0%,3.62,B (3.30),B- (2.94)
17,"Garellek, Marc",LIGN 175 - Sociolinguistics (A),WI23,53,27,92.3%,96.2%,4.26,B+ (3.65),B+ (3.56)
18,"Kluender, Robert",LIGN 179 - Second Lang Acquisition Resrc (A),WI23,23,6,83.3%,83.3%,4.9,B (3.20),B (3.03)
19,"Zaslansky, Matthew",LIGN 7 - Sign Languages&Their Cultures (A),WI23,98,78,92.3%,97.4%,3.02,B+ (3.68),A- (3.71)
20,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),WI23,231,85,100.0%,100.0%,3.23,A- (3.78),B+ (3.50)
21,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),FA22,138,70,100.0%,100.0%,3.46,A- (3.74),A- (3.82)
22,"Garellek, Marc",LIGN 110 - Phonetics (A),FA22,103,37,97.2%,97.1%,4.5,B+ (3.64),A- (3.78)
23,"Drake, Emily C",LIGN 121 - Syntax I (A),FA22,44,18,83.3%,94.4%,5.06,B+ (3.39),A (4.00)
24,"McIntosh, Justin Daniel",LIGN 143 - The Structure of Spanish (A),FA22,22,9,100.0%,100.0%,4.5,B+ (3.56),B+ (3.33)
25,"Garellek, Marc",LIGN 150 - Historical Linguistics (A),FA22,35,10,90.0%,90.0%,6.5,B+ (3.60),B (3.26)
26,"Caballero, Gabriela Hernandez",LIGN 152 - Indigenous Languages/Americas (A),FA22,20,5,80.0%,100.0%,4.5,A- (3.80),B+ (3.34)
27,"Kluender, Robert",LIGN 154 - Language and Consciousness (A),FA22,9,3,100.0%,100.0%,3.17,B+ (3.33),
28,"Bergen, Leon",LIGN 167 - Deep Learning/Natural Language (A),FA22,97,32,90.6%,93.5%,6.69,B+ (3.55),B+ (3.55)
29,"Kehler, Andrew Scott",LIGN 17 - Making and Breaking Codes (A),FA22,241,101,95.8%,100.0%,3.55,B (3.30),B- (2.97)
30,"Goodall, Grant Todd",LIGN 5 - Linguistics of Invented Lang (A),FA22,81,24,90.9%,100.0%,3.58,B (3.17),B (3.01)
31,"Mayberry, Rachel",LIGN 7 - Sign Languages&Their Cultures (A),FA22,137,68,85.1%,89.6%,2.92,B+ (3.40),B (3.02)
32,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),FA22,298,104,93.1%,97.0%,3.81,A- (3.74),B+ (3.58)
33,"McIntosh, Justin Daniel",LIGN 101 - Introduction/Study of Language (A),S222,40,10,100.0%,100.0%,6.1,B+ (3.50),B+ (3.43)
34,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),S222,164,37,97.2%,100.0%,4.5,A- (3.74),B+ (3.60)
35,"Lott, Margaret S.",LIGN 149GS - Historical Roots of ASL (A),S122,18,7,100.0%,100.0%,3.93,A (4.00),
36,"Lott, Margaret S.",LIGN 9GS - Sign & Deaf Culture US/France (A),S122,18,10,100.0%,100.0%,3.9,A- (3.80),
37,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),SP22,117,53,98.0%,100.0%,3.5,A- (3.82),B+ (3.56)
38,"Yuan, Michelle",LIGN 120 - Morphology (A),SP22,75,37,97.3%,97.2%,3.67,B+ (3.63),B+ (3.52)
39,"Yuan, Michelle",LIGN 125 - Syntax II (A),SP22,8,6,100.0%,100.0%,3.5,B+ (3.60),
40,"Caponigro, Ivano",LIGN 130 - Semantics (A),SP22,70,28,92.0%,88.0%,3.38,B+ (3.48),B- (2.90)
41,"Rose, Sharon",LIGN 139 - Field Methods (A),SP22,14,4,100.0%,100.0%,6.5,C+ (2.50),
42,"Mayberry, Rachel",LIGN 148 - Psycholinguist/Gesture&SignLan (A),SP22,38,15,78.6%,92.3%,3.21,B (3.07),B- (2.90)
43,"Bergen, Leon",LIGN 165 - Computational Linguistics (A),SP22,67,24,83.3%,91.7%,5.0,B+ (3.41),B (3.16)
44,"Kehler, Andrew Scott",LIGN 17 - Making and Breaking Codes (A),SP22,222,76,100.0%,100.0%,3.54,B+ (3.53),B- (2.95)
45,"Ackerman, Farrell",LIGN 176 - Language/Politics&Advertising (A),SP22,59,21,85.0%,95.0%,3.83,B+ (3.59),A- (3.75)
46,"Kluender, Robert",LIGN 181 - Lang Processing in the Brain (A),SP22,40,25,92.0%,88.0%,5.75,B+ (3.32),B- (2.82)
47,"Styler, William Francis",LIGN 6 - Computers and Language (A),SP22,65,24,95.7%,100.0%,3.72,B+ (3.64),B+ (3.65)
48,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),SP22,251,102,99.0%,99.0%,3.4,A- (3.73),B+ (3.69)
49,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),WI22,112,52,100.0%,100.0%,4.06,A- (3.72),B+ (3.35)
50,"Mai, Anna Christina Louisa",LIGN 111 - Phonology I (A),WI22,63,28,89.3%,75.0%,5.14,B+ (3.39),B (3.02)
51,"Garellek, Marc",LIGN 112 - Speech Sounds&Speech Disorders (A),WI22,74,30,100.0%,100.0%,4.64,B+ (3.43),B (3.14)
52,"Goodall, Grant Todd",LIGN 119 - 1st&2nd Lang Lrn:Child to Adol (A),WI22,60,23,100.0%,100.0%,3.59,A- (3.76),B (3.12)
53,"Drake, Emily C",LIGN 121 - Syntax I (A),WI22,75,31,82.8%,82.8%,5.33,B (3.14),C+ (2.57)
54,"Caballero, Gabriela Hernandez",LIGN 152 - Indigenous Languages/Americas (A),WI22,14,6,83.3%,100.0%,2.83,B+ (3.67),
55,"Kluender, Robert",LIGN 155 - Evolution of Language (A),WI22,25,6,66.7%,66.7%,6.83,B- (2.83),B- (2.76)
56,"Bergen, Leon",LIGN 167 - Deep Learning/Natural Language (A),WI22,89,29,92.9%,96.4%,5.93,B+ (3.67),B+ (3.52)
57,"Kehler, Andrew Scott",LIGN 17 - Making and Breaking Codes (A),WI22,276,133,95.4%,96.9%,3.04,B+ (3.51),B (3.21)
58,"Munoz Sanchez, Alicia",LIGN 178 - Spanish Sociolinguistics (A),WI22,16,7,100.0%,100.0%,2.79,A- (3.86),
59,"Styler, William Francis",LIGN 42 - The Linguistics of Memes (A),WI22,47,25,100.0%,100.0%,1.86,A- (3.86),A- (3.71)
60,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),WI22,248,103,97.0%,98.0%,3.61,A- (3.76),B+ (3.70)
61,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),FA21,138,66,100.0%,100.0%,3.68,B+ (3.68),B+ (3.57)
62,"Garellek, Marc",LIGN 110 - Phonetics (A),FA21,90,43,95.2%,97.6%,5.36,B+ (3.31),B (3.23)
63,"Drake, Emily C",LIGN 142 - Language Typology (A),FA21,30,13,92.3%,100.0%,4.19,B+ (3.46),B (3.19)
64,"Lott, Margaret S.",LIGN 144 - Discourse Analysis: ASL Poetr (A),FA21,27,9,88.9%,100.0%,4.06,B+ (3.50),B+ (3.49)
65,"Kluender, Robert",LIGN 154 - Language and Consciousness (A),FA21,21,10,100.0%,100.0%,4.7,B (3.20),B- (2.89)
66,"Kehler, Andrew Scott",LIGN 160 - Pragmatics (A),FA21,37,15,85.7%,92.9%,4.1,B (3.00),B (3.11)
67,"Rose, Sharon",LIGN 177 - Multilingualism (A),FA21,45,18,100.0%,100.0%,4.28,B+ (3.61),B (3.16)
68,"Goodall, Grant Todd",LIGN 5 - Linguistics of Invented Lang (A),FA21,70,34,97.1%,100.0%,2.44,B+ (3.58),B- (2.98)
69,"Mayberry, Rachel",LIGN 7 - Sign Languages&Their Cultures (A),FA21,223,113,88.9%,93.4%,3.02,A- (3.73),B (3.17)
70,"Caballero, Gabriela Hernandez",LIGN 8 - Languages & Cultures/America (A),FA21,206,76,97.3%,100.0%,4.09,A- (3.79),B+ (3.48)
71,"Wampler, Joshua William",LIGN 130 - Semantics (A),S221,27,12,100.0%,91.7%,6.5,B+ (3.42),B (3.22)
72,"McIntosh, Justin Daniel",LIGN 101 - Introduction/Study of Language (A),S121,31,10,100.0%,100.0%,3.5,B+ (3.60),B+ (3.57)
73,"Huang, Yaqian",LIGN 110 - Phonetics (A),S121,18,7,83.3%,83.3%,7.36,B+ (3.33),
74,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),S121,136,37,94.6%,97.3%,6.39,A- (3.71),B+ (3.43)
75,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),SP21,75,40,97.5%,100.0%,4.0,A- (3.84),B+ (3.70)
76,"Styler, William Francis",LIGN 113 - Hearing Sci.&Hearing Disorders (A),SP21,71,26,100.0%,100.0%,4.34,A- (3.72),B+ (3.48)
77,"Yuan, Michelle",LIGN 120 - Morphology (A),SP21,75,36,100.0%,100.0%,3.33,A- (3.74),B+ (3.69)
78,"Drake, Emily C",LIGN 125 - Syntax II (A),SP21,16,7,100.0%,100.0%,6.5,A- (3.71),
79,"Caponigro, Ivano",LIGN 130 - Semantics (A),SP21,56,25,100.0%,100.0%,3.86,B (3.25),B (3.08)
80,"Bergen, Leon",LIGN 165 - Computational Linguistics (A),SP21,67,34,91.2%,97.1%,6.74,A- (3.74),B+ (3.59)
81,"Kehler, Andrew Scott",LIGN 17 - Making and Breaking Codes (A),SP21,168,60,96.6%,98.3%,4.09,B+ (3.61),B+ (3.42)
82,"Ackerman, Farrell",LIGN 176 - Language/Politics&Advertising (A),SP21,71,26,96.0%,84.0%,4.92,B+ (3.50),B (3.30)
83,"Kluender, Robert",LIGN 180 - Lang Representation in Brain (A),SP21,48,33,57.6%,66.7%,7.11,B (3.29),B+ (3.61)
84,"Mayberry, Rachel",LIGN 7 - Sign Languages&Their Cultures (A),SP21,97,28,89.3%,92.6%,2.93,B+ (3.43),B (3.16)
85,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),SP21,237,98,93.8%,95.8%,4.3,A- (3.70),B+ (3.64)
86,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),WI21,72,50,98.0%,98.0%,4.3,B+ (3.54),B+ (3.66)
87,"Rose, Sharon",LIGN 111 - Phonology I (A),WI21,96,44,88.1%,97.6%,5.34,B+ (3.43),B+ (3.35)
88,"Yuan, Michelle",LIGN 121 - Syntax I (A),WI21,76,39,89.7%,97.4%,4.55,B+ (3.57),B+ (3.53)
89,"Mayberry, Rachel",LIGN 148 - Psycholinguistics of Sign Lang (A),WI21,24,12,75.0%,75.0%,3.5,B+ (3.56),B+ (3.34)
90,"McIntosh, Justin Daniel",LIGN 150 - Historical Linguistics (A),WI21,51,22,81.8%,50.0%,4.77,B+ (3.31),B+ (3.39)
91,"Kehler, Andrew Scott",LIGN 17 - Making and Breaking Codes (A),WI21,142,67,96.9%,98.5%,3.58,B+ (3.64),B+ (3.48)
92,"Garellek, Marc",LIGN 175 - Sociolinguistics (A),WI21,66,30,96.6%,100.0%,3.53,A- (3.86),B+ (3.66)
93,"Munoz Sanchez, Alicia",LIGN 178 - Spanish Sociolinguistics (A),WI21,23,10,100.0%,100.0%,3.5,B+ (3.60),B (3.29)
94,"Kluender, Robert",LIGN 179 - Second Lang Acquisition Resrc (A),WI21,35,25,87.5%,95.8%,7.46,B (3.22),B+ (3.55)
95,"Styler, William Francis",LIGN 6 - Computers and Language (A),WI21,39,21,100.0%,100.0%,3.45,B+ (3.63),B+ (3.54)
96,"Chai, Yuan",LIGN 8 - Languages & Cultures/America (A),WI21,178,66,93.9%,93.9%,3.2,A- (3.89),B+ (3.59)
97,"Styler, William Francis",LIGN 87 - Freshman Seminar (A),WI21,18,16,100.0%,100.0%,1.13,,
98,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),FA20,67,45,97.7%,100.0%,5.09,B+ (3.69),B+ (3.61)
99,"Garellek, Marc",LIGN 110 - Phonetics (B),FA20,96,47,97.8%,100.0%,5.67,B (3.15),B (3.12)
100,"Bakovic, Eric John",LIGN 115 - Phonology II (A),FA20,11,9,100.0%,100.0%,4.94,A- (3.78),
101,"Drake, Emily C",LIGN 139 - Field Methods (A),FA20,16,9,100.0%,100.0%,6.5,B (3.22),
102,"McClain, Shane Boyd",LIGN 143 - The Structure of Spanish (A),FA20,64,25,83.3%,83.3%,3.67,B+ (3.50),A- (3.75)
103,"Lott, Margaret S.",LIGN 146 - Sociolinguistics/Deaf Communit (A),FA20,22,9,100.0%,100.0%,2.28,A- (3.89),A- (3.76)
104,"McIntosh, Justin Daniel",LIGN 152 - Indigenous Languages/Americas (A),FA20,28,12,91.7%,100.0%,4.5,B+ (3.45),B+ (3.39)
105,"Goodall, Grant Todd",LIGN 5 - Linguistics of Invented Lang (A),FA20,62,38,94.4%,97.2%,2.28,A- (3.84),B+ (3.34)
106,"Ilkbasaran, Deniz",LIGN 7 - Sign Languages&Their Cultures (A),FA20,167,99,94.9%,97.9%,4.07,A- (3.76),A- (3.71)
107,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),FA20,252,108,100.0%,100.0%,3.73,A- (3.87),A- (3.79)
108,"Demir, Nese",LIGN 101 - Introduction/Study of Language (A),S220,24,9,100.0%,100.0%,4.75,B+ (3.63),B+ (3.51)
109,"Semushina, Nina",LIGN 7 - Sign Languages&Their Cultures (A),S120,13,5,100.0%,100.0%,4.5,A (4.00),
110,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),S120,56,18,100.0%,100.0%,5.32,B+ (3.57),A- (3.76)
111,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),SP20,77,41,100.0%,97.6%,4.0,A- (3.78),A- (3.73)
112,"Rose, Sharon",LIGN 108 - Languages of Africa (A),SP20,19,8,100.0%,100.0%,3.93,B+ (3.57),
113,"Styler, William Francis",LIGN 113 - Hearing Sci.&Hearing Disorders (A),SP20,68,35,100.0%,100.0%,4.5,A- (3.74),A- (3.72)
114,"Yuan, Michelle",LIGN 120 - Morphology (A),SP20,111,58,100.0%,100.0%,4.29,A- (3.87),A- (3.77)
115,"Caponigro, Ivano",LIGN 130 - Semantics (A),SP20,119,56,92.5%,92.5%,4.43,B+ (3.30),B+ (3.38)
116,"Kehler, Andrew Scott",LIGN 160 - Pragmatics (A),SP20,63,26,84.6%,84.0%,5.5,B (3.22),A- (3.89)
117,"Bergen, Leon",LIGN 165 - Computational Linguistics (A),SP20,63,24,91.7%,95.8%,6.92,A- (3.75),A- (3.78)
118,"Kluender, Robert",LIGN 181 - Lang Processing in the Brain (A),SP20,50,34,76.5%,88.2%,7.83,B (3.08),B+ (3.38)
119,"Ilkbasaran, Deniz",LIGN 7 - Sign Languages&Their Cultures (A),SP20,158,94,95.7%,100.0%,4.65,A- (3.82),A- (3.82)
120,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),SP20,216,81,96.2%,98.7%,3.64,A- (3.86),A- (3.87)
121,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),WI20,62,36,100.0%,100.0%,4.0,B+ (3.62),B+ (3.33)
122,"Rose, Sharon",LIGN 111 - Phonology I (A),WI20,79,42,85.0%,92.5%,5.1,B (3.15),B (3.05)
123,"Garellek, Marc",LIGN 112 - Speech Sounds&Speech Disorders (A),WI20,68,41,95.1%,100.0%,4.21,B+ (3.39),B- (2.94)
124,"Munoz Sanchez, Alicia",LIGN 119 - 1st&2nd Lang Lrn:Child to Adol (A),WI20,46,19,94.7%,89.5%,4.61,B+ (3.58),B (3.28)
125,"Drake, Emily C",LIGN 121 - Syntax I (A),WI20,107,100,85.9%,91.9%,5.7,B- (2.95),B (3.04)
126,"Kluender, Robert",LIGN 154 - Language and Consciousness (A),WI20,31,21,85.0%,89.5%,5.5,B (3.20),B (3.04)
127,"Kehler, Andrew Scott",LIGN 17 - Making and Breaking Codes (A),WI20,169,75,98.6%,98.6%,2.61,B+ (3.53),B (3.23)
128,"Mayberry, Rachel",LIGN 171 - Child Language Acquisition (A),WI20,50,23,63.6%,59.1%,3.55,B (3.05),B (3.19)
129,"Garellek, Marc",LIGN 175 - Sociolinguistics (A),WI20,46,26,91.7%,100.0%,3.46,B+ (3.43),B (3.16)
130,"Ackerman, Farrell",LIGN 176 - Language/Politics&Advertising (A),WI20,36,15,100.0%,100.0%,3.73,B+ (3.50),B+ (3.47)
131,"Styler, William Francis",LIGN 6 - Computers and Language (A),WI20,34,9,100.0%,100.0%,2.72,B+ (3.63),B+ (3.58)
132,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),WI20,181,90,93.3%,93.3%,2.75,B+ (3.65),A- (3.71)
133,"Wittenberg, Eva H",LIGN 101 - Introduction/Study of Language (A),FA19,92,49,77.6%,75.0%,3.36,B (3.15),C (2.29)
134,"Garellek, Marc",LIGN 110 - Phonetics (A),FA19,93,71,98.6%,98.5%,4.39,B+ (3.37),B+ (3.38)
135,"Bakovic, Eric John",LIGN 143 - The Structure of Spanish (A),FA19,52,42,95.2%,100.0%,3.28,B+ (3.51),B+ (3.62)
136,"Lott, Margaret S.",LIGN 144 - Discourse Analysis: ASL Poetr (A),FA19,19,10,100.0%,100.0%,5.1,B+ (3.56),
137,"Caballero, Gabriela Hernandez",LIGN 152 - Indigenous Languages/Americas (A),FA19,15,9,100.0%,100.0%,5.17,B+ (3.44),
138,"Kluender, Robert",LIGN 155 - Evolution of Language (A),FA19,35,31,87.1%,90.3%,6.05,B (3.14),B (3.00)
139,"Bergen, Leon",LIGN 167 - Deep Learning/Natural Language (A),FA19,99,34,87.9%,90.9%,6.5,B+ (3.33),B (3.15)
140,"Wittenberg, Eva H",LIGN 170 - Psycholinguistics (A),FA19,33,26,84.6%,92.3%,4.96,B+ (3.42),B+ (3.35)
141,"Goodall, Grant Todd",LIGN 5 - Linguistics of Invented Lang (A),FA19,63,28,85.2%,96.3%,3.31,B+ (3.50),C+ (2.68)
142,"Mayberry, Rachel",LIGN 7 - Sign Languages&Their Cultures (B),FA19,141,122,78.7%,86.9%,3.29,B (3.08),B (3.11)
143,"Caballero, Gabriela Hernandez",LIGN 8 - Languages & Cultures/America (A),FA19,188,97,92.4%,97.8%,2.76,B+ (3.57),B+ (3.49)
144,"Mai, Anna Christina Louisa",LIGN 101 - Introduction/Study of Language (A),S219,15,12,100.0%,100.0%,5.95,B+ (3.60),
145,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),S219,26,8,100.0%,100.0%,3.75,B+ (3.57),A- (3.95)
146,"Lott, Margaret S.",LIGN 149GS - Historical Roots of ASL (A),S119,16,14,100.0%,100.0%,5.12,A- (3.77),
147,"Lott, Margaret S.",LIGN 9GS - Sign & Deaf Culture US/France (A),S119,16,15,100.0%,100.0%,4.63,A- (3.82),
148,"Styler, William Francis",LIGN 101 - Introduction/Study of Language (A),SP19,115,58,96.1%,98.1%,3.88,B+ (3.62),B+ (3.45)
149,"Styler, William Francis",LIGN 120 - Morphology (A),SP19,129,68,88.9%,96.8%,5.16,B (3.26),B- (2.81)
150,"Caponigro, Ivano",LIGN 130 - Semantics (A),SP19,97,44,95.3%,97.6%,4.17,B (3.21),B- (2.82)
151,"McIntosh, Justin Daniel",LIGN 139 - Field Methods (A),SP19,8,6,100.0%,100.0%,6.83,B+ (3.33),
152,"Mayberry, Rachel",LIGN 148 - Psycholinguistics of Sign Lang (A),SP19,40,30,86.7%,82.8%,4.02,B+ (3.36),B+ (3.34)
153,"Kehler, Andrew Scott",LIGN 160 - Pragmatics (A),SP19,64,17,93.3%,73.3%,4.21,B+ (3.43),B- (2.94)
154,"Bergen, Leon",LIGN 165 - Computational Linguistics (A),SP19,73,27,79.2%,95.8%,5.54,B+ (3.35),B (3.28)
155,"Kim, Seung Kyung",LIGN 177 - Multilingualism (A),SP19,49,24,77.3%,81.8%,2.83,B+ (3.61),B+ (3.46)
156,"Wittenberg, Eva H","LIGN 4 - Language, Communication, &Mind (A)",SP19,74,53,86.8%,88.5%,3.56,B (3.21),B- (2.77)
157,"Ilkbasaran, Deniz",LIGN 7 - Sign Languages&Their Cultures (B),SP19,84,58,91.2%,94.7%,3.22,B+ (3.43),B (3.26)
158,"McIntosh, Justin Daniel",LIGN 8 - Languages & Cultures/America (A),SP19,146,73,92.3%,95.4%,2.47,B+ (3.54),B+ (3.34)
159,"Wittenberg, Eva H",LIGN 101 - Introduction/Study of Language (A),WI19,101,65,95.2%,90.0%,3.67,B (3.12),B- (2.95)
160,"Kim, Seung Kyung",LIGN 110 - Phonetics (A),WI19,63,33,89.7%,71.4%,4.5,B (3.17),B (3.20)
161,"Styler, William Francis",LIGN 111 - Phonology I (A),WI19,66,41,94.7%,94.9%,6.34,B+ (3.42),B+ (3.55)
162,"Garellek, Marc",LIGN 112 - Speech Sounds&Speech Disorders (A),WI19,45,37,100.0%,97.3%,3.8,B+ (3.35),B- (2.96)
