,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Pagkalinawan, Leticia Cant",LIHL 112P - Filipino for Filipino Speakers (A),SP23,25,12,100.0%,100.0%,3.59,B+ (3.56),B+ (3.58)
1,"Sadegholvad, Elham",LIHL 117P - Persian for Persian Speakers (A),SP23,22,9,100.0%,100.0%,4.06,A (4.00),A- (3.84)
2,"Chen, Areana Yen",LIHL 118 - Cantonese for Cantonse Speaker (A),SP23,36,34,97.1%,97.1%,3.69,A- (3.74),B+ (3.68)
3,"Pagkalinawan, Leticia Cant",LIHL 132P - Adv Filipino/Filipino Spkrs (A),SP23,13,3,100.0%,66.7%,1.17,B+ (3.67),
4,"Pagkalinawan, Leticia Cant",LIHL 112W - Filipino for Filipino Speakers (A),WI23,24,12,100.0%,100.0%,3.33,B+ (3.50),B+ (3.67)
5,"Phung, Huy Van",LIHL 114W - Beginning Vietnamese for Vietn (A),WI23,20,12,100.0%,100.0%,2.83,B+ (3.64),B+ (3.63)
6,"Sadegholvad, Elham",LIHL 117W - Persian for Persian Speakers (A),WI23,15,5,100.0%,100.0%,2.1,A (4.00),
7,"Chen, Areana Yen",LIHL 118 - Cantonese for Cantonse Speaker (A),WI23,24,21,95.2%,95.2%,4.3,A- (3.81),A- (3.75)
8,"Phung, Huy Van",LIHL 124W - Int Vietnamese/Vietnamese Spkr (A),WI23,15,11,100.0%,100.0%,2.5,A- (3.86),
9,"Pagkalinawan, Leticia Cant",LIHL 132W - Adv Filipino/Filipino Spkrs (A),WI23,18,6,100.0%,100.0%,1.83,A (4.00),
10,"Phung, Huy Van",LIHL 134W - Adv Vietnamese/Vietnamese Spkr (A),WI23,12,8,100.0%,100.0%,1.36,A- (3.71),
11,"Phung, Huy Van",LIHL 114F - Beginning Vietnamese for Vietn (A),FA22,31,19,89.5%,84.2%,4.61,B+ (3.30),B+ (3.39)
12,"Mokhtari, Azita",LIHL 117F - Persian for Persian Speakers (A),FA22,18,17,94.1%,94.1%,2.85,A (4.00),
