,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Johnson, Sara E.",LTAM 111 - Comparative Caribbean Discours (A),SP23,46,38,100.0%,100.0%,4.99,A- (3.76),A- (3.84)
1,"Chacon, Gloria Elizabeth",LTAM 110 - Latin American Lit/Translation (A),FA22,39,13,83.3%,75.0%,5.88,A- (3.75),A- (3.70)
2,"Johnson, Sara E.",LTAM 111 - Comparative Caribbean Discours (A),SP22,49,38,97.4%,97.3%,5.5,B+ (3.37),B+ (3.49)
3,"Parra, Max",LTAM 110 - Latin American Lit/Translation (A),WI22,34,15,64.3%,64.3%,5.64,B (3.21),B+ (3.45)
4,"Blanco, John D",LTAM 140 - Topics in Culture and Politics (A),FA21,38,15,73.3%,86.7%,4.9,A- (3.85),B+ (3.63)
5,"Blanco, John D",LTAM 110 - Latin American Lit/Translation (A),WI21,38,14,84.6%,80.0%,4.36,B+ (3.33),A- (3.75)
6,"Martin-Cabrera, Luis",LTAM 110 - Latin American Lit/Translation (A),FA20,53,13,100.0%,100.0%,5.27,A- (3.75),B+ (3.45)
7,"Nunez, Bernardo",LTAM 110 - Latin American Lit/Translation (A),S220,19,6,100.0%,100.0%,6.17,B+ (3.50),
8,"Kokotovic, Milos",LTAM 110 - Latin American Lit/Translation (A),SP20,52,23,100.0%,100.0%,5.72,B+ (3.61),B+ (3.59)
9,"Chacon, Gloria Elizabeth",LTAM 110 - Latin American Lit/Translation (A),WI20,36,25,100.0%,95.7%,4.82,B+ (3.52),B+ (3.51)
10,"Parra, Max",LTAM 110 - Latin American Lit/Translation (A),FA19,40,21,85.0%,75.0%,5.7,B+ (3.50),B+ (3.35)
11,"Hayes, Zachary Richard",LTAM 110 - Latin American Lit/Translation (A),S219,23,6,80.0%,80.0%,4.9,B+ (3.60),A- (3.93)
12,"Kokotovic, Milos",LTAM 110 - Latin American Lit/Translation (A),SP19,63,22,94.4%,100.0%,8.28,B+ (3.44),B+ (3.33)
13,"Martin-Cabrera, Luis",LTAM 110 - Latin American Lit/Translation (A),FA18,54,22,90.9%,95.0%,5.32,B+ (3.59),B (3.20)
14,"di Grazia, Gina Marie",LTAM 140 - Topics in Culture and Politics (A),S118,16,6,100.0%,83.3%,8.17,B+ (3.40),
15,"Kokotovic, Milos",LTAM 110 - Latin American Lit/Translation (A),FA17,59,27,96.2%,95.8%,5.96,B+ (3.67),B (3.29)
16,"Mariscal, George",LTAM 108 - Intellectual & Political Trad. (A),WI15,8,5,100.0%,100.0%,4.9,B+ (3.40),
17,"Parra, Max",LTAM 110 - Latin American Lit/Translation (A),WI14,11,3,100.0%,100.0%,7.17,B+ (3.33),
18,"Pita, Beatrice M",LTAM 110 - Latin American Lit/Translation (A),S113,11,3,100.0%,100.0%,5.17,A (4.00),
19,"Chacon, Gloria Elizabeth",LTAM 109 - Cult Prod/Latino/a Diasporas (A),SP13,9,7,85.7%,85.7%,3.93,B (3.29),
20,"Sanchez, Rosaura",LTAM 100 - Latino/a Cultures in the U.S. (A),WI13,13,6,100.0%,100.0%,5.17,B+ (3.67),
21,"Parra, Max",LTAM 110 - Latin American Lit/Translation (A),WI13,12,6,100.0%,100.0%,7.5,B+ (3.33),
22,"O'Clancy, Andy",LTAM 111 - Comparative Caribbean Discours (A),FA12,24,9,100.0%,75.0%,7.5,A- (3.75),B+ (3.42)
23,"Mariscal, George",LTAM 108 - Intellectual & Political Trad. (A),WI12,31,24,95.7%,100.0%,6.15,B+ (3.62),B+ (3.31)
24,"Kokotovic, Milos",LTAM 87 - Freshman Seminar (A),FA11,11,6,100.0%,100.0%,2.17,,
25,"Johnson, Sara E.",LTAM 111 - Comparative Caribbean Discours (A),SP11,26,23,100.0%,100.0%,6.41,A- (3.79),B+ (3.69)
26,"Isfahani-Hammond, Alexandra",LTAM 110 - Latin American Lit/Translation (A),SP10,17,8,87.5%,87.5%,5.25,B+ (3.50),
27,"Johnson, Sara E.",LTAM 87 - Freshman Seminar (A),WI10,13,10,88.9%,100.0%,1.17,,
28,"Mariscal, George",LTAM 87 - Freshman Seminar (B),WI10,14,8,100.0%,100.0%,3.25,,
29,"Isfahani-Hammond, Alexandra",LTAM 110 - Latin American Lit/Translation (A),SP09,23,15,92.9%,100.0%,3.97,B+ (3.62),B (3.11)
30,"Martell, Carlos Jaime",LTAM 110 - Latin American Lit/Translation (A),FA08,14,10,70.0%,80.0%,5.3,B+ (3.44),
31,"Johnson, Sara E.",LTAM 87 - Freshman Seminar (A),FA08,13,13,100.0%,100.0%,1.58,A (4.00),
32,"Mariscal, George",LTAM 108 - Intellectual & Political Trad. (A),SP08,41,28,100.0%,100.0%,4.86,A- (3.74),B+ (3.38)
33,"Martin-Cabrera, Luis",LTAM 130 - Reading North by South (A),SP08,30,26,100.0%,100.0%,4.18,B+ (3.65),B+ (3.63)
34,"Ubilla, Cecilia",LTAM 110 - Latin American Lit/Translation (A),WI08,16,14,100.0%,92.9%,3.79,A (4.00),
35,"Mariscal, George",LTAM 87 - Freshman Seminar (A),FA07,16,11,100.0%,100.0%,1.23,A (4.00),
36,"Mariscal, George",LTAM 108 - Intellectual & Political Trad. (A),SU07,9,6,100.0%,100.0%,3.83,A (4.00),
