,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Nguyen, Hoang Tan",LTCS 87 - First-year Seminar (A),SP23,17,7,100.0%,100.0%,1.83,A (4.00),
1,"Walkiewicz, Kathryn A","LTCS 108 - Gender, Race, & Artificial Int (A)",WI23,17,6,100.0%,100.0%,7.5,A- (3.80),
2,"Mendoza, Andrea",LTCS 150 - Topics in Cultural Studies (A),WI23,19,8,100.0%,100.0%,4.79,A- (3.86),
3,"Myerston Santana, Jacobo",LTCS 180 - Programming for the Humanities (A),WI23,18,11,100.0%,100.0%,3.59,A- (3.82),
4,"Vitkus, Daniel J.",LTCS 111 - Topics/Pop Culture/Historical (A),FA22,26,5,100.0%,75.0%,5.7,B (3.25),
5,"Nguyen, Hoang Tan",LTCS 119 - Asian American Film and Media (A),FA22,28,6,100.0%,100.0%,5.7,A- (3.80),A (4.00)
6,"Kim, Joo Ok","LTCS 130 - Gender,Race/Ethn,Class&Culture (A)",FA22,37,15,92.9%,92.9%,4.21,A- (3.92),A- (3.88)
7,"Kim, Joo Ok",LTCS 165 - Spec Topics: Politics of Food (A),FA22,39,13,83.3%,83.3%,3.17,A- (3.75),A- (3.82)
8,"Nguyen, Hoang Tan",LTCS 87 - First-year Seminar (A),FA22,11,7,100.0%,100.0%,1.93,A (4.00),
9,"Beardsley, Steven Thomas",LTCS 119 - Asian American Film and Media (A),S222,15,13,92.3%,92.3%,5.42,A (4.00),
10,"Kim, Joo Ok","LTCS 130 - Gender,Race/Ethn,Class&Culture (A)",SP22,40,15,100.0%,100.0%,4.5,A- (3.80),A- (3.93)
11,"Liao, Ping H",LTCS 52 - Topics in Cultural Studies (A),SP22,38,15,93.3%,100.0%,3.03,A (4.00),B+ (3.68)
12,"Nguyen, Hoang Tan",LTCS 87 - First-year Seminar (A),SP22,13,4,100.0%,100.0%,2.0,A (4.00),
13,"Nguyen, Hoang Tan",LTCS 87 - First-year Seminar (B),SP22,14,6,100.0%,100.0%,1.5,,
14,"Wesling, Megan E.","LTCS 130 - Gender,Race/Ethn,Class&Culture (A)",WI22,43,35,97.1%,100.0%,5.23,A- (3.96),B+ (3.65)
15,"Kim, Joo Ok",LTCS 100 - Theories & Methods/Cult Stdies (A),FA21,39,9,100.0%,100.0%,5.7,A- (3.80),B+ (3.35)
16,"Nguyen, Hoang Tan",LTCS 119 - Asian American Film and Media (A),FA21,19,9,66.7%,77.8%,3.17,B+ (3.50),
17,"Nguyen, Hoang Tan",LTCS 87 - Freshman Seminar (A),FA21,17,10,100.0%,100.0%,2.9,A (4.00),
18,"Nguyen, Hoang Tan",LTCS 87 - Freshman Seminar (A),SP21,11,4,100.0%,100.0%,3.0,A (4.00),
19,"Nguyen, Hoang Tan",LTCS 87 - Freshman Seminar (B),SP21,7,4,100.0%,100.0%,3.0,A (4.00),
20,"Nguyen, Hoang Tan",LTCS 172 - Topics/Screening Race/Ethnicty (A),WI21,15,7,100.0%,100.0%,5.07,B+ (3.57),
21,"Graff Zivin, Erin D",LTCS 173 - Topics/Violence&Visual Culture (A),WI21,13,7,100.0%,83.3%,4.21,A- (3.83),
22,"Nguyen, Hoang Tan",LTCS 87 - Freshman Seminar (A),WI21,14,10,100.0%,100.0%,1.17,A (4.00),
23,"Mendelsohn, Asa Lipman","LTCS 108 - Gender, Race, & Artificial Int (A)",FA20,12,3,100.0%,100.0%,5.83,B+ (3.67),
24,"Nguyen, Hoang Tan",LTCS 119 - Asian American Film and Media (A),FA20,29,15,86.7%,93.3%,3.3,B+ (3.55),B+ (3.59)
