,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Fiss, Geraldine Anna",LTEA 110C - Contemp Chin Fiction/Translatn (A),SP23,53,39,100.0%,100.0%,6.09,A- (3.71),A- (3.75)
1,"Liao, Ping H",LTEA 120B - Taiwan Films (A),SP23,225,70,62.7%,59.1%,5.25,A- (3.73),B+ (3.55)
2,"Mendoza, Andrea",LTEA 132 - Later Japanese Lit/Translatn (A),SP23,58,9,100.0%,100.0%,5.0,A- (3.88),B+ (3.65)
3,"Lee, Jin-Kyung",LTEA 143 - Gndr&Sexuality/Kor'n Lit&Cult. (A),SP23,61,21,90.5%,90.0%,3.17,A- (3.85),B+ (3.42)
4,"Miyao, Daisuke",LTEA 138 - Japanese Films (A),WI23,292,83,98.7%,100.0%,4.93,A- (3.96),A- (3.89)
5,"Lee, Jin-Kyung",LTEA 141 - Mod Kor Lit 1945 to Present (A),WI23,45,10,100.0%,100.0%,5.7,A- (3.70),A- (3.75)
6,"Fiss, Geraldine Anna",LTEA 120A - Chinese Films (A),FA22,281,192,91.6%,91.5%,6.03,A- (3.71),A- (3.81)
7,"Lee, Jin-Kyung",LTEA 140 - Modern Korean Lit/Translation (A),FA22,34,9,100.0%,100.0%,4.72,B+ (3.56),B+ (3.61)
8,"Lee, Jin-Kyung","LTEA 142 - Korean Film, Lit & Pop Culture (A)",FA22,112,28,84.6%,92.3%,4.83,A- (3.71),A- (3.84)
9,"Chen, Jing",LTEA 120A - Chinese Films (A),S222,31,17,94.1%,88.2%,7.21,A- (3.80),B+ (3.52)
10,"Welch, Shannon Molly",LTEA 132 - Later Japanese Lit/Translatn (A),S122,29,5,100.0%,100.0%,4.9,A (4.00),B+ (3.45)
11,"Liao, Ping H",LTEA 110A - Classicl Chinese Fict/Transltn (A),SP22,76,26,95.8%,95.8%,5.14,A- (3.95),A- (3.74)
12,"Fiss, Geraldine Anna",LTEA 120A - Chinese Films (A),SP22,289,210,82.8%,90.2%,7.11,B+ (3.67),B+ (3.60)
13,"Lee, Jin-Kyung",LTEA 141 - Mod Kor Lit 1945 to Present (A),SP22,35,10,100.0%,100.0%,4.5,A- (3.78),A- (3.78)
14,"Mendoza, Andrea",LTEA 132 - Later Japanese Lit/Translatn (A),WI22,79,29,96.3%,100.0%,4.5,A- (3.82),A- (3.94)
15,"Miyao, Daisuke",LTEA 138 - Japanese Films (A),WI22,315,113,99.1%,100.0%,4.87,A- (3.97),A- (3.88)
16,"Fiss, Geraldine Anna",LTEA 100B - Modern Chinese Poetry/Transltn (A),FA21,38,15,100.0%,100.0%,5.17,B+ (3.64),B+ (3.64)
17,"Fiss, Geraldine Anna",LTEA 110C - Contemp Chin Fiction/Translatn (A),FA21,74,34,100.0%,94.1%,6.38,A- (3.75),B+ (3.56)
18,"Liao, Ping H",LTEA 120B - Taiwan Films (A),FA21,208,68,85.7%,84.1%,6.15,A- (3.71),B+ (3.38)
19,"Chih, Szu-Chin",LTEA 120B - Taiwan Films (A),S221,37,4,100.0%,100.0%,7.83,A (4.00),A- (3.93)
20,"Zhang, Yingjin",LTEA 120C - Hong Kong Films (A),SP21,296,220,77.7%,76.7%,5.51,B+ (3.69),B+ (3.60)
21,"Mendoza, Andrea",LTEA 132 - Later Japanese Lit/Translatn (A),SP21,78,37,100.0%,100.0%,4.89,A- (3.78),A- (3.99)
22,"Lee, Jin-Kyung",LTEA 143 - Gndr&Sexuality/Kor'n Lit&Cult. (A),SP21,78,37,97.3%,97.3%,4.01,A- (3.89),A- (3.97)
23,"Liao, Ping H",LTEA 110A - Classicl Chinese Fict/Transltn (A),WI21,76,16,93.8%,93.8%,5.43,A- (3.80),B+ (3.58)
24,"Mendoza, Andrea",LTEA 138 - Japanese Films (A),WI21,314,89,98.8%,97.6%,4.15,A- (3.98),A- (3.92)
25,"Lee, Jin-Kyung","LTEA 142 - Korean Film, Lit & Pop Culture (A)",WI21,158,60,82.5%,83.6%,4.36,A- (3.91),A- (3.95)
26,"Blanco, John D",LTEA 152B - Topic/Filipino Lit WWII-Presnt (A),WI21,12,8,100.0%,100.0%,8.75,B+ (3.67),
27,"Liao, Ping H",LTEA 120B - Taiwan Films (A),FA20,144,50,80.4%,86.7%,6.41,B+ (3.41),B+ (3.36)
28,"Miyao, Daisuke",LTEA 138 - Japanese Films (A),FA20,318,124,100.0%,100.0%,4.04,A- (3.97),A- (3.91)
29,"Tan, Yanqin",LTEA 120A - Chinese Films (A),S220,21,4,75.0%,75.0%,11.0,A- (3.75),B+ (3.49)
30,"Chen, Jing",LTEA 120C - Hong Kong Films (A),S120,36,32,90.6%,84.4%,5.63,A- (3.84),A- (3.72)
31,"Zhang, Yingjin",LTEA 120A - Chinese Films (A),SP20,308,258,88.4%,92.2%,4.83,A- (3.75),A- (3.81)
32,"Mendoza, Andrea",LTEA 132 - Later Japanese Lit/Translatn (A),SP20,77,24,100.0%,95.7%,3.8,A- (3.85),A- (4.00)
33,"Lee, Jin-Kyung",LTEA 144 - Korean American Literature (A),SP20,68,28,100.0%,100.0%,4.81,A- (3.79),A- (3.92)
34,"Liao, Ping H",LTEA 120B - Taiwan Films (A),WI20,209,65,58.6%,60.3%,4.88,A- (3.73),B (3.13)
35,"Mendoza, Andrea",LTEA 138 - Japanese Films (A),WI20,147,55,86.5%,73.1%,3.59,A- (3.76),A- (3.83)
36,"Lee, Jin-Kyung",LTEA 141 - Mod Kor Lit 1945 to Present (A),WI20,37,12,100.0%,100.0%,6.17,A- (3.75),B+ (3.52)
37,"Liao, Ping H",LTEA 110C - Contemp Chin Fiction/Translatn (A),FA19,78,22,81.0%,76.2%,4.6,A- (3.74),B+ (3.39)
38,"Heinrich, Larissa",LTEA 120C - Hong Kong Films (A),FA19,265,117,69.2%,70.8%,6.44,A- (3.73),B+ (3.60)
39,"Liao, Ping H",LTEA 110A - Classicl Chinese Fict/Transltn (A),SP19,123,37,64.7%,55.9%,5.15,B+ (3.36),B- (2.97)
40,"Heinrich, Larissa",LTEA 120C - Hong Kong Films (A),SP19,402,132,90.2%,93.4%,4.89,A- (3.76),B+ (3.53)
41,"Lee, Jin-Kyung",LTEA 143 - Gndr&Sexuality/Kor'n Lit&Cult. (A),SP19,139,48,97.8%,93.5%,4.95,A- (3.95),A- (3.77)
