,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Lerer, Seth",LTEN 112 - Shakespeare I: Elizabethan Prd (A),SP23,38,12,100.0%,100.0%,3.95,A- (3.73),A- (3.90)
1,"Loose, Margaret",LTEN 142 - British Novel: 1830-1890 (A),SP23,26,11,90.0%,90.0%,7.59,B+ (3.63),B+ (3.45)
2,"Vijay, Ameeth Varma",LTEN 144 - British Novel: 1890-present (A),SP23,33,14,76.9%,92.3%,6.65,B+ (3.54),A- (3.78)
3,"Batarseh, Amanda Alicia",LTEN 179 - Topic:Arab/Muslim Amer Identy (A),SP23,22,10,100.0%,100.0%,4.1,A- (3.90),A- (3.97)
4,"Suzuki, Erin M.",LTEN 181 - Asian American Literature (A),SP23,56,21,100.0%,100.0%,5.4,B+ (3.69),A- (3.72)
5,"Childs, Dennis R.",LTEN 185 - Themes/Afro-Americn Literature (A),SP23,19,5,100.0%,100.0%,4.5,A- (3.80),
6,"Bamgbose, Gabriel Sunday",LTEN 189 - 20th Century Postcolonial Lits (A),SP23,6,5,100.0%,100.0%,5.5,B+ (3.50),
7,"Wesling, Megan E.",LTEN 26 - Intro/Lit/US: 1865 - Present (A),SP23,99,74,97.3%,97.2%,4.8,A- (3.86),A- (3.83)
8,"Childs, Dennis R.",LTEN 27 - Intro/Afro-American Literature (A),SP23,81,30,100.0%,93.3%,4.9,B+ (3.67),B (3.22)
9,"Vitkus, Daniel J.",LTEN 113 - Shakespeare II:Jacobean Period (A),WI23,18,6,100.0%,100.0%,8.5,B+ (3.67),
10,"Vijay, Ameeth Varma",LTEN 128 - British/Irish Poetry 1900-Pres (A),WI23,18,8,75.0%,100.0%,4.5,B+ (3.50),
11,"Lerer, Seth",LTEN 142 - British Novel: 1830-1890 (A),WI23,29,9,100.0%,100.0%,5.5,B+ (3.63),B+ (3.69)
12,"Loose, Margaret",LTEN 149 - Topics: English-Language Lit (A),WI23,37,13,100.0%,100.0%,3.42,A- (3.92),A- (3.81)
13,"Streeby, Shelley",LTEN 178 - Comparative Ethnic Literature (A),WI23,36,15,93.3%,100.0%,3.43,A- (3.92),A- (3.83)
14,"Perreira, Christopher Michael",LTEN 180 - Chicano Literature in English (A),WI23,23,6,83.3%,100.0%,2.83,A- (3.83),A- (3.82)
15,"Kim, Joo Ok",LTEN 181 - Asian American Literature (A),WI23,56,27,74.1%,81.5%,2.87,A- (3.70),B+ (3.66)
16,"Childs, Dennis R.",LTEN 185 - Themes/Afro-Americn Literature (A),WI23,17,7,85.7%,83.3%,4.79,A- (3.71),
17,"Vijay, Ameeth Varma",LTEN 189 - 20th Century Postcolonial Lits (A),WI23,5,4,100.0%,100.0%,6.0,A (4.00),
18,"Loose, Margaret",LTEN 23 - Lit/British Isles:1832-Present (A),WI23,80,64,93.4%,98.2%,4.02,B+ (3.35),B+ (3.38)
19,"Kim, Joo Ok",LTEN 28 - Intr/Asian-American Literature (A),WI23,190,101,88.4%,81.5%,3.1,A- (3.73),A- (3.72)
20,"Lampert-Weissig, Lisa",LTEN 107 - Chaucer (A),FA22,26,12,100.0%,100.0%,5.83,A- (3.73),B+ (3.54)
