,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"De Marchi Gherini, Adriana",LTEU 100 - Intro to Italian Literature (A),SP23,37,16,93.3%,100.0%,3.5,A- (3.75),A- (3.98)
1,"Cohen, Alain J. J.",LTEU 141 - French Literature/Translation (A),SP23,17,3,0.0%,50.0%,1.5,A (4.00),
2,"Glaser, Amelia",LTEU 154 - Russian Culture (A),SP23,25,11,100.0%,100.0%,5.95,B+ (3.50),B+ (3.59)
3,"De Marchi Gherini, Adriana",LTEU 105 - Medieval Studies (A),WI23,38,15,93.3%,100.0%,3.57,B+ (3.67),A- (3.84)
4,"Wesling, Megan E.",LTEU 141 - French Literature/Translation (A),WI23,36,15,86.7%,86.7%,5.97,A- (3.73),B+ (3.60)
5,"Glaser, Amelia",LTEU 150A - Russian&Soviet Lit/1800-1860 (A),WI23,25,8,100.0%,100.0%,6.5,B+ (3.63),B+ (3.68)
6,"De Marchi Gherini, Adriana",LTEU 140 - Italian Literature in Transltn (A),SP22,37,13,91.7%,100.0%,7.33,A (4.00),A (4.00)
7,"Wesling, Megan E.",LTEU 141 - French Literature/Translation (A),SP22,38,35,94.3%,97.1%,5.64,B+ (3.59),A- (3.74)
8,"De Marchi Gherini, Adriana",LTEU 105 - Medieval Studies (A),WI22,34,12,90.9%,90.9%,5.33,B+ (3.64),A- (3.88)
9,"Razor, Sasha",LTEU 154 - Russian Culture (A),WI22,27,18,100.0%,100.0%,3.38,A- (3.88),A- (3.78)
10,"Verdicchio, Pasquale",LTEU 87 - Freshman Seminar (A),WI22,12,8,100.0%,100.0%,0.75,A (4.00),
11,"Kontje, Todd Curtis",LTEU 110 - European Romanticism (A),FA21,40,16,93.8%,93.8%,5.63,B+ (3.67),A- (3.72)
12,"Cohen, Alain J. J.",LTEU 141 - French Literature/Translation (A),FA21,31,17,43.8%,43.8%,5.75,B (3.06),B+ (3.62)
13,"Cohen, Alain J. J.",LTEU 141 - French Literature/Translation (A),SP21,26,4,100.0%,66.7%,5.17,B+ (3.67),B+ (3.59)
14,"Glaser, Amelia",LTEU 150B - Russian&Soviet Lit/1860-1917 (A),SP21,30,8,100.0%,100.0%,6.5,B+ (3.50),B+ (3.69)
15,"Jed, Stephanie H",LTEU 105 - Medieval Studies (A),WI21,39,11,90.9%,100.0%,3.7,A- (3.82),A (4.00)
16,"Verdicchio, Pasquale",LTEU 140 - Italian Literature in Transltn (A),WI21,31,8,100.0%,100.0%,5.75,A- (3.86),A- (3.82)
17,"De Marchi Gherini, Adriana",LTEU 100 - Intro to Italian Literature (A),FA20,45,20,100.0%,100.0%,4.0,A- (3.85),A- (3.93)
18,"Jed, Stephanie H",LTEU 140 - Italian Literature in Transltn (A),FA20,44,12,100.0%,100.0%,3.33,A- (3.75),A- (3.96)
19,"Severina, Yelena",LTEU 150C - Russian&Soviet Lit/1917-Presnt (A),SP20,32,10,90.0%,90.0%,4.9,A- (3.83),B+ (3.43)
20,"De Marchi Gherini, Adriana",LTEU 105 - Medieval Studies (A),WI20,35,15,100.0%,100.0%,2.35,A- (3.92),A- (3.98)
21,"Verdicchio, Pasquale",LTEU 140 - Italian Literature in Transltn (A),WI20,31,10,100.0%,100.0%,3.17,A- (3.78),A- (3.96)
22,"Jed, Stephanie H",LTEU 140 - Italian Literature in Transltn (A),FA19,40,14,92.9%,100.0%,3.64,A (4.00),A (4.00)
23,"Wesling, Megan E.",LTEU 141 - French Literature/Translation (A),FA19,30,14,100.0%,100.0%,5.5,B+ (3.57),B+ (3.61)
24,"Jed, Stephanie H",LTEU 140 - Italian Literature in Transltn (A),SP19,68,17,100.0%,100.0%,4.62,A- (3.88),A- (3.88)
25,"Jed, Stephanie H",LTEU 105 - Medieval Studies (A),WI19,46,13,100.0%,91.7%,2.65,A (4.00),A- (3.97)
26,"De Marchi Gherini, Adriana",LTEU 140 - Italian Literature in Transltn (A),WI19,35,15,93.3%,100.0%,4.63,B+ (3.67),A- (3.92)
27,"Glaser, Amelia",LTEU 150A - Russian&Soviet Lit/1800-1860 (A),FA18,16,13,100.0%,100.0%,6.65,B+ (3.55),
28,"De Marchi Gherini, Adriana",LTEU 105 - Medieval Studies (A),WI18,37,15,86.7%,100.0%,4.23,A- (3.87),A (4.00)
29,"Morse, Ainsley",LTEU 154 - Russian Culture (A),WI18,23,15,100.0%,100.0%,5.64,B+ (3.57),A- (3.91)
30,"Cassedy, Steven Dennis",LTEU 158 - Single Author in Russian Lit (A),FA17,23,6,66.7%,100.0%,5.83,B+ (3.50),B+ (3.53)
31,"Cassedy, Steven Dennis",LTEU 150B - Russian&Soviet Lit/1860-1917 (A),SP17,13,3,100.0%,100.0%,6.5,A (4.00),
32,"Jed, Stephanie H",LTEU 105 - Medieval Studies (A),WI17,40,19,100.0%,100.0%,3.72,A- (3.83),A- (3.95)
33,"Hart, Kevin Andrew",LTEU 158 - Single Author in Russian Lit (A),SP16,16,8,100.0%,100.0%,6.25,A- (3.88),
34,"De Marchi Gherini, Adriana",LTEU 140 - Italian Literature in Transltn (A),WI16,8,3,100.0%,100.0%,4.5,A (4.00),
35,"Cassedy, Steven Dennis",LTEU 158 - Single Author in Russian Lit (A),WI16,12,5,100.0%,75.0%,7.0,A- (3.75),
36,"Glaser, Amelia",LTEU 150A - Russian&Soviet Lit/1800-1860 (A),SP15,5,4,100.0%,100.0%,8.5,B+ (3.33),
37,"Jed, Stephanie H",LTEU 87 - Freshman Seminar (A),SP15,16,8,100.0%,100.0%,1.5,A (4.00),
38,"De Marchi Gherini, Adriana",LTEU 105 - Medieval Studies (A),WI15,26,11,100.0%,100.0%,4.3,A- (3.80),A- (3.99)
39,"Kontje, Todd Curtis",LTEU 130 - Topics/German Lit in Transltn (A),FA14,9,6,100.0%,100.0%,5.5,A (4.00),
40,"Glaser, Amelia",LTEU 150C - Russian&Soviet Lit/1917-Presnt (A),FA14,5,3,100.0%,100.0%,7.17,B+ (3.67),
41,"Kontje, Todd Curtis",LTEU 110 - European Romanticsm (A),SP14,15,7,100.0%,100.0%,4.83,B+ (3.40),
42,"Zhiri, Oumelbanine",LTEU 87 - Freshman Seminar (A),SP14,17,8,100.0%,87.5%,1.07,,
43,"De Marchi Gherini, Adriana",LTEU 105 - Medieval Studies (A),WI14,9,3,100.0%,100.0%,5.17,B+ (3.50),
44,"Cassedy, Steven Dennis",LTEU 158 - Single Author in Russian Lit (A),WI14,10,5,100.0%,80.0%,4.9,B (3.00),
45,"Cassedy, Steven Dennis",LTEU 158 - Single Author in Russian Lit (A),SP13,6,3,100.0%,100.0%,6.5,A (4.00),
46,"Kontje, Todd Curtis",LTEU 125 - Faust in European Literature (A),WI13,10,9,100.0%,100.0%,5.61,B (3.29),
47,"Kontje, Todd Curtis",LTEU 111 - European Realism (A),SP12,9,4,100.0%,100.0%,5.0,B (3.25),
48,"Diamant, Kathi",LTEU 130 - Topics/German Lit in Transltn (A),SP12,9,5,100.0%,75.0%,4.9,A- (3.80),
49,"Glaser, Amelia",LTEU 158 - Single Author in Russian Lit (A),SP12,8,4,100.0%,100.0%,5.0,B (3.25),
50,"Glaser, Amelia",LTEU 158 - Single Author in Russian Lit (A),SP12,13,7,100.0%,100.0%,5.36,A- (3.86),
51,"Jed, Stephanie H",LTEU 105 - Medieval Studies (A),WI12,23,12,100.0%,100.0%,4.5,A (4.00),A (4.00)
52,"Jed, Stephanie H",LTEU 105 - Medieval Studies (A),WI12,24,9,100.0%,100.0%,4.06,A- (3.78),A (4.00)
53,"Glaser, Amelia",LTEU 154 - Russian Culture (A),WI12,6,4,100.0%,100.0%,7.5,B (3.25),
54,"Cassedy, Steven Dennis",LTEU 158 - Single Author in Russian Lit (A),FA11,13,5,100.0%,100.0%,6.0,B+ (3.60),
55,"Cassedy, Steven Dennis",LTEU 158 - Single Author in Russian Lit (A),FA11,5,3,100.0%,100.0%,5.83,A (4.00),
56,"Kontje, Todd Curtis",LTEU 137GS - Seminars in German Culture (A),S111,20,5,100.0%,100.0%,6.5,B+ (3.40),B+ (3.45)
57,"Cassedy, Steven Dennis",LTEU 150B - Russian&Soviet Lit/1860-1917 (A),SP11,29,12,83.3%,91.7%,6.0,B+ (3.36),B (3.01)
58,"De Marchi Gherini, Adriana",LTEU 105 - Medieval Studies (A),WI11,48,28,100.0%,100.0%,3.31,A- (3.85),A (4.00)
59,"Kontje, Todd Curtis",LTEU 110 - European Romanticsm (A),WI11,18,10,90.0%,80.0%,5.5,B+ (3.67),
60,"Cassedy, Steven Dennis",LTEU 150A - Russian&Soviet Lit/1800-1860 (A),WI11,17,8,87.5%,100.0%,6.0,B (3.14),
61,"Mohr, Jeannette",LTEU 138 - Topics/Single Author Germn Lit (A),FA10,16,7,100.0%,100.0%,3.64,A (4.00),
62,"Glaser, Amelia",LTEU 150C - Russian&Soviet Lit/1917-Presnt (A),FA10,21,8,100.0%,100.0%,9.25,B+ (3.50),B+ (3.64)
63,"O'Brien, William Arctander",LTEU 139 - Marx/Nietzsche/Freud (A),SP10,27,12,90.9%,90.9%,7.23,B+ (3.30),B+ (3.35)
64,"Glaser, Amelia",LTEU 154 - Russian Culture (A),SP10,28,16,87.5%,100.0%,4.25,A- (3.75),A- (3.76)
65,"Verdicchio, Pasquale",LTEU 140 - Italian Literature in Transltn (A),WI10,7,4,100.0%,100.0%,2.5,B (3.00),
66,"Glaser, Amelia",LTEU 154 - Russian Culture (A),WI10,18,9,100.0%,88.9%,5.83,B+ (3.63),
67,"Glaser, Amelia",LTEU 158 - Single Author in Russian Lit (A),WI10,31,10,100.0%,90.0%,7.9,A- (3.70),B+ (3.62)
68,"Furman, Yelena",LTEU 158 - Single Author in Russian Lit (B),FA09,23,20,100.0%,95.0%,3.6,B (3.25),B (3.18)
69,"Cassedy, Steven Dennis",LTEU 150B - Russian&Soviet Lit/1860-1917 (A),SP09,19,10,100.0%,100.0%,8.7,B+ (3.38),
70,"Cassedy, Steven Dennis",LTEU 158 - Single Author in Russian Lit (A),SP09,30,21,85.7%,95.2%,6.02,B+ (3.56),B- (2.82)
71,"Jed, Stephanie H",LTEU 87 - Freshman Seminar (A),SP09,18,16,100.0%,100.0%,1.13,,
72,"Jed, Stephanie H",LTEU 87 - Freshman Seminar (B),SP09,18,8,100.0%,100.0%,0.5,,
73,"O'Brien, William Arctander",LTEU 109 - Studies/18th Cen European Lit (A),WI09,14,15,100.0%,100.0%,6.5,B+ (3.46),
74,"Kontje, Todd Curtis",LTEU 137 - Seminars in German Culture (A),FA08,4,4,100.0%,100.0%,6.0,A- (3.75),
75,"Kontje, Todd Curtis",LTEU 137 - Seminars in German Culture (A),FA08,4,4,100.0%,100.0%,7.0,B+ (3.50),
76,"Glaser, Amelia",LTEU 150C - Russian&Soviet Lit/1917-Presnt (A),FA08,12,10,100.0%,100.0%,8.3,A- (3.70),
77,"Glaser, Amelia",LTEU 158 - Single Author in Russian Lit (A),FA08,10,9,100.0%,100.0%,6.5,A- (3.88),
78,"Jed, Stephanie H",LTEU 105 - Medieval Studies (A),SP08,50,28,89.3%,89.3%,4.28,A- (3.81),B+ (3.64)
79,"Granger, John F",LTEU 110 - European Romanticsm (A),SP08,22,14,92.9%,100.0%,4.93,B+ (3.43),B- (2.71)
80,"Lampert-Weissig, Lisa",LTEU 130 - German Literature in Translatn (A),WI08,12,9,100.0%,100.0%,6.06,B+ (3.56),
81,"Glaser, Amelia",LTEU 158 - Single Author in Russian Lit (A),FA07,18,15,100.0%,100.0%,7.17,B+ (3.53),
