,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Zhiri, Oumelbanine",LTFR 104 - Adv French Reading and Writing (A),SP23,7,5,80.0%,60.0%,5.3,C+ (2.67),
1,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),WI23,10,4,100.0%,100.0%,5.17,B+ (3.50),
2,"Ploye, Catherine",LTFR 104 - Adv French Reading and Writing (A),FA22,12,3,100.0%,66.7%,4.5,B+ (3.33),
3,"Zhiri, Oumelbanine",LTFR 116 - Themes/Intellect&Literary Hist (A),FA22,9,4,100.0%,100.0%,6.5,B+ (3.67),
4,"Ploye, Catherine",LTFR 2A - Intermediate French I (A),FA22,17,7,83.3%,83.3%,3.7,B+ (3.60),
5,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),FA22,13,6,100.0%,100.0%,4.5,B+ (3.50),
6,"Zhiri, Oumelbanine",LTFR 104 - Adv French Reading and Writing (A),SP22,13,5,20.0%,20.0%,3.7,B+ (3.60),
7,"Ploye, Catherine",LTFR 2A - Intermediate French I (A),SP22,17,6,100.0%,100.0%,4.5,B+ (3.33),
8,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),SP22,15,9,88.9%,100.0%,4.94,B (3.25),
9,"Zhiri, Oumelbanine",LTFR 141 - Topics/Literatures in French (A),WI22,8,3,100.0%,100.0%,5.17,B+ (3.67),
10,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),WI22,16,7,85.7%,100.0%,3.93,B+ (3.57),
11,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),WI22,11,4,100.0%,100.0%,3.5,A- (3.75),
12,"Ploye, Catherine",LTFR 115 - Themes/Intellect&Literary Hist (B),FA21,11,6,100.0%,100.0%,3.5,A- (3.83),
13,"Ploye, Catherine",LTFR 2A - Intermediate French I (A),FA21,22,14,92.9%,100.0%,3.64,B+ (3.58),B+ (3.34)
14,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),FA21,15,8,100.0%,100.0%,5.0,A- (3.75),
15,"Zhiri, Oumelbanine",LTFR 141 - Topics/Literatures in French (A),SP21,9,3,100.0%,100.0%,4.5,A (4.00),
16,"Ploye, Catherine",LTFR 2A - Intermediate French I (A),SP21,10,5,100.0%,100.0%,5.7,A (4.00),
17,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),SP21,10,4,100.0%,100.0%,4.0,A (4.00),
18,"Ploye, Catherine",LTFR 116 - Themes/Intellect&Literary Hist (A),WI21,18,5,100.0%,100.0%,3.7,A (4.00),
19,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),WI21,9,3,100.0%,100.0%,5.5,B+ (3.50),
20,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),WI21,16,9,100.0%,100.0%,7.75,B+ (3.57),
21,"Ploye, Catherine",LTFR 115 - Themes/Intellect&Literary Hist (A),FA20,21,10,100.0%,100.0%,5.7,B+ (3.60),B+ (3.62)
22,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),FA20,11,5,100.0%,100.0%,6.5,B+ (3.67),
23,"Cohen, Alain J. J.",LTFR 125 - Twentieth Century (A),SP20,12,3,33.3%,33.3%,4.5,A (4.00),
24,"Ploye, Catherine",LTFR 2A - Intermediate French I (A),SP20,22,6,100.0%,100.0%,5.83,A (4.00),A- (3.89)
25,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),SP20,12,4,100.0%,100.0%,4.0,B+ (3.50),
26,"Ploye, Catherine",LTFR 50 - Intermed French IV/Text Analy (A),SP20,10,7,100.0%,100.0%,4.21,A (4.00),
27,"Zhiri, Oumelbanine",LTFR 116 - Themes/Intellect&Literary Hist (A),WI20,9,3,100.0%,100.0%,6.5,A (4.00),
28,"Ploye, Catherine",LTFR 142 - Topics/Literary Genres French (A),WI20,16,5,100.0%,100.0%,5.3,A- (3.80),
29,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),WI20,12,6,60.0%,100.0%,4.1,A (4.00),
30,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),WI20,12,8,100.0%,100.0%,6.0,B (3.14),
31,"Zhiri, Oumelbanine",LTFR 115 - Themes/Intellect&Literary Hist (A),FA19,8,3,100.0%,100.0%,3.17,B+ (3.67),
32,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),FA19,11,9,100.0%,100.0%,5.39,B+ (3.57),
33,"Ploye, Catherine",LTFR 50 - Intermed French IV/Text Analy (A),FA19,11,7,100.0%,100.0%,3.93,A- (3.86),
34,"Zhiri, Oumelbanine",LTFR 125 - Twentieth Century (A),SP19,13,4,75.0%,75.0%,6.5,B+ (3.67),
35,"Ploye, Catherine",LTFR 2A - Intermediate French I (A),SP19,12,4,100.0%,100.0%,4.5,B+ (3.33),
36,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),SP19,19,9,100.0%,100.0%,5.75,B+ (3.50),
37,"Ploye, Catherine",LTFR 50 - Intermed French IV/Text Analy (A),SP19,10,5,100.0%,100.0%,5.5,A- (3.75),
38,"Ploye, Catherine",LTFR 116 - Themes/Intellect&Literary Hist (A),WI19,24,9,100.0%,100.0%,4.06,B+ (3.67),A- (3.77)
39,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),WI19,13,4,75.0%,75.0%,5.0,B+ (3.33),
40,"Zhiri, Oumelbanine",LTFR 115 - Themes/Intellect&Literary Hist (A),FA18,14,6,100.0%,100.0%,3.83,A- (3.83),
41,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),FA18,17,6,100.0%,100.0%,6.83,B (3.00),
42,"Ploye, Catherine",LTFR 50 - Intermed French IV/Text Analy (A),FA18,14,7,100.0%,100.0%,5.5,B+ (3.50),
43,"Cassedy, Steven Dennis",LTFR 125 - Twentieth Century (A),SP18,18,6,100.0%,100.0%,2.9,A- (3.80),
44,"Ploye, Catherine",LTFR 2A - Intermediate French I (A),SP18,24,10,90.0%,100.0%,6.9,B+ (3.50),B+ (3.47)
45,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),SP18,18,7,100.0%,100.0%,6.5,B+ (3.50),
46,"Ploye, Catherine",LTFR 50 - Intermed French IV/Text Analy (A),SP18,9,4,100.0%,100.0%,4.0,B (3.25),
47,"Zhiri, Oumelbanine",LTFR 123 - Eighteenth Century (A),WI18,6,3,100.0%,100.0%,3.17,B+ (3.67),
48,"Ploye, Catherine",LTFR 142 - Topics/Literary Genres French (A),WI18,17,6,80.0%,80.0%,5.7,B+ (3.50),
49,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),WI18,16,7,100.0%,100.0%,4.5,B+ (3.33),
50,"Zhiri, Oumelbanine",LTFR 115 - Themes/Intellect&Literary Hist (A),FA17,10,4,100.0%,100.0%,4.5,B+ (3.50),
51,"Ploye, Catherine",LTFR 2B - Intermediate French II (A),FA17,13,5,100.0%,100.0%,2.9,B (3.20),
52,"Ploye, Catherine",LTFR 50 - Intermed French IV/Text Analy (A),FA17,16,6,100.0%,100.0%,3.7,A- (3.80),
53,"Woodhull, Winifred Johanna",LTFR 116 - Themes/Intellect&Literary Hist (A),SP17,11,4,100.0%,100.0%,7.5,A (4.00),
54,"Ploye, Catherine",LTFR 2A - Intermediate French I (A),SP17,15,9,100.0%,100.0%,5.83,A- (3.80),
55,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),SP17,19,11,100.0%,90.0%,4.7,B+ (3.38),
56,"Ploye, Catherine",LTFR 142 - Topics/Literary Genres French (A),WI17,9,4,100.0%,100.0%,5.0,B+ (3.50),
57,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),WI17,9,4,100.0%,100.0%,7.0,B+ (3.33),
58,"Zhiri, Oumelbanine",LTFR 115 - Themes/Intellect&Literary Hist (A),FA16,14,6,100.0%,100.0%,5.0,B (3.25),
59,"Ploye, Catherine",LTFR 164 - Topics/Modern French Culture (A),SP16,13,5,100.0%,100.0%,3.3,A (4.00),
60,"Ploye, Catherine",LTFR 116 - Themes/Intellect&Literary Hist (A),WI16,13,5,100.0%,100.0%,3.3,B+ (3.40),
61,"Ploye, Catherine",LTFR 142 - Topics/Literary Genres French (A),FA15,8,3,100.0%,100.0%,5.83,B+ (3.33),
62,"Ploye, Catherine",LTFR 2C - Intermediate French III (A),FA15,9,3,100.0%,100.0%,3.17,A (4.00),
63,"Zhiri, Oumelbanine",LTFR 115 - Themes/Intellect&Literary Hist (A),SP15,21,10,88.9%,100.0%,4.94,B+ (3.44),B+ (3.35)
64,"Reid, Roddey",LTFR 164 - Topics/Modern French Culture (A),SP15,9,6,66.7%,83.3%,4.17,A- (3.83),
65,"Ploye, Catherine",LTFR 124 - Nineteenth Century (A),WI15,7,3,100.0%,100.0%,4.5,B+ (3.67),
66,"Zhiri, Oumelbanine",LTFR 141 - Topics/Literatures in French (A),WI15,12,7,100.0%,100.0%,5.93,B+ (3.57),
67,"Ploye, Catherine",LTFR 116 - Themes/Intellect&Literary Hist (A),FA14,15,8,100.0%,100.0%,3.5,B (3.25),
68,"Woodhull, Winifred Johanna",LTFR 125 - Twentieth Century (A),FA14,8,3,100.0%,100.0%,3.83,B+ (3.67),
