,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Murray, Kourtney Kristine",LTGK 3 - Intermediate Greek II (A),SP23,15,4,100.0%,100.0%,3.0,A (4.00),
1,"Murray, Kourtney Kristine",LTGK 2 - Intermediate Greek I (A),WI23,15,6,100.0%,100.0%,2.5,A- (3.83),
2,"Myerston Santana, Jacobo",LTGK 1 - Beginning Greek (A),FA22,25,12,91.7%,100.0%,6.0,A- (3.75),A- (3.88)
3,"duBois, Page Ann",LTGK 103 - Greek Drama (A),FA22,14,4,100.0%,100.0%,6.0,A (4.00),
4,"Murray, Kourtney Kristine",LTGK 3 - Intermediate Greek II (A),SP22,12,8,100.0%,100.0%,3.5,A- (3.88),
5,"Murray, Kourtney Kristine",LTGK 2 - Intermediate Greek I (A),WI22,14,8,100.0%,100.0%,4.0,A (4.00),
6,"Myerston Santana, Jacobo",LTGK 1 - Beginning Greek (A),FA21,24,5,100.0%,100.0%,5.7,B+ (3.60),B (3.07)
7,"duBois, Page Ann",LTGK 104 - Greek Prose (A),FA21,10,4,100.0%,100.0%,6.5,B+ (3.67),
8,"Murray, Kourtney Kristine",LTGK 3 - Intermediate Greek II (A),SP21,11,6,100.0%,100.0%,4.17,A- (3.83),
9,"Murray, Kourtney Kristine",LTGK 2 - Intermediate Greek I (A),WI21,12,7,85.7%,100.0%,3.36,A- (3.86),
10,"Myerston Santana, Jacobo",LTGK 1 - Beginning Greek (A),FA20,15,11,100.0%,100.0%,5.95,A- (3.70),
11,"duBois, Page Ann",LTGK 102 - Greek Poetry (A),FA20,13,6,100.0%,100.0%,6.83,A- (3.75),
12,"CIAMPI, ROSALBA",LTGK 3 - Intermediate Greek II (A),SP20,13,7,100.0%,100.0%,6.5,B+ (3.60),
13,"Myerston Santana, Jacobo",LTGK 105 - Topics in Greek Literature (A),WI20,8,3,100.0%,100.0%,6.5,A (4.00),
14,"Myerston Santana, Jacobo",LTGK 2 - Intermediate Greek I (A),WI20,13,8,100.0%,100.0%,6.0,A- (3.71),
15,"Myerston Santana, Jacobo",LTGK 1 - Beginning Greek (A),FA19,22,12,91.7%,91.7%,7.5,B+ (3.30),B+ (3.57)
16,"duBois, Page Ann",LTGK 104 - Greek Prose (A),FA19,14,6,100.0%,100.0%,8.9,B+ (3.67),
17,"Petkas, Alexander J",LTGK 3 - Intermediate Greek II (A),SP19,11,3,100.0%,100.0%,5.17,A (4.00),
18,"Myerston Santana, Jacobo",LTGK 105 - Topics in Greek Literature (A),WI19,12,7,100.0%,100.0%,4.5,A (4.00),
19,"Petkas, Alexander J",LTGK 2 - Intermediate Greek I (A),WI19,11,7,83.3%,100.0%,6.5,A (4.00),
20,"Myerston Santana, Jacobo",LTGK 1 - Beginning Greek (A),FA18,14,12,100.0%,100.0%,6.0,A- (3.86),
21,"duBois, Page Ann",LTGK 103 - Greek Drama (A),FA18,13,3,100.0%,100.0%,5.83,A (4.00),
22,"Mebane, Julia",LTGK 3 - Intermediate Greek II (A),SP18,20,12,100.0%,100.0%,5.41,B+ (3.60),B+ (3.63)
23,"Myerston Santana, Jacobo",LTGK 105 - Topics in Greek Literature (A),WI18,8,3,100.0%,100.0%,3.83,A (4.00),
24,"Myerston Santana, Jacobo",LTGK 2 - Intermediate Greek I (A),WI18,23,13,92.3%,100.0%,7.12,B+ (3.64),A- (3.72)
25,"Myerston Santana, Jacobo",LTGK 1 - Beginning Greek (A),FA17,28,17,88.2%,87.5%,6.85,A- (3.80),A- (3.88)
26,"duBois, Page Ann",LTGK 104 - Greek Prose (A),FA17,13,5,100.0%,100.0%,5.7,A (4.00),
27,"Edwards, Leslie",LTGK 3 - Intermediate Greek II (A),SP17,18,10,87.5%,100.0%,5.36,B+ (3.38),
28,"Murray, Kourtney Kristine",LTGK 102 - Greek Poetry (A),WI17,4,4,100.0%,100.0%,5.83,,
29,"Edwards, Leslie",LTGK 2 - Intermediate Greek I (A),WI17,21,8,100.0%,100.0%,4.75,A (4.00),A- (3.70)
30,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA16,24,11,100.0%,100.0%,6.28,A- (3.70),A- (3.74)
31,"duBois, Page Ann",LTGK 104 - Greek Prose (B),FA16,6,4,100.0%,100.0%,7.5,B+ (3.67),
32,"Edwards, Leslie",LTGK 3 - Intermediate Greek II (A),SP16,13,6,100.0%,100.0%,7.17,A- (3.83),
33,"Myerston Santana, Jacobo",LTGK 130 - Tragedy (A),WI16,5,5,100.0%,100.0%,8.5,B+ (3.67),
34,"Edwards, Leslie",LTGK 2 - Intermediate Greek I (A),WI16,15,6,100.0%,100.0%,6.17,B+ (3.60),
35,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA15,19,8,85.7%,85.7%,5.93,B+ (3.67),
36,"duBois, Page Ann",LTGK 133 - Prose (A),FA15,7,3,100.0%,100.0%,5.83,A (4.00),
37,"Edwards, Leslie",LTGK 3 - Intermediate Greek II (A),SP15,14,4,100.0%,100.0%,3.83,A (4.00),
38,"Edwards, Anthony",LTGK 132 - History (A),WI15,5,4,100.0%,100.0%,6.5,B+ (3.50),
39,"Edwards, Leslie",LTGK 2 - Intermediate Greek I (A),WI15,15,6,83.3%,100.0%,4.17,A- (3.80),
40,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA14,20,10,100.0%,88.9%,4.28,A- (3.88),A- (3.86)
41,"Edwards, Leslie",LTGK 3 - Intermediate Greek II (A),SP14,12,7,100.0%,100.0%,4.79,A (4.00),
42,"Edwards, Anthony",LTGK 131 - Comedy (A),WI14,5,4,100.0%,100.0%,8.0,B+ (3.33),
43,"Edwards, Leslie",LTGK 2 - Intermediate Greek I (A),WI14,15,9,100.0%,100.0%,4.5,A (4.00),
44,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA13,28,12,81.8%,100.0%,5.05,A- (3.82),B+ (3.67)
45,"duBois, Page Ann",LTGK 133 - Prose (A),FA13,8,5,100.0%,100.0%,8.1,B (3.20),
46,"Edwards, Leslie",LTGK 3 - Intermediate Greek II (A),SP13,9,6,100.0%,100.0%,7.83,B (3.20),
47,"Edwards, Leslie",LTGK 2 - Intermediate Greek I (A),WI13,11,6,100.0%,100.0%,8.17,B (3.25),
48,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA12,21,13,92.3%,100.0%,4.81,B+ (3.55),B (3.14)
49,"Edwards, Anthony",LTGK 112 - Homer (A),FA12,10,8,75.0%,87.5%,11.25,B (3.14),
50,"Edwards, Leslie",LTGK 3 - Intermediate Greek II (A),SP12,10,7,100.0%,100.0%,10.79,B+ (3.43),
51,"Edwards, Anthony",LTGK 135 - Lyric Poetry (B),WI12,4,4,100.0%,100.0%,8.5,B+ (3.50),
52,"Edwards, Leslie",LTGK 2 - Intermediate Greek I (A),WI12,13,11,90.9%,100.0%,8.86,B+ (3.60),
53,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA11,20,19,94.7%,100.0%,7.72,B (3.28),B (3.26)
54,"duBois, Page Ann",LTGK 113 - Classical Period (A),FA11,9,7,100.0%,100.0%,8.21,B+ (3.43),
55,"Edwards, Leslie",LTGK 3 - Intermediate Greek II (A),SP11,12,10,100.0%,100.0%,5.3,B+ (3.30),
56,"Edwards, Anthony",LTGK 133 - Prose (A),WI11,7,5,100.0%,100.0%,8.9,B (3.00),
57,"Edwards, Leslie",LTGK 2 - Intermediate Greek I (A),WI11,11,9,100.0%,100.0%,5.61,B+ (3.38),
58,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA10,11,9,88.9%,100.0%,6.28,A- (3.89),
59,"duBois, Page Ann",LTGK 110 - Archaic Period (A),FA10,10,4,100.0%,100.0%,5.5,A (4.00),
60,"Edwards, Leslie",LTGK 3 - Intermediate Greek II (A),SP10,12,6,100.0%,100.0%,5.17,B+ (3.40),
61,"Edwards, Leslie",LTGK 2 - Intermediate Greek I (A),WI10,12,8,100.0%,100.0%,5.75,A- (3.86),
62,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA09,21,16,100.0%,100.0%,6.88,B+ (3.40),B (3.11)
63,"Edwards, Anthony",LTGK 133 - Prose (A),WI09,6,3,66.7%,100.0%,9.83,B (3.00),
64,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA08,21,10,100.0%,100.0%,5.3,A- (3.78),B (3.12)
65,"Edwards, Leslie",LTGK 1 - Beginning Greek (A),FA07,21,14,92.3%,100.0%,6.5,B+ (3.62),B (3.01)
66,"Edwards, Anthony",LTGK 132 - History (A),FA07,5,5,80.0%,100.0%,6.5,C+ (2.50),
