,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Fischer-Grunski, Eva K",LTGM 2C - Intermediate German III (A),SP23,10,4,100.0%,100.0%,5.0,A- (3.75),
1,"Fischer-Grunski, Eva K",LTGM 2B - Intermediate German II (A),WI23,15,7,100.0%,100.0%,5.36,A- (3.83),
2,"Fischer-Grunski, Eva K",LTGM 2A - Intermediate German I (A),FA22,24,11,100.0%,100.0%,4.86,A- (3.80),B+ (3.51)
3,"Fischer-Grunski, Eva K",LTGM 2C - Intermediate German III (A),SP22,15,8,100.0%,100.0%,3.75,A- (3.71),
4,"Fischer-Grunski, Eva K",LTGM 2B - Intermediate German II (A),WI22,17,7,100.0%,100.0%,4.5,B+ (3.50),
5,"Kontje, Todd Curtis",LTGM 100 - GrmnStudiesI:Aesthetic Culture (A),FA21,9,4,100.0%,100.0%,5.0,A- (3.75),
6,"Fischer-Grunski, Eva K",LTGM 2A - Intermediate German I (A),FA21,15,9,100.0%,100.0%,4.5,A- (3.86),
7,"Fischer-Grunski, Eva K",LTGM 2C - Intermediate German III (A),SP21,16,10,100.0%,100.0%,4.7,A- (3.89),
8,"Kontje, Todd Curtis",LTGM 101 - German Studies II:Nat'l Identi (A),WI21,13,7,100.0%,100.0%,5.36,B+ (3.57),
9,"Fischer-Grunski, Eva K",LTGM 2B - Intermediate German II (A),WI21,21,9,100.0%,100.0%,5.61,A- (3.88),B+ (3.54)
10,"Fischer-Grunski, Eva K",LTGM 2A - Intermediate German I (A),FA20,25,18,100.0%,100.0%,4.5,B+ (3.69),B+ (3.52)
11,"Fischer-Grunski, Eva K",LTGM 2C - Intermediate German III (A),SP20,14,4,100.0%,100.0%,7.17,B (3.00),
12,"Fischer-Grunski, Eva K",LTGM 2B - Intermediate German II (A),WI20,12,8,100.0%,100.0%,4.5,A (4.00),
13,"Kontje, Todd Curtis",LTGM 100 - GrmnStudiesI:Aesthetic Culture (A),FA19,7,6,100.0%,100.0%,3.17,A- (3.80),
14,"Fischer-Grunski, Eva K",LTGM 2A - Intermediate German I (A),FA19,20,11,100.0%,90.0%,4.9,B+ (3.60),B+ (3.55)
15,"O'Brien, William Arctander",LTGM 132 - German Poetry (A),SP19,12,5,100.0%,100.0%,3.0,B+ (3.50),
16,"Fischer-Grunski, Eva K",LTGM 2C - Intermediate German III (A),SP19,11,5,100.0%,100.0%,2.5,B+ (3.50),
17,"Fischer-Grunski, Eva K",LTGM 2B - Intermediate German II (A),WI19,13,6,100.0%,100.0%,5.7,B+ (3.50),
18,"Kontje, Todd Curtis",LTGM 101 - German Studies II:Nat'l Identi (A),FA18,11,5,100.0%,100.0%,3.7,B+ (3.50),
19,"Fischer-Grunski, Eva K",LTGM 2A - Intermediate German I (A),FA18,22,9,100.0%,100.0%,5.17,A- (3.71),B+ (3.47)
20,"O'Brien, William Arctander",LTGM 130 - German Literary Prose (A),SP18,12,6,100.0%,100.0%,4.5,B+ (3.40),
21,"Fischer-Grunski, Eva K",LTGM 2B - Intermediate German II (A),WI18,20,12,100.0%,100.0%,2.68,A- (3.88),B+ (3.52)
22,"Kontje, Todd Curtis",LTGM 100 - GrmnStudiesI:Aesthetic Culture (B),FA17,9,6,100.0%,100.0%,5.17,A- (3.80),
23,"Fischer-Grunski, Eva K",LTGM 2A - Intermediate German I (A),FA17,19,8,100.0%,100.0%,3.0,A- (3.86),
24,"Mohr, Jeannette",LTGM 2C - Intermediate German III (A),SP17,12,7,100.0%,100.0%,2.17,A (4.00),
25,"O'Brien, William Arctander",LTGM 132 - German Poetry (A),WI17,7,6,100.0%,100.0%,4.5,A- (3.83),
26,"Mohr, Jeannette",LTGM 2B - Intermediate German II (A),WI17,16,9,88.9%,100.0%,4.21,A- (3.88),
