,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"De Marchi Gherini, Adriana",LTIT 115 - Medieval Studies (A),WI23,9,3,66.7%,66.7%,3.17,B+ (3.67),
1,"De Marchi Gherini, Adriana",LTIT 2A - Intermediate Italian I (A),FA22,16,6,100.0%,100.0%,2.83,A- (3.80),
2,"De Marchi Gherini, Adriana",LTIT 50 - Advanced Italian (A),SP22,8,4,100.0%,100.0%,5.5,A (4.00),
3,"Reid-Olds, Tera",LTIT 12AR - Italian for Spanish Speakrs I (A),WI22,12,5,100.0%,100.0%,5.7,A- (3.80),
4,"De Marchi Gherini, Adriana",LTIT 2B - Intermediate Italian II (A),WI22,9,3,100.0%,100.0%,3.17,B+ (3.67),
5,"De Marchi Gherini, Adriana",LTIT 2A - Intermediate Italian I (A),FA21,19,10,100.0%,100.0%,4.3,A (4.00),
6,"Jed, Stephanie H",LTIT 115 - Medieval Studies (A),WI21,9,4,100.0%,100.0%,5.5,A (4.00),
7,"De Marchi Gherini, Adriana",LTIT 2B - Intermediate Italian II (A),WI21,9,3,100.0%,100.0%,3.17,B+ (3.67),
8,"De Marchi Gherini, Adriana",LTIT 2A - Intermediate Italian I (A),FA20,19,11,90.9%,90.9%,3.05,B+ (3.33),
9,"De Marchi Gherini, Adriana",LTIT 50 - Advanced Italian (A),SP20,11,5,100.0%,100.0%,1.7,A (4.00),
10,"De Marchi Gherini, Adriana",LTIT 2B - Intermediate Italian II (A),WI20,14,7,100.0%,100.0%,2.5,A (4.00),
11,"De Marchi Gherini, Adriana",LTIT 2A - Intermediate Italian I (A),FA19,24,13,100.0%,90.9%,2.5,B+ (3.44),A- (3.98)
12,"De Marchi Gherini, Adriana",LTIT 50 - Advanced Italian (A),SP19,12,5,100.0%,100.0%,2.1,A (4.00),
13,"De Marchi Gherini, Adriana",LTIT 2B - Intermediate Italian II (A),WI19,11,4,100.0%,100.0%,3.5,A (4.00),
14,"De Marchi Gherini, Adriana",LTIT 100 - Intro/Literatures in Italian (A),FA18,6,4,100.0%,100.0%,3.0,A (4.00),
