,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Cho, Hye Jin",LTKO 1C - Beginning Korean:First Yr. III (A),SP23,17,8,100.0%,100.0%,4.0,A- (3.71),
1,"Cho, Hye Jin",LTKO 1C - Beginning Korean:First Yr. III (B),SP23,24,7,100.0%,100.0%,5.64,A- (3.71),B+ (3.52)
2,"Tark, Eun Sun",LTKO 1C - Beginning Korean:First Yr. III (C),SP23,24,9,100.0%,100.0%,4.06,A- (3.80),A- (3.74)
3,"Yim, Nancy",LTKO 1C - Beginning Korean:First Yr. III (E),SP23,22,8,100.0%,100.0%,3.5,B+ (3.67),A- (3.70)
4,"Yim, Nancy",LTKO 1C - Beginning Korean:First Yr. III (F),SP23,20,8,100.0%,100.0%,5.75,A- (3.80),B+ (3.67)
5,"Lee, Jeyseon",LTKO 2C - Intermediate Korean:2nd Yr III (A),SP23,21,6,100.0%,100.0%,3.83,A- (3.75),B+ (3.57)
6,"Lee, Jeyseon",LTKO 130 - Advanced Korean: Third Year (A),WI23,10,3,100.0%,100.0%,10.5,B+ (3.50),
7,"Cho, Hye Jin",LTKO 1B - Beginning Korean:First Yr. II (A),WI23,15,8,100.0%,100.0%,5.0,A- (3.88),
8,"Cho, Hye Jin",LTKO 1B - Beginning Korean:First Yr. II (B),WI23,20,10,100.0%,100.0%,5.5,A- (3.89),A- (3.78)
9,"Cho, Hye Jin",LTKO 1B - Beginning Korean:First Yr. II (C),WI23,24,4,100.0%,100.0%,4.0,B+ (3.50),B+ (3.63)
10,"Tark, Eun Sun",LTKO 1B - Beginning Korean:First Yr. II (D),WI23,17,8,100.0%,100.0%,5.07,A- (3.71),
11,"Yim, Nancy",LTKO 1B - Beginning Korean:First Yr. II (E),WI23,25,6,100.0%,100.0%,3.17,A (4.00),A- (3.89)
12,"Yim, Nancy",LTKO 1B - Beginning Korean:First Yr. II (F),WI23,24,7,100.0%,100.0%,3.5,B+ (3.67),A- (3.87)
13,"Yim, Nancy",LTKO 1B - Beginning Korean:First Yr. II (G),WI23,19,8,100.0%,100.0%,5.0,B+ (3.60),
14,"Lee, Jeyseon",LTKO 2B - Intermediate Korean:2nd Yr II (A),WI23,26,11,100.0%,100.0%,5.1,A- (3.83),A- (3.73)
15,"Lee, Jeyseon",LTKO 130 - Advanced Korean: Third Year (A),FA22,14,4,100.0%,100.0%,3.17,B+ (3.50),
16,"Cho, Hye Jin",LTKO 1A - Beginning Korean:First Yr. I (A),FA22,22,4,100.0%,100.0%,7.0,B+ (3.33),B- (2.96)
17,"Cho, Hye Jin",LTKO 1A - Beginning Korean:First Yr. I (B),FA22,21,14,100.0%,100.0%,5.73,B+ (3.42),B+ (3.66)
18,"Cho, Hye Jin",LTKO 1A - Beginning Korean:First Yr. I (C),FA22,21,6,83.3%,100.0%,5.83,B+ (3.50),A- (3.79)
19,"Tark, Eun Sun",LTKO 1A - Beginning Korean:First Yr. I (D),FA22,22,11,100.0%,100.0%,5.41,B+ (3.60),A- (3.76)
20,"Tark, Eun Sun",LTKO 1A - Beginning Korean:First Yr. I (E),FA22,19,7,100.0%,100.0%,4.17,A (4.00),
21,"Yim, Nancy",LTKO 1A - Beginning Korean:First Yr. I (F),FA22,23,7,100.0%,100.0%,5.36,A- (3.71),A- (3.96)
22,"Yim, Nancy",LTKO 1A - Beginning Korean:First Yr. I (G),FA22,21,9,100.0%,100.0%,6.72,A- (3.71),A- (3.73)
23,"Yim, Nancy",LTKO 1A - Beginning Korean:First Yr. I (H),FA22,22,9,100.0%,100.0%,2.75,B+ (3.38),B+ (3.42)
24,"Yun, Hyesin",LTKO 1A - Beginning Korean:First Yr. I (I),FA22,17,7,85.7%,71.4%,5.07,B+ (3.60),
