,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Murray, Kourtney Kristine",LTLA 3 - Intermediate Latin II (A),SP23,38,12,100.0%,100.0%,3.95,A (4.00),A- (3.86)
1,"Kelting, Edward William",LTLA 103 - Latin Drama (A),WI23,16,9,100.0%,100.0%,7.39,B+ (3.56),
2,"Murray, Kourtney Kristine",LTLA 2 - Intermediate Latin I (A),WI23,37,9,100.0%,100.0%,3.17,A (4.00),A- (3.95)
3,"Murray, Kourtney Kristine",LTLA 1 - Beginning Latin (A),FA22,40,17,100.0%,100.0%,4.85,A- (3.94),A- (3.92)
4,"Kelting, Edward William",LTLA 100 - Introductn/Latin Literature I (A),FA22,15,7,100.0%,100.0%,6.79,A (4.00),
5,"Murray, Kourtney Kristine",LTLA 3 - Intermediate Latin II (A),SP22,28,11,100.0%,100.0%,6.14,A- (3.82),A- (3.80)
6,"Kelting, Edward William",LTLA 105 - Topics in Latin Literature (A),WI22,13,8,87.5%,87.5%,6.75,B+ (3.67),
7,"Murray, Kourtney Kristine",LTLA 2 - Intermediate Latin I (A),WI22,30,12,100.0%,100.0%,5.0,A- (3.75),A- (3.77)
8,"Murray, Kourtney Kristine",LTLA 1 - Beginning Latin (A),FA21,39,13,100.0%,100.0%,5.12,A- (3.73),B+ (3.44)
9,"Kelting, Edward William",LTLA 100 - Introductn/Latin Literature I (A),FA21,18,11,100.0%,100.0%,5.59,B+ (3.30),
10,"Murray, Kourtney Kristine",LTLA 3 - Intermediate Latin II (A),SP21,37,12,100.0%,100.0%,4.17,A- (3.82),A- (3.71)
11,"Kelting, Edward William",LTLA 105 - Topics in Latin Literature (A),WI21,8,7,100.0%,100.0%,6.21,B+ (3.67),
12,"Murray, Kourtney Kristine",LTLA 2 - Intermediate Latin I (A),WI21,37,13,91.7%,100.0%,4.17,A- (3.75),A- (3.77)
13,"Murray, Kourtney Kristine",LTLA 1 - Beginning Latin (A),FA20,40,15,100.0%,100.0%,4.21,A (4.00),B+ (3.57)
14,"Kelting, Edward William",LTLA 100 - Introductn/Latin Literature I (A),FA20,20,13,100.0%,100.0%,7.42,B+ (3.45),B+ (3.59)
15,"Murray, Kourtney Kristine",LTLA 3 - Intermediate Latin II (A),SP20,39,8,100.0%,100.0%,7.0,B+ (3.67),A- (3.90)
16,"Murray, Kourtney Kristine",LTLA 103 - Latin Drama (A),WI20,13,6,100.0%,100.0%,4.83,A (4.00),
17,"Murray, Kourtney Kristine",LTLA 2 - Intermediate Latin I (A),WI20,36,13,100.0%,100.0%,6.17,A- (3.78),A- (3.83)
18,"Murray, Kourtney Kristine",LTLA 1 - Beginning Latin (B),FA19,38,13,92.3%,100.0%,5.12,B+ (3.55),B+ (3.50)
19,"Murray, Kourtney Kristine",LTLA 100 - Introductn/Latin Literature I (A),FA19,34,14,100.0%,100.0%,4.21,B+ (3.67),B+ (3.65)
20,"Wirshbo, Eliot",LTLA 104 - Latin Prose (A),SP19,14,4,100.0%,100.0%,6.0,A- (3.75),
21,"Wirshbo, Eliot",LTLA 3 - Intermediate Latin II (A),SP19,13,5,100.0%,80.0%,6.9,A (4.00),
22,"Murray, Kourtney Kristine",LTLA 3 - Intermediate Latin II (B),SP19,30,9,100.0%,100.0%,4.5,B (3.14),B (3.03)
23,"Petkas, Alexander J",LTLA 105 - Topics in Latin Literature (A),WI19,14,6,100.0%,100.0%,6.1,B+ (3.50),
24,"Wirshbo, Eliot",LTLA 2 - Intermediate Latin I (A),WI19,15,8,100.0%,85.7%,7.5,B (3.29),
25,"Murray, Kourtney Kristine",LTLA 2 - Intermediate Latin I (B),WI19,30,14,100.0%,92.3%,6.35,B+ (3.42),B+ (3.42)
26,"Wirshbo, Eliot",LTLA 1 - Beginning Latin (A),FA18,24,11,90.9%,90.9%,8.14,B (3.18),B (3.30)
27,"Murray, Kourtney Kristine",LTLA 1 - Beginning Latin (B),FA18,34,19,100.0%,94.4%,5.61,B (3.25),B (3.23)
28,"Wirshbo, Eliot",LTLA 103 - Latin Drama (A),FA18,21,7,100.0%,100.0%,7.17,B+ (3.33),B (3.22)
29,"Wirshbo, Eliot",LTLA 105 - Topics in Latin Literature (A),SP18,11,4,100.0%,100.0%,5.0,B+ (3.50),
30,"Wirshbo, Eliot",LTLA 3 - Intermediate Latin II (A),SP18,18,5,100.0%,100.0%,6.5,B+ (3.67),
31,"Mebane, Julia",LTLA 3 - Intermediate Latin II (B),SP18,31,16,100.0%,100.0%,5.13,B (3.13),B+ (3.31)
32,"Mebane, Julia",LTLA 103 - Latin Drama (A),WI18,15,9,100.0%,88.9%,6.28,B+ (3.67),
33,"Mebane, Julia",LTLA 2 - Intermediate Latin I (A),WI18,22,9,88.9%,100.0%,5.17,A- (3.78),B+ (3.50)
34,"Mebane, Julia",LTLA 2 - Intermediate Latin I (B),WI18,26,15,100.0%,100.0%,5.3,B+ (3.64),B+ (3.50)
35,"Wirshbo, Eliot",LTLA 1 - Beginning Latin (A),FA17,27,15,92.9%,85.7%,5.64,B+ (3.50),B+ (3.37)
36,"Mebane, Julia",LTLA 1 - Beginning Latin (B),FA17,32,22,100.0%,100.0%,5.86,A- (3.76),A- (3.75)
37,"Wirshbo, Eliot",LTLA 100 - Introductn/Latin Literature I (A),FA17,17,8,71.4%,71.4%,10.25,B (3.00),
38,"Wirshbo, Eliot",LTLA 104 - Latin Prose (A),FA17,9,5,100.0%,100.0%,6.1,A (4.00),
39,"Wirshbo, Eliot",LTLA 105 - Topics in Latin Literature (A),SP17,14,5,100.0%,100.0%,6.9,A (4.00),
40,"Edwards, Leslie",LTLA 3 - Intermediate Latin II (A),SP17,23,12,83.3%,91.7%,4.83,B (3.11),B- (2.85)
41,"Wirshbo, Eliot",LTLA 3 - Intermediate Latin II (B),SP17,12,7,85.7%,100.0%,6.21,B+ (3.43),
42,"Wirshbo, Eliot",LTLA 102 - Latin Poetry (A),WI17,12,6,83.3%,100.0%,4.83,B+ (3.50),
43,"Edwards, Leslie",LTLA 2 - Intermediate Latin I (A),WI17,22,11,81.8%,100.0%,6.68,B (3.18),B- (2.80)
44,"Wirshbo, Eliot",LTLA 2 - Intermediate Latin I (B),WI17,15,9,77.8%,88.9%,7.83,A- (3.75),
45,"Edwards, Leslie",LTLA 1 - Beginning Latin (A),FA16,29,18,82.4%,94.1%,5.0,B+ (3.57),B- (2.86)
46,"Wirshbo, Eliot",LTLA 1 - Beginning Latin (B),FA16,22,11,100.0%,100.0%,9.5,B+ (3.33),B- (2.95)
47,"Wirshbo, Eliot",LTLA 100 - Introductn/Latin Literature I (A),FA16,12,7,85.7%,85.7%,9.64,B (3.00),
