,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Wells, Patricia Rebecca",LTRU 104A - Advanced Practicum in Russian (A),SP23,15,6,100.0%,100.0%,4.83,A- (3.83),
1,"Wells, Patricia Rebecca",LTRU 1C - First Year Russian (A),SP23,11,4,100.0%,100.0%,4.0,A (4.00),
2,"Wells, Patricia Rebecca",LTRU 104C - Advanced Practicum in Russian (A),WI23,9,3,100.0%,100.0%,3.17,A (4.00),
3,"Glaser, Amelia",LTRU 110A - Russian&Soviet Lit/1800-1860 (A),WI23,6,3,100.0%,100.0%,4.5,B+ (3.50),
4,"Wells, Patricia Rebecca",LTRU 1B - First-Year Russian (A),WI23,12,5,100.0%,100.0%,5.0,A (4.00),
5,"Wells, Patricia Rebecca",LTRU 2B - Second Year Russian (A),WI23,13,6,100.0%,100.0%,3.5,A (4.00),
6,"Wells, Patricia Rebecca",LTRU 1A - First-Year Russian (A),FA22,19,6,100.0%,100.0%,6.5,A- (3.75),
7,"Wells, Patricia Rebecca",LTRU 2A - Second Year Russian (A),FA22,16,8,100.0%,100.0%,4.5,A (4.00),
8,"Wells, Patricia Rebecca",LTRU 104A - Advanced Practicum in Russian (A),SP22,17,5,100.0%,100.0%,4.5,A (4.00),
9,"Wells, Patricia Rebecca",LTRU 1C - First Year Russian (A),SP22,18,10,100.0%,100.0%,4.9,A (4.00),
10,"Wells, Patricia Rebecca",LTRU 104C - Advanced Practicum in Russian (A),WI22,8,5,100.0%,100.0%,4.1,A (4.00),
11,"Razor, Sasha",LTRU 150 - Russian Culture (A),WI22,7,5,100.0%,100.0%,5.7,A (4.00),
12,"Wells, Patricia Rebecca",LTRU 1B - First-Year Russian (A),WI22,19,10,100.0%,100.0%,5.7,A- (3.90),
13,"Wells, Patricia Rebecca",LTRU 2B - Second Year Russian (A),WI22,11,6,100.0%,100.0%,2.9,A- (3.80),
14,"Wells, Patricia Rebecca",LTRU 104B - Advanced Practicum in Russian (A),FA21,8,5,100.0%,100.0%,3.7,A (4.00),
15,"Wells, Patricia Rebecca",LTRU 1A - First-Year Russian (A),FA21,24,14,100.0%,100.0%,4.36,A- (3.79),B+ (3.62)
16,"Wells, Patricia Rebecca",LTRU 2A - Second Year Russian (A),FA21,20,11,100.0%,100.0%,4.14,A- (3.80),A- (3.83)
17,"Wells, Patricia Rebecca",LTRU 104A - Advanced Practicum in Russian (A),SP21,11,6,100.0%,100.0%,2.9,A- (3.80),
18,"Wells, Patricia Rebecca",LTRU 1C - First Year Russian (A),SP21,20,8,100.0%,100.0%,4.0,A (4.00),A- (3.86)
19,"Wells, Patricia Rebecca",LTRU 104C - Advanced Practicum in Russian (A),WI21,15,5,100.0%,100.0%,4.5,A (4.00),
20,"Wells, Patricia Rebecca",LTRU 1B - First-Year Russian (A),WI21,21,8,100.0%,100.0%,5.0,A- (3.88),A- (3.92)
21,"Wells, Patricia Rebecca",LTRU 2B - Second Year Russian (A),WI21,8,6,100.0%,100.0%,3.5,A (4.00),
22,"Wells, Patricia Rebecca",LTRU 104B - Advanced Practicum in Russian (A),FA20,16,8,100.0%,87.5%,4.0,A- (3.75),
23,"Wells, Patricia Rebecca",LTRU 1A - First-Year Russian (A),FA20,23,10,100.0%,100.0%,4.9,A- (3.75),A- (3.76)
24,"Wells, Patricia Rebecca",LTRU 2A - Second Year Russian (A),FA20,16,7,100.0%,100.0%,4.5,A- (3.83),
25,"Wells, Patricia Rebecca",LTRU 104A - Advanced Practicum in Russian (A),SP20,18,6,100.0%,100.0%,8.17,A (4.00),
