,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Martin-Cabrera, Luis",LTSP 100B - Adv Read&Writing: Heritage Spk (A),SP23,23,13,100.0%,100.0%,2.5,A- (3.92),A- (3.84)
1,"Arcos Herrera, Carol",LTSP 100B - Adv Read&Writing: Heritage Spk (B),SP23,22,8,100.0%,100.0%,4.5,A- (3.88),B+ (3.69)
2,"Parra, Max",LTSP 135A - Mexican Literature before 1910 (A),SP23,9,4,100.0%,100.0%,5.0,B+ (3.50),
3,"Carvajal Regidor, Jose",LTSP 138 - Central American Literature (A),SP23,15,7,100.0%,100.0%,4.5,A (4.00),
4,"Arcos Herrera, Carol",LTSP 166 - Creative Writing (A),SP23,12,5,100.0%,100.0%,3.3,A (4.00),
5,"Martin-Cabrera, Luis",LTSP 174 - Topics in Culture and Politics (A),SP23,16,5,100.0%,100.0%,4.1,A (4.00),
6,"Guillermoprieto, Maria Del",LTSP 2A - Intermed Spanish I:Foundations (B),SP23,23,11,81.8%,72.7%,5.41,B (3.20),B (3.25)
7,"Dominguez, Noelia",LTSP 2C - Intermed Span III:Cultrl Topcs (A),SP23,17,5,100.0%,100.0%,4.1,B+ (3.60),
8,"Dominguez, Noelia",LTSP 2C - Intermed Span III:Cultrl Topcs (B),SP23,7,4,100.0%,100.0%,3.5,A- (3.75),
9,"Mastromartino, Alexandra L",LTSP 2C - Intermed Span III:Cultrl Topcs (C),SP23,10,6,100.0%,100.0%,6.9,A- (3.80),
10,"Mastromartino, Alexandra L",LTSP 2E - Int. Span II: Bilingual Spkrs (A),SP23,24,22,100.0%,100.0%,3.59,B+ (3.59),B+ (3.58)
11,"Martin-Cabrera, Luis",LTSP 100A - Adv Spanish Reading & Writing (A),WI23,12,7,100.0%,100.0%,5.07,A (4.00),
12,"Bessett, Ryan Matthew",LTSP 100B - Adv Read&Writing: Heritage Spk (A),WI23,30,9,100.0%,100.0%,2.94,A (4.00),A- (3.74)
13,"Carvajal Regidor, Jose",LTSP 116 - Representatns/Span Colonialism (A),WI23,7,6,100.0%,100.0%,3.83,A (4.00),
14,"Martin-Cabrera, Luis",LTSP 169 - Latin American Popular Culture (A),WI23,14,3,100.0%,100.0%,7.83,A (4.00),
15,"Chacon, Gloria Elizabeth",LTSP 172 - Indigenista Themes/Latin-Amer (A),WI23,12,10,100.0%,100.0%,4.7,B+ (3.56),
16,"Mastromartino, Alexandra L",LTSP 2B - Intermed Spanish II:Read&Comp (A),WI23,9,8,100.0%,100.0%,4.0,A- (3.71),
17,"Guillermoprieto, Maria Del",LTSP 2B - Intermed Spanish II:Read&Comp (B),WI23,19,8,87.5%,75.0%,6.0,B+ (3.33),
18,"Dominguez, Noelia",LTSP 2B - Intermed Spanish II:Read&Comp (C),WI23,20,5,100.0%,100.0%,2.9,A- (3.80),B- (2.92)
19,"Dominguez, Noelia",LTSP 2C - Intermed Span III:Cultrl Topcs (A),WI23,14,9,87.5%,100.0%,6.5,B (3.14),
20,"Dominguez, Noelia",LTSP 2C - Intermed Span III:Cultrl Topcs (B),WI23,21,9,100.0%,100.0%,3.39,B+ (3.33),B (3.20)
21,"Mastromartino, Alexandra L",LTSP 2C - Intermed Span III:Cultrl Topcs (C),WI23,11,10,100.0%,100.0%,3.7,B+ (3.67),
22,"Mastromartino, Alexandra L",LTSP 2E - Int. Span II: Bilingual Spkrs (A),WI23,30,30,100.0%,100.0%,2.83,A- (3.83),A- (3.89)
23,"Bessett, Ryan Matthew",LTSP 2E - Int. Span II: Bilingual Spkrs (B),WI23,30,12,100.0%,100.0%,3.23,A- (3.73),A (4.00)
24,"Arcos Herrera, Carol",LTSP 100A - Adv Spanish Reading & Writing (A),FA22,14,4,75.0%,100.0%,4.0,B (3.00),
