,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Vitkus, Daniel J.",LTTH 115 - Introduction/Critical Theory (A),WI23,38,15,86.7%,86.7%,6.1,B (3.07),B+ (3.38)
1,"Cohen, Alain J. J.",LTTH 150 - Topics in Critical Theory (A),FA22,11,4,100.0%,100.0%,5.0,A (4.00),
2,"Vitkus, Daniel J.",LTTH 115 - Introduction/Critical Theory (A),FA21,28,9,55.6%,77.8%,7.83,B- (2.75),B (3.01)
3,"Nicolazzo, Sarah E.",LTTH 110 - History of Criticism (A),FA20,38,15,100.0%,100.0%,6.1,A- (3.80),A- (3.90)
4,"Lerer, Seth",LTTH 110 - History of Criticism (A),SP20,36,9,100.0%,100.0%,4.5,A- (3.88),A- (3.96)
5,"Jed, Stephanie H",LTTH 115 - Introduction/Critical Theory (A),WI20,42,15,100.0%,100.0%,4.35,A- (3.77),A- (3.94)
6,"Vitkus, Daniel J.",LTTH 115 - Introduction/Critical Theory (A),WI19,19,6,83.3%,83.3%,6.5,B (3.00),
7,"Lerer, Seth",LTTH 110 - History of Criticism (A),FA18,42,18,100.0%,100.0%,5.91,A- (3.75),A- (3.88)
8,"Glaser, Amelia",LTTH 150 - Topics in Critical Theory (A),SP18,19,8,80.0%,100.0%,6.1,A (4.00),
9,"Vitkus, Daniel J.",LTTH 115 - Introduction/Critical Theory (A),WI18,29,10,100.0%,100.0%,8.1,B (3.10),B (3.18)
10,"Jed, Stephanie H",LTTH 150 - Topics in Critical Theory (A),SP17,37,14,100.0%,92.3%,3.41,A- (3.92),A- (3.85)
11,"Vitkus, Daniel J.",LTTH 115 - Introduction/Critical Theory (A),WI17,24,12,90.9%,63.6%,7.05,B+ (3.30),B+ (3.51)
12,"Jed, Stephanie H",LTTH 115 - Introduction/Critical Theory (A),FA15,40,14,100.0%,100.0%,4.36,A- (3.86),A- (3.91)
13,"Jed, Stephanie H",LTTH 115 - Introduction/Critical Theory (A),FA14,31,13,100.0%,100.0%,6.7,A (4.00),A- (3.99)
14,"Kontje, Todd Curtis",LTTH 115 - Introduction/Critical Theory (A),SP14,14,8,100.0%,100.0%,6.79,A- (3.75),
15,"Chang, Alex",LTTH 150 - Topics in Critical Theory (A),WI14,10,4,75.0%,100.0%,5.83,B+ (3.67),
16,"Chang, Alex",LTTH 110 - History of Criticism (A),FA13,19,9,87.5%,100.0%,8.75,B+ (3.38),
17,"Jed, Stephanie H",LTTH 115 - Introduction/Critical Theory (A),WI13,31,11,100.0%,100.0%,5.59,A- (3.82),A- (3.77)
18,"Glaser, Amelia",LTTH 115 - Introduction/Critical Theory (A),SP12,37,21,85.7%,100.0%,6.4,B+ (3.68),A- (3.70)
19,"Jed, Stephanie H",LTTH 150 - Topics in Critical Theory (A),FA11,40,23,91.3%,95.7%,4.41,A- (3.95),A- (3.99)
20,"Glaser, Amelia",LTTH 115 - Introduction/Critical Theory (A),WI11,36,20,85.0%,85.0%,4.6,A- (3.75),A- (3.77)
21,"Isfahani-Hammond, Alexandra",LTTH 115 - Introduction/Critical Theory (A),SP10,13,7,100.0%,100.0%,5.07,A (4.00),
22,"Jed, Stephanie H",LTTH 115 - Introduction/Critical Theory (A),WI10,39,17,76.5%,75.0%,4.97,B+ (3.65),A- (3.88)
23,"Williams, Randall Jay",LTTH 115 - Introduction/Critical Theory (A),SP09,23,22,95.0%,100.0%,3.93,B+ (3.53),B (3.29)
24,"Williams, Randall Jay",LTTH 110 - History of Criticism (A),WI09,16,15,86.7%,93.3%,4.79,B+ (3.36),
25,"Jed, Stephanie H",LTTH 115 - Introduction/Critical Theory (A),FA08,32,20,94.7%,80.0%,6.0,A- (3.74),A- (3.72)
26,"Slavet, Eliza Farro",LTTH 110 - History of Criticism (A),SP08,14,14,64.3%,85.7%,5.64,B (3.29),
27,"Glaser, Amelia",LTTH 115 - Introduction/Critical Theory (A),WI08,21,15,86.7%,100.0%,4.5,B+ (3.67),B+ (3.57)
28,"Jed, Stephanie H",LTTH 115 - Introduction/Critical Theory (A),FA07,38,27,92.6%,96.3%,3.91,B+ (3.67),A- (3.93)
