,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"duBois, Page Ann",LTWL 100 - Mythology (A),SP23,50,11,100.0%,100.0%,2.5,A (4.00),B+ (3.70)
1,"Batarseh, Amanda Alicia",LTWL 140 - Novel&History/Third World (A),SP23,11,5,100.0%,100.0%,3.7,A (4.00),
2,"Fiss, Geraldine Anna",LTWL 150 - Modernity and Literature (A),SP23,15,14,100.0%,100.0%,5.07,A- (3.79),
3,"Rahimi, Babak",LTWL 157 - Iranian Film (A),SP23,41,18,94.4%,94.1%,2.94,A- (3.94),A (4.00)
4,"Bamgbose, Gabriel Sunday",LTWL 160 - Women and Literature (A),SP23,9,8,75.0%,50.0%,6.25,A (4.00),
5,"De Marchi Gherini, Adriana",LTWL 172 - Special Topics in Literature (A),SP23,14,8,100.0%,100.0%,4.5,A- (3.88),
6,"Cohen, Alain J. J.",LTWL 183 - Film Studies&Lit:Director Work (A),SP23,11,6,100.0%,83.3%,3.5,A (4.00),
7,"Miyao, Daisuke",LTWL 184 - Film Studies&Lit:Analysis/Txt (A),SP23,40,12,100.0%,100.0%,4.17,A- (3.92),A- (3.90)
8,"Batarseh, Amanda Alicia",LTWL 110B - Folk and Fairy Tales (A),WI23,36,30,100.0%,100.0%,3.3,A- (3.90),A- (3.73)
9,"Fiss, Geraldine Anna",LTWL 114 - Children's Literature (A),WI23,38,25,84.0%,95.8%,6.02,B+ (3.61),A- (3.71)
10,"Batarseh, Amanda Alicia",LTWL 124 - Science Fiction (A),WI23,23,17,100.0%,100.0%,4.5,A- (3.93),A- (3.80)
11,"Cohen, Alain J. J.",LTWL 128 - Intro/Semiotics & Applications (A),WI23,17,6,83.3%,50.0%,3.83,A- (3.83),
12,"Mendoza, Andrea",LTWL 155 - Gender Studies (A),WI23,24,11,100.0%,100.0%,5.9,A- (3.70),A- (3.95)
13,"Lerer, Seth",LTWL 165 - Literature & the Enviornment (A),WI23,31,14,100.0%,100.0%,4.93,A- (3.86),B+ (3.69)
