,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Forbes, Camille",LTWR 100 - Short Fiction Workshop (A),SP23,15,10,100.0%,100.0%,3.5,A- (3.90),
1,"Som, Brandon D",LTWR 102 - Poetry Workshop (A),SP23,14,6,100.0%,100.0%,3.5,A- (3.83),
2,"Doller, Ben",LTWR 109 - Writ & Publ Children's Literat (A),SP23,30,9,100.0%,85.7%,3.5,A (4.00),A- (3.88)
3,"Som, Brandon D",LTWR 115 - Experimental Writing Workshop (A),SP23,29,12,100.0%,100.0%,3.83,A- (3.92),A- (3.90)
4,"Lerer, Seth",LTWR 120 - Personal Narrative Workshop (A),SP23,18,6,100.0%,100.0%,2.9,A (4.00),
5,"Wilkinson, Marco",LTWR 122 - Writing for the Sciences Wkshp (A),SP23,22,18,88.9%,100.0%,4.28,B+ (3.69),A- (3.74)
6,"Forbes, Camille",LTWR 126 - Creative Nonfiction Workshop (A),SP23,29,18,100.0%,100.0%,4.5,B+ (3.67),B (3.23)
7,"Lopez, Casandra",LTWR 143 - Stylistics and Grammar (A),SP23,18,8,83.3%,100.0%,4.21,A (4.00),
8,"Springer, Anna Joy",LTWR 8A - Writing Fiction (A),SP23,86,77,79.2%,81.6%,4.73,B+ (3.53),B+ (3.69)
9,"Doller, Ben",LTWR 8B - Writing Poetry (A),SP23,95,33,93.8%,93.8%,2.25,A- (3.93),B+ (3.51)
10,"Lopez, Casandra",LTWR 100 - Short Fiction Workshop (A),WI23,14,4,75.0%,75.0%,3.0,A (4.00),
11,"Doller, Ben",LTWR 103 - Digital Poetics Workshop (A),WI23,14,5,100.0%,100.0%,5.7,A- (3.80),
12,"Jemc, Jaclyn",LTWR 110 - Screen Writing (A),WI23,29,11,100.0%,100.0%,5.41,A- (3.91),B+ (3.55)
13,"Forbes, Camille",LTWR 120 - Personal Narrative Workshop (A),WI23,15,5,100.0%,100.0%,3.3,B+ (3.60),
14,"Wilkinson, Marco",LTWR 122 - Writing for the Sciences Wkshp (A),WI23,14,10,90.0%,90.0%,5.5,A- (3.80),
15,"Carroll, Amy Sara",LTWR 144 - The Teaching of Writing (A),WI23,14,7,28.6%,66.7%,3.36,B+ (3.43),
16,"Som, Brandon D",LTWR 8B - Writing Poetry (A),WI23,100,51,94.0%,95.9%,2.74,A- (3.90),B+ (3.67)
17,"Lopez, Casandra",LTWR 8C - Writing Non-Fiction (A),WI23,70,34,90.6%,90.0%,3.74,A- (3.94),A- (3.78)
18,"Ok, Cindy Juyoung",LTWR 100 - Short Fiction Workshop (A),FA22,14,12,100.0%,100.0%,4.5,A- (3.92),
19,"Ok, Cindy Juyoung",LTWR 102 - Poetry Workshop (A),FA22,15,14,92.9%,92.9%,3.79,A- (3.93),
20,"Carroll, Amy Sara",LTWR 115 - Experimental Writing Workshop (A),FA22,25,4,100.0%,75.0%,5.0,A- (3.75),B+ (3.69)
21,"Ok, Cindy Juyoung",LTWR 119 - Writing for Performance Wrkshp (A),FA22,30,24,100.0%,100.0%,4.42,A- (3.92),A- (3.76)
22,"Carroll, Amy Sara",LTWR 140 - History of Writing (A),FA22,28,10,77.8%,88.9%,4.06,A- (3.78),B+ (3.39)
23,"Som, Brandon D",LTWR 194 - Capstone Course for Writing (A),FA22,26,9,100.0%,100.0%,3.5,A (4.00),A (4.00)
24,"Jemc, Jaclyn",LTWR 8A - Writing Fiction (A),FA22,99,33,96.8%,90.3%,4.02,A- (3.93),B (3.00)
25,"Forbes, Camille",LTWR 8C - Writing Non-Fiction (A),FA22,90,28,96.2%,92.3%,2.72,B+ (3.57),A (4.00)
26,"Moncur, Julia Rose",LTWR 100 - Short Fiction Workshop (A),S222,17,12,100.0%,100.0%,10.33,A (4.00),
27,"Spect, Lucien Ephraim Lily","LTWR 106 - Sci Fiction,Fantasy,Irrealism (A)",S122,17,3,66.7%,66.7%,7.83,A (4.00),
28,"Forbes, Camille",LTWR 100 - Short Fiction Workshop (A),SP22,23,19,88.9%,88.9%,4.18,B+ (3.68),B+ (3.42)
29,"Ok, Cindy Juyoung",LTWR 102 - Poetry Workshop (A),SP22,22,19,100.0%,100.0%,3.76,A- (3.89),B+ (3.67)
30,"Jemc, Jaclyn","LTWR 106 - Sci Fiction,Fantasy,Irrealism (A)",SP22,22,20,100.0%,100.0%,4.5,A- (3.95),A- (3.82)
31,"Wilkinson, Marco",LTWR 115 - Experimental Writing Workshop (A),SP22,22,19,89.5%,100.0%,4.71,A- (3.89),A- (3.84)
32,"Wilkinson, Marco",LTWR 122 - Writing for the Sciences Wkshp (A),SP22,23,18,100.0%,100.0%,4.5,A- (3.76),A- (3.85)
33,"Wilkinson, Marco",LTWR 126 - Creative Nonfiction Workshop (A),SP22,22,19,100.0%,100.0%,4.29,B+ (3.68),B+ (3.66)
34,"Ok, Cindy Juyoung",LTWR 143 - Stylistics and Grammar (A),SP22,31,27,100.0%,96.2%,6.65,B+ (3.46),B+ (3.34)
35,"Springer, Anna Joy",LTWR 8A - Writing Fiction (A),SP22,92,76,89.3%,90.5%,4.53,A- (3.72),B+ (3.59)
36,"Jemc, Jaclyn",LTWR 8C - Writing Non-Fiction (A),SP22,57,40,94.9%,97.4%,4.09,A- (3.88),B+ (3.55)
37,"Jemc, Jaclyn",LTWR 100 - Short Fiction Workshop (A),WI22,22,12,100.0%,100.0%,3.59,A- (3.75),A- (3.73)
38,"Wilkinson, Marco",LTWR 100 - Short Fiction Workshop (B),WI22,22,14,92.3%,83.3%,6.07,A- (3.79),B+ (3.46)
39,"Wilkinson, Marco",LTWR 102 - Poetry Workshop (A),WI22,23,14,100.0%,100.0%,3.58,A (4.00),A- (3.71)
40,"Hoang, Lily Kim","LTWR 106 - Sci Fiction,Fantasy,Irrealism (A)",WI22,23,6,100.0%,83.3%,5.5,A- (3.83),A- (3.97)
41,"Carroll, Amy Sara",LTWR 113 - Intercultural Writing Workshop (A),WI22,17,11,90.9%,100.0%,4.86,A- (3.82),
42,"Springer, Anna Joy",LTWR 114 - Graphic Texts Workshop (A),WI22,20,6,66.7%,83.3%,4.5,A- (3.83),B+ (3.66)
43,"Springer, Anna Joy",LTWR 115 - Experimental Writing Workshop (A),WI22,18,4,100.0%,100.0%,3.5,B+ (3.50),
44,"Forbes, Camille",LTWR 120 - Personal Narrative Workshop (A),WI22,23,17,100.0%,100.0%,3.79,A- (3.76),B+ (3.38)
45,"Jemc, Jaclyn",LTWR 126 - Creative Nonfiction Workshop (A),WI22,22,11,100.0%,100.0%,4.5,A- (3.73),B+ (3.51)
46,"Hoang, Lily Kim",LTWR 148 - Theory for Writers (A),WI22,13,5,100.0%,100.0%,8.5,A- (3.80),
47,"Som, Brandon D",LTWR 8B - Writing Poetry (A),WI22,91,24,91.7%,95.8%,3.11,A- (3.90),A- (3.83)
48,"Forbes, Camille",LTWR 8C - Writing Non-Fiction (A),WI22,63,30,96.7%,100.0%,4.97,A- (3.76),B (3.25)
49,"Jemc, Jaclyn",LTWR 110 - Screen Writing (A),FA21,25,10,100.0%,100.0%,5.1,A- (3.70),B+ (3.52)
50,"Som, Brandon D",LTWR 113 - Intercultural Writing Workshop (A),FA21,23,7,85.7%,100.0%,3.93,B+ (3.67),A- (3.77)
51,"Doller, Ben",LTWR 115 - Experimental Writing Workshop (A),FA21,26,7,100.0%,85.7%,2.21,A- (3.86),A- (3.73)
52,"Carroll, Amy Sara",LTWR 119 - Writing for Performance Wrkshp (A),FA21,20,12,90.9%,100.0%,3.5,A- (3.91),B+ (3.46)
53,"Carroll, Amy Sara",LTWR 140 - History of Writing (A),FA21,23,13,92.3%,91.7%,4.04,A- (3.85),B+ (3.46)
54,"Som, Brandon D",LTWR 194 - Capstone Course for Writing (A),FA21,20,10,88.9%,100.0%,6.1,A- (3.90),A- (3.89)
55,"Hoang, Lily Kim",LTWR 8A - Writing Fiction (A),FA21,99,38,94.6%,86.1%,5.28,A (4.00),A- (3.79)
56,"Doller, Ben",LTWR 8B - Writing Poetry (A),FA21,66,29,100.0%,100.0%,4.36,A- (3.93),A- (3.77)
57,"Forbes, Camille",LTWR 100 - Short Fiction Workshop (A),S221,23,8,100.0%,100.0%,2.21,A (4.00),A- (3.93)
58,"Doller, Ben",LTWR 102 - Poetry Workshop (A),S221,20,6,100.0%,100.0%,4.83,A (4.00),A (4.00)
59,"Forbes, Camille",LTWR 100 - Short Fiction Workshop (A),SP21,23,20,100.0%,100.0%,4.0,B+ (3.58),B+ (3.53)
60,"Doller, Ben",LTWR 102 - Poetry Workshop (A),SP21,23,8,100.0%,100.0%,4.0,A (4.00),B+ (3.69)
61,"Jemc, Jaclyn",LTWR 110 - Screen Writing (A),SP21,23,9,100.0%,87.5%,5.0,A- (3.86),B+ (3.49)
62,"Ali, Mohammad Kazim",LTWR 115 - Experimental Writing Workshop (A),SP21,23,10,100.0%,100.0%,4.3,A- (3.80),A- (3.79)
63,"Jemc, Jaclyn",LTWR 126 - Creative Nonfiction Workshop (A),SP21,23,7,100.0%,100.0%,5.07,B+ (3.57),B+ (3.56)
64,"Doller, Ben",LTWR 129 - Distributing Literature Wrkshp (A),SP21,24,6,100.0%,100.0%,2.5,A (4.00),A- (3.80)
65,"Carroll, Amy Sara",LTWR 140 - History of Writing (A),SP21,27,19,94.4%,94.4%,6.71,A- (3.74),B+ (3.56)
66,"Ali, Mohammad Kazim",LTWR 8B - Writing Poetry (A),SP21,96,33,93.8%,100.0%,3.66,B+ (3.65),A- (3.89)
67,"Forbes, Camille",LTWR 8C - Writing Non-Fiction (A),SP21,67,36,93.9%,90.9%,3.29,B+ (3.60),B (3.29)
68,"Hoang, Lily Kim",LTWR 100 - Short Fiction Workshop (A),WI21,24,12,100.0%,100.0%,6.0,A- (3.91),A- (3.91)
69,"Doller, Ben",LTWR 102 - Poetry Workshop (A),WI21,26,7,100.0%,100.0%,3.07,A- (3.86),A- (3.80)
70,"Hoang, Lily Kim",LTWR 104B - The Novella II (A),WI21,23,5,100.0%,100.0%,9.3,A (4.00),A- (3.82)
71,"Springer, Anna Joy","LTWR 106 - Sci Fiction,Fantasy,Irrealism (A)",WI21,22,12,100.0%,100.0%,5.17,A- (3.75),A- (3.92)
72,"Ali, Mohammad Kazim",LTWR 113 - Intercultural Writing Workshop (A),WI21,14,6,100.0%,100.0%,9.3,A- (3.80),
73,"Springer, Anna Joy",LTWR 114 - Graphic Texts Workshop (A),WI21,18,5,100.0%,100.0%,6.9,B+ (3.40),
74,"Carroll, Amy Sara",LTWR 115 - Experimental Writing Workshop (A),WI21,21,6,100.0%,100.0%,8.17,A- (3.80),B+ (3.41)
75,"Darini, Bruna Maria",LTWR 148 - Theory for Writers (A),WI21,21,6,100.0%,100.0%,5.83,A (4.00),A- (3.90)
76,"Jemc, Jaclyn",LTWR 8A - Writing Fiction (A),WI21,98,50,98.0%,98.0%,4.58,A- (3.88),A- (3.76)
77,"Carroll, Amy Sara",LTWR 8C - Writing Non-Fiction (A),WI21,64,36,80.0%,88.6%,4.04,A- (3.76),B+ (3.58)
78,"Forbes, Camille",LTWR 100 - Short Fiction Workshop (A),FA20,21,21,100.0%,95.2%,4.88,A- (3.70),B+ (3.45)
79,"Darini, Bruna Maria",LTWR 102 - Poetry Workshop (A),FA20,22,9,88.9%,88.9%,5.17,A- (3.89),A- (3.95)
80,"Hoang, Lily Kim",LTWR 104A - The Novella I (A),FA20,24,9,100.0%,100.0%,6.0,A- (3.88),
81,"Jemc, Jaclyn",LTWR 110 - Screen Writing (A),FA20,21,7,100.0%,100.0%,4.79,A- (3.86),B+ (3.44)
82,"Som, Brandon D",LTWR 113 - Intercultural Writing Workshop (A),FA20,23,9,100.0%,87.5%,4.28,A- (3.89),A- (3.71)
83,"Lerer, Seth",LTWR 120 - Personal Narrative Workshop (A),FA20,23,5,100.0%,100.0%,3.7,A (4.00),A- (3.97)
84,"Ali, Mohammad Kazim",LTWR 124 - Transltion/Literary Text Works (A),FA20,13,3,100.0%,100.0%,1.83,A (4.00),
85,"Forbes, Camille",LTWR 126 - Creative Nonfiction Workshop (A),FA20,16,13,92.3%,92.3%,3.73,A- (3.77),
86,"Jemc, Jaclyn",LTWR 143 - Stylistics and Grammar (A),FA20,18,11,100.0%,100.0%,5.23,A- (3.73),
87,"Hoang, Lily Kim",LTWR 194 - Capstone Course for Writing (A),FA20,29,5,100.0%,100.0%,5.7,A (4.00),A- (3.95)
88,"Springer, Anna Joy",LTWR 8A - Writing Fiction (A),FA20,98,82,96.3%,89.0%,3.72,A- (3.87),A- (3.86)
89,"Som, Brandon D",LTWR 8B - Writing Poetry (A),FA20,100,45,95.5%,97.7%,3.32,A- (3.88),A- (3.74)
90,"Doller, Ben",LTWR 126 - Creative Nonfiction Workshop (A),S220,18,3,100.0%,100.0%,3.5,B+ (3.50),
91,"Springer, Anna Joy",LTWR 100 - Short Fiction Workshop (A),S120,21,3,100.0%,100.0%,4.5,A (4.00),A (4.00)
92,"Wilkinson, Marco",LTWR 100 - Short Fiction Workshop (A),SP20,23,9,100.0%,100.0%,4.94,A- (3.78),A- (3.89)
93,"Doller, Ben",LTWR 102 - Poetry Workshop (A),SP20,23,9,100.0%,100.0%,3.36,A- (3.75),A (4.00)
94,"Hoang, Lily Kim","LTWR 106 - Sci Fiction,Fantasy,Irrealism (A)",SP20,24,10,100.0%,100.0%,5.7,A- (3.75),A (4.00)
95,"Banales, Melissa",LTWR 113 - Intercultural Writing Workshop (A),SP20,22,5,80.0%,100.0%,5.7,A (4.00),A- (3.95)
96,"Jemc, Jaclyn",LTWR 115 - Experimental Writing Workshop (A),SP20,22,5,80.0%,100.0%,4.9,A (4.00),A- (3.86)
97,"Wilkinson, Marco",LTWR 120 - Personal Narrative Workshop (A),SP20,23,7,100.0%,100.0%,4.21,A (4.00),A- (3.92)
98,"Som, Brandon D",LTWR 148 - Theory for Writers (A),SP20,37,11,88.9%,100.0%,3.61,B+ (3.50),B+ (3.69)
99,"Doller, Ben",LTWR 8B - Writing Poetry (A),SP20,101,32,100.0%,100.0%,3.43,A- (3.93),A- (3.92)
100,"Hoang, Lily Kim",LTWR 8C - Writing Non-Fiction (A),SP20,65,18,100.0%,100.0%,3.83,A- (3.94),A- (3.99)
101,"Wilkinson, Marco",LTWR 100 - Short Fiction Workshop (A),WI20,23,10,100.0%,100.0%,4.94,A- (3.88),A- (3.82)
102,"Darini, Bruna Maria",LTWR 102 - Poetry Workshop (A),WI20,23,6,100.0%,83.3%,3.17,A (4.00),A- (3.96)
103,"Jemc, Jaclyn",LTWR 110 - Screen Writing (A),WI20,25,12,91.7%,100.0%,4.5,B+ (3.58),B (3.29)
104,"Springer, Anna Joy",LTWR 114 - Graphic Texts Workshop (A),WI20,20,10,70.0%,70.0%,7.9,A- (3.70),A- (3.97)
105,"Ali, Mohammad Kazim",LTWR 115 - Experimental Writing Workshop (A),WI20,21,7,83.3%,83.3%,3.64,A- (3.86),B+ (3.54)
106,"Wilkinson, Marco",LTWR 126 - Creative Nonfiction Workshop (A),WI20,22,7,100.0%,100.0%,6.21,A- (3.71),B+ (3.70)
107,"Darini, Bruna Maria",LTWR 140 - History of Writing (A),WI20,21,4,100.0%,100.0%,3.5,B+ (3.67),A- (3.94)
108,"Ali, Mohammad Kazim",LTWR 143 - Stylistics and Grammar (A),WI20,26,6,83.3%,100.0%,4.17,B+ (3.50),B+ (3.56)
109,"Jemc, Jaclyn",LTWR 8A - Writing Fiction (A),WI20,80,36,100.0%,100.0%,4.03,B+ (3.67),B+ (3.55)
110,"Doller, Ben",LTWR 8C - Writing Non-Fiction (A),WI20,65,24,90.5%,85.7%,2.77,A- (3.95),A- (3.89)
111,"Wilkinson, Marco",LTWR 100 - Short Fiction Workshop (A),FA19,24,18,87.5%,93.3%,3.21,A- (3.71),A- (3.82)
112,"Wilkinson, Marco",LTWR 113 - Intercultural Writing Workshop (A),FA19,19,11,100.0%,100.0%,3.7,A- (3.70),
113,"Banales, Melissa",LTWR 115 - Experimental Writing Workshop (A),FA19,17,5,100.0%,100.0%,5.3,A (4.00),
114,"Banales, Melissa",LTWR 119 - Writing for Performance Wrkshp (A),FA19,22,9,100.0%,100.0%,4.06,A- (3.78),A- (3.95)
115,"Wilkinson, Marco",LTWR 120 - Personal Narrative Workshop (A),FA19,23,19,100.0%,100.0%,2.92,A- (3.74),A- (3.96)
116,"Darini, Bruna Maria",LTWR 129 - Distributing Literature Wrkshp (A),FA19,18,6,100.0%,100.0%,2.83,A (4.00),
117,"Banales, Melissa",LTWR 143 - Stylistics and Grammar (A),FA19,25,11,100.0%,100.0%,3.05,A- (3.91),A- (3.80)
118,"Hoang, Lily Kim",LTWR 194 - Capstone Course for Writing (A),FA19,24,9,100.0%,100.0%,7.61,A (4.00),B+ (3.61)
119,"Hoang, Lily Kim",LTWR 8A - Writing Fiction (A),FA19,101,43,92.9%,85.7%,3.79,A- (3.88),A- (3.79)
120,"Ali, Mohammad Kazim",LTWR 8B - Writing Poetry (A),FA19,74,22,100.0%,95.2%,3.36,A- (3.90),A- (3.87)
121,"Springer, Anna Joy",LTWR 114 - Graphic Texts Workshop (A),S119,11,3,100.0%,100.0%,15.83,A (4.00),
122,"Forbes, Camille",LTWR 100 - Short Fiction Workshop (A),SP19,19,19,94.7%,94.4%,3.28,A- (3.76),
123,"Ali, Mohammad Kazim",LTWR 100 - Short Fiction Workshop (B),SP19,23,7,85.7%,85.7%,4.21,B+ (3.50),B+ (3.56)
124,"Som, Brandon D",LTWR 102 - Poetry Workshop (A),SP19,23,15,100.0%,100.0%,5.42,A- (3.85),A- (3.90)
125,"Ali, Mohammad Kazim",LTWR 115 - Experimental Writing Workshop (A),SP19,21,10,55.6%,66.7%,3.9,A- (3.90),A- (3.76)
126,"Forbes, Camille",LTWR 126 - Creative Nonfiction Workshop (A),SP19,23,19,89.5%,100.0%,3.66,B+ (3.68),B+ (3.43)
127,"Som, Brandon D",LTWR 148 - Theory for Writers (A),SP19,23,17,100.0%,100.0%,4.5,A- (3.75),B+ (3.70)
128,"Doller, Ben",LTWR 8B - Writing Poetry (A),SP19,100,47,97.7%,97.7%,2.68,A- (3.83),A- (3.87)
129,"Hoang, Lily Kim",LTWR 8C - Writing Non-Fiction (A),SP19,61,41,100.0%,100.0%,3.09,A- (3.72),B+ (3.54)
130,"Banales, Melissa",LTWR 100 - Short Fiction Workshop (A),WI19,24,7,100.0%,85.7%,2.5,A (4.00),A- (3.83)
131,"Doller, Ben",LTWR 102 - Poetry Workshop (A),WI19,23,4,100.0%,100.0%,3.0,A (4.00),B+ (3.66)
132,"Som, Brandon D",LTWR 113 - Intercultural Writing Workshop (A),WI19,22,8,100.0%,100.0%,6.0,A- (3.75),B+ (3.53)
133,"Banales, Melissa",LTWR 114 - Graphic Texts Workshop (A),WI19,23,7,100.0%,100.0%,6.5,A (4.00),B+ (3.45)
134,"Armantrout, Rae",LTWR 115 - Experimental Writing Workshop (A),WI19,18,8,87.5%,87.5%,3.75,A- (3.71),
135,"Banales, Melissa",LTWR 143 - Stylistics and Grammar (A),WI19,25,7,85.7%,85.7%,3.93,A (4.00),A- (3.99)
136,"Springer, Anna Joy",LTWR 8A - Writing Fiction (A),WI19,73,39,88.2%,75.8%,4.56,B+ (3.55),B+ (3.37)
137,"Forbes, Camille",LTWR 8C - Writing Non-Fiction (A),WI19,56,46,86.7%,97.7%,4.99,B+ (3.56),B+ (3.56)
138,"Forbes, Camille",LTWR 100 - Short Fiction Workshop (A),FA18,24,8,100.0%,100.0%,3.5,B (3.25),B+ (3.33)
139,"Banales, Melissa",LTWR 102 - Poetry Workshop (A),FA18,23,5,100.0%,100.0%,4.5,A- (3.80),A- (3.97)
140,"Springer, Anna Joy","LTWR 106 - Sci Fiction,Fantasy,Irrealism (A)",FA18,25,6,50.0%,16.7%,2.5,B (3.17),A- (3.75)
141,"Banales, Melissa",LTWR 119 - Writing for Performance Wrkshp (A),FA18,25,8,100.0%,85.7%,3.36,A- (3.86),A- (3.98)
142,"Banales, Melissa",LTWR 129 - Distributing Literature Wrkshp (A),FA18,14,9,100.0%,88.9%,4.5,A- (3.89),
143,"Hoang, Lily Kim",LTWR 148 - Theory for Writers (A),FA18,21,8,75.0%,87.5%,7.75,A- (3.75),A- (3.77)
144,"Hoang, Lily Kim",LTWR 194 - Capstone Course for Writing (A),FA18,13,7,100.0%,100.0%,5.64,A- (3.86),
145,"Springer, Anna Joy",LTWR 8A - Writing Fiction (A),FA18,86,49,93.8%,91.7%,5.75,B+ (3.59),A- (3.75)
146,"Som, Brandon D",LTWR 8B - Writing Poetry (A),FA18,83,54,100.0%,100.0%,3.5,A- (3.85),B+ (3.69)
147,"Driscoll Salemi, Shelby London",LTWR 100 - Short Fiction Workshop (A),S218,12,12,91.7%,91.7%,5.83,B+ (3.45),
148,"Forbes, Camille",LTWR 100 - Short Fiction Workshop (A),SP18,23,17,87.5%,87.5%,5.13,B+ (3.63),B+ (3.51)
149,"Springer, Anna Joy","LTWR 106 - Sci Fiction,Fantasy,Irrealism (A)",SP18,22,9,100.0%,100.0%,5.25,B+ (3.50),A- (3.83)
150,"Banales, Melissa",LTWR 113 - Intercultural Writing Workshop (A),SP18,23,10,100.0%,100.0%,3.83,A (4.00),A- (3.93)
151,"Springer, Anna Joy",LTWR 115 - Experimental Writing Workshop (A),SP18,20,7,83.3%,100.0%,4.83,A- (3.83),A (4.00)
152,"Pafunda, Danielle",LTWR 148 - Theory for Writers (A),SP18,34,10,100.0%,100.0%,5.3,A- (3.80),B+ (3.48)
153,"Hoang, Lily Kim",LTWR 8A - Writing Fiction (A),SP18,94,40,92.1%,89.5%,5.06,B+ (3.54),B+ (3.57)
154,"Pafunda, Danielle",LTWR 8C - Writing Non-Fiction (A),SP18,66,28,88.9%,92.3%,4.2,B+ (3.61),B+ (3.60)
155,"Pafunda, Danielle","LTWR 106 - Sci Fiction,Fantasy,Irrealism (A)",WI18,21,11,100.0%,100.0%,5.41,A- (3.82),A (4.00)
156,"Banales, Melissa",LTWR 113 - Intercultural Writing Workshop (A),WI18,24,10,100.0%,100.0%,3.9,A (4.00),A- (3.99)
157,"Springer, Anna Joy",LTWR 114 - Graphic Texts Workshop (A),WI18,23,10,90.0%,90.0%,7.9,A- (3.80),A- (3.82)
158,"Pafunda, Danielle",LTWR 115 - Experimental Writing Workshop (A),WI18,18,7,100.0%,100.0%,4.5,A (4.00),
159,"Hoang, Lily Kim",LTWR 126 - Creative Nonfiction Workshop (A),WI18,12,4,100.0%,100.0%,7.0,A- (3.75),
160,"Hoang, Lily Kim",LTWR 140 - History of Writing (A),WI18,34,7,85.7%,85.7%,2.5,A- (3.86),A- (3.74)
161,"Doller, Ben",LTWR 8B - Writing Poetry (A),WI18,99,50,95.8%,91.7%,2.83,A- (3.87),A- (3.92)
162,"Forbes, Camille",LTWR 8C - Writing Non-Fiction (A),WI18,61,47,83.0%,89.1%,3.31,B+ (3.45),B+ (3.38)
