,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Llewellyn Smith, Stefan G.",MAE 101B - Advanced Fluid Mechanics (A),SP23,58,36,74.3%,79.4%,7.32,B (3.09),
1,"Nomura, Keiko K.",MAE 101B - Advanced Fluid Mechanics (B),SP23,101,90,91.1%,90.0%,8.21,B (3.09),B- (2.77)
2,"Chen, Renkun",MAE 101C - Heat Transfer (A),SP23,57,32,81.3%,93.8%,7.02,B- (2.97),B (3.07)
3,"Becker, Janet Maria",MAE 105 - Intro to Mathematical Physics (A),SP23,119,66,53.8%,60.3%,8.93,B- (2.81),B (3.07)
4,"McEneaney, William Michael",MAE 107 - Computational Methods/Engineer (A),SP23,109,48,81.3%,75.0%,6.33,B+ (3.35),
5,"Pham, Hieu Tan",MAE 108 - Prob & Stats/Method/Mech Eng (A),SP23,121,56,85.7%,89.1%,6.75,B+ (3.33),B (3.14)
6,"Bahadori, Mohammad Yousef",MAE 110 - Thermodynamic Systems (A),SP23,15,10,60.0%,70.0%,8.3,B- (2.70),
7,"Hidalgo-Gonzalez, Patricia",MAE 119 - Intro Renew Energ/Solar & Wind (A),SP23,140,115,84.2%,82.5%,5.53,B (3.16),B+ (3.35)
8,"Lubarda, Marko",MAE 131A - Solid Mechanics I (B),SP23,121,56,86.5%,86.5%,6.05,B+ (3.30),B (3.08)
9,"Nesterenko, Vitali F",MAE 131A - Solid Mechanics I (C),SP23,44,18,100.0%,83.3%,5.94,B+ (3.41),B+ (3.51)
10,"Qi, Huihui",MAE 131A - Solid Mechanics I (D),SP23,119,111,95.5%,95.5%,7.62,B (3.30),B (3.03)
11,"Frazier, Michael",MAE 131B - Solid Mechanics II (A),SP23,48,41,97.6%,95.1%,6.7,B (3.23),B- (2.79)
12,"Herbert, Sylvia Lee",MAE 143B - Linear Control (A),SP23,143,92,74.4%,97.8%,9.05,B (3.00),C+ (2.69)
13,"Diagne, Mamadou Lamine",MAE 143B - Linear Control (B),SP23,119,99,98.0%,98.0%,6.58,B+ (3.41),B- (2.80)
14,"Silberman, Jack",MAE 148 - Intro to Autonomous Vehicles (A),SP23,25,11,100.0%,80.0%,12.9,A- (3.80),A- (3.97)
15,"Friend, James Robert",MAE 150 - Computational Methods/Design (A),SP23,49,46,84.8%,95.7%,8.37,B (3.07),C+ (2.67)
